player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jerjuan Newton,97308,WR,TOLEDO,4,12.1,1,70.8,42.9,3,7,0,5.6,1,10,316,1,60.4,25.4,64.6,,63.8,0.9,1,0,37,0.0,0,106,1,17,91.5,97,23.6,25,137.3,24,6,75.5,80,211,58,3.4,12.4,2.18
Mikey Matthews,174168,WR,UTAH,5,5.2,2,58.3,50.0,2,4,0,17.6,3,7,328,0,43.5,77.5,64.8,,65.1,0.0,0,0,40,0.0,0,87,1,14,95.4,83,82.8,72,76.6,24,0,11.5,10,149,91,6.5,10.6,1.8
Odieu Hilaire,120861,WR,BOWL GREEN,4,14.8,2,62.5,33.3,1,3,0,6.3,1,6,122,0,69.9,69.2,66.0,,66.4,0.0,0,1,32,0.0,0,108,1,15,95.4,103,38.9,42,96.0,24,2,61.1,66,181,25,1.7,12.1,1.76
Joey Hobert,131934,WR,TEXAS ST,4,9.1,2,83.3,100.0,1,1,0,0.0,0,14,314,0,86.3,75.7,78.0,,79.6,0.0,0,1,31,0.0,0,107,0,20,98.1,105,89.7,96,119.4,24,2,10.3,11,244,103,5.2,12.2,2.32
Kobe Paysour,143974,WR,N CAROLINA,4,8.9,1,79.2,,0,0,0,13.6,3,9,245,0,52.3,70.1,59.3,62.1,60.5,0.0,0,1,34,0.8,1,132,2,19,95.5,126,51.5,68,108.7,24,2,48.5,64,182,70,3.7,9.6,1.44
Cameron Ross,97105,WR,UCONN,4,7.3,3,54.2,57.1,4,7,0,18.8,3,5,146,0,41.1,69.9,52.9,,52.8,0.0,0,1,18,0.0,0,127,0,13,96.9,123,79.5,101,48.4,24,0,20.5,26,107,56,4.3,8.2,0.87
Kelby Williams,172300,WR,DOMINION,4,18.2,2,56.5,83.3,5,6,0,0.0,0,9,263,0,82.7,68.7,73.8,,73.5,0.0,0,0,49,0.0,0,95,0,13,94.7,90,4.2,4,110.8,23,1,95.8,91,260,70,5.4,20.0,2.89
Bru McCoy,71345,WR,TENNESSEE,4,9.9,8,65.2,33.3,2,6,0,6.3,1,7,307,0,71.1,70.1,69.3,,70.2,0.0,0,0,55,0.0,0,116,1,15,96.6,112,6.0,7,106.4,23,1,94.0,109,196,97,6.5,13.1,1.75
Travis Hunter,160766,CB,COLORADO,3,15.3,5,69.6,33.3,1,3,0,0.0,0,11,143,1,84.2,24.1,68.5,,69.4,0.0,0,0,43,0.0,0,117,1,16,94.0,110,51.3,60,98.6,23,0,48.7,57,213,59,3.7,13.3,1.94
DeMeer Blankumsee,130613,WR,MEMPHIS,4,8.8,3,65.2,0.0,0,2,0,11.8,2,6,218,0,57.1,71.2,53.8,,56.1,0.0,0,1,47,0.0,0,114,1,15,96.5,110,89.5,102,82.9,23,1,10.5,12,166,86,5.7,11.1,1.51
