player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jacolbe Cowan,129743,ED,N CAROLINA,4,1,0,,0,0,245,60.0,60.7,77.1,58.9,60.0,73.4,0,1,0,,0.0,0,0,0,0.0,0,1,0,0,0,34,34,0,0,32,2,0,0,21,13,0,1,0,0,2,0,0,0,
Darrion Henry-Young,129748,DI,KENTUCKY,4,2,0,,0,0,202,,64.5,76.9,65.3,59.8,58.7,1,1,0,,20.0,1,0,0,0.0,0,2,0,0,0,56,56,2,22,7,25,0,0,38,18,0,3,2,0,4,0,0,0,
Cameron Martinez,129752,CB,OHIO STATE,3,0,0,100.0,0,0,260,57.2,57.9,76.5,,60.8,75.1,0,0,0,36,0.0,0,0,0,118.8,1,0,0,0,14,22,0,0,0,0,0,2,22,0,8,20,0,1,1,0,0,36,5,36.0
Mitchell Melton,129753,ED,OHIO STATE,3,0,0,,0,0,260,,70.0,75.6,55.4,76.5,43.8,0,1,0,,50.0,1,0,0,0.0,0,1,0,0,0,19,19,0,0,19,0,0,0,10,9,0,2,1,0,2,0,0,0,
Lathan Ransom,129755,S,OHIO STATE,4,9,0,60.0,0,0,260,68.5,67.4,3.0,62.1,66.9,73.1,1,0,0,12,11.1,3,0,1,77.1,3,0,81,1,117,238,1,0,0,1,0,108,237,4,117,47,4,15,5,1,0,30,14,10.0
Cody Simon,129757,LB,OHIO STATE,4,4,1,75.0,0,0,260,71.0,70.0,76.0,68.0,62.2,83.2,0,1,0,25,0.0,0,0,0,93.8,3,0,49,0,21,56,5,0,0,5,0,0,51,4,31,2,5,6,4,1,0,28,13,9.3
Ryan Watts,129762,CB,TEXAS,4,2,0,70.0,0,0,311,64.9,68.5,79.6,53.9,85.1,75.6,0,0,0,55,6.3,1,1,0,112.5,7,0,26,145,110,175,1,0,0,1,0,2,174,3,62,1,5,13,10,0,0,132,25,18.9
Cole Brevard,129766,DI,PURDUE,4,1,0,,0,0,273,,51.4,83.6,51.9,51.4,27.3,0,2,0,,50.0,1,0,0,0.0,0,0,0,0,0,153,153,134,19,0,0,0,0,78,75,0,0,0,0,2,0,0,0,
Tyler Elsdon,129775,LB,PENN STATE,4,1,0,75.0,0,0,266,64.1,55.7,76.3,65.7,42.0,39.2,1,0,0,14,28.6,2,1,0,88.5,3,0,43,0,24,51,1,0,0,1,0,0,50,4,23,7,2,4,4,1,0,23,8,7.7
Zuriah Fisher,129778,ED,PENN STATE,4,3,0,,0,0,266,61.7,71.5,81.3,67.8,68.7,76.8,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,3,81,81,0,0,79,2,0,0,44,34,0,1,0,0,3,0,0,0,
Coziah Izzard,129784,DI,PENN STATE,2,0,0,,0,0,266,,55.7,75.6,60.3,51.3,73.8,0,1,0,,0.0,0,0,0,0.0,0,2,1,0,0,43,42,0,35,0,7,0,1,30,13,0,2,1,0,3,0,0,0,
Curtis Jacobs,129785,LB,PENN STATE,4,6,0,60.0,0,0,266,66.1,64.7,80.5,60.2,61.7,63.2,2,2,0,4,7.1,1,0,0,64.6,3,1,84,1,55,143,19,0,0,19,0,1,124,29,59,38,6,7,5,5,0,11,19,3.7
Fatorma Mulbah,129793,DI,W VIRGINIA,4,2,0,,0,0,343,,80.1,78.9,66.1,80.9,77.3,0,2,0,,0.0,0,0,0,0.0,0,0,0,0,0,59,59,44,15,0,0,0,0,26,33,0,6,6,0,2,0,0,0,
Amin Vanover,129797,ED,PENN STATE,2,0,0,,0,1,266,,77.4,0.0,90.8,54.8,25.6,2,3,0,,100.0,1,0,1,0.0,0,1,0,0,0,32,32,0,1,31,0,0,0,20,12,0,1,0,0,6,0,0,0,
Jake Wilson,129800,ED,PENN STATE,1,0,0,,0,0,266,60.0,52.3,72.7,56.4,54.2,73.0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,8,8,0,0,8,0,0,0,4,4,0,0,0,0,0,0,0,0,
Kydran Jenkins,129818,ED,PURDUE,4,2,0,100.0,0,0,273,45.0,64.5,50.5,75.5,68.6,74.5,4,12,0,39,10.5,2,0,1,118.8,9,4,22,1,66,232,207,0,0,206,1,1,25,81,85,1,12,15,9,20,0,117,60,13.0
Sanoussi Kane,129820,S,PURDUE,4,7,0,64.3,0,1,273,60.1,61.2,79.5,49.0,66.3,40.8,2,5,0,34,25.0,9,2,1,86.9,9,0,159,4,160,287,16,0,0,16,0,19,271,14,113,89,11,20,14,7,0,105,57,11.7
Anthony Romphf,129830,CB,W MICHIGAN,3,0,0,100.0,0,0,347,53.5,54.3,74.2,,60.1,,0,0,0,20,,0,0,0,158.3,1,0,0,12,6,14,2,0,0,2,0,0,12,0,8,0,0,0,1,0,1,20,3,20.0
Antonio Stevens,129833,CB,PURDUE,4,0,0,100.0,0,0,273,68.8,57.6,75.7,,33.0,46.3,0,0,0,7,25.0,1,0,0,91.7,2,0,7,0,16,29,1,0,0,1,0,0,28,0,13,21,1,3,2,0,0,12,3,6.0
Clyde Washington,129837,LB,PURDUE,4,2,0,,0,0,273,63.8,64.4,71.1,60.0,62.7,77.9,0,0,0,,0.0,0,0,0,0.0,0,0,31,0,8,36,4,0,0,4,0,0,32,1,27,1,1,1,0,0,0,0,0,
Andrew Awe,129839,LB,RICE,3,0,0,100.0,0,0,275,44.3,56.6,73.7,67.1,73.8,75.7,1,1,0,44,0.0,0,0,0,158.3,2,0,25,0,16,28,3,0,0,3,0,0,25,4,8,0,2,2,2,2,1,70,50,35.0
Sean Fresch,129846,CB,RICE,4,2,0,44.8,1,1,275,66.0,65.8,8.3,59.8,69.4,77.2,0,0,0,59,6.3,1,2,3,105.1,13,0,7,246,150,259,4,0,0,4,0,0,255,1,108,2,4,13,29,0,2,297,137,22.8
Lamont Narcisse,129858,CB,RICE,2,1,0,50.0,0,0,275,65.6,66.9,75.0,,66.0,79.8,0,0,0,8,0.0,0,1,0,56.3,2,0,2,33,16,35,0,0,0,0,0,0,35,0,19,0,1,2,4,0,0,6,4,3.0
Gabe Taylor,129865,S,RICE,4,4,0,64.7,1,1,275,30.8,35.5,82.3,66.8,45.6,51.8,1,1,0,53,20.7,6,1,1,108.1,11,0,120,2,140,249,7,0,0,7,0,70,242,9,100,50,5,19,17,2,0,287,115,26.1
Plae Wyatt,129868,S,RICE,4,3,0,87.5,0,0,275,71.2,66.8,83.5,59.8,55.6,53.2,1,0,0,16,19.2,5,1,0,94.8,7,1,68,1,132,241,20,0,0,20,0,65,221,15,94,87,8,18,8,2,0,54,24,7.7
Wesley Bailey,129871,ED,RUTGERS,4,2,2,,0,0,278,61.6,66.3,83.9,76.3,50.2,79.8,2,6,0,,0.0,0,0,0,0.0,0,1,0,0,7,125,124,0,3,119,2,0,1,66,52,1,2,3,0,9,0,0,0,
Shawn Collins,129874,ED,APP STATE,4,0,0,100.0,0,0,108,52.7,54.4,28.0,61.1,56.4,78.3,3,4,0,1,0.0,0,0,1,79.2,1,1,0,0,0,145,145,0,5,27,113,0,0,88,57,0,4,4,1,8,0,1,4,1.0
Rene Konga,129880,DI,RUTGERS,4,2,0,,0,1,278,61.4,64.5,79.8,63.2,61.5,65.1,2,3,0,,11.1,1,0,0,0.0,0,1,0,0,0,103,103,16,34,36,17,0,0,69,34,0,3,6,0,6,0,0,0,
Aaron Lewis,129884,ED,RUTGERS,4,3,0,,0,0,278,61.7,83.0,83.0,84.1,69.7,65.5,3,12,0,,14.3,2,0,0,0.0,0,1,2,0,0,215,213,0,36,144,33,0,2,142,73,0,5,9,0,16,0,0,0,
Robert Longerbeam,129886,CB,RUTGERS,4,1,0,40.0,0,0,278,66.7,66.7,82.1,72.5,58.1,77.6,0,0,1,15,6.7,1,1,2,28.1,8,1,22,217,159,258,5,0,0,5,0,1,253,2,97,13,4,13,20,1,0,65,31,8.1
Joe Lusardi,129887,CB,RUTGERS,3,0,0,,0,0,278,66.0,59.7,75.5,54.5,47.1,28.3,0,1,0,,50.0,1,0,0,0.0,0,0,3,0,18,30,1,0,0,1,0,0,29,3,9,25,1,1,0,1,0,0,0,
Elijuwan Mack,129888,S,RUTGERS,3,0,0,50.0,0,0,278,58.1,58.4,74.4,,60.0,74.3,0,0,0,8,0.0,0,0,0,60.4,1,0,1,0,21,23,0,0,0,0,0,20,23,0,2,2,1,1,2,0,0,8,5,8.0
Max Melton,129889,CB,RUTGERS,4,1,0,54.5,1,0,278,62.9,64.9,82.3,53.1,73.8,45.2,0,0,1,26,25.0,3,1,2,73.1,12,0,22,172,154,251,3,0,0,3,0,0,248,4,93,53,3,8,22,0,1,155,42,12.9
Kyle Monangai,129891,HB,RUTGERS,1,0,0,,0,0,278,60.0,62.6,73.9,,,,0,0,0,,,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Tyreem Powell,129900,LB,RUTGERS,4,9,0,66.7,0,1,278,65.9,67.4,80.7,61.5,67.0,82.8,1,2,0,33,6.7,2,1,0,97.5,6,3,213,0,120,239,18,0,0,18,0,0,221,25,94,8,16,19,9,6,0,86,61,14.3
Troy Rainey,129901,DI,RUTGERS,4,2,0,,0,0,278,,61.4,77.0,54.5,64.2,74.3,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,63,63,5,58,0,0,0,0,28,35,0,0,2,0,0,0,0,0,
Jamier Wright-Collins,129910,S,RUTGERS,1,0,0,100.0,0,0,278,63.6,62.2,70.1,56.0,60.0,76.2,0,0,0,4,0.0,0,0,0,83.3,1,0,6,0,10,13,0,0,0,0,0,0,13,2,1,7,1,1,1,0,0,4,0,4.0
Ben Barten,129913,DI,WISCONSIN,4,0,1,,0,0,349,,68.7,78.5,72.5,60.1,,1,4,0,,,0,0,0,0.0,0,0,0,0,0,72,72,31,37,0,4,0,0,43,29,0,0,0,0,5,0,0,0,
Kaden Johnson,129921,ED,WISCONSIN,2,0,0,,0,1,349,60.0,77.0,75.1,69.4,68.5,75.7,0,2,0,,0.0,0,0,0,0.0,0,1,0,0,1,12,12,0,0,12,0,0,0,8,3,0,2,1,0,3,0,0,0,
Cade McDonald,129925,DI,WISCONSIN,2,1,0,,0,0,349,,67.5,70.2,57.9,66.5,70.8,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,7,7,0,6,0,1,0,0,5,2,0,0,0,0,0,0,0,0,
James Thompson Jr.,129930,DI,WISCONSIN,4,1,1,,0,0,349,63.2,76.9,79.9,73.5,68.6,79.7,1,8,0,,0.0,0,0,0,0.0,0,4,0,0,0,142,142,8,66,37,31,0,0,96,46,0,10,8,0,13,0,0,0,
Jordan Turner,129932,LB,WISCONSIN,4,7,0,100.0,0,0,349,64.6,60.8,0.0,67.3,55.0,42.5,3,3,0,13,22.2,6,1,1,90.8,5,0,179,0,83,185,5,0,0,5,0,0,180,36,66,1,9,14,5,6,0,29,32,5.8
Preston Zachman,129939,S,WISCONSIN,4,5,0,41.7,0,0,349,72.1,65.0,81.8,59.1,37.5,48.8,0,0,0,25,18.8,3,3,0,85.1,5,0,44,0,107,157,2,0,0,2,0,56,155,1,49,55,0,8,12,0,1,59,12,11.8
Matthew Malloy,130265,LB,AIR FORCE,1,0,0,,0,0,101,60.7,61.8,67.4,,,,0,0,0,,,0,0,0,0.0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,
Charles Amankwaa,130277,CB,RUTGERS,1,0,0,0.0,0,0,278,54.7,54.6,71.5,,60.0,,0,0,0,,,0,0,1,39.6,0,0,1,12,12,13,0,0,0,0,0,0,13,0,1,0,0,0,2,0,0,0,0,
Tyson Durant,130287,CB,AKRON,4,1,0,26.7,0,0,102,58.4,59.9,79.6,55.3,68.7,58.8,1,0,1,11,20.0,2,1,0,11.8,4,0,3,116,71,120,1,0,0,1,0,0,119,2,47,0,1,7,15,1,0,33,7,8.3
DiMarco Johnson,130299,S,AKRON,3,0,0,,0,0,102,62.9,63.0,71.5,,60.0,,0,0,0,,,0,0,0,0.0,0,0,4,0,9,13,0,0,0,0,0,8,13,0,4,1,0,0,0,0,0,0,0,
Brandon Berger,130326,ED,BALL ST,3,1,0,0.0,0,0,117,61.4,49.3,0.0,61.3,47.0,75.7,0,1,0,,0.0,0,0,1,39.6,0,0,0,0,1,41,41,0,0,40,1,0,0,25,15,0,0,1,1,1,0,0,0,
Keionte Newson,130343,LB,BALL ST,4,10,0,66.7,0,1,117,74.0,72.1,79.2,51.5,71.6,78.7,0,3,0,21,6.7,2,1,0,121.1,6,0,173,0,119,201,6,0,0,6,0,0,195,14,68,22,9,18,9,3,1,57,23,9.5
Nate Pedraza,130344,ED,BALL ST,4,0,0,,0,0,117,60.0,58.9,76.8,54.2,62.6,71.5,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,34,34,0,0,31,3,0,0,20,14,0,0,1,0,0,0,0,0,
Nathan Reichert,130347,DI,BALL ST,3,0,0,,0,0,117,,71.6,73.0,59.2,71.0,69.7,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,16,16,1,15,0,0,0,0,2,14,0,1,1,0,0,0,0,0,
JB Brown,130354,LB,KANSAS,4,4,0,72.7,0,1,198,67.0,71.3,9.1,71.1,71.4,63.7,0,3,0,22,14.3,3,1,1,105.5,8,2,148,0,87,190,31,0,0,31,0,1,159,35,68,10,12,14,11,5,1,28,21,3.5
Dontrez Brown,130356,DI,BOWL GREEN,4,1,1,,0,1,122,59.5,67.5,18.8,66.7,70.2,75.5,0,4,0,,0.0,0,0,1,0.0,0,0,0,0,1,109,109,1,83,2,23,0,0,57,51,0,4,4,0,4,0,0,0,
Jhaylin Embry,130361,WR,BOWL GREEN,2,0,0,,0,0,122,,60.0,60.0,,60.0,,0,0,0,,,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,
Demetrius Hardamon,130365,ED,BOWL GREEN,3,2,0,100.0,0,0,122,65.3,78.6,83.0,85.7,67.3,42.2,1,9,0,10,30.0,3,0,0,94.4,3,0,1,0,14,102,101,0,0,101,0,0,1,41,47,0,4,5,3,10,0,20,21,6.7
Anthony Hawkins,130366,DI,BOWL GREEN,4,5,0,,0,1,122,59.2,60.4,18.9,65.4,61.0,78.0,0,2,0,,0.0,0,0,1,0.0,0,1,2,0,1,104,102,35,66,1,0,0,2,45,58,0,3,4,0,3,0,0,0,
Deshawn Jones Jr.,130367,CB,BOWL GREEN,4,1,0,100.0,0,0,122,55.7,61.7,74.5,59.6,70.3,72.6,0,0,0,8,11.1,1,0,0,100.0,1,0,14,34,16,50,0,0,0,0,0,0,50,1,33,2,3,7,1,0,0,8,1,8.0
Jordan Porter,130378,ED,BOWL GREEN,4,1,0,,0,0,122,,61.4,79.5,60.7,60.4,21.6,0,3,0,,75.0,3,0,0,0.0,0,0,1,0,0,70,69,0,4,45,20,0,1,26,44,0,0,0,0,3,0,0,0,
Billie Roberts,130379,DI,BOWL GREEN,4,2,0,,0,0,122,,51.5,78.4,63.7,45.0,72.4,0,0,0,,0.0,0,0,0,0.0,0,0,1,0,0,47,46,26,20,0,0,0,1,23,24,0,0,0,0,0,0,0,0,
Charles Rosser,130380,ED,BOWL GREEN,4,3,0,100.0,0,0,122,61.4,61.0,80.7,75.2,54.4,57.8,0,1,0,13,25.0,1,0,0,118.8,1,0,9,0,15,56,32,0,0,32,0,0,24,6,35,13,0,0,1,1,0,13,7,13.0
Trent Simms,130384,S,BOWL GREEN,3,2,0,20.0,0,0,122,68.2,70.6,79.3,58.7,72.7,64.0,0,0,0,2,13.3,2,2,0,39.6,1,0,73,1,65,127,0,0,0,0,0,26,127,1,61,27,3,11,5,0,0,2,1,2.0
