player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Logan Jones,149414,S,LEHIGH,7,31,10.3,7.8,205,0,116.7,3,4,0,81,38,2.61
Jamal Hill,100609,S,OREGON,10,41,10.3,5.1,264,0,91.1,4,8,0,91,20,2.22
Jacoby Mathews,158660,S,TEXAS A&M,5,31,10.3,6.2,312,0,76.3,3,5,0,29,26,0.94
Inumidun Ayo-Durojaiye,151136,S,YALE,10,122,10.2,8.7,352,0,128.9,12,14,1,129,126,1.06
Jonathan Cabral-Martin,153976,S,CENT CT ST,10,163,10.2,5.1,133,0,75.4,16,32,1,163,87,1.0
Ennis Rakestraw Jr.,124215,CB,MISSOURI,11,61,10.2,6.8,229,0,86.8,6,9,0,63,42,1.03
Marcus Heard Jr.,165216,S,DAVIDSON,9,51,10.2,8.5,149,0,115.3,5,6,0,70,24,1.37
Chauncey Moore,76581,S,ALABAMA ST,10,51,10.2,6.4,105,0,75.0,5,8,0,40,29,0.78
Kolbi Fuqua,84139,LB,JVILLE ST,10,102,10.2,6.4,196,1,65.9,10,16,0,145,63,1.42
Elijah Benoit,105791,S,E ILLINOIS,9,51,10.2,10.2,158,0,155.4,5,5,1,59,25,1.16
Garrett Graves,89420,S,MONTANA,7,51,10.2,4.6,232,0,63.4,5,11,0,62,43,1.22
Eddie Heckard,63024,CB,WEBER ST,11,272,10.1,6.3,342,2,63.7,27,43,1,216,71,0.79
Noah Pierre,83244,CB,INDIANA,11,181,10.1,6.5,190,0,96.0,18,28,1,191,152,1.06
Yusef Thomas,139234,LB,DAVIDSON,10,81,10.1,6.2,149,0,120.0,8,13,1,128,44,1.58
Azizi Hearn,55569,CB,UCLA,11,152,10.1,6.1,324,0,92.4,15,25,1,162,59,1.07
Kadon Kauppinen,87042,S,N DAKOTA,11,81,10.1,5.8,249,0,126.5,8,14,2,125,86,1.54
Hogan Hatten,102135,LB,IDAHO,5,10,10.0,10.0,185,0,87.5,1,1,0,5,6,0.5
Alii Matau,52219,LB,S JOSE ST,10,70,10.0,7.0,285,1,47.5,7,10,0,64,35,0.91
Storm Duck,97705,CB,N CAROLINA,4,10,10.0,5.0,245,1,95.8,1,2,1,28,0,2.8
