player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jason Hatcher,3037,DI,WAS,13,2,1,100.0,0,0,32,1,0,62.7,69.8,55.0,69.3,62.6,48.8,6,26,0,0,30,15.0,3,0,2,118.8,1,8,0,3,0,0,503,500,21,74,29,376,0,3,357,146,0,17,15,2,1,40,0,30,32,30.0
Will Blackmon,3060,CB,JAX,8,2,0,75.7,0,1,15,0,0,43.4,50.0,84.0,58.4,83.5,43.1,0,0,0,0,37,23.5,8,0,2,112.8,28,1,0,27,9,241,355,0,0,0,0,0,0,355,9,105,319,10,24,1,37,1,1,343,172,12.3
Stephen Tulloch,3061,LB,DET,3,1,0,100.0,0,0,11,0,0,52.9,68.5,73.3,75.3,76.6,37.6,0,0,0,0,22,26.1,6,0,0,113.1,7,3,0,138,0,74,138,0,0,0,0,0,0,138,13,51,0,14,16,2,7,3,0,78,41,11.1
Domata Peko Sr.,3068,DI,CIN,16,7,0,,0,0,7,0,0,62.9,52.2,66.3,48.6,56.2,51.4,1,5,0,0,,5.6,2,0,2,0.0,0,1,0,0,0,1,686,686,10,667,0,9,0,0,347,338,0,22,27,3,0,7,0,0,0,
Barry Cofield,3069,DI,WAS,8,3,0,,0,0,32,0,0,,44.2,82.7,53.2,38.9,72.4,1,6,0,0,,0.0,0,0,0,0.0,0,1,0,2,0,0,249,247,50,35,7,155,0,2,168,81,0,2,2,0,0,8,0,0,0,
Elvis Dumervil,3071,ED,BLT,16,2,0,100.0,2,1,3,1,0,60.2,76.9,14.9,82.6,62.7,63.4,9,28,0,0,10,21.1,4,0,7,83.3,4,20,0,113,1,57,609,485,0,0,466,19,0,124,412,140,10,23,13,0,4,57,0,16,23,4.0
Kyle Williams,3079,DI,BUF,15,8,1,50.0,1,0,4,0,0,63.3,69.6,64.7,65.3,67.2,44.8,12,29,0,1,10,16.2,6,0,3,25.0,1,8,0,6,0,9,717,711,13,175,23,500,0,6,443,265,0,27,23,5,2,49,0,10,1,10.0
Rob Ninkovich,3080,ED,NE,16,7,0,80.0,0,0,19,1,1,57.9,59.7,83.2,56.1,62.2,33.5,10,33,0,1,33,21.9,14,1,2,99.8,16,8,0,129,1,111,1022,875,0,1,736,138,0,147,551,360,17,36,43,5,20,51,1,179,83,11.2
Parys Haralson,3085,ED,NO,16,7,0,55.6,2,0,20,1,0,53.7,57.9,0.0,55.1,70.5,50.4,4,7,0,0,10,22.5,9,0,5,62.7,5,3,0,218,5,65,488,255,0,1,243,11,0,233,167,256,10,20,24,3,9,14,0,31,30,6.2
Dawan Landry,3091,S,NYJ,16,15,0,72.5,0,0,22,0,0,75.6,80.6,90.3,73.8,83.5,91.6,1,2,0,0,33,3.4,3,1,0,102.4,29,2,0,197,6,566,945,0,0,0,0,0,484,945,28,351,258,24,70,1,40,5,2,223,115,7.7
