player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jaylen Warren,98692,HB,OKLA STATE,5,114,42,5,31.0,158,0,510,0,4,42,331,107.7,11,21,262,2,15,70.3,84.4,,34.1,68.2,69.9,59.4,75,0,124,10,78,154,0,0,12,124,6,510,331,2.9,4.5,1.59,98
DeAndre Torrey,83728,HB,N TEXAS,5,113,24,8,34.3,196,0,571,1,1,24,332,61.7,14,25,251,2,88,76.3,28.7,,58.4,58.4,78.8,57.1,32,1,67,6,94,135,0,0,12,119,4,571,332,2.94,5.1,0.71,24
Trey Potts,101647,HB,MINNESOTA,5,113,23,7,28.9,161,0,558,1,0,23,374,66.2,14,27,225,0,73,74.2,81.4,,56.5,54.6,74.0,54.2,54,0,14,2,37,127,0,0,4,115,6,558,374,3.31,4.9,0.38,40
Ulonzo Gilliam Jr.,57443,HB,UC DAVIS,6,109,24,6,24.7,129,0,523,0,7,24,376,83.5,18,31,322,0,41,81.8,84.1,,65.9,71.9,83.6,60.8,30,0,96,19,149,166,0,0,25,128,4,523,376,3.45,4.8,0.64,65
La'Darius Jefferson,83704,HB,W MICHIGAN,6,107,8,4,15.8,69,1,438,0,2,8,259,22.0,9,32,347,1,60,75.0,18.1,,68.9,55.0,75.9,59.8,21,1,38,3,71,114,0,0,3,110,8,438,259,2.42,4.1,0.54,46
Isaiah Ifanse,91411,HB,MONTANA ST,6,107,46,9,44.1,293,0,664,0,3,46,485,193.1,15,28,233,1,53,81.8,85.7,,83.1,71.3,79.3,61.7,74,0,75,8,56,141,0,0,8,115,6,664,485,4.53,6.2,1.34,53
Tyler Badie,83714,HB,MISSOURI,6,105,25,10,54.8,368,0,671,1,8,25,389,94.0,17,33,229,0,33,79.7,86.4,,28.2,73.9,82.9,44.9,69,1,212,25,154,116,0,0,30,130,8,671,389,3.7,6.4,1.38,71
Rasheen Ali,121717,HB,MARSHALL,6,104,30,8,35.6,199,0,559,2,7,30,400,112.9,14,37,214,4,11,72.3,34.2,,42.5,71.3,74.6,57.6,49,1,136,22,125,120,0,0,25,126,11,559,400,3.85,5.4,1.09,93
Breece Hall,97636,HB,IOWA STATE,5,104,40,8,39.7,215,0,542,1,3,40,319,109.9,17,35,193,1,31,82.2,83.3,,27.3,71.7,83.8,58.8,42,0,117,16,98,116,0,0,18,120,8,542,319,3.07,5.2,1.19,73
Harrison Waylee,130584,HB,N ILLINOIS,5,101,15,6,36.1,207,0,574,1,0,15,366,53.3,14,22,254,1,65,74.4,13.4,,35.5,44.4,76.2,57.8,75,1,6,1,43,117,0,0,2,102,4,574,366,3.62,5.7,0.14,36
Hassan Haskins,83701,HB,MICHIGAN,6,101,18,6,28.3,139,0,492,0,0,18,292,50.0,12,37,222,0,78,86.2,84.1,,58.6,57.9,83.7,66.8,50,0,6,3,29,121,0,0,3,104,8,492,292,2.89,4.9,0.21,22
Stephen Carr,57453,HB,INDIANA,5,101,22,5,28.0,105,0,375,0,0,22,264,53.7,9,24,190,0,53,78.8,19.5,,47.8,60.7,80.6,59.5,26,1,36,6,72,112,0,0,8,107,3,375,264,2.61,3.7,0.5,47
B.J. Baylor,52122,HB,OREGON ST,6,99,22,10,43.7,296,0,678,1,1,22,341,76.9,16,33,265,2,34,78.5,84.9,,15.5,52.5,82.1,50.1,66,0,36,4,54,127,0,0,7,103,9,678,341,3.44,6.8,0.67,65
Frank Gore Jr.,121457,HB,SO MISS,6,98,22,7,40.8,162,0,397,0,5,22,323,78.1,13,23,296,0,58,71.5,84.4,,58.2,71.8,71.2,61.5,51,2,161,16,106,143,0,0,21,114,1,397,323,3.3,4.1,1.52,39
Brian Robinson Jr.,57120,HB,ALABAMA,5,97,35,9,33.3,175,0,526,1,1,35,363,128.3,17,29,103,0,32,87.4,83.3,,60.2,57.4,90.5,54.9,24,0,77,8,87,103,0,0,9,105,6,526,363,3.74,5.4,0.89,64
Blake Corum,129574,HB,MICHIGAN,6,97,32,9,45.6,278,0,610,1,6,32,368,129.9,14,28,222,0,70,90.9,83.2,,28.7,82.0,88.9,58.3,67,0,102,14,66,112,0,0,16,111,8,610,368,3.79,6.3,1.55,24
Chez Mellusi,99597,HB,WISCONSIN,5,96,9,5,27.7,132,0,477,1,1,9,238,24.3,16,29,349,0,31,63.7,84.0,,7.2,54.3,66.9,58.7,60,0,55,6,56,104,0,0,8,102,3,477,238,2.48,5.0,0.98,64
Kyren Williams,97118,HB,NOTRE DAME,6,96,23,3,30.7,110,0,358,1,5,23,271,68.7,6,16,258,2,42,72.8,84.8,,59.4,81.3,69.6,55.2,51,0,200,19,134,133,0,0,21,115,4,358,271,2.82,3.7,1.49,53
Marquez Cooper,130489,HB,KENT STATE,6,95,18,5,28.4,135,0,476,1,0,18,299,57.2,14,29,201,1,47,74.1,0.0,,65.3,57.7,76.7,57.0,66,2,45,4,67,122,0,0,7,99,4,476,299,3.15,5.0,0.67,48
Leddie Brown,77766,HB,W VIRGINIA,6,95,15,2,23.7,100,0,422,1,3,15,219,37.0,7,28,343,2,33,69.1,83.9,,83.8,55.2,71.6,67.8,80,0,127,17,168,120,0,0,23,112,6,422,219,2.31,4.4,0.76,59
Charles Williams,41837,HB,UNLV,5,94,21,6,32.7,129,0,394,0,1,21,251,59.3,10,22,325,0,54,71.6,85.5,,15.4,62.1,74.2,54.6,28,0,104,5,76,108,0,0,6,99,3,394,251,2.67,4.2,1.37,40
D'vonte Price,55158,HB,FIU,6,94,25,7,44.7,220,0,492,2,3,25,314,92.6,12,21,166,2,34,74.8,83.1,,56.9,51.7,78.6,59.4,68,0,83,7,101,102,0,0,12,101,6,492,314,3.34,5.2,0.82,57
Greg Bell,83716,HB,S DIEGO ST,5,94,11,6,35.9,187,0,521,0,0,11,306,37.3,15,26,284,3,29,67.1,82.9,,33.0,53.5,67.7,64.4,55,0,2,2,43,111,0,0,3,96,5,521,306,3.26,5.5,0.05,65
Kevin Marks Jr.,55019,HB,BUFFALO,6,93,10,3,18.8,73,0,388,0,0,10,250,26.9,6,19,126,2,26,68.8,81.5,,71.1,58.0,68.2,65.6,30,0,16,7,54,112,0,0,8,100,5,388,250,2.69,4.2,0.3,67
Brandon Thomas,121788,HB,MEMPHIS,6,93,27,8,49.1,287,0,585,1,2,27,444,142.7,15,25,218,2,40,77.6,17.9,,82.8,52.1,81.2,40.5,75,1,43,4,74,102,0,0,5,97,6,585,444,4.77,6.3,0.58,52
Ronnie Rivers,57208,HB,FRESNO ST,6,91,26,7,35.5,149,0,420,1,7,26,260,84.2,11,26,169,2,34,76.4,40.7,,73.2,71.5,76.1,83.7,36,1,235,21,169,116,0,0,27,112,3,420,260,2.86,4.6,1.39,56
Zach Charbonnet,97630,HB,UCLA,6,90,35,10,44.5,259,0,582,1,0,35,313,124.2,16,27,324,0,51,85.0,82.8,,79.4,56.7,88.6,56.9,47,0,95,8,86,111,0,0,10,98,7,582,313,3.48,6.5,1.1,38
Deuce Vaughn,122624,HB,KANSAS ST,5,89,21,3,20.5,92,0,449,1,6,21,209,58.2,17,28,199,1,39,81.8,25.9,,19.9,77.6,83.6,62.6,59,1,206,20,95,132,0,0,30,109,5,449,209,2.35,5.0,2.17,46
Ellis Merriweather,128096,HB,UMASS,6,88,8,7,39.6,161,0,407,1,0,8,227,21.7,10,24,216,0,52,73.6,0.0,,52.0,58.2,78.3,55.5,32,2,50,7,87,114,0,0,10,95,2,407,227,2.58,4.6,0.57,34
Haaziq Daniels,125263,QB,AIR FORCE,6,87,14,8,63.4,275,0,427,0,0,14,200,37.0,11,24,101,8,20,74.8,71.8,71.8,,55.2,68.3,60.0,94,1,0,0,2,372,7,1,0,87,8,434,200,2.27,4.9,0.0,19
Ty Chandler,62942,HB,N CAROLINA,6,88,26,7,37.8,183,0,484,0,3,26,303,107.4,13,30,245,0,33,81.4,81.9,,62.0,67.1,81.5,74.8,60,0,123,5,88,101,0,0,5,93,5,484,303,3.44,5.5,1.4,48
Bryant Koback,57266,HB,TOLEDO,6,88,11,6,43.9,197,1,449,0,6,11,297,55.7,12,18,316,0,64,72.5,83.7,,63.0,71.3,73.0,54.1,67,1,185,15,108,114,0,0,16,103,5,449,297,3.38,5.1,1.71,22
Shamari Brooks,61855,HB,TULSA,6,87,10,4,20.1,84,0,417,1,1,10,200,27.8,10,23,320,0,32,74.2,81.0,,70.0,50.2,77.3,43.1,25,0,26,4,91,94,0,0,6,91,3,417,200,2.3,4.8,0.29,54
Alton McCaskill,144253,HB,HOUSTON,6,86,11,5,33.5,135,0,403,0,4,11,220,39.2,11,18,182,0,35,73.8,82.4,,35.9,69.8,74.7,59.8,35,0,79,12,82,91,0,0,14,98,8,403,220,2.56,4.7,0.96,44
Tre Siggers,57347,HB,SMU,6,86,18,4,24.8,99,0,400,1,3,18,231,61.3,10,22,287,0,18,74.1,82.1,,85.0,48.2,76.2,73.5,46,0,7,6,87,107,0,0,9,92,2,400,231,2.69,4.7,0.08,66
Jalen Mitchell,97173,HB,LOUISVILLE,6,85,14,6,32.8,117,0,357,0,2,14,278,56.9,7,18,210,2,18,68.7,85.5,,71.6,59.6,70.2,50.2,27,0,77,7,92,125,0,0,7,92,2,357,278,3.27,4.2,0.84,66
Isaiah Spiller,99146,HB,TEXAS A&M,6,84,29,8,48.2,239,0,496,0,9,29,293,131.2,14,22,312,1,17,78.3,83.2,,31.4,85.2,79.7,39.1,67,0,149,17,110,104,0,0,20,101,3,496,293,3.49,5.9,1.35,67
Tank Bigsby,123974,HB,AUBURN,6,84,18,6,37.4,172,0,460,3,0,18,271,63.8,12,21,115,1,44,77.1,82.7,,61.1,39.9,83.5,57.9,51,0,53,7,86,103,0,0,11,91,5,460,271,3.23,5.5,0.62,39
Xazavian Valladay,57490,HB,WYOMING,5,83,13,5,39.4,170,0,432,1,2,13,306,60.8,8,26,351,1,41,75.6,84.5,,65.3,61.3,78.6,52.0,74,0,131,8,97,112,0,0,9,91,4,432,306,3.69,5.2,1.35,41
Jerome Ford,83601,HB,CINCINNATI,5,82,28,6,38.9,197,0,507,0,2,28,307,127.6,13,29,138,1,31,83.2,82.7,,34.4,63.4,88.1,59.3,75,0,26,6,92,109,0,0,6,88,8,507,307,3.74,6.2,0.28,50
Isaih Pacheco,83747,HB,RUTGERS,6,82,7,4,25.8,81,0,314,2,1,7,249,27.6,8,21,278,1,42,72.6,82.9,,47.0,69.0,73.0,64.1,26,0,31,6,86,112,0,0,11,88,3,314,249,3.04,3.8,0.36,36
Christian Beal-Smith,55433,HB,WAKE,6,82,14,2,19.2,72,0,375,0,0,14,203,40.8,11,21,339,0,41,76.4,82.0,,65.6,54.3,76.4,59.0,48,0,11,3,44,91,0,0,3,85,5,375,203,2.48,4.6,0.25,41
DeWayne McBride,121495,HB,UAB,6,81,31,5,27.9,109,0,390,0,0,31,309,144.2,12,21,321,2,11,75.1,83.9,,36.3,54.2,76.3,49.1,28,0,5,1,37,91,0,0,3,82,1,390,309,3.81,4.8,0.14,69
Nate Noel,122249,HB,APP STATE,5,80,27,9,43.0,219,0,509,0,3,27,260,112.1,16,23,108,0,14,82.3,84.1,,58.3,67.1,81.7,57.9,46,0,15,7,35,92,0,0,7,87,1,509,260,3.25,6.4,0.43,66
Kennedy Brooks,57371,HB,OKLAHOMA,6,79,30,10,52.0,278,0,535,0,0,30,386,181.0,15,30,261,0,38,86.5,82.4,,63.1,51.9,89.4,57.8,65,0,-4,2,63,101,0,0,2,81,6,535,386,4.89,6.8,-0.06,41
Nathan Carter,147376,HB,UCONN,7,79,23,6,35.9,141,0,393,1,1,23,277,97.9,14,19,146,1,49,68.1,83.2,,50.0,48.9,74.5,53.5,46,0,51,7,131,109,0,0,14,86,1,393,277,3.51,5.0,0.39,27
CJ Verdell,57378,HB,OREGON,5,79,13,3,25.8,109,0,423,0,0,13,243,46.5,11,23,264,0,40,75.9,82.2,,82.6,65.7,75.8,55.5,77,0,57,7,61,103,0,0,8,86,7,423,243,3.08,5.4,0.93,39
Abram Smith,57158,HB,BAYLOR,6,78,14,9,44.2,260,0,588,0,0,14,288,63.0,20,32,118,1,6,87.4,10.1,,51.1,59.9,88.1,74.3,55,1,16,4,55,103,0,0,6,82,7,588,288,3.69,7.5,0.29,70
Calvin Tyler Jr.,52133,HB,UTAH ST,5,78,19,5,35.7,145,0,406,0,0,19,227,65.8,13,23,329,1,44,65.4,82.7,,49.3,60.2,67.2,53.5,61,0,25,6,73,101,0,0,8,84,4,406,227,2.91,5.2,0.34,34
Rachaad White,131633,HB,ARIZONA ST,6,78,15,5,32.5,137,0,421,2,7,15,289,79.9,11,24,110,0,40,83.4,84.3,,66.4,76.7,85.4,49.9,49,0,226,24,118,104,0,0,27,102,9,421,289,3.71,5.4,1.92,38
Sean Tyler,97124,HB,W MICHIGAN,6,78,15,5,29.7,122,0,411,2,0,15,277,61.9,11,21,347,0,40,74.1,84.5,,85.7,49.8,79.7,40.7,34,1,62,8,88,114,0,0,12,86,2,411,277,3.55,5.3,0.7,36
Keaton Mitchell,123826,HB,E CAROLINA,6,77,18,8,65.1,406,0,624,0,6,18,258,86.5,13,18,156,1,13,76.2,82.9,,57.9,74.4,76.5,56.0,88,0,158,16,88,91,0,0,18,93,4,624,258,3.35,8.1,1.8,63
Ronald Awatt,57461,HB,UTEP,6,77,24,6,44.7,196,0,438,0,0,24,338,133.4,12,16,330,0,25,72.6,80.6,,28.1,67.3,73.2,59.7,45,0,23,2,15,81,0,0,2,79,3,438,338,4.39,5.7,1.53,52
Jashaun Corbin,83773,HB,FLORIDA ST,6,76,19,8,53.9,296,0,549,2,1,19,411,120.2,14,19,167,1,48,78.3,83.7,,85.2,57.2,81.6,49.0,89,0,64,14,83,103,0,0,19,90,4,549,411,5.41,7.2,0.77,28
Marcus Williams Jr.,40600,HB,LA TECH,5,76,19,5,39.0,128,0,328,1,2,19,212,69.7,7,15,208,1,27,72.4,81.8,,42.1,62.6,74.1,67.9,42,0,55,8,63,89,0,0,9,84,2,328,212,2.79,4.3,0.87,46
Jahmyr Gibbs,122474,HB,GA TECH,6,76,24,4,31.5,90,0,286,1,5,24,231,93.8,7,14,176,0,30,78.5,21.3,,66.2,86.8,77.4,53.7,29,1,301,18,83,100,0,0,21,94,1,286,231,3.04,3.8,3.63,42
Rahjai Harris,123814,HB,E CAROLINA,6,76,17,5,29.5,86,0,292,1,2,17,171,47.0,8,17,156,1,14,71.2,82.4,,49.4,70.3,71.7,61.6,24,0,135,15,94,92,0,0,19,91,2,292,171,2.25,3.8,1.44,62
Keaontay Ingram,77761,HB,USC,6,74,13,6,37.0,155,0,419,1,5,13,256,70.8,16,25,326,1,23,74.9,81.9,,9.0,63.4,81.1,66.7,53,0,88,14,105,87,0,0,16,88,3,419,256,3.46,5.7,0.84,48
Zach Evans,123072,HB,TCU,5,74,24,11,49.8,292,0,586,1,3,24,353,159.0,16,28,305,1,12,88.1,12.1,,34.6,59.7,90.3,83.2,51,1,95,7,59,101,0,0,9,81,5,586,353,4.77,7.9,1.61,62
Tyler Nevens,52262,HB,S JOSE ST,5,74,24,6,36.3,151,0,416,0,0,24,340,141.4,10,20,285,1,5,85.9,79.2,,39.3,70.3,84.4,58.5,46,1,36,4,24,81,0,0,4,78,3,416,340,4.59,5.6,1.5,69
Pat Garwo III,97120,HB,BOSTON COL,5,73,12,9,59.5,279,0,469,1,0,12,274,61.7,10,21,121,0,28,78.0,83.6,,18.4,37.5,80.3,59.1,67,0,0,0,36,81,0,0,1,73,5,469,274,3.75,6.4,0.0,45
Tiyon Evans,146928,HB,TENNESSEE,5,73,21,5,38.8,192,0,495,1,3,21,233,98.2,16,31,307,1,34,83.2,81.4,,34.4,43.6,88.9,51.9,92,0,77,5,49,94,0,0,7,78,6,495,233,3.19,6.8,1.57,39
Trelon Smith,57135,HB,ARKANSAS,6,73,21,7,32.8,127,0,387,1,0,21,181,69.4,13,23,111,0,15,71.7,81.3,,30.8,43.2,76.5,49.4,22,0,12,2,46,102,0,0,3,75,4,387,181,2.48,5.3,0.26,57
Shadrick Byrd,101661,HB,CHARLOTTE,6,72,17,3,23.4,75,0,320,1,3,17,249,85.4,5,17,136,1,15,75.1,12.3,,61.3,68.2,75.9,63.0,31,1,95,9,75,98,0,0,10,81,1,320,249,3.46,4.4,1.27,55
Rahmir Johnson,101655,HB,NEBRASKA,7,71,11,4,27.1,80,0,290,0,0,11,168,31.4,4,10,238,0,32,63.8,82.9,,30.8,75.8,63.4,46.6,24,0,169,12,95,113,0,0,12,83,2,295,168,2.37,4.2,1.78,39
Zamir White,83665,HB,GEORGIA,6,71,22,3,14.7,52,0,354,0,0,22,249,107.2,11,23,173,1,30,79.9,0.0,,78.2,60.0,79.5,59.7,22,1,13,1,34,78,0,0,1,72,6,354,249,3.51,5.0,0.38,40
Darius Boone Jr.,100216,HB,E MICHIGAN,6,71,7,3,17.0,48,0,283,0,2,7,180,30.8,6,14,160,1,56,70.1,6.9,,62.8,82.5,68.7,55.6,17,1,64,3,25,87,0,0,3,74,3,283,180,2.54,4.0,2.56,14
Emory Jones,82111,QB,FLORIDA,6,55,19,4,24.9,122,0,350,0,0,13,151,64.9,17,25,163,1,34,77.8,55.1,67.9,,55.9,80.1,60.0,49,2,0,0,1,183,140,16,0,55,2,490,221,3.11,6.9,0.0,16
Zonovan Knight,97432,HB,NC STATE,5,71,30,8,49.7,228,0,459,0,1,30,278,157.6,13,19,248,2,19,70.6,9.8,,63.0,63.2,71.2,67.0,46,1,30,6,68,75,0,0,7,77,3,459,278,3.92,6.5,0.44,52
Adrian Martinez,83522,QB,NEBRASKA,7,49,17,2,7.6,42,1,191,0,0,4,64,10.7,12,30,238,8,25,77.0,71.8,72.2,,,71.8,60.0,75,1,0,0,0,219,361,22,0,49,10,552,306,4.31,7.8,,15
Dae Hunter,128200,HB,HAWAII,6,70,18,6,39.8,152,0,382,3,2,18,297,99.8,14,18,180,1,25,67.7,83.5,,83.1,44.5,76.8,53.9,59,0,143,15,112,91,0,0,21,85,1,382,297,4.24,5.5,1.28,41
Evan Hull,97302,HB,NWESTERN,5,70,26,8,50.1,255,0,509,0,3,26,364,188.5,14,25,256,1,36,81.7,82.5,,58.2,65.9,83.2,68.6,90,0,62,10,77,82,0,0,12,80,4,509,364,5.2,7.3,0.81,34
Kimani Vidal,123727,HB,TROY,5,70,22,3,29.4,83,0,282,1,5,22,252,121.5,6,16,318,2,13,64.7,13.2,,56.9,59.7,66.2,60.0,37,1,73,10,82,78,0,0,11,80,2,282,252,3.6,4.0,0.89,57
Brittain Brown,40399,HB,UCLA,6,70,14,10,47.1,208,0,442,0,0,14,269,70.8,14,21,324,1,53,74.8,82.6,,23.7,73.8,75.0,52.5,48,0,48,6,62,93,0,0,7,76,4,442,269,3.84,6.3,0.77,16
De'Montre Tuggle,98688,HB,OHIO,6,70,13,6,35.3,158,0,448,1,2,13,263,75.1,11,23,259,1,39,76.6,83.0,,23.3,48.4,83.1,54.3,63,0,9,5,46,103,0,0,6,75,3,448,263,3.76,6.4,0.2,31
Dennis Merritt,41152,HB,E WASHGTON,4,70,11,4,37.8,126,0,333,1,6,11,153,45.9,8,19,161,1,36,72.1,83.5,,52.8,68.0,71.7,84.6,73,0,127,11,114,83,0,0,17,81,9,333,153,2.19,4.8,1.11,30
TreVeyon Henderson,145059,HB,OHIO STATE,6,69,27,9,52.1,315,0,605,0,2,27,365,201.8,18,26,260,1,27,86.4,8.5,,64.4,75.4,87.0,,54,1,154,7,70,69,0,0,7,76,9,605,365,5.29,8.8,2.2,42
Juwuan Price,97204,HB,NEW MEX ST,7,69,14,7,43.7,131,0,300,3,1,14,201,53.9,9,16,242,1,5,55.8,83.2,,16.4,53.2,64.2,50.1,25,0,128,12,110,85,0,0,21,81,3,300,201,2.91,4.3,1.16,64
Malik Cunningham,60436,QB,LOUISVILLE,6,49,22,5,28.1,115,0,289,0,0,16,176,114.9,15,25,210,2,22,90.0,72.0,79.9,,50.3,86.9,60.0,38,1,9,1,3,205,120,19,1,50,10,409,286,4.21,6.0,3.0,15
Joshua Mack,45832,HB,LIBERTY,6,68,8,3,26.8,71,0,265,0,0,8,145,24.7,4,14,206,2,41,73.9,81.2,,64.5,65.8,72.7,57.3,26,0,7,1,35,80,0,0,2,69,3,265,145,2.13,3.9,0.2,27
Ricky Person Jr.,77725,HB,NC STATE,5,68,26,5,35.3,122,0,346,0,4,26,202,112.8,10,16,248,0,16,66.6,82.4,33.1,20.1,68.0,70.2,65.2,32,0,73,11,85,71,0,0,15,79,4,346,202,2.97,5.1,0.86,52
Camerun Peoples,83607,HB,APP STATE,4,67,22,7,40.6,143,0,352,1,1,22,247,124.7,13,24,108,1,15,77.5,83.4,,51.4,43.3,79.4,58.9,28,0,8,1,28,73,0,0,3,68,8,352,247,3.69,5.3,0.29,51
Tyrion Davis-Price,99169,HB,LSU,6,67,13,3,24.0,69,0,287,0,1,13,194,57.9,9,17,211,1,27,72.0,82.5,,83.4,61.6,70.7,60.0,30,0,35,3,78,76,0,0,5,70,2,287,194,2.9,4.3,0.45,39
Blake Watson,84363,HB,DOMINION,4,67,8,3,30.2,102,0,338,2,0,8,197,34.6,9,21,263,1,15,70.1,81.4,,56.3,35.0,75.5,53.8,43,0,1,1,51,95,0,0,3,68,1,338,197,2.94,5.0,0.02,52
Trestan Ebner,57159,HB,BAYLOR,6,67,33,8,47.4,184,0,388,1,2,33,263,183.2,12,16,118,2,10,74.8,82.8,,81.1,57.3,76.7,65.2,58,0,83,8,77,92,0,0,12,75,0,388,263,3.93,5.8,1.08,53
Logan Wright,57218,HB,GA SOUTHRN,6,67,14,9,61.6,302,0,490,0,1,14,304,90.7,12,24,174,0,46,78.1,82.8,,56.1,73.8,80.1,51.9,60,0,93,8,70,115,0,0,13,75,5,490,304,4.54,7.3,1.33,21
Malik Willis,60341,QB,LIBERTY,6,44,38,9,30.5,182,0,335,0,0,13,161,105.7,24,37,206,1,16,93.7,84.7,85.6,,89.7,94.9,60.0,56,0,13,1,1,183,261,23,1,45,7,596,380,5.67,8.9,13.0,19
Noah Cain,97185,HB,PENN STATE,6,67,6,1,16.8,34,0,202,0,6,6,105,24.7,1,14,266,0,33,65.8,82.7,,44.4,65.0,68.0,37.4,34,0,66,9,97,79,0,0,12,76,4,202,105,1.57,3.0,0.68,34
David Bailey,77792,HB,COLO STATE,4,66,18,2,13.3,35,0,263,0,7,18,212,110.0,5,13,144,1,52,82.4,82.9,,43.3,71.6,83.0,55.5,20,1,62,7,49,81,0,0,7,73,2,263,212,3.21,4.0,1.27,12
Jermaine Brown Jr.,97084,HB,UAB,6,66,19,5,38.8,147,0,379,1,0,19,255,100.6,11,15,321,0,12,79.5,0.0,,53.1,59.9,84.0,55.4,59,2,50,7,65,79,0,0,9,73,3,379,255,3.86,5.7,0.77,54
Max Borghi,83802,HB,WASH STATE,6,65,18,5,39.8,132,0,332,1,1,18,222,94.0,10,16,341,0,31,76.2,82.1,,57.6,54.1,77.7,59.6,64,0,55,4,30,76,0,0,7,69,3,332,222,3.42,5.1,1.83,30
Garrett Shrader,98212,QB,SYRACUSE,6,43,18,4,15.6,70,0,212,0,0,9,155,75.4,19,30,304,2,15,79.5,83.2,57.0,,,89.0,60.0,55,0,0,0,0,155,238,22,0,43,8,450,348,5.35,6.9,,18
Cam'Ron Harris,77728,HB,MIAMI FL,5,65,10,7,51.7,198,0,383,0,2,10,176,42.8,11,23,220,0,12,72.7,25.1,,67.9,60.9,75.4,73.9,57,1,119,11,112,85,0,0,12,76,5,383,176,2.71,5.9,1.06,51
Rocko Griffin,124350,HB,VANDERBILT,5,64,14,2,30.8,70,0,227,0,0,14,191,59.7,6,10,333,0,16,65.4,81.7,,60.4,56.9,66.0,66.9,36,0,24,6,67,78,0,0,7,70,1,227,191,2.98,3.5,0.36,48
Bobby Cole,57331,HB,NEW MEXICO,6,64,12,0,0.0,0,0,231,0,1,12,175,50.1,6,13,241,0,16,66.6,80.8,,64.9,69.1,63.1,77.1,14,0,24,7,44,91,0,0,7,71,1,231,175,2.73,3.6,0.55,48
Josh McCray,144799,HB,ILLINOIS,6,63,19,4,32.0,107,0,334,0,0,19,284,133.8,6,14,187,1,14,79.0,81.9,,31.8,72.2,76.5,57.1,38,0,40,1,12,67,0,0,1,64,1,334,284,4.51,5.3,3.33,49
