player_name,sample_size,baseline,country_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Mitchell, Keith",150,0.433,-0.160,31,0.004,0.006,0.026,0.160,-0.029,-0.025,-0.023,-0.002,-0.049,0.392,2.759,"Genesis Scottish Open","The Renaissance Club"
"Harman, Brian",150,0.968,-0.141,36,-0.013,-0.132,-0.027,-0.093,-0.076,0.011,-0.059,-0.051,-0.099,0.387,2.778,"Genesis Scottish Open","The Renaissance Club"
"Bramlett, Joseph",150,0.299,-0.147,35,-0.009,0.069,-0.011,0.182,-0.040,-0.029,0.059,-0.015,0.016,0.359,2.744,"Genesis Scottish Open","The Renaissance Club"
"Harrington, Padraig",150,0.276,0.174,51,-0.069,-0.037,-0.001,-0.064,0.064,-0.001,0.020,-0.009,0.010,0.354,2.788,"Genesis Scottish Open","The Renaissance Club"
"Bezuidenhout, Christiaan",150,0.395,0.045,29,0.013,-0.060,0.004,-0.032,0.033,0.017,-0.040,-0.044,-0.068,0.331,2.752,"Genesis Scottish Open","The Renaissance Club"
"Putnam, Andrew",150,0.796,-0.098,34,-0.006,-0.073,-0.009,-0.161,-0.001,0.027,-0.076,-0.070,-0.118,0.330,2.726,"Genesis Scottish Open","The Renaissance Club"
"Bjork, Alexander",150,0.613,0.043,33,-0.002,-0.059,0.040,-0.322,0.113,0.027,-0.058,-0.081,-0.112,0.315,2.736,"Genesis Scottish Open","The Renaissance Club"
"Taylor, Nick",150,0.601,-0.034,35,-0.009,-0.032,0.010,-0.144,-0.026,0.013,-0.019,-0.046,-0.051,0.315,2.781,"Genesis Scottish Open","The Renaissance Club"
"Poston, J.T.",150,0.620,-0.159,30,0.009,-0.010,-0.008,-0.055,-0.040,0.004,-0.012,-0.041,-0.049,0.309,2.777,"Genesis Scottish Open","The Renaissance Club"
"Yu, Kevin",150,0.187,-0.020,24,0.028,0.030,0.020,0.124,-0.040,-0.021,-0.016,0.016,-0.021,0.308,2.803,"Genesis Scottish Open","The Renaissance Club"
"Hojgaard, Nicolai",150,0.209,-0.016,22,0.037,0.001,-0.002,0.069,-0.030,-0.031,0.073,-0.003,0.039,0.308,2.797,"Genesis Scottish Open","The Renaissance Club"
"Kim, Seonghyeon",150,-0.008,-0.051,24,0.028,0.072,0.029,0.220,-0.040,-0.017,0.028,0.006,0.017,0.268,2.803,"Genesis Scottish Open","The Renaissance Club"
"Lee, Kyounghoon",150,0.369,-0.071,31,0.003,0.021,0.042,-0.030,-0.041,-0.001,-0.003,-0.032,-0.035,0.258,2.780,"Genesis Scottish Open","The Renaissance Club"
"Ghim, Doug",150,0.347,-0.110,27,0.019,-0.020,0.009,0.094,-0.002,0.007,-0.074,-0.018,-0.085,0.252,2.798,"Genesis Scottish Open","The Renaissance Club"
"Eckroat, Austin",150,0.480,-0.147,24,0.029,0.023,-0.020,-0.013,-0.040,-0.003,-0.047,-0.013,-0.063,0.250,2.803,"Genesis Scottish Open","The Renaissance Club"
"Wu, Brandon",150,0.345,-0.130,26,0.023,0.006,-0.005,0.003,0.024,0.004,-0.028,-0.015,-0.040,0.227,2.789,"Genesis Scottish Open","The Renaissance Club"
"Higgo, Garrick",150,-0.114,-0.084,24,0.031,0.041,0.024,0.324,-0.018,-0.022,0.004,0.026,0.008,0.211,2.831,"Genesis Scottish Open","The Renaissance Club"
"Langasque, Romain",150,0.148,-0.035,28,0.016,-0.034,-0.024,0.062,0.022,-0.011,0.050,0.005,0.044,0.201,2.774,"Genesis Scottish Open","The Renaissance Club"
"Griffin, Ben",150,0.290,-0.147,27,0.020,0.104,0.038,-0.082,-0.040,-0.007,0.046,-0.037,0.002,0.184,2.803,"Genesis Scottish Open","The Renaissance Club"
"Hojgaard, Rasmus",150,0.220,0.024,22,0.037,0.060,-0.011,-0.207,0.034,-0.024,0.084,-0.047,0.013,0.170,2.808,"Genesis Scottish Open","The Renaissance Club"
"Hodges, Lee",150,0.346,-0.147,28,0.016,0.026,-0.024,0.027,-0.040,-0.002,-0.039,-0.011,-0.051,0.153,2.832,"Genesis Scottish Open","The Renaissance Club"
"Law, David",150,-0.433,0.233,32,0.002,0.040,0.020,0.199,0.033,-0.009,0.008,0.046,0.045,0.139,2.777,"Genesis Scottish Open","The Renaissance Club"
"Kim, Michael",150,0.158,-0.110,30,0.010,0.045,-0.020,0.108,-0.040,-0.005,0.009,-0.019,-0.016,0.136,2.775,"Genesis Scottish Open","The Renaissance Club"
"Hall, Harry",150,0.069,0.087,25,0.024,0.043,-0.001,-0.110,-0.040,0.002,0.051,-0.020,0.033,0.106,2.770,"Genesis Scottish Open","The Renaissance Club"
"Tarren, Callum",150,-0.243,0.033,32,-0.000,0.043,-0.006,0.195,-0.030,-0.021,0.076,0.024,0.078,0.070,2.841,"Genesis Scottish Open","The Renaissance Club"
"Wu, Dylan",150,0.255,-0.147,26,0.021,0.066,0.010,-0.072,-0.040,0.003,-0.009,-0.025,-0.031,0.062,2.763,"Genesis Scottish Open","The Renaissance Club"
"Perez, Victor",150,0.124,0.052,30,0.007,-0.022,-0.010,-0.146,0.054,-0.005,0.005,0.001,0.001,0.059,2.778,"Genesis Scottish Open","The Renaissance Club"
"Riley, Davis",150,0.179,-0.147,26,0.022,0.036,0.003,0.030,-0.040,-0.015,-0.001,-0.015,-0.032,0.051,2.847,"Genesis Scottish Open","The Renaissance Club"
"Montgomery, Taylor",150,0.212,-0.147,28,0.015,0.075,0.045,-0.135,-0.040,-0.009,0.060,-0.026,0.025,0.050,2.861,"Genesis Scottish Open","The Renaissance Club"
"Paul, Yannik",150,0.083,0.002,29,0.012,-0.006,-0.005,0.019,-0.040,-0.007,-0.010,-0.003,-0.021,0.043,2.803,"Genesis Scottish Open","The Renaissance Club"
"Pavon, Matthieu",150,-0.135,0.079,30,0.007,0.028,-0.010,-0.040,0.060,-0.006,0.012,0.010,0.016,0.005,2.798,"Genesis Scottish Open","The Renaissance Club"
"Olesen, Thorbjorn",150,0.031,0.072,33,-0.003,-0.041,-0.014,-0.082,0.032,0.002,0.001,-0.005,-0.002,-0.007,2.792,"Genesis Scottish Open","The Renaissance Club"
"Otaegui, Adrian",150,-0.087,0.014,30,0.007,-0.042,0.012,0.058,0.109,0.023,-0.110,0.002,-0.084,-0.013,2.769,"Genesis Scottish Open","The Renaissance Club"
"Willett, Danny",150,-0.099,0.139,35,-0.011,-0.019,-0.016,0.056,-0.077,0.010,0.012,-0.008,0.013,-0.013,2.793,"Genesis Scottish Open","The Renaissance Club"
"Southgate, Matthew",150,-0.316,0.226,34,-0.008,0.004,-0.023,-0.028,0.080,0.002,-0.022,0.032,0.012,-0.052,2.774,"Genesis Scottish Open","The Renaissance Club"
"Jordan, Matthew",150,-0.566,0.259,27,0.019,0.076,0.025,0.065,0.035,-0.007,0.014,0.022,0.030,-0.056,2.800,"Genesis Scottish Open","The Renaissance Club"
"Hill, Calum",150,-0.288,0.196,28,0.014,0.003,-0.029,0.025,0.007,-0.003,-0.013,0.021,0.005,-0.067,2.803,"Genesis Scottish Open","The Renaissance Club"
"Hughes, Mackenzie",150,0.062,-0.039,32,0.000,-0.043,-0.016,0.002,-0.055,-0.001,0.044,-0.023,0.019,-0.069,2.802,"Genesis Scottish Open","The Renaissance Club"
"List, Luke",150,0.040,-0.186,38,-0.021,-0.029,-0.003,0.125,-0.052,-0.023,0.046,0.029,0.052,-0.074,2.794,"Genesis Scottish Open","The Renaissance Club"
"Ferguson, Ewen",150,-0.267,0.198,27,0.020,0.026,-0.007,-0.078,0.035,0.008,-0.038,0.017,-0.013,-0.086,2.803,"Genesis Scottish Open","The Renaissance Club"
"Forrest, Grant",150,-0.577,0.258,30,0.010,0.065,0.024,-0.034,0.061,-0.020,0.093,0.017,0.090,-0.104,2.765,"Genesis Scottish Open","The Renaissance Club"
