"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Cody Bellinger","LAD","13","52","2","5","4","3","9.6%","30.8%",".234",".345",".255",".327",".489",".362",".324","138","0.3","2.5","-0.2","0.4","15998"
"Bryce Harper","PHI","14","62","2","11","11","1","9.7%","24.2%",".204",".289",".241",".323",".444",".342",".383","120","0.6","2.0","0.0","0.4","11579"
"Nick Castellanos","PHI","14","59","3","8","7","0","8.5%","20.3%",".245",".368",".321",".390",".566",".423",".420","176","-0.3","4.6","-2.5","0.4","11737"
"Adam Frazier","SEA","14","62","0","8","7","1","8.1%","12.9%",".107",".313",".268",".339",".375",".324",".326","122","0.7","2.0","-0.2","0.4","15223"
"Ryan McMahon","COL","11","46","1","6","7","0","6.5%","23.9%",".200",".286",".225",".326",".425",".341",".372","108","0.2","0.6","1.8","0.4","15112"
"Chris Taylor","LAD","11","45","0","4","7","2","13.3%","31.1%",".132",".480",".316",".400",".447",".377",".340","148","0.5","2.9","-0.7","0.4","13757"
"George Springer","TOR","13","54","2","7","6","1","3.7%","27.8%",".204",".333",".265",".315",".469",".347",".288","130","0.8","2.4","-0.7","0.4","12856"
"Corey Seager","TEX","12","55","1","6","8","0","5.5%","18.2%",".078",".317",".275",".309",".353",".291",".325","94","0.4","0.0","1.7","0.4","13624"
"Salvador Perez","KCR","12","47","5","6","7","0","2.1%","23.4%",".356",".172",".222",".255",".578",".367",".368","146","0.6","2.8","-0.9","0.4","7304"
"Daniel Vogelbach","PIT","12","47","3","9","5","0","10.6%","27.7%",".238",".385",".310",".383",".548",".407",".349","167","-0.2","3.2","-1.3","0.4","14130"
"Tony Kemp","OAK","14","57","0","7","2","2","14.0%","8.8%",".020",".318",".286",".386",".306",".326",".316","122","0.4","1.7","-0.2","0.4","14894"
"Mookie Betts","LAD","12","57","2","11","5","2","14.0%","21.1%",".167",".235",".208",".333",".375",".327",".318","115","0.4","1.3","0.3","0.4","13611"
"Willson Contreras","CHC","11","48","2","8","3","0","10.4%","20.8%",".220",".241",".220",".333",".439",".350",".388","126","-0.5","0.9","0.9","0.4","11609"
"Max Muncy","LAD","13","54","2","5","7","0","20.4%","14.8%",".190",".156",".167",".352",".357",".334",".405","119","0.3","1.4","0.0","0.3","13301"
"Ian Happ","CHC","13","46","0","5","6","0","13.0%","23.9%",".051",".429",".308",".413",".359",".359",".369","132","0.2","1.8","-0.3","0.3","17919"
"Cristian Pache","OAK","15","51","2","7","6","0","2.0%","25.5%",".140",".229",".200",".216",".340",".248",".304","66","0.7","-1.1","2.2","0.3","19948"
"Isiah Kiner-Falefa","NYY","13","46","0","6","2","2","6.5%","17.4%",".070",".343",".279",".326",".349",".307",".321","105","0.3","0.5","0.8","0.3","16512"
"Trea Turner","LAD","13","57","1","7","10","3","5.3%","26.3%",".113",".368",".283",".316",".396",".317",".305","108","1.5","1.9","-0.9","0.3","16252"
"Ben Gamel","PIT","14","44","1","6","5","1","13.6%","22.7%",".105",".296",".237",".341",".342",".317",".335","106","1.2","1.5","-0.1","0.3","12160"
"Nicky Lopez","KCR","12","41","0","3","2","0","2.4%","4.9%",".079",".333",".316",".350",".395",".336",".287","124","0.7","1.7","-0.4","0.3","19339"
"Oscar Mercado","CLE","13","44","3","5","11","0","0.0%","27.3%",".295",".241",".227",".227",".523",".328",".266","119","0.4","1.3","-0.2","0.3","16375"
"Jorge Polanco","MIN","13","54","2","5","7","0","16.7%","25.9%",".178",".241",".200",".333",".378",".328",".336","120","-0.9","0.2","0.5","0.3","13152"
"Thairo Estrada","SFG","14","54","2","11","9","2","5.6%","14.8%",".157",".268",".255",".296",".412",".318",".291","109","0.4","0.9","-0.1","0.3","16426"
"Yandy Diaz","TBR","12","47","0","5","2","0","14.9%","10.6%",".050",".314",".275",".383",".325",".331",".337","128","-1.0","0.3","0.6","0.3","16578"
"Christian Yelich","MIL","13","55","1","6","6","1","14.5%","29.1%",".156",".276",".200",".327",".356",".314",".370","102","1.1","1.2","-0.5","0.3","11477"
"Michael Brantley","HOU","12","53","1","5","5","0","7.5%","17.0%",".102",".308",".265",".321",".367",".305",".395","106","-0.3","0.0","0.6","0.3","4106"
"J.D. Martinez","BOS","12","48","1","6","7","0","10.4%","22.9%",".195",".333",".268",".354",".463",".362",".338","140","0.0","2.0","-1.3","0.2","6184"
"Elvis Andrus","OAK","15","58","1","8","3","1","12.1%","15.5%",".137",".244",".216",".310",".353",".304",".326","107","0.0","0.4","-0.1","0.2","8709"
"Brandon Crawford","SFG","13","53","1","5","7","0","5.7%","20.8%",".122",".297",".245",".302",".367",".296",".306","94","-0.7","-1.1","1.5","0.2","5343"
"Spencer Torkelson","DET","12","42","2","4","5","0","16.7%","28.6%",".206",".250",".206",".357",".412",".354",".394","138","-0.2","1.4","-0.8","0.2","27465"
"Jorge Mateo","BAL","13","49","0","3","3","5","8.2%","32.7%",".045",".393",".250",".313",".295",".281",".307","84","0.8","0.0","0.4","0.2","17273"
"Luis Robert","CHW","11","45","2","7","3","5","2.2%","13.3%",".182",".194",".205",".222",".386",".270",".445","79","1.6","0.6","-0.2","0.2","20043"
"Marcell Ozuna","ATL","15","62","4","6","10","0","3.2%","14.5%",".271",".255",".271",".290",".542",".363",".398","134","-0.7","1.6","-1.6","0.2","10324"
"Dansby Swanson","ATL","15","56","0","4","2","0","8.9%","39.3%",".078",".276",".157",".232",".235",".219",".272","37","0.6","-3.3","3.5","0.2","18314"
