"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Sandy Alcantara","MIA","1","0","0","3","3","19.1","6.98","3.26","0.47",".250","82.5%","49.0%","4.8%","97.2","1.86","2.27","3.40","4.15","0.3","18684"
"Adam Wainwright","STL","2","1","0","3","3","16.0","10.69","2.25","1.13",".372","88.5%","44.4%","13.3%","88.1","2.81","4.22","3.04","2.64","0.3","2233"
"Noah Syndergaard","LAA","2","0","0","2","2","11.1","3.97","1.59","0.00",".200","80.0%","68.6%","0.0%","95.4","1.59","1.54","2.95","4.11","0.3","11762"
"Chad Kuhl","COL","1","0","0","2","2","10.1","7.84","4.35","0.00",".160","88.9%","48.0%","0.0%","94.7","0.87","3.15","2.75","4.02","0.3","14975"
"Tanner Houck","BOS","1","1","0","3","3","14.0","7.07","4.50","0.00",".289","73.7%","39.5%","0.0%","95.3","3.21","4.59","3.18","4.21","0.3","19879"
"Tyler Alexander","DET","0","1","0","2","2","6.1","8.53","2.84","0.00",".316","37.5%","38.9%","0.0%","89.9","4.26","3.67","2.09","3.13","0.3","17735"
"Patrick Sandoval","LAA","0","0","0","2","2","8.0","12.38","5.63","0.00",".350","83.3%","10.5%","0.0%","93.5","0.00","2.57","2.16","3.96","0.3","19447"
"Glenn Otto","TEX","1","0","0","1","1","5.0","9.00","1.80","0.00",".167","66.7%","41.7%","0.0%","93.1","1.80","3.74","1.64","2.69","0.2","21366"
"Luis Severino","NYY","1","0","0","3","3","13.0","9.69","2.77","0.69",".361","90.9%","54.1%","8.3%","97.3","2.08","2.95","3.04","3.25","0.2","15890"
"Zack Greinke","KCR","0","1","0","3","3","16.0","1.13","1.69","0.00",".281","80.0%","40.4%","0.0%","89.0","2.25","7.31","3.54","4.93","0.2","1943"
"Ross Stripling","TOR","0","0","0","2","2","8.0","5.63","1.13","0.00",".269","62.5%","57.7%","0.0%","92.1","3.38","","2.16","2.65","0.2","13273"
