player_name,sample_size,primary_tour,dg_rank,dg_change,owgr_rank,owgr_change,dg_index
"Freiburghaus, Jeremy",150,cha,468,0,333,0,-1.09940133125895
"Smyth, Travis",150,asa,469,20,432,9,-1.10676168755158
"Brehm, Ryan",150,pga,470,-4,364,-11,-1.1080295009679098
"Silverman, Ben",150,kft,471,-4,9999,0,-1.1081106114288402
"Knappe, Alexander",150,cha,472,-28,400,-6,-1.10842809162202
"Dickson, Taylor",150,kft,473,-5,9999,0,-1.10958737920144
"Lovemark, Jamie",150,kft,474,-5,9999,0,-1.1203943085888999
"Creel, Joshua",150,kft,475,-3,466,0,-1.12423134785198
"Jorgensen, Oliver",150,cha,476,-3,237,-1,-1.12660373672098
"Feagler, Clay",150,kft,477,0,9999,0,-1.13462510658193
"Strydom, Ockie",150,afr,478,-72,378,-9,-1.1363704823177099
"Cole, Eric",150,kft,479,0,9999,0,-1.1393936711026498
"Thompson, Curtis",150,kft,480,0,9999,0,-1.14032666823106
"Porteous, Garrick",150,euro,481,-67,9999,0,-1.14039813235429
"Fernandez de oliveira, Mateo",150,am,482,-3,9999,0,-1.1407740879167099
"Ok, Taehoon",150,kor,483,0,303,0,-1.1428914473295402
"Winther, Jeff",150,euro,484,1,270,-4,-1.1563712959886598
"Toledo, José",150,sam,485,1,9999,0,-1.15695680511365
"Gavins, Daniel",150,euro,486,1,284,-2,-1.15698200893371
"Rozo, Marcelo",150,kft,487,-4,9999,0,-1.15784524829787
"Kjeldsen, Soren",150,euro,488,-18,9999,0,-1.16213791256471
"Carlson, Brian",150,can,489,-32,9999,0,-1.16434960204596
"Teater, Josh",150,kft,490,-42,9999,0,-1.16814863293454
"Baker, Chris",150,kft,491,-55,9999,0,-1.1705179998552702
"Ham, Jeongwoo",150,kor,492,0,413,0,-1.17513893410776
"Lamb, Rick",150,kft,493,-32,9999,0,-1.17557956472847
"Hagy, Brandon",150,pga,494,1,407,-9,-1.17875028898786
"Toms, David",150,champ,495,-40,9999,0,-1.1804485263448998
"Easton, Bryce",150,euro,496,-2,496,-6,-1.1810502164973602
"Park, Sanghyun",150,kor,497,-21,249,-4,-1.1824735215623101
"Simonsen, Martin Leth",150,cha,498,-2,408,1,-1.18730623493093
"Mckibbin, Tom",150,cha,499,-47,379,-8,-1.1910761276504198
"Siem, Marcel",150,euro,500,-2,343,-3,-1.1926096572088998
