datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Kizzire, Patton","Patton Kizzire",150,23590175,6300,26.667,1:39 pm,0,46,1.1,0,47.2,-0.25,100,0.594038200463694,
"Buckley, Hayden","Hayden Buckley",150,23590174,6300,26.902,1:28 pm,0,47,1.2,0,48.2,-0.19,100,1.86008115194495,
"Frittelli, Dylan","Dylan Frittelli",150,23590172,6300,27.036,1:28 pm,0,47.3,1.3,0,48.6,-0.17,100,0.849129689759839,
"Glover, Lucas","Lucas Glover",150,23590173,6300,26.610,8:54 am,1,47.1,1.2,0,48.3,-0.19,100,0.941552765589827,
"Whaley, Vincent","Vince Whaley",150,23590176,6300,27.084,1:28 pm,0,46.9,1.3,0,48.2,-0.19,100,0.789345103916471,
"Duncan, Tyler","Tyler Duncan",150,23590171,6300,27.379,1:39 pm,0,48.2,1.3,0,49.5,-0.11,100,1.09951393155625,
"Hughes, Mackenzie","Mackenzie Hughes",150,23590170,6300,26.699,7:48 am,1,46.3,1.1,0,47.4,-0.24,100,1.08607143870948,
"Malnati, Peter","Peter Malnati",150,23590183,6200,27.074,12:00 pm,0,47.2,1.3,0,48.5,-0.14,100,1.29625908487766,
"Sigg, Greyson","Greyson Sigg",150,23590179,6200,27.486,8:43 am,1,48.2,1.3,0,49.5,-0.07,100,0.942991015458461,
"Piercy, Scott","Scott Piercy",150,23590181,6200,26.633,8:32 am,1,45.8,1.1,0,47,-0.23,100,1.02432522219154,
"Hahn, James","James Hahn",150,23590177,6200,27.021,1:28 pm,0,46.9,1.2,0,48.1,-0.16,100,1.32341577043218,
"Thompson, Michael","Michael Thompson",150,23590180,6200,27.072,8:43 am,1,47,1.3,0,48.3,-0.15,100,1.02197159844168,
"Ghim, Doug","Doug Ghim",150,23590178,6200,27.661,8:54 am,1,48.9,1.5,0,50.4,-0.02,100,1.72733354117622,
"Tway, Kevin","Kevin Tway",150,23590189,6100,24.268,1:39 pm,0,41.4,0.7,0,42.1,-0.49,100,0.162902534928624,
"Straka, Sepp","Sepp Straka",150,23590187,6100,25.899,12:55 pm,0,44.2,0.9,0,45.1,-0.31,100,0.919194355670015,
"Lee, Danny","Danny Lee",150,23590186,6100,26.936,1:17 pm,0,46,1.2,0,47.1,-0.18,100,0.61906814033381,
"Hickok, Kramer","Kramer Hickok",150,23590190,6100,25.914,12:55 pm,0,44.6,1,0,45.6,-0.28,100,0.402987603012227,
"Hossler, Beau","Beau Hossler",150,23590184,6100,27.462,7:15 am,1,46.9,1.2,0,48.1,-0.13,100,1.21296324747001,
"Schwab, Matthias","Matthias Schwab",150,23590185,6100,26.841,1:39 pm,0,47,1.3,0,48.2,-0.12,100,1.18921435307866,
"Schenk, Adam","Adam Schenk",150,23590188,6100,27.127,1:17 pm,0,47.4,1.2,0,48.7,-0.09,100,0.775107530402791,
"Taylor, Nick","Nick Taylor",150,23590192,6000,26.748,8:54 am,1,46.8,1.2,0,48.1,-0.09,100,0.986960391059185,
"Streb, Robert","Robert Streb",150,23590193,6000,26.890,8:54 am,1,46.6,1.2,0,47.7,-0.11,100,0.578183135443928,
"Ryder, Sam","Sam Ryder",150,23590195,6000,26.117,8:32 am,1,45.1,1,0,46.2,-0.21,100,0.825855905958795,
"Brehm, Ryan","Ryan Brehm",150,23590197,6000,22.257,1:39 pm,0,36.7,0.4,0,37.1,-0.76,100,0.147224038404517,
"Ramey, Chad","Chad Ramey",150,23590191,6000,26.506,12:11 pm,0,45.9,1.1,0,47,-0.15,100,0.509933574025947,
"Watney, Nick","Nick Watney",150,23590196,6000,19.980,8:43 am,1,33,0.2,0,33.2,-1,100,0.0474503307338439,
"McGreevy, Max","Max McGreevy",150,23590194,6000,23.117,8:43 am,1,38.8,0.5,0,39.3,-0.63,100,1.09971945516232,
