player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Daniel Jones,39395,QB,NYG,1,16.67,0,42,21,62.5,24,26,6.5,3.22,0,0,0.0,50.0,13,27,13.3,40,95.2,2,7,31.2,40.8,79.0,42.1,50.1,1,2,44,25.9,28.8,17.5,7,7,0,1,0,3,6.8,107,4.1,61.9,21,22,6.8,3.26,0,0,0.0,50.0,11,21,15.4,33,78.6,2,5,29.0,39.9,78.6,40.4,51.0,0,2,37,23.8,23.5,15.2,5,6,0,1,0,3,8.1,93,4.2,80.0,5,6,0.8,2.76,0,0,0.0,66.7,4,7,0.0,9,21.4,0,2,70.9,57.9,71.9,60.1,58.3,1,0,9,28.6,70.8,22.2,2,1,0,0,0,0,0.0,19,3.2,0,100.0,2,2,-4.0,1.85,0,0,0.0,100.0,2,1,0.0,2,4.8,0,0,63.6,62.4,66.9,62.1,,0,0,2,0.0,79.2,0.0,0,0,0,0,0,0,0.0,5,2.5,-1.06
Bryce Young,123943,QB,CAR,1,54.55,0,42,5,66.7,27,35,8.8,3.32,0,0,0.0,51.4,18,19,0.0,39,92.9,0,9,29.4,30.5,0.0,35.6,44.4,1,2,43,10.5,46.1,5.1,2,2,0,7,1,2,4.7,130,3.7,62.5,24,33,9.1,3.12,0,0,0.0,45.5,15,17,0.0,36,85.7,0,7,28.8,28.4,0.0,33.7,34.3,1,2,40,11.8,29.9,5.6,2,1,0,8,0,2,5.0,120,3.6,100.0,5,5,1.8,3.77,0,0,0.0,100.0,5,2,0.0,6,14.3,0,3,68.9,75.2,70.6,65.0,65.6,0,0,6,0.0,127.9,0.0,0,1,0,0,1,0,0.0,26,5.2,0,100.0,2,3,-4.5,1.73,0,0,0.0,66.7,2,0,0.0,3,7.1,0,1,65.5,59.7,68.2,59.7,,0,0,3,,79.9,0.0,0,0,0,1,0,0,0.0,16,5.3,1.56
Justin Herbert,28237,QB,LAC,1,14.78,0,42,27,68.0,25,27,9.9,3.04,0,1,3.2,63.0,17,15,0.0,34,81.0,0,12,79.0,69.7,79.4,64.4,74.0,0,0,38,20.0,98.1,8.8,3,4,0,2,1,0,0.0,202,7.5,71.4,21,23,9.0,2.72,0,1,4.0,65.2,15,13,0.0,29,69.0,0,7,77.8,68.9,79.0,65.8,67.2,0,0,31,23.1,86.7,10.3,3,2,0,2,0,0,0.0,167,7.3,80.0,10,10,4.2,2.38,0,0,0.0,80.0,8,2,0.0,13,31.0,0,6,73.5,65.6,73.7,59.7,70.1,0,0,15,0.0,125.4,0.0,0,2,0,0,1,0,0.0,61,6.1,0,100.0,6,6,-2.7,0.81,0,0,0.0,100.0,6,0,0.0,8,19.0,0,1,70.3,61.8,71.5,61.5,,0,0,8,,84.7,0.0,0,0,0,0,0,0,0.0,26,4.3,-1.16
Ryan Tannehill,7014,QB,TEN,1,-24.17,0,40,31,53.6,28,30,11.1,3.18,1,0,0.0,43.3,13,17,13.3,36,90.0,2,7,78.9,48.5,78.8,50.8,49.1,0,3,39,17.6,17.8,8.3,3,3,0,1,0,4,10.3,138,4.6,63.6,22,24,7.5,3.01,1,0,0.0,54.2,13,14,7.1,29,72.5,1,6,77.7,43.8,78.4,45.9,51.1,0,2,32,21.4,35.6,10.3,3,2,0,1,0,4,12.5,133,5.5,44.4,9,10,14.8,3.31,1,0,0.0,30.0,3,3,25.0,11,27.5,1,2,71.9,64.8,72.6,66.1,58.3,0,1,11,0.0,14.6,0.0,0,1,0,0,0,0,0.0,65,6.5,0,100.0,3,4,-4.7,2.28,1,0,0.0,75.0,3,0,0.0,4,10.0,0,1,66.9,61.3,69.2,61.1,,0,0,4,,116.7,0.0,0,0,0,0,0,0,0.0,60,15.0,0.96
Sam Howell,97599,QB,WAS,1,5.95,0,40,32,76.0,25,28,9.1,3.05,1,0,0.0,60.7,17,13,10.5,37,92.5,2,11,26.8,60.8,79.1,61.0,57.5,0,1,43,46.2,78.1,16.2,6,2,0,2,1,2,4.7,191,6.8,80.0,25,28,7.4,2.73,1,0,0.0,60.7,17,10,15.0,34,85.0,3,10,25.7,63.1,78.8,61.6,62.9,0,0,37,40.0,92.7,11.8,4,1,0,2,1,2,5.4,189,6.8,66.7,3,3,9.7,4.28,0,0,0.0,66.7,2,3,0.0,6,15.0,0,1,70.9,55.9,71.9,60.4,54.2,0,1,9,66.7,36.1,33.3,2,1,0,0,0,0,0.0,13,4.3,0,100.0,3,3,-4.3,1.9,0,0,0.0,66.7,2,0,33.3,3,7.5,1,0,65.5,63.6,68.2,63.2,,0,0,3,,72.9,0.0,0,0,0,0,0,0,0.0,11,3.7,-2.42
Matthew Stafford,4924,QB,LA,1,-12.12,0,39,26,73.5,34,36,11.9,2.69,0,5,13.2,61.1,22,8,12.0,37,94.9,3,17,79.3,91.1,0.0,90.4,71.4,0,0,39,0.0,91.3,0.0,0,1,0,2,0,0,0.0,331,9.2,76.9,26,27,11.6,2.52,0,3,10.7,66.7,18,5,10.0,28,71.8,2,13,77.7,89.0,0.0,87.2,71.4,0,0,29,0.0,96.7,0.0,0,1,0,1,0,0,0.0,253,9.4,70.0,10,11,10.3,2.94,0,2,16.7,54.5,6,4,14.3,11,28.2,1,4,72.4,84.5,72.9,82.3,,0,0,12,0.0,80.5,0.0,0,0,0,1,0,0,0.0,87,7.9,0,100.0,2,2,0.0,1.7,0,0,0.0,100.0,2,1,0.0,2,5.1,0,0,63.6,62.6,66.9,62.2,,0,0,2,0.0,85.4,0.0,0,0,0,0,0,0,0.0,9,4.5,-1.46
Derek Carr,8671,QB,NO,1,-20.97,0,38,20,69.0,29,30,13.8,3.03,0,2,6.5,66.7,20,17,0.0,35,92.1,0,12,78.9,68.3,78.7,68.0,57.9,1,1,36,23.5,96.3,11.4,4,1,0,0,1,1,2.8,298,9.9,73.3,30,31,12.4,2.83,0,2,6.3,71.0,22,15,0.0,34,89.5,0,12,78.7,72.2,78.6,70.9,60.0,1,1,35,20.0,98.9,8.8,3,0,0,0,1,1,2.9,300,9.7,50.0,2,2,10.5,3.4,0,0,0.0,50.0,1,2,0.0,4,10.5,0,0,66.9,47.2,69.2,50.0,58.3,0,0,4,50.0,56.3,25.0,1,1,0,0,0,0,0.0,5,2.5,0,100.0,3,3,-2.3,1.23,0,0,0.0,100.0,3,0,0.0,3,7.9,0,0,65.5,63.8,68.2,63.4,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,7,2.3,-7.18
Baker Mayfield,46518,QB,TB,1,-23.56,0,38,30,70.4,27,31,8.5,2.75,2,1,3.2,58.1,18,9,5.3,35,92.1,1,9,79.4,80.8,79.0,80.0,64.0,0,0,35,11.1,93.2,2.9,1,3,0,2,2,0,0.0,158,5.1,78.3,23,25,7.3,2.64,1,1,4.0,68.0,17,5,5.6,28,73.7,1,7,78.3,79.1,78.6,79.5,60.4,0,0,28,20.0,107.6,3.6,1,2,0,1,2,0,0.0,133,5.3,57.1,7,9,7.6,2.69,1,0,0.0,44.4,4,4,0.0,10,26.3,0,3,71.4,73.4,72.3,69.6,63.3,0,0,10,0.0,57.6,0.0,0,1,0,1,0,0,0.0,40,4.4,0,100.0,3,3,-3.0,1.5,0,0,0.0,100.0,3,0,0.0,3,7.9,0,1,65.5,63.6,68.2,63.2,,0,0,3,,87.5,0.0,0,0,0,0,0,0,0.0,15,5.0,-0.88
Russell Wilson,7077,QB,DEN,1,-23.32,0,37,10,85.7,28,31,6.0,2.84,0,1,2.9,77.4,24,8,0.0,34,91.9,0,11,28.0,66.0,78.8,74.4,29.4,0,0,39,25.0,112.6,5.9,2,1,1,2,2,1,2.6,182,5.9,95.2,21,23,4.4,2.4,0,0,0.0,87.0,20,6,0.0,25,67.6,0,6,25.2,63.6,78.0,74.0,39.5,0,0,27,33.3,88.8,8.0,2,0,1,1,0,1,3.7,122,5.3,70.0,10,11,6.2,3.46,0,1,7.1,63.6,7,2,0.0,12,32.4,0,5,73.5,67.6,73.7,68.6,58.3,0,0,15,0.0,115.5,0.0,0,1,0,1,2,0,0.0,55,5.0,0,100.0,3,3,-4.7,1.7,0,0,0.0,100.0,3,0,0.0,3,8.1,0,0,65.5,63.4,68.2,63.0,,0,0,3,,79.2,0.0,0,0,0,0,0,0,0.0,-5,-1.7,-0.3
Jared Goff,10635,QB,DET,1,-4.0,0,36,11,80.0,25,30,8.5,2.55,2,1,3.2,63.3,19,10,5.0,31,86.1,1,10,78.7,77.2,79.0,74.4,66.5,0,0,32,10.0,98.9,3.2,1,0,1,2,1,0,0.0,237,7.9,85.0,20,25,5.7,2.15,3,1,3.8,64.0,16,8,5.9,26,72.2,1,6,77.9,72.8,78.8,69.7,66.5,0,0,27,12.5,91.9,3.8,1,0,1,1,1,0,0.0,139,5.6,77.8,9,10,9.8,2.82,0,0,0.0,60.0,6,2,14.3,10,27.8,1,5,71.4,74.6,72.3,73.2,,0,0,10,0.0,99.2,0.0,0,0,0,1,0,0,0.0,113,11.3,0,100.0,4,5,-2.5,1.06,1,0,0.0,60.0,3,0,25.0,5,13.9,1,1,68.0,61.7,69.9,61.4,,0,0,5,,64.6,0.0,0,0,0,0,0,0,0.0,15,3.0,5.74
Trevor Lawrence,77632,QB,JAX,1,0.0,0,35,15,76.0,25,26,9.4,2.59,1,3,11.1,69.2,18,8,5.3,29,82.9,1,11,78.7,86.8,78.9,85.0,67.6,0,1,30,25.0,104.2,6.9,2,1,0,0,2,1,3.3,217,8.3,78.3,23,24,6.7,2.25,1,2,8.3,75.0,18,5,0.0,27,77.1,0,7,78.2,83.8,78.7,82.1,67.6,0,0,27,40.0,121.2,7.4,2,1,0,0,2,0,0.0,166,6.9,87.5,8,8,8.0,2.65,0,1,11.1,75.0,6,3,14.3,8,22.9,1,4,70.9,77.7,71.9,76.1,,0,1,9,0.0,64.1,0.0,0,0,0,0,0,1,11.1,75,9.4,0,100.0,6,6,-3.0,1.15,0,0,0.0,100.0,6,0,0.0,6,17.1,0,0,68.9,65.9,70.6,65.3,,0,0,6,,83.3,0.0,0,0,0,0,0,0,0.0,24,4.0,2.46
Deshaun Watson,11767,QB,CLV,1,31.43,0,35,8,66.7,24,27,12.0,3.24,0,1,3.7,51.9,14,12,12.5,32,91.4,2,9,78.5,67.4,79.4,62.7,69.4,3,1,32,16.7,64.7,6.3,2,3,0,0,1,0,0.0,146,5.4,53.8,13,15,10.4,3.03,0,0,0.0,40.0,6,8,14.3,19,54.3,1,4,75.9,56.3,78.6,47.4,69.4,2,0,19,12.5,47.9,5.3,1,3,0,0,0,0,0.0,37,2.5,84.6,13,14,11.1,3.53,0,1,7.1,71.4,10,5,9.1,16,45.7,1,6,73.9,78.0,74.3,78.2,58.3,1,1,16,20.0,90.5,6.3,1,1,0,0,1,0,0.0,117,8.4,0,100.0,2,2,-4.5,3.4,0,0,0.0,100.0,2,1,0.0,3,8.6,0,1,65.5,58.5,68.2,62.0,58.3,0,0,3,0.0,83.3,0.0,0,1,0,0,0,0,0.0,8,4.0,5.89
Brock Purdy,77672,QB,SF,1,38.46,0,34,28,79.2,24,27,9.6,2.98,2,0,0.0,66.7,18,15,5.3,32,94.1,1,14,19.9,73.1,79.0,70.4,66.2,0,0,32,20.0,115.8,9.4,3,2,0,1,2,2,6.3,217,8.0,78.3,23,26,8.7,2.78,2,0,0.0,61.5,16,15,11.1,30,88.2,2,11,19.4,69.9,78.9,66.0,68.2,0,0,30,20.0,96.8,10.0,3,1,0,1,1,2,6.7,191,7.3,100.0,3,3,7.7,3.83,0,0,0.0,100.0,3,0,0.0,4,11.8,0,3,66.9,75.5,69.2,78.7,58.3,0,0,4,,146.5,0.0,0,1,0,0,1,0,0.0,29,9.7,0,100.0,2,2,-4.5,1.65,0,0,0.0,50.0,1,0,50.0,2,5.9,1,0,63.6,62.3,66.9,62.0,,0,0,2,,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,2.32
Joshua Dobbs,11890,QB,ARZ,1,22.22,0,34,1,66.7,24,24,8.3,2.68,0,0,0.0,62.5,15,9,6.3,27,79.4,1,8,26.7,41.6,78.3,48.7,36.4,0,0,30,33.3,75.9,11.1,3,0,0,0,0,3,10.0,125,5.2,66.7,18,18,5.3,2.38,0,0,0.0,61.1,11,7,8.3,22,64.7,1,4,25.2,31.6,77.9,39.0,36.4,0,0,24,42.9,65.5,13.6,3,0,0,0,0,3,12.5,54,3.0,83.3,12,12,6.4,2.6,0,0,0.0,83.3,10,2,0.0,12,35.3,0,5,73.2,73.6,73.5,72.4,,0,0,14,0.0,93.8,0.0,0,0,0,0,0,0,0.0,78,6.5,0,100.0,6,6,-4.3,1.61,0,0,0.0,100.0,6,0,0.0,7,20.6,0,1,70.3,64.2,71.5,63.8,,0,0,8,,79.2,0.0,0,0,0,0,0,0,0.0,7,1.2,3.5
