"","Name","ID","Salary","fpts","FPTS","proj_own","odds_open","odds_close","odds_delta","odds_delta_per","odds_rank","own_change","own"
"60","Stephan Jaeger",22529167,6900,46.77,43.33,2.7,0.0042,0.0041,-1e-04,-0.0238,65,9.71,0
"61","Greyson Sigg",22529169,6900,57.11,42.91,1.1,0.0061,0.0059,-2e-04,-0.0328,52,9.72,0
"62","Martin Laird",22529170,6900,60.55,32.09,4.4,0.0022,0.0024,2e-04,0.0909,90,10.21,0
"63","Wyndham Clark",22529171,6900,48.1,27.64,1.2,0.004,0.0039,-1e-04,-0.025,68,9.69,0
"64","Mark Hubbard",22529172,6900,59.91,36.84,2.5,0.0113,0.0108,-5e-04,-0.0442,35,9.66,0
"65","Chez Reavie",22529173,6800,54.77,26.28,1.7,0.0029,0.0028,-1e-04,-0.0345,81,9.65,0
"66","Branden Grace",22529174,6800,55.99,27.21,1,0.003,0.0032,2e-04,0.0667,75,10.32,0
"67","Taylor Moore",22529175,6800,56.3,33.97,0.66,0.0032,0.0035,3e-04,0.0937,72,10.6,0
"68","Doc Redman",22529176,6800,51.53,43.58,1.3,0.0044,0.0042,-2e-04,-0.0455,63,9.61,0
"69","Emiliano Grillo",22529177,6800,58.1,35.7,1.7,0.0022,0.0024,2e-04,0.0909,90,10.27,0
"70","Nate Lashley",22529178,6800,54.86,27.21,1.4,0.0028,0.0031,3e-04,0.1071,76,10.59,0
"71","Francesco Molinari",22529179,6800,53.17,27.88,0.8,0.0028,0.0031,3e-04,0.1071,76,10.59,0
"72","Charl Schwartzel",22529180,6700,49.52,40.01,0.55,0.0031,0.003,-1e-04,-0.0323,78,9.74,0
"73","Hudson Swafford",22529181,6700,54.98,40.93,1.8,0.0035,0.0044,9e-04,0.2571,62,12.54,0
"74","Brian Stuard",22529182,6700,52.52,26.28,0.9,0.0028,0.0027,-1e-04,-0.0357,84,9.7,0
"75","Pat Perez",22529183,6700,60.24,32.35,1.1,0.0037,0.0036,-1e-04,-0.027,70,9.8,0
"76","Henrik Stenson",22529184,6700,45.94,54.96,0.36,0.0037,0.0038,1e-04,0.027,69,10.22,0
"77","Hank Lebioda",22529186,6700,55.8,38.13,3,0.0041,0.0039,-2e-04,-0.0488,68,9.65,0
"78","Sam Ryder",22529187,6700,54.32,47.65,0.26,0.0024,0.0023,-1e-04,-0.0417,92,9.66,0
"79","Rory Sabbatini",22529188,6600,54.71,42.47,0.69,0.0049,0.0047,-2e-04,-0.0408,58,9.78,0
"80","Peter Malnati",22529191,6600,49.48,32.29,1.8,0.0036,0.0034,-2e-04,-0.0556,74,9.65,0
"81","Brandt Snedeker",22529192,6600,53.29,42.83,0.64,0.0027,0.0026,-1e-04,-0.037,85,9.74,0
"82","Charley Hoffman",22529194,6600,60.58,22.65,0.86,0.0022,0.0021,-1e-04,-0.0455,97,9.69,0
"83","Andrew Putnam",22529196,6500,53.94,41.12,0.52,0.0058,0.0055,-3e-04,-0.0517,53,9.73,0
"84","Harry Higgs",22529197,6500,51.13,43.1,1.2,0.005,0.0048,-2e-04,-0.04,57,9.84,0
"85","Joseph Bramlett",22529198,6500,56.03,42.06,0.64,0.0043,0.0041,-2e-04,-0.0465,65,9.76,0
"86","Adam Schenk",22529199,6500,53.38,35.77,1.6,0.0037,0.0035,-2e-04,-0.0541,72,9.7,0
"87","Tyler Duncan",22529202,6500,53.43,33.95,0.9,0.0029,0.0028,-1e-04,-0.0345,81,9.8,0
"88","Robert Streb",22529203,6500,49.99,44.52,0.78,0.0026,0.0025,-1e-04,-0.0385,86,9.77,0
"89","Michael Thompson",22529204,6500,53.68,36.97,0.59,0.0023,0.0022,-1e-04,-0.0435,94,9.74,0
"90","Kramer Hickok",22529205,6400,56.12,34.62,0.62,0.0029,0.0028,-1e-04,-0.0345,81,9.83,0
"91","Adam Svensson",22529206,6400,56.96,33.95,1.6,0.0029,0.0028,-1e-04,-0.0345,81,9.83,0
"92","Luke Donald",22529207,6400,52.44,39.73,0.16,0.0022,0.0022,0,0,94,9.94,0
"93","Trey Mullinax",22529210,6400,54.57,37.91,0.6,0.002,0.0022,2e-04,0.1,94,10.44,0
"94","Hayden Buckley",22529214,6300,55.33,42.67,1.1,0.0025,0.0024,-1e-04,-0.04,90,9.8,0
"95","Andrew Novak",22529216,6300,54.34,39.55,0.34,0.0029,0.0028,-1e-04,-0.0345,81,9.84,0
"96","Ben Kohles",22529218,6300,41.57,44.5,0.29,0.0022,0.0021,-1e-04,-0.0455,97,9.77,0
"97","Paul Barjon",22529219,6300,50.26,36.68,0.25,0.0022,0.0021,-1e-04,-0.0455,97,9.77,0
"98","Kevin Tway",22529236,6100,44.85,31.86,0.06,0.0026,0.0025,-1e-04,-0.0385,86,9.8,0
