datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Kizzire, Patton","Patton Kizzire",150,28078774,6500,26.534,N/A,0,47.6,1.5,0,49.1,-0.05,100,5,
"Walker, Jimmy","Jimmy Walker",150,28078772,6500,26.469,N/A,0,47.7,1.5,0,49.2,-0.05,100,5,
"Ryder, Sam","Sam Ryder",150,28078773,6500,27.099,N/A,0,49.6,1.8,0,51.5,0.11,100,5,
"Streelman, Kevin","Kevin Streelman",150,28078775,6500,26.988,N/A,0,49,1.8,0,50.8,0.05,100,5,
"Daffue, MJ","MJ Daffue",150,28078776,6500,25.905,N/A,0,45,1.2,0,46.2,-0.2,100,5,
"Willett, Danny","Danny Willett",150,28078771,6500,27.896,N/A,0,51.4,2.1,0,53.5,0.28,100,5,
"Zecheng, Marty Dou","Zecheng Dou",150,28078778,6400,25.776,N/A,0,44.7,1.2,0,45.8,-0.19,100,5,
"Shelton, Robby","Robby Shelton",150,28078777,6400,27.847,N/A,0,52.8,2.2,0,55.1,0.46,100,5,
"Smotherman, Austin","Austin Smotherman",150,28078780,6400,25.918,N/A,0,45.1,1.2,0,46.3,-0.16,100,5,
"Novak, Andrew","Andrew Novak",150,28078781,6400,26.020,N/A,0,45.7,1.3,0,47,-0.13,100,5,
"Piercy, Scott","Scott Piercy",150,28078779,6400,27.435,N/A,0,49.9,1.8,0,51.7,0.19,100,5,
"Baddeley, Aaron","Aaron Baddeley",150,28078782,6400,26.830,N/A,0,47.8,1.6,0,49.4,0,100,5,
"Tway, Kevin","Kevin Tway",150,28078785,6300,25.700,N/A,0,45.5,1.3,0,46.8,-0.1,100,5,
"Long, Adam","Adam Long",150,28078787,6300,26.089,N/A,0,46.8,1.5,0,48.3,-0.03,100,5,
"Hall, Harry","Harry Hall",150,28078783,6300,26.791,N/A,0,47.6,1.6,0,49.2,0.03,100,5,
"Coody, Pierceson","Pierceson Coody",150,28078784,6300,24.684,N/A,0,41.9,0.9,0,42.9,-0.3,100,5,
"Young, Carson","Carson Young",150,28078788,6300,26.179,N/A,0,46.1,1.3,0,47.4,-0.07,100,5,
"Sigg, Greyson","Greyson Sigg",150,28078786,6300,27.101,N/A,0,49.7,1.8,0,51.5,0.22,100,5,
