"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"24","Byeong Hun An",28078719,7900,65.22,67.51,8.8,89.5,29,56.1,2.8,58.9,-0.02,5,-0.157,289,0.271,12,0.252,68,0.351,50,0.717,54,14.641,19,-0.072,394,0.451,31,0.004,0.002,-0.005,0.265,-0.026,-0.225,0.012,0.021,-0.191,0.5,0.9935,0.9981,0.9991,0.9996,0.9999,126.57,0.07,6.52,0.22,1.03,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"25","Brendon Todd",28078720,7800,63.71,53.03,7.5,79,25,58.8,3.3,62.1,0.29,5,0.564,5,0.333,2,-0.042,163,-0.515,325,0.341,95,-18.189,410,0.092,10,0.76,37,-0.019,-0.112,0.011,-0.3,0.098,0.282,-0.016,0.095,0.362,0.801,0.9929,0.9975,0.9987,0.9994,0.9999,128.19,0.06,6,2.08,9.39,15,1,2023-05-25,"2023-05-25 Charles Schwab"
"26","Harris English",28078721,7800,57.5,41.46,5,69,22,56.4,2.8,59.2,0.04,5,0.382,24,0.233,32,0.043,129,-0.383,296,0.274,101,-2.248,243,0.022,122,0.439,33,-0.004,-0.025,-0.045,-0.091,0.15,0.036,-0.004,0.067,0.099,0.523,0.9935,0.998,0.9991,0.9996,0.9999,128.19,0.06,5,1.17,5.3,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"27","Christiaan Bezuidenhout",28078722,7700,63.74,55.59,5.7,81.5,25.5,55.9,2.8,58.7,0.06,5,0.325,32,0.122,69,0.222,75,-0.311,264,0.358,92,-9.197,346,0.045,66,0.501,29,0.013,-0.055,-0.005,-0.097,0.008,0.143,-0.008,0.061,0.196,0.562,0.9934,0.998,0.999,0.9996,0.9999,129.86,0.05,5.28,0.97,4.39,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"28","Emiliano Grillo",28078723,7700,62.37,63.44,10.5,86.5,27.5,55.8,2.8,58.6,0.05,5,-0.019,194,-0.067,230,0.337,52,0.156,93,0.406,90,2.337,163,0.036,83,0.489,30,0.007,0.003,-0.029,-0.065,0.139,-0.035,-0.006,0.008,-0.033,0.511,0.9935,0.998,0.9991,0.9996,0.9999,129.86,0.05,7.2,-0.06,-0.24,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"29","Alex Smalley",28078724,7600,57.6,62.01,9.3,86,27.5,55.6,2.7,58.3,0.08,5,-0.113,255,0.011,165,0.423,36,0.287,68,0.608,67,7.32,81,0.016,140,0.46,26,0.022,0.064,-0.018,0.08,-0.001,-0.112,-0.003,0.009,-0.105,0.502,0.9935,0.998,0.9991,0.9996,0.9999,131.57,0.03,6.72,0.09,0.42,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"30","J.J. Spaun",28078725,7600,58.88,63.34,6.5,86.5,27.15,57.5,3.1,60.6,0.27,5,0.013,167,0.094,85,0.344,49,0.2,85,0.651,64,-1.739,233,0.053,54,0.602,32,0,0.01,0.007,0.032,-0.064,0.028,-0.009,0.029,0.048,0.635,0.9933,0.9978,0.9989,0.9995,0.9999,131.57,0.03,5.6,0.68,3.08,10,1,2023-05-25,"2023-05-25 Charles Schwab"
"31","Ryan Fox",28078726,7500,59.31,73.99,8.2,94.5,33,55.4,2.7,58.1,0.12,5,0.08,121,0.077,105,0.254,67,0.235,78,0.647,65,13.26,28,-0.088,407,0.568,36,-0.013,-0.007,0.005,0.094,-0.054,-0.203,0.015,0.027,-0.161,0.432,0.9936,0.9982,0.9992,0.9996,0.9999,133.32,0.02,6.28,-0.28,-1.25,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"32","Lucas Herbert",28078727,7500,62.38,41.34,7.3,69,22,57.8,3.1,60.9,0.36,5,0.426,17,0.059,123,-0.006,152,0.284,69,0.764,52,7.872,72,-0.05,348,0.549,27,0.019,0.08,0.018,0.098,-0.011,-0.12,0.009,0.049,-0.062,0.69,0.9932,0.9976,0.9988,0.9994,0.9999,133.32,0.02,5.92,0.1,0.46,5,1,2023-05-25,"2023-05-25 Charles Schwab"
"33","Patrick Rodgers",28078728,7500,60.79,65.84,5.6,88.5,28,58.1,3.3,61.3,0.39,5,0.265,44,0.103,77,0.128,107,0.295,66,0.791,49,8.734,65,-0.042,324,0.744,30,0.007,0.041,-0.03,0.028,0.023,-0.133,0.007,0.043,-0.083,0.731,0.993,0.9976,0.9988,0.9994,0.9999,133.32,0.02,5.24,0.24,1.09,5,1,2023-05-25,"2023-05-25 Charles Schwab"
