"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","ownership","total_pts","date","tournament"
"58","Thomas Pieters",22991972,7000,58.95,0.0035,0.0031,74,-4e-04,-0.1143,45.22,1.7,67,21,0.4859,0.0042,0.2013,0.121,0.0496,0.0209,0.0112,0.0032,27,0.44,0.0112,55,"2022-06-19","US Open"
"59","Luke List",22991973,7000,58.25,0.0068,0.0059,48,-9e-04,-0.1324,47.67,4.7,70,21.5,0.5551,0.0054,0.2745,0.1761,0.0788,0.0337,0.0181,0.005,100,0.84,0.0263,20,"2022-06-19","US Open"
"60","Alex Noren",22991974,7000,66.76,0.0068,0.0059,48,-9e-04,-0.1324,49.33,5.6,70.85,22,0.5636,0.0107,0.2613,0.1647,0.074,0.0325,0.018,0.0048,100,0.84,0.0273,17,"2022-06-19","US Open"
"61","Patrick Rodgers",22991975,7000,56.55,0.0035,0.0031,74,-4e-04,-0.1143,42.72,0.89,66,20,0.5194,0.0069,0.2154,0.129,0.0528,0.022,0.0109,0.0026,31,0.44,0.014,56,"2022-06-19","US Open"
"62","Si Woo Kim",22991976,7000,66.45,0.0061,0.0065,43,0.000399999999999999,0.0656,44.74,7.7,67.5,21,0.5992,0.012,0.3019,0.1974,0.0913,0.0414,0.0242,0.007,100,0.93,0.0533,21,"2022-06-19","US Open"
"63","Brian Harman",22991977,7000,59.83,0.0057,0.007,41,0.0013,0.2281,51.26,9.9,72,22.5,0.572,0.0096,0.2693,0.1726,0.0764,0.0316,0.0168,0.0039,43,1,0.0678,39,"2022-06-19","US Open"
"64","Kevin Na",22991978,7000,63.32,0.0043,0.0063,44,0.002,0.4651,45.56,4.1,67.5,21.5,0.4717,0.0042,0.1931,0.1168,0.0494,0.0204,0.0108,0.0029,100,0.9,0.0312,25.5,"2022-06-19","US Open"
"65","Adam Hadwin",23043250,7000,66.47,0.0055,0.0049,54,-6e-04,-0.1091,47.31,2.8,69,21.5,0.5099,0.0044,0.2187,0.134,0.0564,0.0244,0.0121,0.0032,7,0.7,0.0266,71,"2022-06-19","US Open"
"66","Phil Mickelson",22991979,6900,57.88,0.0049,0.0049,54,0,0,34.16,0.29,58.5,18,0.26,0.001,0.0502,0.0234,0.0067,0.002,0.001,1e-04,100,0.71,0.0123,12.5,"2022-06-19","US Open"
"67","Branden Grace",22991980,6900,46.22,0.0056,0.0031,74,-0.0025,-0.4464,40.37,0.51,63.5,20,0.5153,0.0069,0.2157,0.1316,0.0549,0.0238,0.0118,0.0034,100,0.45,0.0067,23,"2022-06-19","US Open"
