"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
"37","Sebastian Munoz",22991953,7400,67.92,NA,0.008,41,NA,NA,50.59,5.9,72.5,23,0.5745,0.1905,0.0874,0.0409,0.0061,1.08,1,-0.25,NA,NA,0
"38","Tom Hoge",22991954,7300,65.91,NA,0.0055,56,NA,NA,47.51,3.7,70.5,22,0.537,0.1522,0.0667,0.0293,0.0046,0.75,1,-0.43,NA,NA,0
"39","Davis Riley",22991955,7300,66.6,NA,0.0108,35,NA,NA,50.18,17.6,72.5,23,0.5726,0.1848,0.0883,0.0404,0.0068,1.48,1,0.3,NA,NA,0
"40","Sergio Garcia",22991956,7300,65,0.0105,0.0068,47,-0.0037,-0.3524,55.35,1.9,77,24,0.5781,0.1855,0.0847,0.0382,0.0056,0.93,1,-0.25,2.56,4,0
"41","Russell Henley",22991957,7300,77.2,0.0057,0.0098,37,0.0041,0.7193,56.21,8.1,77.5,24.5,0.6109,0.2188,0.1075,0.0505,0.0079,1.34,1,0.16,4.67,13,0
"42","Harold Varner III",22991958,7300,67.83,NA,0.0146,26,NA,NA,53.72,9.8,75,23.5,0.6503,0.2688,0.1414,0.0689,0.0132,2,1,0.82,NA,NA,0
"43","Patrick Reed",22991959,7200,61.42,0.0108,0.0065,51,-0.0043,-0.3981,42.99,3.6,66.85,20.5,0.5215,0.1374,0.0567,0.0245,0.0037,0.9,1,-0.12,0.38,4,0
"44","Jason Kokrak",22991960,7200,69,0.0105,0.0068,47,-0.0037,-0.3524,49.46,4.5,72.5,22.5,0.5708,0.1821,0.0853,0.0383,0.006,0.94,1,-0.08,2.14,7,0
"45","Sepp Straka",22991961,7200,57.72,NA,0.0046,61,NA,NA,41.15,0.69,65.5,20,0.5215,0.1387,0.0613,0.0263,0.0039,0.64,1,-0.38,NA,NA,0
"46","Cameron Tringale",22991962,7200,65.21,NA,0.0068,47,NA,NA,50.59,0.84,73.5,22.5,0.5434,0.1531,0.0669,0.0288,0.0039,0.94,1,-0.08,NA,NA,0
"47","Adam Scott",22991963,7200,69.25,0.0105,0.008,41,-0.0025,-0.2381,49.53,3.5,72.5,23,0.5305,0.1481,0.0661,0.0287,0.0041,1.11,1,0.09,2.34,6,0
"48","Marc Leishman",22991964,7200,71.75,0.0129,0.0068,47,-0.0061,-0.4729,50.5,3.3,72.5,22.5,0.5305,0.1497,0.0639,0.0272,0.0042,0.94,1,-0.08,2.28,6,0
"49","Justin Rose",22991965,7100,67.12,0.012,0.0127,29,0.000699999999999999,0.0583,48.99,13.7,71.5,22.5,0.5671,0.1848,0.0896,0.0398,0.0066,1.79,1,0.92,2.68,16,0
