"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"136","Ethan Hall","TLSA",3600,1.08,0,"Healthy",7,56.5,110,68.2,0.42,"TUL",77.7,30.6,74.9
"137","Kearis Jackson","UGA",3500,7.99,2,"Healthy",-8.5,65,97,67.4,1.88,"TENN",44.6,24.3,33.9
"138","Jordan Dingle","UK",3500,2.41,0,"Healthy",1,40,131,57.5,1.48,"MIZZ",74.7,35,72.5
"139","Barrett Banister","MIZZ",3500,5.16,1,"Healthy",-1,40,146,65.1,1.4,"UK",61.3,30.7,61.9
"140","Trent Whittemore","UF",3500,0.91,0,"Healthy",2.5,55,24,75.6,4.14,"TA&M",40,35.5,46.7
"141","Daniel Arias","COL",3500,NA,0,"Healthy",31.5,63,188,60.6,1.79,"ORE",54.7,32.8,53.2
"142","Cale Cabbiness","OKST",3500,1.55,0,"Healthy",1.5,63,22,57.6,1.68,"KU",44.8,39.4,36.6
"143","Trevon West","OU",3500,NA,0,"Healthy",-3.5,61.5,NA,NA,NA,"BAY",77.6,26.5,66.8
"144","Grant Misch","UV",3500,5.22,0,"Healthy",7,60,210,42.4,0.71,"UNC",47.4,43.8,37.8
"145","John Copenhaver","UNC",3500,4.9,0,"Healthy",-7,60,129,65.2,1.56,"UV",69.6,60.1,77.8
"146","AJ Barner","IU",3500,6.19,1,"Healthy",13.5,51,293,53.9,0.53,"PSU",50.6,30.7,49.7
"147","Brody Belt","NEB",3500,0.5,0,"Healthy",14.5,44.5,30,70.1,2.13,"MINN",72.2,21.4,68.9
"148","Will Wallace","TUL",3500,NA,0,"Healthy",-7,56.5,62,64.8,0.16,"TLSA",59.1,71.8,59.8
"149","Tyler Stephens","MIZZ",3400,2.12,0,"Healthy",-1,40,102,42.3,0.69,"UK",61.3,30.7,61.9
"150","Cam McCormick","ORE",3400,2.93,0,"Healthy",-31.5,63,99,63,0.75,"COL",0,36,0
"151","Jayden Gibson","OU",3400,1.4,0,"Healthy",-3.5,61.5,27,52.3,0.48,"BAY",77.6,26.5,66.8
"152","Malachi Holt-Bennett","IU",3400,0.69,0,"Healthy",13.5,51,50,45.9,0.26,"PSU",50.6,30.7,49.7
"153","Tyler Warren","PSU",3400,1.94,0,"Healthy",-13.5,51,82,52,1.21,"IU",47.7,53.4,33.4
"154","Nate Boerkircher","NEB",3400,NA,0,"Healthy",14.5,44.5,71,50.1,0.71,"MINN",72.2,21.4,68.9
"155","Dylan Wright","MINN",3400,2.18,0,"out for season - Undisclosed",-14.5,44.5,132,56.1,0.9,"NEB",49.1,73.4,44.6
"156","Roc Taylor","MEM",3400,3.62,0,"Healthy",3,60,111,63.5,1.29,"UCF",56.9,58.4,50.1
"157","Phat Watts","TUL",3400,NA,0,"Healthy",-7,56.5,8,58.5,0.71,"TLSA",59.1,71.8,59.8
"158","Jimmy Holiday","TENN",3300,0.54,0,"Healthy",8.5,65,24,69.9,5.05,"UGA",68.5,0,68.9
