"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","pass_plays","grades_offense","yprr","opponent","grades_defense","grades_pass_rush_defense","grades_coverage_defense"
"442","Josh Kubala","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"443","Kyle Acker","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"444","Nate Wellington","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"445","Kendall Long","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"446","Sam Warren","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"447","Anthony Queeley","SYR",3000,0.4,0,"Healthy",4,48,9,67.6,1.33,"PITT",74.8,29.7,63.8
"448","Isaiah Jones","SYR",3000,NA,0,"out for season - Upper Body",4,48,46,63.2,1.43,"PITT",74.8,29.7,63.8
"449","Donovan Brown","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"450","CJ Hayes","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"451","Carter Clark","SYR",3000,NA,0,"Healthy",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"452","Dom Foster","SYR",3000,NA,0,"Out indefinitely - Suspension",4,48,NA,NA,NA,"PITT",74.8,29.7,63.8
"453","Kyi Wright","PITT",3000,0.52,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"454","Jake Renda","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"455","Dylan Deveney","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"456","Che Nwabuko","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"457","Peter Vardzel","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"458","Cole Mitchell","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"459","Josh Junko","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"460","Myles Alston","PITT",3000,0.51,0,"Healthy",-4,48,3,40.9,0,"SYR",60,44.8,69.8
"461","Josh Altsman","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"462","Lorenzo Jenkins","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"463","Gavin Thomson","PITT",3000,NA,0,"Ques Sat - Undisclosed",-4,48,14,67.8,2.08,"SYR",60,44.8,69.8
"464","Addison Copeland III","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"465","Caden Smith","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"466","Jake McConnachie","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"467","Isaiah Nesmith","PITT",3000,NA,0,"Healthy",-4,48,NA,NA,NA,"SYR",60,44.8,69.8
"468","Demick Starling","UV",3000,1.92,0,"Healthy",7,60,41,58.4,0.92,"UNC",47.4,43.8,37.8
"469","Luke Wentz","UV",3000,0.68,0,"Healthy",7,60,4,58.1,1.25,"UNC",47.4,43.8,37.8
"470","Nathaniel Beal III","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"471","Eli Wood","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"472","Sean Moore","UV",3000,0.68,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"473","Joshua Rawlings","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"474","Sackett Wood Jr.","UV",3000,NA,0,"Healthy",7,60,129,51.4,0.63,"UNC",47.4,43.8,37.8
"475","Malachi Fields","UV",3000,NA,0,"Out indefinitely - Foot",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"476","Josh Clifford","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"477","Karson Gay","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"478","Dakota Twitty","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"479","Mike Kosar","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"480","Devin Chandler","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"481","Sean Wilson","UV",3000,NA,0,"Healthy",7,60,21,45.9,0,"UNC",47.4,43.8,37.8
"482","Henry Duke","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"483","Jack Witmer","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"484","Ethan Davies","UV",3000,NA,0,"Healthy",7,60,7,47,0,"UNC",47.4,43.8,37.8
"485","Dillon Tennyson","UV",3000,NA,0,"Healthy",7,60,NA,NA,NA,"UNC",47.4,43.8,37.8
"486","Kendall Karr","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"487","Tylee Craft","UNC",3000,NA,0,"Out indefinitely - Illness",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"488","Aiden Cloninger","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"489","Cyrus Rogers","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"490","Brooks Miller","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"491","Will Crowley","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"492","Michael Hall","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"493","Tychaun Chapman","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"494","Jeffrey Saturday","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"495","Landon Stevens","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"496","Kellan Hood","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"497","Thomas Flynn","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"498","Jake Young","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"499","Grady Sherrill","UNC",3000,NA,0,"Healthy",-7,60,NA,NA,NA,"UV",69.6,60.1,77.8
"500","Liam Clifford","PSU",3000,0.69,0,"Healthy",-13.5,51,19,65.3,1.63,"IU",47.7,53.4,33.4
"501","Malick Meiga","PSU",3000,0.69,0,"Healthy",-13.5,51,10,56.7,1.2,"IU",47.7,53.4,33.4
"502","Jake Spencer","PSU",3000,NA,0,"Healthy",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"503","Grayson Kline","PSU",3000,NA,0,"Healthy",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"504","Jan Mahlert","PSU",3000,NA,0,"Healthy",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"505","Anthony Ivey","PSU",3000,NA,0,"Healthy",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"506","Harrison Wallace III","PSU",3000,5.11,0,"Healthy",-13.5,51,128,57.4,1.34,"IU",47.7,53.4,33.4
"507","Khalil Dinkins","PSU",3000,NA,0,"Healthy",-13.5,51,18,49.4,1.65,"IU",47.7,53.4,33.4
"508","Mason Stahl","PSU",3000,NA,0,"Healthy",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"509","Jason Estrella","PSU",3000,NA,0,"Healthy",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"510","Tyler Johnson","PSU",3000,NA,0,"Late Nov - Elbow",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"511","Omari Evans","PSU",3000,2.54,0,"Healthy",-13.5,51,51,55.8,0.88,"IU",47.7,53.4,33.4
"512","Jerry Cross","PSU",3000,NA,0,"Mid Nov - Undisclosed",-13.5,51,NA,NA,NA,"IU",47.7,53.4,33.4
"513","David Baker","IU",3000,NA,0,"Out indefinitely - Undisclosed",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"514","Trey Walker","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"515","Omar Cooper Jr.","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"516","Ryan Barnes","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"517","Jaquez Smith","IU",3000,NA,0,"out for season - Undisclosed",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"518","Kamryn Perry","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"519","Connor Delp","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"520","Ryan Miller","IU",3000,NA,0,"Out indefinitely - Undisclosed",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"521","Brady Simmons","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"522","Eli Jochem","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"523","Christian Harris","IU",3000,NA,0,"Ques Sat - Undisclosed",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"524","McCall Ray","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"525","Brody Foley","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"526","Sam Daugstrup","IU",3000,NA,0,"Healthy",13.5,51,NA,NA,NA,"PSU",50.6,30.7,49.7
"527","Chancellor Brewington","NEB",3000,0.94,0,"Healthy",14.5,44.5,99,60.6,0.96,"MINN",72.2,21.4,68.9
"528","Nick Kallerup","MINN",3000,1.34,0,"Healthy",-14.5,44.5,42,89,1.29,"NEB",49.1,73.4,44.6
"529","Jameson Geers","MINN",3000,NA,0,"Healthy",-14.5,44.5,13,47.9,1.5,"NEB",49.1,73.4,44.6
"530","Samuel Pickerign","MINN",3000,NA,0,"Out indefinitely - Foot",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"531","Le'Meke Brockington","MINN",3000,1.75,0,"Healthy",-14.5,44.5,70,62.4,1.48,"NEB",49.1,73.4,44.6
"532","Nathan Jones","MINN",3000,NA,0,"Out indefinitely - Undisclosed",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"533","Chris Autman-Bell","MINN",3000,NA,0,"out for season - Knee",-14.5,44.5,48,79.3,4.65,"NEB",49.1,73.4,44.6
"534","Quentin Redding","MINN",3000,0.49,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"535","Wyatt Schroeder","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"536","Spencer Alvarez","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"537","Zach Jorgensen","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"538","Ike White","MINN",3000,0.49,0,"Healthy",-14.5,44.5,9,50.7,0,"NEB",49.1,73.4,44.6
"539","Frank Bierman","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"540","Cade Conzemius","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"541","Dino Kaliakmanis","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"542","Kristen Hoskins","MINN",3000,0.49,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"543","Evan Redding","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"544","Jack DiSano","MINN",3000,NA,0,"Healthy",-14.5,44.5,NA,NA,NA,"NEB",49.1,73.4,44.6
"545","Wyatt Liewer","NEB",3000,0.5,0,"Healthy",14.5,44.5,23,51.7,0.78,"MINN",72.2,21.4,68.9
"546","Ty Hahn","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"547","Isaiah Garcia-Castaneda","NEB",3000,NA,0,"Ques Sat - Undisclosed",14.5,44.5,56,55.3,2.26,"MINN",72.2,21.4,68.9
"548","AJ Rollins","NEB",3000,NA,0,"Healthy",14.5,44.5,9,65.7,0,"MINN",72.2,21.4,68.9
"549","Thomas Fidone II","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"550","Chase Androff","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"551","Shawn Hardy II","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"552","Barron Miles Jr.","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"553","Kamonte Grimes","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"554","Victor Jones Jr.","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"555","Elliott Brown","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"556","Truitt Robinson","NEB",3000,NA,0,"Ques Sat - Undisclosed",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"557","Zach Weinmaster","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"558","Roman Mangini","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"559","John Goodwin","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"560","Alex Bullock","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"561","Evan Meyersick","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"562","Taveon Thompson","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"563","Janiran Bonner","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"564","Decoldest Crawford","NEB",3000,NA,0,"out for season - Knee",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"565","Brodie Tagaloa","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"566","Luke Lindenmeyer","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"567","James Carnie","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"568","Tommi Hill","NEB",3000,NA,0,"Healthy",14.5,44.5,NA,NA,NA,"MINN",72.2,21.4,68.9
"569","Mitch Rossi","OSU",3000,1.39,0,"Healthy",-38,55.5,52,77.1,0.68,"NW",37.5,61.3,10
"570","Gee Scott Jr.","OSU",3000,0.73,0,"Healthy",-38,55.5,36,49.7,0.41,"NW",37.5,61.3,10
"571","Xavier Johnson","OSU",3000,0.72,0,"Healthy",-38,55.5,64,59.4,0.81,"NW",37.5,61.3,10
"572","Reis Stocksdale","OSU",3000,NA,0,"Healthy",-38,55.5,5,65.6,2.4,"NW",37.5,61.3,10
"573","Kyion Grayes","OSU",3000,0.72,0,"Healthy",-38,55.5,4,58.4,0.5,"NW",37.5,61.3,10
"574","Blaize Exline","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"575","Sam Hart","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"576","Corban Cleveland","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"577","David Adolph","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"578","Joop Mitchell","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"579","Kaleb Brown","OSU",3000,2.04,0,"Healthy",-38,55.5,5,53.3,1,"NW",37.5,61.3,10
"580","Caleb Burton","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"581","Kai Saunders","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"582","Riordin Stauffer","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"583","Patrick Gurd","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"584","Kojo Antwi","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"585","Joe Royer","OSU",3000,NA,0,"Out indefinitely - Undisclosed",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"586","Zak Herbstreit","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"587","Bennett Christian","OSU",3000,NA,0,"Healthy",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"588","Kamryn Babb","OSU",3000,NA,0,"Out indefinitely - Knee",-38,55.5,NA,NA,NA,"NW",37.5,61.3,10
"589","Thomas Gordon","NW",3000,2.49,0,"Healthy",38,55.5,195,61,0.97,"OSU",89.7,11.5,68.4
"590","Marshall Lang","NW",3000,1.57,0,"Healthy",38,55.5,192,50.8,0.8,"OSU",89.7,11.5,68.4
"591","Charlie Mangieri","NW",3000,0.43,0,"Healthy",38,55.5,8,48.8,0,"OSU",89.7,11.5,68.4
"592","Jacob Gill","NW",3000,3.31,0,"Healthy",38,55.5,121,51.9,0.69,"OSU",89.7,11.5,68.4
"593","Genson Hooper Price","NW",3000,NA,0,"Healthy",38,55.5,50,62.4,1.75,"OSU",89.7,11.5,68.4
"594","Wayne Dennis Jr.","NW",3000,0.52,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"595","Reggie Fleurima","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"596","Preston Bacon","NW",3000,NA,0,"Healthy",38,55.5,16,53,0,"OSU",89.7,11.5,68.4
"597","Calvin Johnson II","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"598","Chris Petrucci","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"599","Jasper Stratton","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"600","Hunter Welcing","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"601","Lawson Albright","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"602","Donnie Gray","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"603","Jack Kennedy","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"604","Blake Van Buren","NW",3000,NA,0,"Healthy",38,55.5,NA,NA,NA,"OSU",89.7,11.5,68.4
"605","Jordan Davis","UCF",3000,NA,0,"Out indefinitely - Undisclosed",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"606","Grant Stevens","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"607","Amari Johnson","UCF",3000,NA,0,"Out indefinitely - Leg",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"608","Amari Johnson","UCF",3000,NA,0,"Out indefinitely - Undisclosed",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"609","Dionte Marks","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"610","Jordan Johnson","UCF",3000,1.2,0,"Ques Nov 11 - Undisclosed",-3,60,17,73,2.71,"MEM",66.9,82.2,55.5
"611","Joey Gatewood","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"612","Max Holler","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"613","Andrew Dickson","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"614","JaJuan Forte'","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"615","Tyler Griffin","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"616","Garrett French","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"617","Thomas Wadsworth","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"618","Quan Lee","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"619","Dwartney Wortham","UCF",3000,NA,0,"Healthy",-3,60,3,72.7,10,"MEM",66.9,82.2,55.5
"620","Jarrad Baker","UCF",3000,NA,0,"Healthy",-3,60,1,38.2,0,"MEM",66.9,82.2,55.5
"621","Cullen Smith","UCF",3000,NA,0,"Healthy",-3,60,NA,NA,NA,"MEM",66.9,82.2,55.5
"622","Xavier Townsend","UCF",3000,0.63,0,"Healthy",-3,60,56,64.1,1.47,"MEM",66.9,82.2,55.5
"623","John Hassell","MEM",3000,NA,0,"Healthy",3,60,41,61.2,0.39,"UCF",56.9,58.4,50.1
"624","Anthony Landphere","MEM",3000,0.65,0,"Healthy",3,60,27,57.7,0,"UCF",56.9,58.4,50.1
"625","Joseph Scates","MEM",3000,8.18,10,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"626","Jamari Hawkins","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"627","Destun Thomas","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"628","Marcayll Jones","MEM",3000,NA,0,"Out indefinitely - Suspension",3,60,23,48.1,0.48,"UCF",56.9,58.4,50.1
"629","Marcayll Jones","MEM",3000,NA,0,"Ques Sat - Undisclosed",3,60,23,48.1,0.48,"UCF",56.9,58.4,50.1
"630","Cameron Wright","MEM",3000,NA,0,"Healthy",3,60,10,67.4,2.78,"UCF",56.9,58.4,50.1
"631","Errington McRae","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"632","Reid Flanagan","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"633","Timothy Toney","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"634","Marlon Crockett","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"635","Eric Rivers","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"636","Braxton Crouse","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"637","Zach Switzer","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"638","Andrew Mason","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"639","Jace Yerty","MEM",3000,NA,0,"Healthy",3,60,NA,NA,NA,"UCF",56.9,58.4,50.1
"640","Colby Powers","TLSA",3000,0.63,0,"Healthy",7,56.5,16,65.6,1.5,"TUL",77.7,30.6,74.9
"641","Scottie Alexander","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"642","Marquis Shoulders","TLSA",3000,0.62,0,"Healthy",7,56.5,17,73.7,1.44,"TUL",77.7,30.6,74.9
"643","Nick Rempert","TLSA",3000,0.62,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"644","Keith Wheeler II","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"645","Kamdyn Benjamin","TLSA",3000,0.62,0,"Healthy",7,56.5,4,41.2,0,"TUL",77.7,30.6,74.9
"646","Corbin Daniels","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"647","Charles Hodge IV","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"648","Jeshari Houston","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"649","Devan Williams","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"650","Carl Chester","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"651","Waylon Adams","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"652","Connor Vaughn","TLSA",3000,NA,0,"Healthy",7,56.5,NA,NA,NA,"TUL",77.7,30.6,74.9
"653","Reggie Brown","TUL",3000,1.08,0,"Healthy",-7,56.5,206,72.1,1.7,"TLSA",59.1,71.8,59.8
"654","Reggie Brown","TUL",3000,1.08,0,"Healthy",-7,56.5,73,43.2,0.18,"TLSA",59.1,71.8,59.8
"655","Chris Brazzell II","TUL",3000,0.57,0,"Healthy",-7,56.5,5,60.5,2.2,"TLSA",59.1,71.8,59.8
"656","Alex Bauman","TUL",3000,0.57,0,"Healthy",-7,56.5,85,50.9,0.85,"TLSA",59.1,71.8,59.8
"657","Blake Gunter","TUL",3000,NA,0,"Healthy",-7,56.5,4,49.2,0,"TLSA",59.1,71.8,59.8
"658","Andrew Wilks","TUL",3000,NA,0,"Healthy",-7,56.5,NA,NA,NA,"TLSA",59.1,71.8,59.8
"659","Lucas Desjardins","TUL",3000,NA,0,"Healthy",-7,56.5,4,58,2,"TLSA",59.1,71.8,59.8
"660","Luke Besh","TUL",3000,NA,0,"Healthy",-7,56.5,7,65.3,2.57,"TLSA",59.1,71.8,59.8
"661","Michael Lavergne","TUL",3000,NA,0,"Healthy",-7,56.5,1,78,9,"TLSA",59.1,71.8,59.8
"662","Bryce Bohanon","TUL",3000,2.09,0,"Healthy",-7,56.5,34,55.3,1.76,"TLSA",59.1,71.8,59.8
"663","Jalen Rogers","TUL",3000,NA,0,"Healthy",-7,56.5,3,39,0,"TLSA",59.1,71.8,59.8
"664","Jonathan Kahn","TUL",3000,NA,0,"Healthy",-7,56.5,NA,NA,NA,"TLSA",59.1,71.8,59.8
