"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Eugenio Suarez","SEA","13","39","42","11","5","3","0","3","7","9","3","0","10","0","0","0","0","0","0",".282","12552"
"Hunter Dozier","KCR","11","39","39","11","7","1","1","2","4","4","0","0","12","0","0","0","0","0","1",".282","15117"
"Austin Riley","ATL","14","39","45","11","7","2","0","2","6","6","4","0","10","2","0","0","1","1","0",".282","18360"
"Ryan McMahon","COL","11","32","35","9","3","5","0","1","4","7","2","0","10","1","0","0","0","0","0",".281","15112"
"Jared Walsh","LAA","12","32","35","9","7","0","0","2","6","5","3","0","9","0","0","0","0","0","1",".281","18607"
"Patrick Wisdom","CHC","11","25","27","7","3","4","0","0","3","6","1","0","9","0","1","0","1","0","0",".280","13602"
"Chas McCormick","HOU","9","25","26","7","5","2","0","0","1","1","1","0","6","0","0","0","0","0","0",".280","19599"
"Jonah Heim","TEX","6","18","19","5","3","1","0","1","5","5","1","0","2","0","0","0","1","0","0",".278","16930"
"Trevor Larnach","MIN","7","18","20","5","4","1","0","0","1","2","1","0","6","0","1","0","0","0","0",".278","21501"
"Ha-seong Kim","SDP","10","18","20","5","3","0","1","1","7","2","1","0","5","1","0","0","0","0","0",".278","27506"
"Jo Adell","LAA","11","29","29","8","4","2","0","2","2","3","0","0","15","0","0","0","0","1","0",".276","20220"
"Trea Turner","LAD","12","40","44","11","9","0","1","1","7","6","3","0","12","0","1","0","0","3","0",".275","16252"
"Randal Grichuk","COL","8","22","25","6","5","1","0","0","4","5","1","0","3","1","1","0","0","0","0",".273","10243"
"Raimel Tapia","TOR","10","33","35","9","7","1","0","1","5","2","0","0","9","0","0","1","1","2","0",".273","14350"
"Adam Frazier","SEA","14","44","48","12","8","3","1","0","7","7","4","0","6","0","0","0","2","1","0",".273","15223"
"Hunter Renfroe","MIL","13","33","36","9","6","2","0","1","3","3","3","0","11","0","0","0","1","0","0",".273","15464"
"Isiah Kiner-Falefa","NYY","12","33","35","9","7","2","0","0","5","1","2","0","6","0","0","0","1","2","0",".273","16512"
"Nicky Lopez","KCR","12","33","36","9","6","3","0","0","3","2","1","0","2","1","0","1","1","0","0",".273","19339"
"Andrew Vaughn","CHW","10","22","26","6","3","1","0","2","2","6","3","0","2","1","0","0","0","0","0",".273","26197"
"Tony Kemp","OAK","14","37","44","10","9","1","0","0","6","0","7","0","2","0","0","0","1","2","0",".270","14894"
"Cody Bellinger","LAD","12","37","41","10","5","2","1","2","5","4","4","0","11","0","0","0","0","3","1",".270","15998"
"Charlie Blackmon","COL","11","26","32","7","4","2","0","1","6","3","4","0","6","0","0","2","0","0","1",".269","7859"
"Christian Vazquez","BOS","9","26","28","7","6","0","0","1","2","3","0","0","8","1","1","0","0","0","0",".269","9774"
"Yadiel Hernandez","WSN","9","26","29","7","5","2","0","0","2","3","2","0","6","0","1","0","0","0","1",".269","19334"
"Manny Machado","SDP","15","41","46","11","6","5","0","0","7","4","4","1","11","1","0","0","1","2","0",".268","11493"
"Travis d'Arnaud","ATL","10","30","31","8","5","1","0","2","5","5","0","0","6","1","0","0","0","0","0",".267","7739"
"Kurt Suzuki","LAA","5","15","16","4","3","1","0","0","1","3","1","0","2","0","0","0","1","0","0",".267","8259"
"Michael A. Taylor","KCR","12","30","33","8","7","0","0","1","5","3","3","0","4","0","0","0","0","0","0",".267","11489"
"Travis Jankowski","NYM","7","15","17","4","4","0","0","0","2","0","2","0","2","0","0","0","0","2","0",".267","13768"
"Edwin Rios","LAD","5","15","16","4","3","0","0","1","2","2","1","0","6","0","0","0","1","0","0",".267","18316"
"Austin Hays","BAL","13","30","34","8","6","2","0","0","1","3","4","0","5","0","0","0","0","0","1",".267","19363"
"Michael Brantley","HOU","12","34","37","9","6","2","0","1","5","4","3","1","6","0","0","0","0","0","1",".265","4106"
"J.D. Martinez","BOS","12","34","38","9","5","3","0","1","5","5","2","0","11","1","1","0","2","0","0",".265","6184"
"Rowdy Tellez","MIL","13","34","37","9","4","2","0","3","6","7","3","0","7","0","0","0","1","0","0",".265","15679"
"Jeremy Pena","HOU","12","34","39","9","4","2","1","2","7","4","4","0","10","0","1","0","1","0","0",".265","21636"
"Mike Yastrzemski","SFG","13","38","42","10","8","1","0","1","5","3","4","0","7","0","0","0","0","0","1",".263","14854"
"Yordan Alvarez","HOU","8","19","22","5","1","1","0","3","5","6","3","1","2","0","0","0","0","0","0",".263","19556"
"Matt Chapman","TOR","14","42","46","11","7","2","0","2","3","8","4","0","13","0","0","0","0","0","0",".262","16505"
"Tyler Wade","LAA","11","23","26","6","4","2","0","0","1","4","1","0","5","0","0","2","1","1","1",".261","15730"
"Zack Collins","TOR","8","23","24","6","2","2","0","2","3","3","1","0","8","0","0","0","0","0","0",".261","19181"
"Jonathan India","CIN","7","23","24","6","5","1","0","0","1","2","1","0","5","0","0","0","0","0","1",".261","21523"
"Gavin Sheets","CHW","9","27","28","7","5","1","0","1","3","2","0","0","5","1","0","0","0","0","0",".259","19901"
"Shohei Ohtani","LAA","12","31","34","8","5","1","0","2","5","3","3","1","9","0","0","0","0","1","1",".258","19755"
"Ryan Mountcastle","BAL","14","35","37","9","8","0","0","1","5","3","1","0","9","1","0","0","0","0","0",".257","18373"
"Justin Turner","LAD","12","39","44","10","8","2","0","0","6","7","4","0","8","0","1","0","2","0","0",".256","5235"
"Amed Rosario","CLE","12","39","40","10","8","1","1","0","4","3","1","0","8","0","0","0","1","0","1",".256","15518"
"George Springer","TOR","13","43","47","11","7","2","0","2","7","6","1","0","12","2","1","0","0","0","0",".256","12856"
"Rafael Devers","BOS","14","43","45","11","6","2","0","3","9","6","2","1","5","0","0","0","0","0","0",".256","17350"
"Maikel Franco","WSN","16","47","47","12","8","2","0","2","3","5","0","0","13","0","0","0","1","0","0",".255","12179"
"David Peralta","ARI","13","36","41","9","4","4","0","1","2","2","5","1","10","0","0","0","0","0","1",".250","2136"
"Jason Heyward","CHC","8","20","23","5","4","0","1","0","3","1","3","0","8","0","0","0","0","0","0",".250","4940"
