"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Zack Collins","TOR","3","5","5","2","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".400","19181"
"Eli White","TEX","5","10","11","4","2","2","0","0","3","1","1","0","3","0","0","0","0","1","0",".400","19346"
"Heliot Ramos","SFG","3","5","6","2","2","0","0","0","2","0","1","0","1","0","0","0","1","0","0",".400","22515"
"Andrew Vaughn","CHW","5","10","10","4","3","0","0","1","2","1","0","0","2","0","0","0","0","0","0",".400","26197"
"Brian Anderson","MIA","6","13","14","5","3","2","0","0","2","0","0","0","4","1","0","0","0","0","0",".385","18289"
"Ke'Bryan Hayes","PIT","6","13","13","5","4","1","0","0","1","1","0","0","1","0","0","0","0","0","0",".385","18577"
"Matt Vierling","PHI","10","13","15","5","4","1","0","0","2","2","2","0","2","0","0","0","1","0","0",".385","21558"
"Elias Diaz","COL","9","16","16","6","4","2","0","0","0","1","0","0","2","0","0","0","1","0","0",".375","11680"
"Brandon Nimmo","NYM","7","8","12","3","3","0","0","0","3","0","3","0","4","0","0","1","0","0","0",".375","12927"
"Rafael Devers","BOS","8","16","16","6","4","2","0","0","2","2","0","0","3","0","0","0","1","0","0",".375","17350"
"Jeremy Pena","HOU","5","8","10","3","2","1","0","0","1","0","0","0","1","1","0","0","0","0","0",".375","21636"
"Trey Mancini","BAL","10","19","20","7","5","2","0","0","0","1","1","0","5","0","0","0","0","0","0",".368","15149"
"Ozzie Albies","ATL","7","19","19","7","3","2","0","2","3","4","0","0","5","0","0","0","0","0","0",".368","16556"
"Travis d'Arnaud","ATL","7","11","11","4","4","0","0","0","2","1","0","0","2","0","0","0","1","0","0",".364","7739"
"Tyler Stephenson","CIN","7","11","15","4","3","0","0","1","2","4","2","0","2","1","1","0","0","0","0",".364","17988"
"Randy Arozarena","TBR","7","11","11","4","2","2","0","0","2","1","0","0","3","0","0","0","0","0","0",".364","19290"
"Marcell Ozuna","ATL","8","14","14","5","4","1","0","0","1","3","0","0","1","0","0","0","1","0","0",".357","10324"
"Seth Beer","ARI","9","14","14","5","3","2","0","0","1","2","0","0","3","0","0","0","0","0","0",".357","20493"
"Matt Duffy","LAA","8","17","19","6","5","1","0","0","1","2","2","0","4","0","0","0","1","0","0",".353","13836"
"Pavin Smith","ARI","10","17","20","6","5","1","0","0","2","0","2","0","4","1","0","0","0","0","0",".353","19892"
"Charlie Culberson","TEX","7","12","13","4","3","1","0","0","1","4","1","0","3","0","0","0","0","1","1",".333","3298"
"Jean Segura","PHI","7","12","12","4","2","1","0","1","2","1","0","0","1","0","0","0","0","0","0",".333","5933"
"A.J. Pollock","CHW","1","3","3","1","1","0","0","0","1","1","0","0","1","0","0","0","1","0","0",".333","9256"
"Andrew McCutchen","MIL","7","15","17","5","3","2","0","0","0","2","1","0","2","0","1","0","0","0","1",".333","9847"
"Jonathan Villar","CHC","6","9","10","3","2","1","0","0","1","1","0","0","2","0","1","0","0","0","0",".333","10071"
"Enrique Hernandez","BOS","7","15","17","5","1","3","0","1","5","3","2","0","2","0","0","0","0","0","0",".333","10472"
"George Springer","TOR","5","6","7","2","0","2","0","0","0","0","1","0","3","0","0","0","0","1","0",".333","12856"
"Tom Murphy","SEA","2","3","4","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".333","13499"
"Corey Seager","TEX","8","18","19","6","4","1","0","1","2","3","0","0","3","0","1","0","0","0","0",".333","13624"
"Tomas Nido","NYM","2","3","3","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".333","13755"
"Daniel Vogelbach","PIT","3","6","8","2","2","0","0","0","1","0","2","0","0","0","0","0","0","0","0",".333","14130"
"Anthony Santander","BAL","12","18","22","6","6","0","0","0","2","0","4","0","4","0","0","0","0","0","0",".333","14551"
"Tony Kemp","OAK","8","12","13","4","4","0","0","0","1","2","1","0","3","0","0","0","0","0","0",".333","14894"
"Adam Engel","CHW","3","3","5","1","0","1","0","0","1","0","2","0","0","0","0","0","0","0","0",".333","15082"
"Jack Mayfield","LAA","5","12","12","4","3","0","1","0","0","2","0","0","3","0","0","0","1","0","0",".333","15402"
"J.P. Crawford","SEA","8","12","15","4","1","1","1","1","2","4","2","0","1","0","1","0","0","0","0",".333","15491"
"Dominic Smith","NYM","4","3","7","1","1","0","0","0","1","1","1","0","2","2","1","0","0","0","0",".333","15653"
"Austin Meadows","DET","8","12","14","4","3","1","0","0","0","4","1","0","5","1","0","0","0","0","0",".333","15672"
"Francisco Mejia","TBR","5","6","6","2","2","0","0","0","2","3","0","0","1","0","0","0","0","0","0",".333","16403"
"Rhys Hoskins","PHI","6","9","11","3","0","1","1","1","5","1","2","0","2","0","0","0","1","0","0",".333","16472"
"Matt Chapman","TOR","7","6","7","2","1","1","0","0","0","1","1","0","1","0","0","0","0","0","0",".333","16505"
"Mauricio Dubon","SFG","4","6","6","2","1","1","0","0","2","1","0","0","1","0","0","0","0","0","0",".333","16530"
"Danny Jansen","TOR","2","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0",".333","16535"
"Yandy Diaz","TBR","9","12","14","4","2","2","0","0","3","1","2","0","1","0","0","0","0","0","0",".333","16578"
"Myles Straw","CLE","7","12","17","4","4","0","0","0","5","1","5","0","3","0","0","0","0","1","0",".333","17620"
"Yuli Gurriel","HOU","4","9","10","3","0","3","0","0","1","0","1","0","0","0","0","0","0","0","0",".333","19198"
"Andres Gimenez","CLE","4","3","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".333","19950"
"Owen Miller","CLE","6","9","14","3","1","1","0","1","1","3","4","0","3","0","1","0","0","0","0",".333","24655"
"Nathaniel Lowe","TEX","10","19","19","6","3","3","0","0","3","2","0","0","4","0","0","0","0","0","0",".316","19566"
"Matt Olson","ATL","8","16","21","5","2","3","0","0","1","2","5","0","6","0","0","0","0","0","0",".313","14344"
"Frank Schwindel","CHC","9","16","17","5","3","1","0","1","3","4","1","0","3","0","0","0","1","0","0",".313","15351"
"Nick Madrigal","CHC","8","16","16","5","4","1","0","0","2","0","0","0","0","0","0","0","4","0","0",".313","20521"
"Robbie Grossman","DET","9","13","17","4","3","1","0","0","1","2","4","0","4","0","0","0","0","0","0",".308","5254"
"Aaron Hicks","NYY","7","13","15","4","3","0","0","1","2","2","2","1","3","0","0","0","0","0","0",".308","5297"
"Kris Bryant","COL","6","13","14","4","2","2","0","0","2","1","1","0","3","0","0","0","0","0","0",".308","15429"
"Trea Turner","LAD","7","13","13","4","3","1","0","0","0","4","0","0","3","0","0","0","0","0","0",".308","16252"
"Ty France","SEA","8","13","15","4","1","1","0","2","3","4","1","0","2","1","0","0","0","0","0",".308","17982"
"Bryan Reynolds","PIT","7","13","13","4","4","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".308","19326"
"Seiya Suzuki","CHC","11","13","19","4","1","1","0","2","4","3","6","2","2","0","0","0","0","0","0",".308","30116"
"Brandon Crawford","SFG","6","10","10","3","1","2","0","0","1","3","0","0","2","0","0","0","0","0","0",".300","5343"
"Maikel Franco","WSN","8","10","14","3","2","1","0","0","1","5","3","0","3","0","1","0","0","0","0",".300","12179"
"Isiah Kiner-Falefa","NYY","6","10","11","3","2","1","0","0","1","1","1","0","2","0","0","0","2","0","0",".300","16512"
"Keibert Ruiz","WSN","8","10","11","3","3","0","0","0","1","1","0","0","2","0","1","0","0","0","0",".300","19610"
"Brandon Drury","CIN","9","17","19","5","3","1","0","1","1","2","2","0","5","0","0","0","0","0","1",".294","11615"
"J.T. Realmuto","PHI","10","17","20","5","4","0","0","1","3","2","3","0","5","0","0","0","0","0","0",".294","11739"
"Carlos Correa","MIN","10","17","19","5","3","2","0","0","2","0","2","0","5","0","0","0","2","0","0",".294","14162"
"Didi Gregorius","PHI","5","7","9","2","1","1","0","0","1","0","0","0","1","2","0","0","0","0","0",".286","6012"
"J.D. Martinez","BOS","6","7","10","2","0","2","0","0","1","2","3","0","0","0","0","0","1","0","0",".286","6184"
"Starling Marte","NYM","8","14","15","4","3","0","0","1","2","3","1","0","2","0","0","0","0","0","1",".286","9241"
"Ben Gamel","PIT","5","7","8","2","2","0","0","0","0","0","1","0","1","0","0","0","0","1","0",".286","12160"
"Chris Taylor","LAD","5","7","9","2","1","1","0","0","2","0","2","0","2","0","0","0","0","0","0",".286","13757"
"Kyle Farmer","CIN","10","21","22","6","5","1","0","0","0","4","1","0","4","0","0","0","1","1","0",".286","14813"
"Kyle Garlick","MIN","5","7","7","2","1","0","0","1","1","2","0","0","3","0","0","0","0","0","0",".286","18063"
"Alejandro Kirk","TOR","6","7","8","2","2","0","0","0","0","0","1","1","1","0","0","0","1","0","0",".286","22581"
"Robinson Chirinos","BAL","9","18","20","5","4","1","0","0","2","2","2","0","5","0","0","0","1","0","0",".278","3142"
"Anthony Rendon","LAA","9","18","21","5","3","0","0","2","4","5","2","0","3","0","1","0","2","1","0",".278","12861"
"Jorge Mateo","BAL","11","18","20","5","5","0","0","0","0","2","2","0","4","0","0","0","0","1","0",".278","17273"
"Paul Goldschmidt","STL","5","11","12","3","2","1","0","0","2","0","1","0","4","0","0","0","0","0","0",".273","9218"
"Nolan Arenado","STL","5","11","12","3","0","0","0","3","3","6","1","0","2","0","0","0","0","0","0",".273","9777"
"Adam Duvall","ATL","7","11","12","3","2","1","0","0","2","2","1","0","4","0","0","0","0","0","0",".273","10950"
"Luis Robert","CHW","5","11","11","3","1","1","0","1","3","2","0","0","1","0","0","0","0","1","0",".273","20043"
"Michael Brantley","HOU","9","15","16","4","4","0","0","0","0","1","1","0","3","0","0","0","0","0","0",".267","4106"
"Elvis Andrus","OAK","10","15","15","4","2","2","0","0","3","0","0","0","3","0","0","0","0","0","0",".267","8709"
"Max Kepler","MIN","10","15","20","4","3","1","0","0","1","1","4","0","1","1","0","0","1","0","0",".267","12144"
"Amed Rosario","CLE","8","15","16","4","4","0","0","0","1","2","1","0","2","0","0","0","0","1","0",".267","15518"
"Nico Hoerner","CHC","8","15","15","4","1","2","1","0","0","3","0","0","5","0","0","0","0","0","0",".267","21479"
"Cesar Hernandez","WSN","9","19","20","5","3","2","0","0","2","2","1","0","4","0","0","0","0","0","0",".263","10556"
"Gio Urshela","MIN","11","19","20","5","4","0","0","1","2","2","1","0","2","0","0","0","2","0","0",".263","10681"
"Carlos Santana","KCR","3","4","4","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".250","2396"
"Roberto Perez","PIT","7","8","10","2","1","1","0","0","2","0","2","0","4","0","0","0","1","0","0",".250","2900"
"Jason Heyward","CHC","4","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","4940"
"Matt Davidson","ARI","2","4","4","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0",".250","7226"
"Kurt Suzuki","LAA","3","4","6","1","0","0","0","1","3","1","2","0","1","0","0","0","0","0","0",".250","8259"
"Tucker Barnhart","DET","5","4","5","1","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0",".250","10200"
"Brandon Belt","SFG","10","12","16","3","2","0","0","1","1","3","4","0","6","0","0","0","0","0","0",".250","10264"
"Christian Yelich","MIL","8","16","17","4","3","1","0","0","0","0","1","0","3","0","0","0","0","0","0",".250","11477"
"Bryce Harper","PHI","11","16","20","4","2","2","0","0","3","5","3","0","4","1","0","0","0","1","0",".250","11579"
"Rougned Odor","BAL","5","4","4","1","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".250","12282"
"Brad Miller","TEX","4","4","4","1","0","0","0","1","1","1","0","0","2","0","0","0","0","0","0",".250","12775"
"Teoscar Hernandez","TOR","2","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","13066"
"Josh Bell","WSN","11","20","22","5","3","2","0","0","3","3","2","0","1","0","0","0","2","0","1",".250","13145"
"Harold Castro","DET","4","4","5","1","1","0","0","0","2","0","1","0","2","0","0","0","0","0","0",".250","14691"
"Adam Frazier","SEA","8","12","14","3","2","1","0","0","1","0","1","0","2","1","0","0","0","0","0",".250","15223"
"Luis Torrens","SEA","2","4","4","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".250","15905"
"J.D. Davis","NYM","7","8","11","2","2","0","0","0","1","1","3","0","3","0","0","0","0","1","0",".250","16219"
"Alex Verdugo","BOS","9","12","15","3","2","1","0","0","0","1","2","0","2","0","1","0","0","0","0",".250","17027"
"Bobby Bradley","CLE","2","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","17278"
"Jose Siri","HOU","5","8","10","2","1","0","0","1","1","2","2","0","4","0","0","0","0","0","0",".250","17452"
"Willie Calhoun","TEX","4","4","5","1","0","1","0","0","0","1","1","0","2","0","0","0","0","0","0",".250","17838"
"Dylan Moore","SEA","2","4","4","1","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0",".250","18042"
"Austin Riley","ATL","8","12","16","3","1","2","0","0","2","0","4","0","3","0","0","0","0","0","0",".250","18360"
"Victor Robles","WSN","9","12","14","3","2","1","0","0","3","4","0","0","3","1","0","1","0","0","0",".250","18363"
"Jared Walsh","LAA","6","8","8","2","2","0","0","0","0","1","0","0","3","0","0","0","1","0","0",".250","18607"
"Gavin Sheets","CHW","4","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".250","19901"
"Diego Castillo","PIT","8","16","16","4","2","1","0","1","2","1","0","0","5","0","0","0","0","0","0",".250","19906"
"Cristian Pache","OAK","8","12","13","3","2","1","0","0","2","1","1","0","1","0","0","0","0","0","0",".250","19948"
"Gavin Lux","LAD","4","4","5","1","1","0","0","0","1","2","1","0","1","0","0","0","0","0","0",".250","19955"
"Ernie Clement","CLE","7","12","15","3","2","1","0","0","2","1","1","0","2","2","0","0","0","0","0",".250","20352"
"Alejo Lopez","CIN","4","8","9","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0",".250","21127"
"Cal Raleigh","SEA","4","4","5","1","0","0","0","1","1","1","1","0","1","0","0","0","0","0","0",".250","21534"
"Geraldo Perdomo","ARI","4","8","9","2","2","0","0","0","1","0","1","0","1","0","0","0","0","0","0",".250","22799"
"Steven Kwan","CLE","9","8","13","2","2","0","0","0","2","3","3","0","3","1","1","0","0","0","0",".250","24610"
"Austin Nola","SDP","10","21","22","5","4","0","0","1","5","1","1","0","5","0","0","0","0","1","0",".238","15941"
"Brandon Lowe","TBR","12","21","22","5","4","0","0","1","3","5","0","0","5","0","1","0","0","0","0",".238","18882"
"Darin Ruf","SFG","10","17","19","4","2","2","0","0","1","0","2","0","6","0","0","0","0","0","0",".235","9929"
"Jurickson Profar","SDP","10","17","20","4","1","1","0","2","5","7","3","0","6","0","0","0","0","0","0",".235","10815"
"Anthony Rizzo","NYY","7","13","14","3","1","1","0","1","2","2","1","0","2","0","0","0","0","0","0",".231","3473"
"Max Stassi","LAA","6","13","13","3","3","0","0","0","1","2","0","0","5","0","0","0","0","0","0",".231","10059"
"Patrick Wisdom","CHC","8","13","15","3","0","1","0","2","3","4","2","0","7","0","0","0","0","0","1",".231","13602"
"Aaron Judge","NYY","7","13","15","3","0","2","0","1","1","2","1","0","4","0","0","0","0","0","0",".231","15640"
"Lane Thomas","WSN","8","13","13","3","3","0","0","0","1","1","0","0","2","0","0","0","0","0","0",".231","16939"
"Gleyber Torres","NYY","6","13","14","3","2","1","0","0","0","0","0","0","2","0","0","1","0","0","0",".231","16997"
"Jorge Polanco","MIN","12","22","24","5","4","0","0","1","2","3","2","0","4","0","0","0","0","0","0",".227","13152"
"Jose Altuve","HOU","4","9","9","2","1","0","0","1","1","1","0","0","2","0","0","0","1","0","0",".222","5417"
"Wilmer Flores","SFG","5","9","12","2","2","0","0","0","1","1","2","0","1","0","1","0","0","0","0",".222","5827"
"Yan Gomes","CHC","5","9","9","2","1","1","0","0","1","0","0","0","2","0","0","0","1","0","0",".222","9627"
"Jonathan Schoop","DET","5","9","9","2","2","0","0","0","2","1","0","0","1","0","0","0","0","0","0",".222","11265"
"Victor Caratini","MIL","5","9","11","2","1","0","0","1","1","1","2","0","2","0","0","0","1","0","0",".222","14968"
"Aledmys Diaz","HOU","5","9","10","2","1","0","0","1","1","1","1","0","1","0","0","0","0","0","0",".222","15937"
"Guillermo Heredia","ATL","5","9","9","2","0","1","0","1","3","2","0","0","2","0","0","0","1","0","0",".222","18721"
"Trevor Larnach","MIN","7","9","10","2","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0",".222","21501"
"Joey Votto","CIN","12","23","27","5","5","0","0","0","0","2","1","0","13","3","0","0","0","0","0",".217","4314"
"Mike Trout","LAA","7","14","19","3","1","2","0","0","6","1","5","0","3","0","0","0","0","0","0",".214","10155"
"Andrew Velazquez","LAA","8","14","17","3","3","0","0","0","4","2","2","0","7","0","1","0","1","1","0",".214","14196"
"Clint Frazier","CHC","9","14","17","3","1","2","0","0","1","0","2","0","3","1","0","0","1","0","0",".214","15983"
"Oscar Mercado","CLE","8","14","14","3","2","1","0","0","1","1","0","0","6","0","0","0","0","0","0",".214","16375"
"Tommy Pham","CIN","10","19","24","4","2","1","0","1","3","1","5","0","5","0","0","0","0","1","0",".211","2967"
"Austin Hays","BAL","10","19","21","4","2","2","0","0","2","0","2","0","6","0","0","0","1","0","0",".211","19363"
"Yadier Molina","STL","3","5","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".200","7007"
"Miguel Rojas","MIA","5","10","11","2","1","1","0","0","0","0","1","1","3","0","0","0","0","0","0",".200","7802"
"Jackie Bradley Jr.","BOS","3","5","5","1","0","1","0","0","1","2","0","0","3","0","0","0","0","0","0",".200","12984"
"Max Muncy","LAD","7","10","12","2","2","0","0","0","0","2","2","0","0","0","0","0","0","0","0",".200","13301"
"Tyler Naquin","CIN","7","15","15","3","1","1","0","1","2","3","0","0","4","0","0","0","0","0","0",".200","13359"
"Tyrone Taylor","MIL","6","10","11","2","1","1","0","0","0","0","1","0","2","0","0","0","1","0","0",".200","13675"
"Kevin Plawecki","BOS","2","5","5","1","1","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".200","13807"
"Joey Wendle","MIA","4","5","7","1","1","0","0","0","1","2","1","0","1","1","0","0","0","0","0",".200","13853"
"Harold Ramirez","TBR","7","10","11","2","1","1","0","0","2","1","1","0","4","0","0","0","0","0","0",".200","14387"
"Mike Yastrzemski","SFG","4","5","6","1","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0",".200","14854"
"Garrett Cooper","MIA","7","10","11","2","2","0","0","0","1","0","1","0","6","0","0","0","0","0","0",".200","15279"
"Cody Bellinger","LAD","6","10","11","2","1","1","0","0","0","0","1","0","5","0","0","0","0","0","0",".200","15998"
"Kevin Newman","PIT","4","10","10","2","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0",".200","17696"
"Austin Allen","OAK","2","5","6","1","1","0","0","0","1","0","0","0","3","1","0","0","0","0","0",".200","18083"
"Ryan Mountcastle","BAL","10","20","21","4","3","1","0","0","0","0","1","0","8","0","0","0","0","0","0",".200","18373"
"Luis Arraez","MIN","6","10","10","2","2","0","0","0","1","1","0","0","3","0","0","0","0","0","0",".200","18568"
"Andy Ibanez","TEX","8","15","16","3","1","2","0","0","4","3","1","0","2","0","0","0","0","0","0",".200","18819"
"Jose Azocar","SDP","3","5","5","1","0","1","0","0","0","1","0","0","3","0","0","0","0","0","0",".200","18821"
"Will Smith","LAD","4","5","5","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".200","19197"
"Garrett Hampson","COL","3","5","7","1","1","0","0","0","1","0","1","0","1","0","0","1","1","1","0",".200","19262"
"Adolis Garcia","TEX","10","15","18","3","1","1","0","1","4","3","3","1","5","0","0","0","0","1","0",".200","19287"
"Jesus Sanchez","MIA","9","15","15","3","3","0","0","0","1","2","0","0","4","0","0","0","0","0","0",".200","19913"
"Bryson Stott","PHI","3","5","5","1","0","1","0","0","1","1","0","0","3","0","0","0","0","0","0",".200","26294"
"Yoshi Tsutsugo","PIT","7","10","13","2","2","0","0","0","0","1","3","0","5","0","0","0","0","0","0",".200","27459"
"Spencer Torkelson","DET","9","10","12","2","0","1","0","1","3","2","2","0","3","0","0","0","0","0","0",".200","27465"
"Mitch Garver","TEX","10","16","19","3","2","0","0","1","4","2","3","0","4","0","0","0","0","0","0",".188","15161"
"Cedric Mullins II","BAL","11","27","31","5","3","1","0","1","1","4","2","0","11","1","0","1","0","0","0",".185","17929"
"Mike Moustakas","CIN","6","11","11","2","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0",".182","4892"
"Jose Iglesias","COL","5","11","13","2","1","1","0","0","1","0","0","0","1","2","0","0","1","0","0",".182","10231"
"Kevin Kiermaier","TBR","8","11","12","2","1","1","0","0","2","1","0","0","3","1","0","0","0","0","0",".182","11038"
"Jesus Aguilar","MIA","7","11","13","2","2","0","0","0","1","0","2","0","5","0","0","0","0","0","0",".182","11342"
"Orlando Arcia","ATL","7","11","13","2","1","1","0","0","0","2","1","0","3","0","1","0","0","0","0",".182","13185"
"Byron Buxton","MIN","5","11","11","2","0","0","0","2","3","2","0","0","7","0","0","0","0","0","0",".182","14161"
"Colin Moran","CIN","7","11","12","2","2","0","0","0","1","0","1","0","1","0","0","0","1","0","0",".182","16909"
"Pete Alonso","NYM","8","11","12","2","2","0","0","0","0","1","1","0","4","0","0","0","0","0","0",".182","19251"
"Sheldon Neuse","OAK","8","11","12","2","2","0","0","0","1","1","1","0","3","0","0","0","0","1","0",".182","19635"
"Mike Brosseau","MIL","7","11","13","2","1","0","0","1","2","2","2","0","3","0","0","0","0","0","0",".182","19683"
"Keston Hiura","MIL","7","11","12","2","2","0","0","0","2","0","1","0","5","0","0","0","0","1","0",".182","20003"
"Kevin Smith","OAK","6","11","12","2","1","1","0","0","3","1","1","0","3","0","0","0","0","0","0",".182","20242"
"Ryan Jeffers","MIN","7","11","14","2","2","0","0","0","0","0","3","0","3","0","0","0","0","0","0",".182","24618"
