RK,TEAM,CONF,ADJOE,ADJDE,BARTHAG,PROJ. REC,,RET MINS,RPMS,TALENT,EXP.,TRANS.
112,California,P12,103,98,0.6406,14-16,13-Jul,76.40%,68.60%,33.7,2.45,52
113,Kent St.,MAC,104.6,99.7,0.6335,19-10,13-7,79.60%,80.40%,5.1,2.68,200
114,Northeastern,CAA,101.5,96.9,0.6293,19-10,13-5,81.40%,71.20%,7,2.2,223
115,Wyoming,MWC,107.3,102.8,0.6202,16-13,9-Sep,75.40%,66.30%,7.7,1.97,55
116,Saint Louis,A10,101.3,97.1,0.6186,16-14,9-Sep,44.00%,37.40%,38.1,2.25,127
117,Temple,Amer,100.9,96.8,0.6165,14-15,10-Aug,64.90%,70.50%,32.9,1.75,15
118,Fresno St.,MWC,105.2,101,0.6159,18-13,9-Sep,89.90%,89.90%,30.1,2.19,110
119,Tulane,Amer,101.9,97.9,0.6146,14-14,11-Jul,70.70%,67.00%,31.3,1.7,112
120,Florida Atlantic,CUSA,101.8,97.8,0.6132,20-11,8-Oct,78.50%,72.40%,10.8,2.25,116
121,Dayton,A10,101.3,97.3,0.6126,17-12,8-Oct,46.40%,34.00%,55,1.26,114
122,Southern Illinois,MVC,102.3,98.4,0.6103,17-12,9-Sep,98.40%,98.80%,0,1.94,46
123,Southern Utah,BSky,105.7,101.9,0.6036,20-9,15-5,91.40%,92.10%,11.8,2.79,79
124,Marshall,CUSA,104.7,101.1,0.5992,17-14,8-Oct,72.00%,72.70%,5.4,2.18,0
125,Georgetown,BE,102.5,99,0.5987,13-17,14-Jun,35.00%,29.80%,42.5,1.19,45
126,Massachusetts,A10,105.3,101.7,0.5968,18-13,8-Oct,53.80%,52.40%,17.1,2.08,244
127,Georgia St.,SB,106.2,102.6,0.596,19-10,6-Dec,89.90%,92.00%,32.1,2.49,140
128,Miami OH,MAC,106.1,102.6,0.5956,20-11,8-Dec,97.20%,97.80%,1.5,2.58,27
129,Cleveland St.,Horz,106.8,103.3,0.5953,20-11,15-7,91.90%,94.30%,2.1,2.93,134
130,Pacific,WCC,102.7,99.3,0.5953,18-13,9-Jul,57.10%,54.30%,12.5,2.43,174
131,Akron,MAC,103,99.6,0.5953,19-10,13-7,72.50%,59.60%,26.4,2.57,126
132,Boston College,ACC,103.1,99.9,0.5894,13-16,14-Jun,41.30%,33.90%,33.4,1.96,119
133,South Carolina,SEC,100.1,97,0.5871,14-16,12-Jun,40.30%,40.30%,32.9,2.34,237
134,Davidson,A10,105.5,102.4,0.5862,15-12,8-Oct,63.50%,60.30%,38.2,1.95,47
135,Toledo,MAC,104.1,101,0.5848,17-12,8-Dec,59.20%,54.60%,2.4,1.94,55
136,Seattle,WAC,104,101.2,0.5785,23-9,6-Dec,95.70%,95.50%,0.4,2.33,92
137,North Texas,CUSA,99.1,96.5,0.5777,13-14,9-Sep,49.10%,40.20%,14.7,2.33,124
138,Utah,P12,103.3,100.7,0.5738,17-Dec,14-Jun,27.30%,22.90%,40.3,2.28,267
139,Chattanooga,SC,103.1,100.5,0.5733,20-11,6-Dec,87.20%,82.00%,13.2,2.58,69
140,Southern Miss,CUSA,101.6,99.1,0.5729,18-13,9-Sep,71.50%,70.20%,0,2.4,155
141,Weber St.,BSky,106.8,104.4,0.5668,21-10,14-6,82.60%,78.50%,13,2.56,162
142,Furman,SC,101.5,99.2,0.5651,19-12,6-Dec,72.30%,64.90%,0,2.45,32
143,North Dakota St.,Sum,102.5,100.3,0.5626,22-10,13-5,93.60%,92.90%,1.4,2.35,65
144,Grand Canyon,WAC,104.6,102.3,0.5626,19-12,7-Nov,47.50%,44.70%,30.5,2.37,252
145,Eastern Kentucky,ASun,104.7,102.4,0.5623,20-11,5-Nov,66.50%,50.10%,13.4,2.47,225
146,Morehead St.,OVC,104.5,102.3,0.5618,20-11,6-Dec,56.30%,57.30%,0,2.15,252
147,San Diego,WCC,102.3,100.3,0.5564,15-14,9-Jul,42.60%,43.30%,23.7,2.61,216
148,Saint Peter's,MAAC,98.1,96.2,0.5555,17-12,8-Dec,84.20%,88.20%,0,2.24,90
149,Minnesota,B10,101.1,99.2,0.5547,18-Nov,15-May,7.90%,5.80%,16.6,2.42,252
150,Navy,Pat,103.5,101.7,0.5486,19-10,13-5,87.60%,82.30%,0,2.47,0
151,Missouri,SEC,100.4,98.8,0.5476,18-Nov,13-May,19.70%,19.20%,41.9,1.63,174
152,UTEP,CUSA,100.6,98.9,0.5467,15-14,9-Sep,75.60%,71.60%,35.1,2.51,168
153,Montana,BSky,101.8,100.2,0.546,21-10,14-6,89.60%,85.60%,0,1.77,77
154,Charlotte,CUSA,102.3,100.7,0.5452,16-13,9-Sep,52.80%,50.30%,38.6,2.43,307
155,Abilene Christian,WAC,97.4,96,0.5415,19-10,7-Nov,74.20%,61.60%,0,2.4,88
156,Louisiana Lafayette,SB,104.9,103.6,0.5336,18-11,7-Nov,61.10%,50.50%,37.3,2.56,349
157,Yale,Ivy,102.3,101.3,0.5303,18-10,4-Oct,52.70%,50.40%,3.3,1.61,31
158,Pittsburgh,ACC,100.5,99.5,0.5303,19-Dec,15-May,48.10%,36.70%,27.9,2,151
159,Stephen F. Austin,WAC,102.1,101,0.5302,18-11,7-Nov,77.80%,75.30%,4.3,2.51,100
160,Northern Kentucky,Horz,103.8,102.7,0.5298,20-11,14-8,85.20%,90.80%,4,2.49,68
161,Indiana St.,MVC,100.4,99.6,0.5235,15-14,10-Aug,40.10%,41.50%,10.1,1.56,129
162,Texas St.,SB,98.4,97.7,0.5224,18-11,7-Nov,76.10%,72.50%,0,2.17,60
163,Stony Brook,AE,101.3,100.6,0.5219,19-12,6-Dec,80.70%,80.40%,4.3,2.85,322
164,Winthrop,BSth,101.6,100.8,0.5214,17-11,5-Nov,55.60%,49.10%,13,2.52,191
165,Delaware,CAA,101.9,101.2,0.5192,18-11,7-Nov,96.40%,96.90%,10.9,2.28,96
166,East Tennessee St.,SC,100.5,99.9,0.5171,17-12,7-Nov,67.20%,68.50%,3.1,2.48,65
167,UNC Greensboro,SC,100.2,99.8,0.5113,19-12,7-Nov,51.20%,44.30%,24.1,2.54,146
168,Valparaiso,MVC,103.9,103.5,0.5108,15-14,11-Jul,48.80%,43.10%,25,2.14,274
169,George Mason,A10,100.9,100.6,0.5096,15-16,10-Aug,37.60%,34.20%,27.7,2.24,201
170,Sam Houston St.,WAC,102.3,102.1,0.5065,17-12,7-Nov,67.90%,53.20%,15.6,2.48,135
171,Merrimack,NEC,97.6,97.4,0.5063,19-12,6-Dec,99.00%,99.30%,0,2.28,11
172,East Carolina,Amer,101.5,101.4,0.5031,16-Dec,12-Jun,46.80%,45.10%,20.6,2.49,193
173,Arkansas St.,SB,104.8,104.7,0.5021,19-11,7-Nov,100.00%,100.00%,7.6,2.31,88
