player_name,sample_size,baseline,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Gay, Brian",150,-1.325,50,-0.059,-0.098,-0.002,-0.152,-0.046,0.057,-0.006,0.072,0.122,-1.560,2.626,"Rocket Mortgage Classic","Detroit Golf Club"
"Watney, Nick",150,-1.349,41,-0.028,0.015,-0.084,-0.138,-0.032,0.001,-0.033,0.032,0.000,-1.616,2.662,"Rocket Mortgage Classic","Detroit Golf Club"
"Gainey, Tommy",150,-1.628,46,-0.047,0.008,-0.014,0.009,-0.040,0.024,-0.005,0.073,0.092,-1.621,2.677,"Rocket Mortgage Classic","Detroit Golf Club"
"Bryan, Wesley",150,-1.137,32,0.001,0.035,-0.214,-0.349,0.014,0.023,-0.038,0.017,0.002,-1.650,2.705,"Rocket Mortgage Classic","Detroit Golf Club"
"Flores, Erik",49,-1.584,35,-0.027,0.000,-0.227,0.003,-0.040,0.020,-0.010,0.074,0.084,-1.792,2.670,"Rocket Mortgage Classic","Detroit Golf Club"
"Guthrie, Luke",150,-1.927,32,0.001,-0.005,-0.001,0.006,-0.040,0.012,-0.023,0.059,0.048,-1.919,2.656,"Rocket Mortgage Classic","Detroit Golf Club"
"Love III, Davis",150,-2.223,58,-0.084,-0.023,-0.127,-0.014,-0.040,0.049,0.006,0.096,0.151,-2.360,2.620,"Rocket Mortgage Classic","Detroit Golf Club"
"Limbhasut, KK",150,-2.309,26,0.020,0.000,-0.286,0.012,-0.040,0.014,-0.019,0.114,0.109,-2.493,2.635,"Rocket Mortgage Classic","Detroit Golf Club"
"Worthington II, Wyatt",6,-3.059,35,-0.029,0.172,0.039,0.023,-0.040,-0.006,-0.024,0.141,0.112,-2.783,2.698,"Rocket Mortgage Classic","Detroit Golf Club"
"Ogilvy, Geoff",150,-2.339,45,-0.041,0.014,-0.500,-0.031,-0.040,0.030,-0.003,0.110,0.137,-2.800,2.636,"Rocket Mortgage Classic","Detroit Golf Club"
"Cook, Ben",77,-2.735,28,0.026,-0.002,-0.374,0.039,-0.040,-0.004,0.009,0.117,0.122,-2.964,2.652,"Rocket Mortgage Classic","Detroit Golf Club"
