player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Jesse Luketa,81361,LB,ARZ,4,0,1,0,1,0,0,1,0,56.3,9,1,5.6,0,0,0,0,57.1,16,28,1,3.1,0,0,0,0,43.8,7,0,0.0,0,0,0,0,0,0
William Gholston,7908,DI,TB,4,0,30,0,2,0,0,2,0,56.3,18,2,5.6,0,0,0,0,100.0,32,32,2,3.1,0,0,0,0,43.8,14,0,0.0,0,0,0,0,0,0
Jermaine Johnson,99015,ED,NYJ,4,0,22,0,4,0,0,1,0,19.6,20,1,2.5,0,0,0,0,100.0,102,102,5,2.9,0,0,3,0,80.4,82,4,3.0,1,2,2,1,2,2
Tyquan Lewis,48475,ED,IND,4,0,14,0,3,0,0,3,1,62.7,32,3,4.7,0,0,0,1,100.0,52,52,3,2.9,0,0,0,0,37.3,19,0,0.0,0,0,0,0,0,0
Nolan Smith,99014,ED,PHI,4,1,24,1,0,0,0,0,0,17.6,3,0,0.0,0,0,0,0,85.0,17,20,1,2.9,1,1,0,0,82.4,14,1,3.6,0,0,0,0,0,0
David Ojabo,101420,ED,BLT,3,0,3,0,1,0,0,1,0,66.7,34,2,4.4,1,1,0,0,85.0,51,60,2,2.9,0,0,0,0,33.3,17,0,0.0,0,0,0,1,1,0
Armon Watts,27844,DI,PIT,3,0,25,0,2,0,0,1,1,55.9,19,1,2.6,0,0,0,1,100.0,35,35,2,2.9,0,0,1,0,44.1,15,1,3.3,0,0,0,0,0,0
Jonah Williams,44597,DI,LA,4,0,26,0,3,0,0,2,0,50.0,27,2,3.7,0,0,0,0,100.0,54,54,3,2.8,0,0,1,0,50.0,27,1,1.9,0,0,0,0,0,0
Yaya Diaby,122705,ED,TB,4,0,30,0,1,0,0,0,0,61.1,33,1,3.0,1,2,2,0,87.1,54,62,2,2.8,0,0,1,0,38.9,21,1,2.4,0,0,0,1,2,2
Kingsley Enagbare,82409,ED,GB,4,0,12,1,2,0,0,2,0,72.2,39,2,2.6,0,0,0,0,90.0,54,60,3,2.8,0,1,0,0,27.8,15,1,3.3,0,0,0,0,0,0
Clelin Ferrell,25955,ED,SF,4,0,28,3,2,0,0,0,0,18.0,16,0,0.0,0,1,1,1,100.0,89,89,5,2.8,0,3,2,1,82.0,73,5,3.4,0,2,2,0,3,3
Raekwon Davis,44582,DI,MIA,4,0,17,0,4,0,0,1,0,14.9,10,1,5.0,0,0,1,0,100.0,71,71,4,2.8,0,0,3,0,85.1,57,3,2.6,0,1,1,0,1,2
Harold Landry III,48600,ED,TEN,4,1,31,1,2,1,1,2,0,95.7,90,4,2.8,1,2,1,0,83.9,94,112,4,2.7,0,0,0,0,4.3,4,0,0.0,0,0,0,1,2,1
Al Woods,5646,DI,NYJ,3,0,22,0,0,0,0,0,0,50.0,18,1,5.6,1,1,0,0,100.0,37,37,1,2.7,0,0,0,0,50.0,18,0,0.0,0,0,0,1,1,0
Nathan Shepherd,24614,DI,NO,4,1,20,1,1,0,1,0,0,46.7,35,1,1.4,0,0,0,0,98.7,75,76,3,2.7,1,0,1,0,53.3,40,2,3.8,1,1,0,1,1,0
Derrick Brown,43883,DI,CAR,4,1,5,1,3,1,1,2,0,84.3,91,4,2.7,1,2,3,0,100.0,110,110,5,2.7,0,0,1,0,15.7,17,1,2.9,0,0,0,1,2,3
Montravius Adams,11848,DI,PIT,4,0,25,0,5,0,0,1,0,18.1,13,1,3.8,0,0,0,1,100.0,97,97,5,2.6,0,0,4,1,81.9,59,4,3.4,0,0,1,0,0,1
Will McDonald IV,76842,ED,NYJ,3,0,22,0,1,0,0,1,0,63.2,12,1,4.2,0,0,0,0,100.0,19,19,1,2.6,0,0,0,0,36.8,7,0,0.0,0,1,1,0,1,1
Pat Jones II,43974,ED,MIN,4,0,18,0,4,0,0,1,0,48.6,36,1,1.4,0,0,0,0,86.7,78,90,4,2.6,0,0,3,0,51.4,38,3,3.9,0,0,0,0,1,1
