Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Cameron Brate (21037918),Cameron Brate,21037918,TE/FLEX,2700,LAR@TB 01/23/2022 03:00PM ET,TB,4.69
TE,Marcedes Lewis (21037920),Marcedes Lewis,21037920,TE/FLEX,2600,SF@GB 01/22/2022 08:15PM ET,GB,2.61
DST,Bills  (21037994),Bills ,21037994,DST,2600,BUF@KC 01/23/2022 06:30PM ET,BUF,8.94
TE,Ryan Izzo (21037968),Ryan Izzo,21037968,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,TEN,0
TE,MyCole Pruitt (21037970),MyCole Pruitt,21037970,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,TEN,3.03
TE,Tommy Hudson (21037972),Tommy Hudson,21037972,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,TEN,1.22
TE,Briley Moore-McKinney (21037974),Briley Moore-McKinney,21037974,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,TEN,0
TE,Austin Fort (21037976),Austin Fort,21037976,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,TEN,0
TE,Drew Sample (21037978),Drew Sample,21037978,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,CIN,1.06
TE,Mitchell Wilcox (21037980),Mitchell Wilcox,21037980,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,CIN,0.29
TE,Chris Myarick (21037982),Chris Myarick,21037982,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,CIN,1.34
TE,Scotty Washington (21037984),Scotty Washington,21037984,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,CIN,0
TE,Clark Harris (21037986),Clark Harris,21037986,TE/FLEX,2500,CIN@TEN 01/22/2022 04:30PM ET,CIN,0
TE,Charlie Woerner (21037952),Charlie Woerner,21037952,TE/FLEX,2500,SF@GB 01/22/2022 08:15PM ET,SF,0.57
TE,Ross Dwelley (21037954),Ross Dwelley,21037954,TE/FLEX,2500,SF@GB 01/22/2022 08:15PM ET,SF,0.84
