"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"396","Feleipe Franks","ATL","qb","6","NE","0.6","0.5265","0.734","5.9213","0.0368","0.0195","0.0651","0.2788","1.0239","0.0158","0","0","0","0","0.0272","0.0136","0.0026","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397","Blaine Gabbert","TB","qb","9","NYG","0.5","0.549","0.7301","6.5942","0.0489","0.0199","0.0461","0.0677","0.2856","0.0025","0","0","0","0","0.0131","0.0066","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398","Chad Henne","KC","qb","12","DAL","0.4","0.4939","0.758","5.825","0.0387","0.0201","0.0484","0.0465","0.2707","0.0024","0","0","0","0","0.0115","0.0057","0.0016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"399","Chase Daniel","LAC","qb","7","PIT","0.4","0.4878","0.7037","5.9225","0.0339","0.0203","0.0601","0.0647","0.2541","0.0022","0","0","0","0","0.0107","0.0054","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","Brian Hoyer","NE","qb","14","@ATL","0.4","0.5021","0.7393","5.714","0.0424","0.0114","0.035","0.0373","0.2275","0.002","0","0","0","0","0.0127","0.0063","0.002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401","Colt McCoy","ARZ","qb","12","@SEA","0.4","0.4752","0.7255","5.0124","0.0348","0.0166","0.051","0.0716","0.2842","0.002","0","0","0","0","0.0121","0.0061","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","Sean Mannion","MIN","qb","7","GB","0.4","0.4888","0.7224","5.5574","0.0324","0.0292","0.0431","0.0346","0.2541","0.0022","0","0","0","0","0.0111","0.0055","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"403","Brandon Allen","CIN","qb","10","@LV","0.4","0.5108","0.748","6.2843","0.0403","0.0238","0.0598","0.0541","0.277","0.002","0","0","0","0","0.0101","0.005","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","Mitchell Trubisky","BUF","qb","7","IND","0.4","0.4693","0.7092","5.5094","0.0362","0.0169","0.0433","0.0691","0.3206","0.0028","0","0","0","0","0.0089","0.0045","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"405","Cooper Rush","DAL","qb","7","@KC","0.4","0.4844","0.7315","5.7488","0.0315","0.0242","0.0502","0.0338","0.2537","0.001","0","0","0","0","0.0102","0.0051","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"406","Jordan Love","GB","qb","13","@MIN","0.4","0.4884","0.7083","5.7897","0.0427","0.0196","0.0533","0.0682","0.2578","0.0027","0","0","0","0","0.0113","0.0056","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","Tyler Huntley","BLT","qb","8","@CHI","0.4","0.3787","0.6372","4.5329","0.0274","0.0144","0.0511","0.0686","0.5665","0.0038","0","0","0","0","0.0115","0.0057","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408","Logan Woodside","TEN","qb","13","HST","0.4","0.4223","0.6073","4.9635","0.0444","0.0162","0.0424","0.0652","0.2752","0.0031","0","0","0","0","0.0105","0.0052","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","Andy Dalton","CHI","qb","10","BLT","0.3","0.3805","0.7045","4.1742","0.0238","0.0195","0.041","0.05","0.1854","0.0033","0","0","0","0","0.0079","0.0039","0.0015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"410","Geno Smith","SEA","qb","9","ARZ","0.3","0.433","0.6719","5.2403","0.0305","0.0297","0.0647","0.0711","0.2849","0.0023","0","0","0","0","0.0109","0.0055","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","Mike Glennon","NYG","qb","10","@TB","0.3","0.4442","0.7521","5.2435","0.0283","0.0205","0.0518","0.0318","0.2427","0.0019","0","0","0","0","0.0114","0.0057","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"412","C.J. Beathard","JAX","qb","7","SF","0.3","0.4546","0.7289","4.8215","0.0235","0.0261","0.0509","0.0467","0.2852","0.0025","0","0","0","0","0.012","0.006","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"413","Phillip Walker","CAR","qb","13","WAS","0.3","0.4476","0.7019","4.9067","0.0254","0.032","0.0534","0.0522","0.276","0.0025","0","0","0","0","0.0116","0.0058","0.0007","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"414","Kyle Allen","WAS","qb","9","@CAR","0.3","0.4317","0.674","4.8067","0.0216","0.0173","0.0529","0.0577","0.2246","0.0031","0","0","0","0","0.0147","0.0073","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"415","Gardner Minshew","PHI","qb","14","NO","0.3","0.3632","0.6813","4.1439","0.0227","0.0143","0.0515","0.0879","0.4342","0.0016","0","0","0","0","0.0134","0.0067","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416","Dwayne Haskins","PIT","qb","7","@LAC","0.3","0.4885","0.6992","4.8747","0.03","0.0257","0.0699","0.0606","0.2982","0.0022","0","0","0","0","0.0141","0.0071","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"417","Jacob Eason","SEA","qb","9","ARZ","0.3","0.4279","0.6705","4.4236","0.0219","0.0228","0.0563","0.0632","0.181","0.0022","0","0","0","0","0.0111","0.0055","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"418","Davis Mills","HST","qb","10","@TEN","0.3","0.4169","0.7158","4.6193","0.0189","0.0296","0.0614","0.0446","0.2941","0.0019","0","0","0","0","0.012","0.006","0.0012","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"419","Browns DST","CLV","dst","13","DET","9.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6702","0.0355","0.9863","0.972","0.486","0.181","79.7739","0.0613","0.0505","0.0987","0.2178","0.2736","0.2149","0.1054","0.0392","0","0","0","0","0","0","0","0","0","0"
"419","Jason Myers","SEA","k","9","ARZ","9.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0982","0.0986","0.5403","0.5917","0.8349","1.0247","0.3438","0.5157","2.294","2.4704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"420","Robbie Gould","SF","k","6","@JAX","9.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2042","0.2042","0.4085","0.4901","0.6944","0.804","0.3676","0.8823","2.7036","2.7816","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"421","Harrison Butker","KC","k","12","DAL","9.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0691","0","0.3454","0.3454","0.5872","0.6323","0.3799","0.4342","0.3799","0.4968","2.8115","3.0233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
