player_name,sg_putt_pred,sg_putt_rank,sg_arg_pred,sg_arg_rank,sg_app_pred,sg_app_rank,sg_ott_pred,sg_ott_rank,sg_total_pred,sg_total_rank,distance_pred,distance_rank,accuracy_pred,accuracy_rank
"Hodges, Lee",-0.065,221,-0.062,225,0.296,59,0.307,58,0.475,82,1.065,178,0.036,86
"Munoz, Sebastian",-0.040,198,-0.015,194,0.265,64,0.169,89,0.379,93,1.044,179,0.061,33
"Kizzire, Patton",0.026,157,0.021,151,0.033,136,-0.183,219,-0.103,150,1.032,180,-0.015,257
"Hughes, Mackenzie",0.309,35,0.203,38,-0.089,179,-0.221,237,0.202,112,0.993,181,-0.038,321
"Lee, Kyounghoon",0.134,90,0.149,58,0.148,102,0.168,90,0.599,61,0.982,182,0.017,137
"Im, Sungjae",0.343,29,0.259,18,0.337,49,0.484,27,1.424,16,0.922,183,0.059,40
"Grillo, Emiliano",0.049,143,-0.132,283,0.380,44,0.244,74,0.541,75,0.890,184,0.039,77
"Campillo, Jorge",-0.023,188,0.173,49,-0.155,203,-0.157,207,-0.162,157,0.854,185,-0.009,225
"Li, Haotong",0.145,85,-0.311,399,-0.779,379,-1.605,427,-2.549,414,0.828,186,-0.141,430
"Harrington, Padraig",-0.114,256,0.176,48,0.120,111,0.015,138,0.197,113,0.739,187,-0.019,270
"Hansen, Joachim B",-0.238,348,-0.646,430,-1.510,427,-1.462,421,-3.855,430,0.707,188,-0.048,350
"Smotherman, Austin",0.033,152,-0.108,263,-0.141,198,-0.058,168,-0.274,173,0.653,189,0.013,154
"Jamieson, Scott",0.367,26,-0.004,183,-0.710,370,-0.066,172,-0.412,196,0.639,190,-0.034,307
"Wilson, Andrew",-0.037,196,-0.279,386,-0.570,343,-0.195,224,-1.080,311,0.571,191,-0.013,240
"Berger, Daniel",-0.070,226,0.045,136,0.223,76,-0.085,179,0.113,125,0.558,192,0.058,41
"Garcia-Heredia, Alfredo",-0.287,375,-0.126,279,-0.576,344,-0.204,230,-1.193,328,0.550,193,-0.042,333
"Morikawa, Collin",0.015,167,0.019,153,1.046,3,0.470,31,1.550,13,0.530,194,0.086,14
"Lahiri, Anirban",-0.108,252,0.033,141,0.129,108,0.438,35,0.491,80,0.447,195,0.018,135
"Hill, Calum",0.230,65,-0.198,338,-0.417,307,-0.202,228,-0.586,225,0.333,196,0.005,174
"Gavins, Daniel",-0.055,212,0.057,120,-0.384,286,-0.606,345,-0.989,296,0.209,197,-0.064,380
"Samooja, Kalle",-0.114,257,-0.122,274,-0.218,233,-0.188,220,-0.643,237,0.153,198,-0.007,215
"Rose, Justin",0.354,27,0.210,34,0.503,30,-0.036,156,1.031,33,0.131,199,0.037,81
"Siem, Marcel",-0.211,325,-0.075,237,0.082,121,-0.079,178,-0.283,175,0.115,200,-0.017,262
"Hall, Harry",0.300,40,0.239,24,-0.179,218,-0.211,234,0.150,121,0.086,201,-0.037,316
"Echavarria, Nicolas",0.042,147,-0.144,300,-0.378,283,-0.133,193,-0.613,230,0.076,202,-0.012,237
"Gooch, Talor",0.113,100,0.160,54,0.497,32,0.128,103,0.898,39,0.002,203,0.047,58
"Matsuyama, Hideki",-0.014,179,0.322,3,0.760,7,0.165,92,1.233,26,-0.044,204,0.027,105
"Howie, Craig",-0.119,261,-0.085,244,-0.465,324,-0.166,214,-0.835,273,-0.183,205,0.007,171
"Von Dellingshausen, Nicolai",0.106,102,-0.216,352,-0.502,331,-0.909,396,-1.521,355,-0.204,206,-0.076,401
"Alexander, Tyson",-0.141,282,-0.053,215,-0.446,318,-0.483,324,-1.123,317,-0.281,207,-0.075,399
"Lebioda, Hank",-0.181,310,-0.137,292,-0.376,282,-0.454,316,-1.148,318,-0.414,208,-0.008,218
"Coetzee, George",0.205,72,-0.062,224,-0.525,336,-0.663,363,-1.046,306,-0.443,209,-0.067,388
"Skinns, David",0.164,79,0.074,102,0.042,132,-0.463,318,-0.182,159,-0.515,210,-0.052,359
"Long, Hurly",-0.177,308,-0.025,199,-0.146,199,-0.400,300,-0.748,258,-0.523,211,-0.062,372
"Garcia Rodriguez, Sebastian",-0.036,195,-0.007,185,-0.972,403,-0.893,390,-1.908,386,-0.550,212,-0.091,413
"Haas, Bill",-0.058,215,0.141,62,-0.634,356,-0.298,263,-0.848,276,-0.712,213,-0.040,326
"Porteous, Haydn",-0.343,390,-0.063,226,-1.438,426,-1.517,423,-3.361,425,-0.827,214,-0.111,426
"Wiesberger, Bernd",-0.547,422,0.062,112,0.217,78,-0.204,229,-0.471,207,-0.831,215,0.010,162
"Grace, Branden",-0.157,290,0.099,87,0.366,46,0.322,55,0.631,58,-0.833,216,0.009,168
"Kim, Tom",0.081,117,0.053,129,0.634,14,0.293,62,1.061,32,-0.854,217,0.084,15
"Wu, Dylan",0.037,151,-0.018,196,0.225,75,0.080,118,0.325,95,-0.990,218,0.014,149
"Suh, Justin",0.416,22,-0.153,310,-0.033,156,0.003,142,0.233,108,-0.999,219,0.032,95
"Tringale, Cameron",0.092,108,0.086,94,0.260,65,0.089,113,0.528,76,-1.071,220,0.010,161
"Suri, Julian",-0.220,333,0.055,122,-1.290,424,-0.592,341,-2.048,394,-1.091,221,-0.060,371
"Novak, Andrew",0.064,134,0.075,101,0.011,144,-0.193,222,-0.043,145,-1.183,222,-0.026,290
"Lorenzo-Vera, Michael",-0.091,239,-0.036,210,-0.361,278,-0.119,188,-0.608,228,-1.199,223,-0.023,284
"Olesen, Thorbjorn",0.023,161,0.023,150,0.020,140,-0.132,192,-0.067,147,-1.218,224,0.004,181
"Spaun, J.J.",-0.016,183,0.108,84,0.352,48,0.150,95,0.595,63,-1.221,225,0.044,65
"Southgate, Matthew",-0.261,360,-0.314,400,0.170,94,0.072,120,-0.333,184,-1.332,226,0.023,117
"Dubuisson, Victor",-0.472,418,-0.218,354,-0.550,340,-0.704,370,-1.944,388,-1.336,227,-0.027,293
"Hadley, Chesson",0.052,141,-0.318,401,0.011,143,-0.164,211,-0.419,199,-1.364,228,-0.019,273
"Kofstad, Espen",-0.129,275,-0.250,375,-0.667,365,-0.323,269,-1.369,350,-1.402,229,-0.011,231
"Horschel, Billy",0.267,52,0.061,116,-0.150,200,-0.156,206,0.022,139,-1.420,230,0.021,123
"Cole, Eric",0.328,31,0.168,51,0.195,85,-0.077,176,0.614,60,-1.502,231,-0.042,336
"Fitzpatrick, Alex",-0.167,297,-0.149,303,-0.064,167,-0.575,338,-0.955,289,-1.566,232,-0.046,346
"Kim, Si Woo",0.068,125,0.165,53,0.573,21,0.476,30,1.282,21,-1.633,233,0.094,10
"Paratore, Renato",0.427,21,0.011,161,-0.777,378,-0.896,391,-1.234,332,-1.642,234,-0.054,363
"Hoge, Tom",-0.068,225,0.003,171,0.433,36,-0.146,202,0.222,109,-1.761,235,0.025,110
"Pan, C.T.",0.055,138,0.087,93,0.153,99,0.024,135,0.320,96,-1.887,236,0.037,85
"Wu, Brandon",0.144,87,0.016,156,0.097,117,0.200,84,0.457,87,-1.980,237,0.030,98
"Hahn, James",-0.268,365,-0.132,284,-0.204,232,0.106,111,-0.498,210,-1.987,238,0.040,74
"Watney, Nick",-0.187,313,-0.172,321,-0.478,327,-1.251,417,-2.089,397,-1.992,239,-0.095,418
"English, Harris",0.497,11,0.247,21,0.038,133,-0.207,232,0.575,69,-2.091,240,0.030,97
"Streb, Robert",-0.307,382,0.017,155,-0.278,253,-0.170,215,-0.738,255,-2.104,241,-0.037,317
