"","Name","ID","Salary","ceil","fpts","total_points","fpts_avg","course_fit","final_prediction","win","residuals","proj_own_avg","own_change","own"
"23","Maverick McNealy",28225693,7700,75.35,52.09,62.2,57.15,1.16,-0.023,0.0043,-0.63,6.31,4.9,0.1
"24","Taylor Pendrith",28225694,7700,78.5,56.62,65.6,61.11,0.01,0.134,0.0072,-0.25,6.65,-0.08,0.05
"25","Harry Hall",28225695,7600,76,53.23,63.9,58.56,0.79,0.106,0.0056,-0.38,6.96,3.37,0.1
"26","Aaron Rai",28225697,7600,79,57.6,70.6,64.1,1.12,0.523,0.0127,0.55,9.3,5.32,0.15
"27","Lee Hodges",28225699,7500,78.5,57.74,71.1,64.42,0.64,0.464,0.0123,0.59,10.41,3.17,0.15
"28","Brandon Wu",28225700,7500,76.5,54.53,68,61.26,0.66,0.31,0.0088,0.12,7.11,3.03,0.1
"29","Vincent Norrman",28225701,7500,78,55.44,67.2,61.32,0.43,0.254,0.0086,0.1,10.5,1.99,0.1
"30","David Lipsky",28225702,7400,76,53.01,64.8,58.91,0.61,0.117,0.0069,-0.04,8.3,2.72,0.1
"31","Mackenzie Hughes",28225703,7400,73.5,49.77,67.1,58.44,0.93,0.301,0.0089,0.23,9.15,4.3,0.15
"32","Will Gordon",28225705,7400,77,54.6,68.6,61.6,0.58,0.329,0.0103,0.42,6.82,2.82,0.1
"33","Webb Simpson",28225706,7300,73,49.08,56,52.54,0.37,-0.451,0.0024,-0.55,3.28,1.39,0.05
"34","Ben Martin",28225707,7300,78.5,57.4,64.8,61.1,0.19,0.134,0.0068,0.05,8.89,0.88,0.1
"35","Mark Hubbard",28225708,7300,78,56.55,68,62.27,0.81,0.36,0.0089,0.34,15.57,3.82,0.2
"36","Nate Lashley",28225709,7300,76.5,53.84,61,57.42,0.65,-0.021,0.0045,-0.26,4.42,2.8,0.05
"37","Seonghyeon Kim",28225710,7300,77.5,55.03,69.7,62.37,0.6,0.406,0.0112,0.65,6.44,3.02,0.1
"38","Akshay Bhatia",28225711,7200,75.5,52.04,66.4,59.22,0.07,0.223,0.008,0.34,6.46,0.49,0.05
"39","Doug Ghim",28225713,7200,76,53.52,62.2,57.86,0.45,-0.037,0.0056,0.01,4.84,2.03,0.05
"40","Cameron Champ",28225714,7200,73.5,49.12,58.6,53.86,-0.63,-0.311,0.0035,-0.28,1.83,-2.98,0.05
"41","Aaron Baddeley",28225715,7200,72,48.87,57.9,53.38,0.18,-0.334,0.0029,-0.37,4,0.62,0.05
"42","Garrick Higgo",28225717,7100,74,50.44,67.1,58.77,0.16,0.272,0.0089,0.59,4.97,1.02,0.05
"43","Robby Shelton",28225718,7100,72.5,49.04,65.4,57.22,0.66,0.19,0.0075,0.4,3.87,3.17,0.05
"44","C.T. Pan",28225719,7100,80,60.53,61.8,61.16,0.5,-0.091,0.0044,-0.04,7.44,2.23,0.1
"45","Patton Kizzire",28225720,7100,72.5,48.3,60.4,54.35,0.32,-0.142,0.0043,-0.05,2.15,1.42,0.05
"46","Chez Reavie",28225721,7100,70.5,45.95,57.8,51.88,0.12,-0.327,0.0028,-0.27,4.44,0.4,0.05
"47","Scott Piercy",28225722,7100,75,51.06,60.8,55.93,-0.06,-0.112,0.0041,-0.08,1.95,-0.31,0.05
"48","Carson Young",28225723,7100,77.5,55.09,59.9,57.5,0.03,-0.206,0.003,-0.24,11.28,0.01,0.1
"49","Dylan Wu",28225724,7000,76.5,54.4,63.6,59,0.42,0.088,0.0064,0.37,7.93,2.07,0.1
"50","Lanto Griffin",28225726,7000,70.5,44.9,56.2,50.55,-0.37,-0.481,0.0023,-0.21,0.86,-1.77,0.05
"51","Aaron Cockerill",28225727,7000,72.5,47.64,58.3,52.97,0.02,-0.326,0.0033,-0.07,5.61,0.06,0.05
"52","Chad Ramey",28225728,7000,62.5,37.03,56.9,46.97,0.01,-0.423,0.0028,-0.14,0.9,-0.03,0.05
"53","Brandt Snedeker",28225729,7000,69.5,44.05,56.6,50.33,0.03,-0.394,0.003,-0.11,3.02,0.08,0.05
"54","Augusto Nunez",28225730,7000,70,45.22,56.9,51.06,-0.23,-0.359,0.0028,-0.14,0.68,-1.11,0.05
"55","Andrew Novak",28225731,7000,73,49.75,58.9,54.33,-0.09,-0.245,0.0034,-0.05,2.58,-0.43,0.05
"56","MJ Daffue",28225735,6900,70.5,44.71,58.4,51.56,-0.5,-0.264,0.003,0.01,1.22,-2.24,0
"57","Austin Smotherman",28225739,6900,72.5,48.67,58.4,53.53,-0.02,-0.326,0.003,0.01,4.02,-0.09,0
"58","Kevin Chappell",28225740,6900,73,48.43,55.9,52.16,-0.57,-0.49,0.0021,-0.12,2.53,-2.62,0
"59","Tyler Duncan",28225742,6800,72.5,48.22,59,53.61,-0.38,-0.29,0.0031,0.14,1.06,-1.64,0
"60","Erik Van Rooyen",28225743,6800,70.5,45.97,50.3,48.13,-0.8,-0.9,9e-04,-0.19,1.47,-3.7,0
"61","Adam Long",28225744,6800,69.5,44.34,54.1,49.22,0.45,-0.52,0.0014,-0.11,0.69,1.97,0
"62","Doc Redman",28225745,6800,73,49.58,57.4,53.49,-0.45,-0.332,0.0028,0.09,2.12,-1.98,0
"63","Greyson Sigg",28225746,6800,72.5,48.15,59.3,53.72,0.15,-0.157,0.0029,0.11,1.26,0.73,0
"64","James Hahn",28225747,6800,71,46.66,55,50.83,-0.47,-0.512,0.0024,0.03,0.56,-2.1,0
"65","Seung-Yul Noh",28225748,6800,58.5,32.89,52.8,42.84,-0.01,-0.67,0.0012,-0.14,0.76,-0.12,0
"66","Vince Whaley",28225749,6800,61,34.87,55.2,45.03,-0.21,-0.508,0.0017,-0.07,0.52,-0.98,0
"67","Lucas Glover",28225750,6700,69,43.82,55.2,49.51,-0.55,-0.503,0.0023,0.08,1.32,-2.44,0
"68","Kramer Hickok",28225751,6700,74,49.6,58.6,54.1,-0.06,-0.198,0.0029,0.17,2.54,-0.18,0
"69","Peter Malnati",28225752,6700,65,39.47,52,45.74,0.11,-0.696,0.0014,-0.05,0.38,0.47,0
"70","Callum Tarren",28225753,6700,71.5,46.22,56.9,51.56,-0.93,-0.439,0.0027,0.14,1.25,-4.12,0
"71","Justin Lower",28225754,6700,61,35.08,55.8,45.44,-0.1,-0.419,0.0016,-0.02,0.9,-0.46,0
"72","Sean O'Hair",28225755,6700,72.85,47.7,54.5,51.1,-0.09,-0.602,0.0013,-0.07,0.82,-0.44,0
"73","Henrik Norlander",28225756,6700,65.5,39.71,53.4,46.56,-0.32,-0.644,0.0011,-0.1,0.36,-1.49,0
"74","Brice Garnett",28225757,6700,71.5,46.98,53.7,50.34,0.12,-0.632,0.0013,-0.07,0.58,0.5,0
"75","Jonathan Byrd",28225758,6700,67,42.3,49.8,46.05,-0.39,-0.829,0.0011,-0.1,0.45,-1.81,0
"76","Kevin Tway",28225759,6600,70,45.76,57.6,51.68,-0.37,-0.3,0.0025,0.18,0.94,-1.57,0
"77","Chesson Hadley",28225760,6600,66,39.97,55.3,47.63,-0.7,-0.517,0.0021,0.12,0.69,-3.09,0
"78","Martin Laird",28225761,6600,69.5,44.27,51.8,48.03,0.04,-0.727,0.0011,-0.03,0.48,0.16,0
"79","Hank Lebioda",28225765,6600,65.5,39.46,52,45.73,-0.28,-0.761,0.0011,-0.03,0.86,-1.28,0
"80","Kevin Roy",28225766,6600,70.5,45.35,50.8,48.08,-0.71,-0.82,0.001,-0.05,0.81,-3.22,0
"81","Martin Trainer",28225767,6600,56,31.18,48.1,39.64,-0.67,-1.116,7e-04,-0.09,0.12,-3.06,0
"82","Austin Cook",28225768,6500,66,39.08,50.4,44.74,-0.12,-0.867,8e-04,-0.03,0.29,-0.56,0
"83","Harry Higgs",28225769,6500,55,31.11,50.1,40.61,-0.59,-0.976,0.001,0,0.48,-2.66,0
"84","Cameron Percy",28225770,6500,71.5,46.83,49.8,48.31,-0.97,-0.864,8e-04,-0.03,0.53,-4.38,0
"85","David Lingmerth",28225771,6500,63.5,37.31,50.4,43.86,-0.27,-0.865,8e-04,-0.03,0.72,-1.23,0
"86","Chris Stroud",28225772,6500,68,41.89,51.7,46.8,-0.59,-0.703,0.0012,0.03,0.47,-2.64,0
"87","Robert Streb",28225775,6500,67.5,41.58,54.6,48.09,-0.55,-0.537,0.0016,0.1,0.17,-2.43,0
"88","Roger Sloan",28225776,6500,54.5,30.59,50.4,40.49,-0.94,-0.964,9e-04,-0.01,0.44,-4.23,0
"89","Brandon Matthews",28225777,6400,54.85,30.49,46.3,38.39,-2.07,-1.215,0,-0.11,0.34,-9.37,0
"90","Brent Grant",28225778,6400,54.5,30.56,51.4,40.98,-1.07,-0.8,0.0011,0.06,0.21,-4.78,0
"91","Ryan Armour",28225779,6400,70.5,45.2,51.5,48.35,-0.39,-0.754,0.001,0.05,1.05,-1.73,0
"92","Ryan Moore",28225780,6400,70.5,45.74,49.2,47.47,-0.54,-0.96,8e-04,0.01,1.23,-2.43,0
"93","Scott Harrington",28225782,6400,62.5,36.01,52.3,44.16,-0.81,-0.759,0.001,0.05,0.13,-3.62,0
"94","Trevor Cone",28225783,6400,66,39.89,46.2,43.05,-1.34,-1.19,0,-0.11,0.11,-6.09,0
"95","Bill Haas",28225784,6400,59.5,33.73,49.8,41.76,-0.4,-0.896,9e-04,0.03,0.34,-1.79,0
"96","Richy Werenski",28225785,6400,59,33.28,50.8,42.04,-0.52,-0.894,0.001,0.05,0.47,-2.32,0
"97","Kyle Westmoreland",28225786,6300,66.5,40.33,53.5,46.92,-0.99,-0.617,0.0019,0.23,0.86,-4.34,0
"98","Tyson Alexander",28225787,6300,55,30.86,48.2,39.53,-1.09,-1,7e-04,0.04,0.12,-4.89,0
"99","Harrison Endycott",28225789,6300,62,36.06,52.1,44.08,-0.36,-0.813,9e-04,0.07,0.52,-1.58,0
"100","Matthias Schwab",28225790,6300,59,32.96,52.7,42.83,-0.01,-0.7,0.0011,0.1,0.44,0.01,0
"101","Trevor Werbylo",28225791,6300,64.5,38.5,49.4,43.95,-1.26,-0.961,7e-04,0.04,0.36,-5.65,0
"102","Sung Kang",28225792,6300,57,31.45,44.8,38.12,-1.22,-1.37,0,-0.07,0.57,-5.53,0
"103","Michael Gligic",28225793,6300,67.5,41.26,50.7,45.98,-1.2,-0.862,6e-04,0.03,0.36,-5.39,0
"104","Ryan Brehm",28225794,6300,55,30.78,43.3,37.04,-1.97,-1.542,0,-0.07,0.14,-8.9,0
"105","Russell Knox",28225795,6200,62,35.68,45.5,40.59,-0.81,-1.227,0,-0.05,0.82,-3.67,0
"106","Jim Herman",28225796,6200,62,36.22,46.6,41.41,-1.13,-1.208,6e-04,0.05,0.03,-5.06,0
"107","Jason Dufner",28225799,6200,59.5,33.34,46.5,39.92,-1.52,-1.217,0,-0.05,0.1,-6.86,0
"108","William McGirt",28225800,6200,64.5,37.4,46.1,41.75,-0.69,-1.171,6e-04,0.05,0.15,-3.08,0
"109","Kelly Kraft",28225801,6200,55.5,31.42,45.4,38.41,-1.26,-1.279,0,-0.05,0.18,-5.7,0
"110","Nick Watney",28225803,6200,52,29.63,40.1,34.87,-1.63,-1.813,0,-0.05,0.04,-7.36,0
"111","Camilo Villegas",28225804,6100,57,31.47,46.3,38.88,-0.99,-1.202,0,-0.02,0.02,-4.46,0
"112","Brian Gay",28225806,6100,54,30.54,33.3,31.92,-1.81,-2.549,0,-0.02,0.12,-8.15,0
"113","Brian Stuard",28225807,6100,56.5,31.89,42,36.94,-0.72,-1.501,0,-0.02,0.16,-3.25,0
"114","Scott Brown",28239479,6100,56,31.56,44.6,38.08,-1.1,-1.344,0,-0.02,0.01,-4.96,0
"115","Andrew Landry",28225814,6000,51.35,29.59,41.4,35.49,-1.7,-1.727,0,-0.01,0.06,-7.65,0
"116","Max McGreevy",28225817,6000,53.5,29.79,43.1,36.44,-1.55,-1.575,0,-0.01,0.03,-6.98,0
"117","Wesley Bryan",28225818,6000,54.5,30.62,37.8,34.21,-1.67,-2.178,0,-0.01,0.25,-7.52,0
