player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Jack Gibbens,57662,LB,TEN,4,2,4.2,0,0,31,69.8,75.5,77.1,53.7,74.1,66.4,0.0,0,0,42,43,7.1,3,5
D'Marco Jackson,57691,LB,NO,4,3,2.0,0,0,20,60.7,61.0,79.1,52.3,62.3,80.3,0.0,0,0,31,33,6.5,2,2
Tony Fields II,57698,LB,CLV,1,1,3.0,0,0,8,64.2,74.4,70.3,59.4,71.7,76.1,0.0,0,0,8,8,12.5,1,1
Chandler Wooten,57726,LB,CAR,2,2,9.0,0,0,5,70.5,59.6,73.9,66.3,50.3,30.0,33.3,2,0,38,40,0.0,0,2
K.J. Britt,57727,LB,TB,8,8,4.0,0,0,30,32.3,37.7,2.3,65.5,54.3,43.8,16.7,6,2,156,164,7.1,11,22
Jalen Pitre,57737,CB,HST,9,6,2.3,0,0,13,69.3,71.1,50.4,56.2,77.5,58.4,18.2,4,3,187,191,5.3,10,12
Terrel Bernard,57739,LB,BUF,5,3,1.6,0,0,4,49.6,59.1,81.1,59.7,71.2,60.9,5.0,1,0,92,99,14.1,13,16
Isaiah McDuffie,57754,LB,GB,8,13,4.2,0,0,12,53.7,53.8,81.0,53.6,55.9,42.3,11.5,3,0,154,158,3.2,5,10
Baylon Spector,57782,LB,BUF,5,3,3.8,0,0,4,43.8,40.0,80.7,62.2,41.8,41.1,20.0,3,0,88,93,3.4,3,9
Nate Landman,57788,LB,ATL,4,10,3.9,0,1,2,85.8,84.6,8.8,58.5,74.3,70.4,4.5,1,1,80,81,6.3,5,11
Ventrell Miller,57809,LB,JAX,8,7,3.3,0,1,15,38.8,52.4,79.6,58.3,70.9,37.7,20.6,7,1,118,123,13.6,16,20
James Houston,57810,ED,DET,3,0,6.0,1,0,11,60.0,40.7,0.0,53.0,62.3,35.4,0.0,0,2,7,7,14.3,1,2
Mykal Walker,57834,LB,WAS,6,4,5.5,0,0,32,43.8,57.3,72.4,58.4,66.2,80.9,0.0,0,0,32,32,3.1,1,2
Robert Beal Jr.,57840,ED,SF,7,2,5.0,0,0,28,61.5,55.9,82.1,55.1,55.4,72.6,0.0,0,0,32,32,0.0,0,1
Jake Hummel,57879,LB,LA,1,0,,0,0,26,38.6,37.5,71.0,,61.9,71.7,,0,0,4,4,0.0,0,0
Isaac Ukwu,57888,ED,DET,2,0,4.0,0,0,11,67.7,59.6,82.6,53.5,57.9,72.6,0.0,0,0,22,22,4.5,1,2
Jamin Davis,57905,ED,WAS,5,2,2.9,0,0,32,65.9,71.2,82.7,49.8,79.0,78.1,0.0,0,0,41,42,14.6,6,7
Josh Paschal,57908,ED,DET,6,0,2.0,0,0,11,65.3,58.0,58.4,53.4,64.4,57.0,20.0,1,1,46,48,6.5,3,4
Patrick Queen,57941,LB,PIT,8,15,5.4,0,0,25,54.1,50.9,83.4,81.1,41.7,49.6,26.5,9,0,177,180,1.7,3,10
K'Lavon Chaisson,57945,ED,LV,5,2,2.8,0,0,23,43.9,58.1,50.6,60.6,73.8,29.8,22.2,2,3,31,34,12.9,4,5
J.J. Russell,57958,LB,TB,1,0,,0,0,30,51.5,51.3,71.6,58.7,61.7,77.7,,0,1,3,4,0.0,0,0
Willie Gay,57987,LB,NO,7,0,3.6,0,1,20,37.9,44.4,82.2,52.4,58.1,58.5,0.0,0,0,79,82,3.8,3,7
Jeremiah Owusu-Koramoah,58089,LB,CLV,8,10,1.9,0,1,8,52.3,80.6,83.1,77.0,91.7,29.2,14.6,6,0,191,196,10.5,20,25
Pete Werner,58093,LB,NO,5,5,4.4,0,0,20,65.3,65.0,81.7,50.7,64.3,70.5,13.3,2,0,95,99,4.2,4,8
Baron Browning,58095,ED,DEN,4,2,-1.7,0,0,10,48.9,65.9,3.3,69.5,72.6,75.6,0.0,0,2,39,39,7.7,3,3
Kenneth Murray Jr.,58099,LB,TEN,7,6,3.8,0,0,31,49.5,43.3,83.6,68.7,36.1,65.5,9.5,2,1,166,171,4.8,8,13
Derrick Barnes,58120,LB,DET,3,2,3.0,0,0,11,66.6,71.8,82.4,57.7,77.2,71.0,0.0,0,0,39,41,10.3,4,7
Buddy Johnson,58189,LB,DAL,1,0,,0,0,9,,64.8,65.9,,61.6,,,0,0,5,5,0.0,0,0
Devin Lloyd,58238,LB,JAX,7,8,5.1,0,1,15,64.1,75.9,39.8,64.5,88.3,90.3,0.0,0,1,136,142,3.7,5,15
Joe Tryon-Shoyinka,58272,ED,TB,8,2,2.2,1,0,30,54.1,52.8,26.7,56.8,59.0,47.9,22.2,2,3,105,110,3.8,4,5
Michael Carter II,60644,CB,NYJ,6,1,4.0,1,0,22,52.4,55.7,80.1,62.9,65.3,57.3,28.6,2,2,62,66,3.2,2,4
James Pierre,60649,CB,PIT,4,1,,0,0,25,51.7,54.0,77.5,,66.0,77.9,0.0,0,0,14,14,0.0,0,0
Grant Delpit,60685,S,CLV,7,5,3.6,0,0,8,59.1,61.7,81.4,60.0,64.3,64.7,11.1,3,0,162,166,8.0,13,19
Malcolm Rodriguez,60731,LB,DET,6,2,3.6,0,0,11,59.6,69.4,80.1,52.6,86.5,67.2,0.0,0,0,52,54,11.5,6,8
Isaiah Pola-Mao,60781,S,LV,7,3,10.8,0,0,23,69.2,68.3,83.1,57.7,58.9,65.9,15.4,2,0,137,143,0.7,1,8
Keion White,60998,ED,NE,8,5,2.3,0,1,19,74.3,75.2,49.6,84.3,53.0,69.5,11.1,2,2,163,165,4.9,8,11
Noah Igbinoghene,61155,CB,WAS,8,1,6.9,0,0,32,59.0,54.3,81.8,53.1,40.1,66.2,15.4,2,3,110,113,2.7,3,10
Daiyan Henley,61500,LB,LAC,7,9,3.7,0,0,27,69.6,65.0,82.1,48.0,58.4,59.5,12.5,4,0,128,132,10.2,13,19
Tariq Woolen,61790,CB,SEA,6,2,9.1,0,0,29,72.8,72.8,84.3,67.7,64.5,62.7,8.3,1,2,140,146,2.9,4,9
Caleb Farley,61803,CB,CAR,1,0,,0,0,5,66.3,67.0,69.4,,60.0,71.6,,0,0,2,2,0.0,0,0
Christian Elliss,61853,LB,NE,7,8,4.5,0,0,19,50.1,71.4,82.6,77.9,81.1,87.4,0.0,0,2,67,67,7.5,5,8
