player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Dak Prescott,10769,QB,DAL,7,78,11.5,0,9,2,4,11.5,26.9,88.5,1.3,0,9,9,9,21,78,69,1,16,22,9,1,20.5,28.2,3,11.5,1.3
Lamar Jackson,46416,QB,BLT,8,76,6.6,0,3,1,6,10.5,18.4,78.9,7.9,0,10,5,8,14,76,60,6,16,27,10,2,21.1,35.5,3,13.2,2.6
Jacoby Brissett,10725,QB,NE,6,75,21.3,0,19,0,3,13.3,28.0,89.3,4.0,0,6,16,10,21,75,67,3,20,11,6,1,26.7,14.7,3,8.0,1.3
Jayden Daniels,97993,QB,WAS,8,75,5.3,0,32,0,8,18.7,26.7,74.7,12.0,0,11,4,14,20,75,56,9,11,15,11,2,14.7,20.0,3,14.7,2.7
Josh Allen,46601,QB,BUF,8,74,21.6,0,4,2,8,16.2,14.9,78.4,4.1,0,15,16,12,11,74,58,3,18,11,15,1,24.3,14.9,5,20.3,1.4
Joe Burrow,28022,QB,CIN,8,74,12.2,0,7,2,4,25.7,16.2,87.8,5.4,0,6,9,19,12,74,65,4,16,17,6,3,21.6,23.0,0,8.1,4.1
Sam Darnold,29048,QB,MIN,7,74,24.3,0,18,1,4,13.5,16.2,79.7,8.1,0,10,18,10,12,74,59,6,19,9,10,1,25.7,12.2,5,13.5,1.4
Matthew Stafford,4924,QB,LA,7,71,14.1,0,26,1,1,26.8,31.0,90.1,7.0,0,3,10,19,22,71,64,5,13,14,3,1,18.3,19.7,1,4.2,1.4
Gardner Minshew,41401,QB,LV,7,70,11.4,0,23,4,4,20.0,24.3,78.6,4.3,0,12,8,14,17,70,55,3,6,13,12,3,8.6,18.6,4,17.1,4.3
Patrick Mahomes,11765,QB,KC,7,69,4.3,0,16,4,10,8.7,29.0,71.0,5.8,0,17,3,6,20,69,49,4,14,12,17,1,20.3,17.4,3,24.6,1.4
