Player,Roster Position,%Drafted,FPTS
Isaiah McKenzie,FLEX,0.02%,2.5
Chris Manhertz,TE,0.02%,2.1
Preston Williams,WR,0.02%,0
Seahawks ,DST,0.02%,0
Demetrius Harris,TE,0.02%,0
Travis Fulgham,WR,0.02%,0
Tommy Sweeney,TE,0.02%,0
Austin Walter,RB,0.02%,1.2
Dan Arnold,TE,0.02%,0
Tyler Lockett,WR,0.02%,0
Jalen Reagor,FLEX,0.02%,0
Derrick Henry,RB,0.02%,0
Russell Wilson,QB,0.02%,0
Corey Davis,WR,0.02%,0
Juwann Winfree,WR,0.01%,0
Elijah Moore,WR,0.01%,0
Jaydon Mickens,FLEX,0.01%,0
Quintin Morris,FLEX,0.01%,0
Cody Hollister,WR,0.01%,1.5
John Bates,TE,0.01%,0
A.J. Brown,WR,0.01%,0
Drew Sample,TE,0.01%,1.2
Jamaal Williams,RB,0.01%,0
Josh Johnson,QB,0.01%,0
Robert Tonyan,FLEX,0.01%,0
Derek Watt,FLEX,0.01%,0
Kevin Rader,TE,0.01%,0
Davis Webb,QB,0.01%,0
DeAndre Carter,FLEX,0.01%,0
Miles Boykin,WR,0.01%,0
Anthony McFarland Jr.,RB,0.01%,0
Corey Coleman,FLEX,0.01%,0
Reggie Gilliam,RB,0.01%,0
Rodney Smith,RB,0.01%,0
Danny Amendola,WR,0.01%,0
Terry McLaurin,WR,0.01%,0
Kenneth Gainwell,RB,0.01%,0
Brandon Smith,WR,0.01%,0
Willie Snead IV,FLEX,0.01%,0
Damarea Crockett,RB,0.01%,0
Boston Scott,RB,0.01%,0
Trent Sherfield,WR,0.01%,0
Chris Evans,FLEX,0.01%,0
Adam Humphries,WR,0.01%,0
Darius Jackson,RB,0.01%,0
T.J. Hockenson,TE,0.01%,0
La'Mical Perine,RB,0.01%,0
D'Andre Swift,RB,0.01%,0
Josh Oliver,TE,0.01%,0
Freddie Swain,WR,0.01%,0
Qadree Ollison,RB,0.01%,1.7
Ito Smith,RB,0.01%,0
Mitchell Trubisky,QB,0.01%,0
Will Dissly,FLEX,0.00%,0
Kendall Blanton,TE,0.00%,0
J.D. McKissic,RB,0.00%,0
Racey McMath,WR,0.00%,-0.1
Darrell Daniels,TE,0.00%,0
P.J. Walker,QB,0.00%,0
Travis Benjamin,WR,0.00%,0
Trey Edmunds,RB,0.00%,0
Ian Bunting,TE,0.00%,0
Jonathan Williams,RB,0.00%,0
Gardner Minshew II,QB,0.00%,0
Colt McCoy,QB,0.00%,2.54
Emmanuel Sanders,FLEX,0.00%,0
Kalen Ballage,RB,0.00%,0
Jeremy Sprinkle,FLEX,0.00%,4.1
Joe Flacco,QB,0.00%,0
Eric Saubert,FLEX,0.00%,0
Trey Lance,QB,0.00%,0
KhaDarel Hodge,WR,0.00%,0
Adam Shaheen,TE,0.00%,0
Jace Sternberger,TE,0.00%,0
Jake Fromm,QB,0.00%,3.28
Jordan Howard,RB,0.00%,0
Andrew Beck,FLEX,0.00%,0
Stephen Sullivan,TE,0.00%,0
Charlie Woerner,TE,0.00%,0
Jake Hausmann,FLEX,0.00%,0
Quez Watkins,WR,0.00%,0
Jonathan Ward,FLEX,0.00%,2.5
James Proche,FLEX,0.00%,1.8
Eric Tomlinson,FLEX,0.00%,0
Cam Sims,FLEX,0.00%,0
Deon Yelder,FLEX,0.00%,0
David Sills,WR,0.00%,0
Keith Kirkwood,WR,0.00%,0
