Player,Roster Position,%Drafted,FPTS
DJ Moore,WR,5.83%,17
Kirk Cousins,QB,5.79%,21.9
Mike Evans,WR,5.74%,26.9
DK Metcalf,WR,5.60%,10.8
John Bates,TE,5.47%,1.5
George Kittle,TE,5.38%,6
Dawson Knox,FLEX,5.33%,8.3
Cole Beasley,FLEX,5.31%,7.1
Titans ,DST,5.14%,2
Saints ,DST,5.01%,10
Carson Wentz,QB,4.96%,13.1
Ray-Ray McCloud III,WR,4.80%,7.7
Michael Carter,FLEX,4.67%,1.9
Jaylen Waddle,WR,4.37%,13.7
Terry McLaurin,WR,4.27%,13.3
K.J. Osborn,WR,4.24%,9.1
Gerald Everett,TE,4.24%,3
Ryan Tannehill,QB,4.15%,27.28
Rhamondre Stevenson,RB,4.13%,4.6
Russell Wilson,QB,4.11%,26.02
Cardinals ,DST,3.98%,7
Rashod Bateman,WR,3.96%,4.2
Vikings ,DST,3.92%,18
Brevin Jordan,FLEX,3.70%,0
Laquon Treadwell,WR,3.63%,11.4
Brandon Aiyuk,WR,3.60%,19.7
Lions ,DST,3.56%,9
Patriots ,DST,3.41%,1
Kendrick Bourne,WR,3.36%,6.2
D'Andre Swift,RB,3.31%,14.6
T.Y. Hilton,WR,3.25%,5.9
Ben Roethlisberger,QB,3.22%,12.36
Devonta Freeman,RB,3.19%,4.7
Austin Hooper,TE,3.14%,0
Nick Chubb,RB,3.08%,7
Steelers ,DST,3.03%,13
Russell Gage,WR,2.91%,30.6
Equanimeous St. Brown,FLEX,2.81%,4.2
Cordarrelle Patterson,RB,2.74%,2.2
Buccaneers ,DST,2.73%,7
Cameron Brate,TE,2.71%,3.2
Jamison Crowder,WR,2.68%,2.6
Tyler Conklin,TE,2.66%,2.6
Marquise Brown,WR,2.64%,5.7
Tyler Johnson,FLEX,2.62%,7.2
Nelson Agholor,WR,2.62%,3.3
Donovan Peoples-Jones,FLEX,2.59%,6.8
Marquez Valdes-Scantling,FLEX,2.59%,0
Rex Burkhead,RB,2.28%,9.6
Andy Dalton,QB,2.27%,20.7
DeVante Parker,WR,2.24%,3.2
Jarvis Landry,WR,2.19%,19.5
Tyler Boyd,WR,2.18%,0
Mac Jones,QB,2.04%,12.84
Saquon Barkley,RB,2.02%,7.9
Aaron Rodgers,QB,1.95%,14.22
Julio Jones,WR,1.87%,16.8
Taylor Heinicke,QB,1.86%,5.1
Packers ,DST,1.85%,-3
Le'Veon Bell,RB,1.85%,8.5
Bengals ,DST,1.79%,11
Jakobi Meyers,WR,1.78%,10
Jared Goff,QB,1.75%,17.52
Davante Adams,FLEX,1.74%,11.5
Breshad Perriman,WR,1.61%,9.4
Jets ,DST,1.59%,0
Ja'Marr Chase,WR,1.54%,4.6
Evan Engram,FLEX,1.54%,1.4
Mo Alie-Cox,TE,1.52%,4.7
Rams ,DST,1.49%,7
Davis Mills,QB,1.46%,30.24
Nico Collins,FLEX,1.45%,9.7
Case Keenum,QB,1.41%,14.54
Bears ,DST,1.38%,3
Zach Pascal,WR,1.37%,1.7
Jimmy Garoppolo,QB,1.36%,17.74
Laviska Shenault Jr.,FLEX,1.35%,11.2
Dontrell Hilliard,RB,1.26%,6.8
Dare Ogunbowale,RB,1.12%,8.5
Giants ,DST,1.10%,4
Anthony Firkser,FLEX,1.10%,15.6
Mike Gesicki,TE,1.09%,4.2
David Njoku,TE,1.08%,3.1
Jaret Patterson,RB,1.06%,5.5
Isaiah McKenzie,WR,1.01%,2.9
Cam Akers,RB,1.01%,4.3
D'Ernest Johnson,RB,1.00%,23.3
Josh Reynolds,WR,0.96%,2.1
Chuba Hubbard,FLEX,0.93%,13.6
Jack Doyle,TE,0.91%,2.1
Geoff Swaim,TE,0.91%,1.2
Tre'Quan Smith,WR,0.90%,18.6
Jaguars ,DST,0.89%,14
C.J. Uzomah,TE,0.86%,0
49ers ,DST,0.86%,9
Ravens ,DST,0.84%,4
Josiah Deguara,TE,0.80%,15.6
Brandon Zylstra,FLEX,0.79%,0
Harrison Bryant,TE,0.79%,1.9
Jamaal Williams,RB,0.77%,6.2
Hayden Hurst,TE,0.76%,4.3
Kalif Raymond,WR,0.76%,24.4
Olamide Zaccheaus,WR,0.76%,7.7
Kyle Pitts,TE,0.75%,2.8
Nick Westbrook-Ikhine,WR,0.75%,17.8
Matt Ryan,QB,0.73%,11.84
Myles Gaskin,RB,0.72%,4
Tyler Kroft,FLEX,0.72%,1.5
Juwann Winfree,WR,0.71%,3.6
Amari Rodgers,WR,0.71%,1.5
Keelan Cole Sr.,WR,0.70%,14.4
Texans ,DST,0.69%,0
Adam Trautman,FLEX,0.66%,8.8
Nyheim Hines,RB,0.66%,3.9
Seahawks ,DST,0.66%,7
Duke Johnson,RB,0.66%,22.2
Eno Benjamin,RB,0.64%,9.6
Lil'Jordan Humphrey,FLEX,0.64%,3.6
Damien Harris,RB,0.62%,17.3
Adam Humphries,WR,0.60%,1.3
Rashard Higgins,WR,0.56%,0
Cam Sims,FLEX,0.55%,0
Kristian Wilkerson,WR,0.55%,0
Falcons ,DST,0.54%,0
Brandon Allen,QB,0.52%,9.74
Parris Campbell,FLEX,0.52%,0
Kenny Golladay,WR,0.51%,5.2
Darius Slayton,WR,0.50%,10.9
Jonnu Smith,FLEX,0.50%,0.5
Latavius Murray,RB,0.48%,24
Jimmy Graham,TE,0.48%,3.6
Brock Wright,TE,0.46%,13.1
Tua Tagovailoa,QB,0.46%,12.16
Chris Evans,RB,0.45%,15.9
Zack Moss,RB,0.43%,3.4
Panthers ,DST,0.43%,-3
Trevor Lawrence,QB,0.42%,18.62
Stanley Morgan,WR,0.41%,2.1
Freddie Swain,FLEX,0.40%,9.5
Alexander Mattison,RB,0.38%,3.1
Sammy Watkins,WR,0.33%,0
Marcedes Lewis,FLEX,0.33%,0
Damiere Byrd,FLEX,0.32%,9.7
Devontae Booker,RB,0.32%,4.6
Anthony Schwartz,FLEX,0.30%,2.6
Brandon Bolden,FLEX,0.28%,20.6
Jordan Love,QB,0.27%,9.26
Scotty Miller,FLEX,0.27%,12.2
Jacob Hollister,TE,0.26%,4.4
Sam Darnold,QB,0.25%,16.66
Trey Lance,QB,0.25%,0
Mike Thomas,WR,0.24%,0
Marquise Goodwin,WR,0.22%,3.3
Zach Wilson,QB,0.22%,9.88
Jauan Jennings,WR,0.21%,27.4
Tee Higgins,FLEX,0.21%,0
DeAndre Carter,FLEX,0.20%,1.1
Ashton Dulin,WR,0.20%,0
Jeff Wilson Jr.,RB,0.19%,0
O.J. Howard,TE,0.19%,0
Robby Anderson,FLEX,0.19%,18
Durham Smythe,TE,0.18%,5.2
Danny Amendola,WR,0.18%,35.3
Kyle Rudolph,TE,0.18%,5.7
Craig Reynolds,RB,0.18%,0.2
Ameer Abdullah,FLEX,0.17%,17.2
Devin Duvernay,WR,0.17%,0.2
Ty Johnson,RB,0.17%,-0.1
KhaDarel Hodge,FLEX,0.16%,0
Mike Davis,RB,0.15%,3.8
Jeff Smith,FLEX,0.15%,1.2
Jake Fromm,QB,0.15%,10.42
Matt Breida,RB,0.15%,0
Luke Farrell,TE,0.15%,0
Tevin Coleman,RB,0.14%,0.6
Drew Sample,TE,0.13%,1.8
Tajae Sharpe,WR,0.12%,0
Juwan Johnson,TE,0.12%,7.5
Jeremy McNichols,FLEX,0.11%,0
Chester Rogers,WR,0.11%,2.4
Dee Eskridge,FLEX,0.11%,0
David Johnson,RB,0.11%,6.6
Dede Westbrook,FLEX,0.10%,0
Tommy Tremble,TE,0.09%,3.1
Phillip Lindsay,RB,0.09%,4
Ian Thomas,FLEX,0.09%,0
Khalil Herbert,RB,0.09%,1.1
Jonathan Ward,RB,0.08%,1.2
Aaron Jones,RB,0.07%,0
Kyle Juszczyk,RB,0.07%,0
Albert Wilson,FLEX,0.07%,0
Ryquell Armstead,FLEX,0.06%,8.2
Demetric Felton,RB,0.06%,10.4
Jonathan Williams,RB,0.06%,4.5
Chris Manhertz,TE,0.06%,0
N'Keal Harry,FLEX,0.05%,0
Tyler Davis,FLEX,0.05%,0
Ben Skowronek,FLEX,0.05%,0
Tavon Austin,WR,0.04%,0
Pharaoh Brown,TE,0.04%,0
Zach Gentry,FLEX,0.04%,7.9
Denzel Mims,WR,0.04%,0
Dyami Brown,FLEX,0.04%,0
DeeJay Dallas,RB,0.04%,0.1
Dan Arnold,TE,0.04%,0
Nick Foles,QB,0.04%,0
Salvon Ahmed,RB,0.04%,0
Braxton Berrios,WR,0.04%,0
Eli Penny,FLEX,0.04%,0
Jaelon Darden,WR,0.04%,0
Damien Williams,RB,0.04%,12.3
Chase Edmonds,RB,0.03%,0
Nick Vannett,TE,0.03%,2
Godwin Igwebuike,FLEX,0.03%,0
Joe Burrow,QB,0.03%,0
Benny Snell Jr.,FLEX,0.03%,2.2
Ryan Izzo,TE,0.03%,0
J.J. Taylor,RB,0.03%,0
Tim Boyle,QB,0.03%,-0.1
Mack Hollins,WR,0.03%,0
Ty Montgomery,WR,0.03%,1.1
Kene Nwangwu,RB,0.02%,0.4
Kenny Yeboah,TE,0.02%,0
Joe Mixon,RB,0.02%,0
David Sills,FLEX,0.02%,0
Isaiah Ford,FLEX,0.02%,0
Chris Myarick,FLEX,0.02%,0
Dominique Dafney,TE,0.02%,3.6
Derrick Henry,RB,0.02%,0
Tony Jones Jr.,FLEX,0.02%,2.2
Kenjon Barner,RB,0.02%,0
James Washington,WR,0.02%,0
Travis Homer,RB,0.02%,3.7
Trevor Siemian,QB,0.02%,10.74
Marlon Mack,RB,0.02%,0
C.J. Ham,FLEX,0.02%,1.7
Wendell Smallwood,RB,0.01%,0
Rodney Smith,FLEX,0.01%,0
James Proche,FLEX,0.01%,0
Collin Johnson,WR,0.01%,0
Jermar Jefferson,RB,0.01%,0
Ihmir Smith-Marsette,WR,0.01%,22.3
Ty'Son Williams,RB,0.01%,0.4
Chris Conley,FLEX,0.01%,0
Andy Isabella,WR,0.01%,0
Deon Jackson,RB,0.01%,0
Jared Pinkney,FLEX,0.01%,0
Trenton Irwin,WR,0.01%,1.9
Dez Fitzpatrick,WR,0.01%,0
Trent Sherfield,WR,0.01%,2.3
Tommy Sweeney,FLEX,0.01%,0
Leonard Fournette,RB,0.01%,0
Bernhard Seikovits,TE,0.01%,0
Justin Fields,QB,0.01%,0
Pharoh Cooper,WR,0.01%,0
Nick Eubanks,FLEX,0.01%,0
Greg Dortch,WR,0.01%,2.5
Kylen Granson,FLEX,0.01%,0
JaMycal Hasty,RB,0.01%,4.5
Austin Walter,RB,0.01%,0
Keke Coutee,WR,0.01%,0
Kareem Hunt,FLEX,0.01%,0
Parker Hesse,TE,0.01%,0
Cam Newton,QB,0.01%,0
Nathan Cottrell,RB,0.01%,0
Jesse James,FLEX,0.01%,0
Mark Ingram II,RB,0.01%,0
Will Dissly,FLEX,0.01%,0
DeMichael Harris,WR,0.01%,0
Trinity Benson,FLEX,0.01%,0
Kenny Stills,WR,0.01%,0
Jordan Wilkins,RB,0.01%,0
Josh Oliver,FLEX,0.01%,1.1
Spencer Brown,RB,0.01%,0
Trayveon Williams,RB,0.01%,5.2
Chris Moore,WR,0.01%,12.8
Trent Taylor,FLEX,0.01%,6.1
Auden Tate,WR,0.01%,0
Keith Kirkwood,WR,0.01%,0
Willie Snead IV,FLEX,0.01%,0
Elijah Moore,WR,0.01%,0
Mitchell Trubisky,QB,0.01%,0.3
Travis Benjamin,WR,0.01%,0
DeAndre Hopkins,WR,0.01%,0
Antonio Brown,WR,0.01%,0
Blaine Gabbert,QB,0.01%,-0.1
Andre Baccellia,WR,0.01%,0
Chris Blair,FLEX,0.01%,0
Javon McKinley,WR,0.01%,0
Temarrick Hemingway,FLEX,0.01%,0
Royce Freeman,FLEX,0.01%,0
Reggie Gilliam,FLEX,0.01%,0
Ronald Jones II,RB,0.01%,0
Emmanuel Sanders,WR,0.01%,0
Tylan Wallace,FLEX,0.01%,0
Mason Rudolph,QB,0.01%,0
Ross Dwelley,FLEX,0.01%,0
Dazz Newsome,FLEX,0.01%,2.3
Jake Kumerow,WR,0.01%,2.5
Bronson Kaufusi,TE,0.01%,0
David Wells,FLEX,0.01%,0
Kerrith Whyte Jr.,RB,0.00%,0
Kendall Blanton,FLEX,0.00%,0
Alex Ellis,FLEX,0.00%,0
Darren Fells,FLEX,0.00%,0
Antony Auclair,FLEX,0.00%,1.7
Jaydon Mickens,WR,0.00%,0
Tom Kennedy,WR,0.00%,10.6
Adam Shaheen,FLEX,0.00%,0
Jake Funk,RB,0.00%,0
Colt McCoy,QB,0.00%,0
Darrell Daniels,TE,0.00%,0
Colby Parkinson,FLEX,0.00%,3.4
Mike Strachan,WR,0.00%,0
Ja'Marcus Bradley,FLEX,0.00%,0
Brandon Powell,WR,0.00%,0
Miles Boykin,WR,0.00%,0
Dax Milne,WR,0.00%,0
Kadarius Toney,WR,0.00%,0
Caleb Huntley,FLEX,0.00%,0
Jakob Johnson,RB,0.00%,0
Jaylen Samuels,RB,0.00%,0
Josh Malone,WR,0.00%,0
Cody White,WR,0.00%,0
Baker Mayfield,QB,0.00%,0
Jake Hausmann,FLEX,0.00%,0
Jakeem Grant Sr.,WR,0.00%,0
Alex Erickson,WR,0.00%,0
Aaron Fuller,WR,0.00%,0
Taiwan Jones,RB,0.00%,0
Adam Prentice,RB,0.00%,1.3
Cody Hollister,WR,0.00%,0
Landen Akers,WR,0.00%,0
Derrius Guice,RB,0.00%,0
Austin Fort,FLEX,0.00%,0
Darius Jackson,FLEX,0.00%,0
Dwayne Washington,RB,0.00%,0
Josh Johnson,QB,0.00%,0
Chris Godwin,WR,0.00%,0
Randall Cobb,WR,0.00%,0
Matthew Slater,WR,0.00%,0
Corey Coleman,WR,0.00%,0
Adam Thielen,WR,0.00%,0
D.J. Montgomery,FLEX,0.00%,0
Gunner Olszewski,WR,0.00%,0
Ross Travis,TE,0.00%,0
A.J. Rose Jr.,FLEX,0.00%,0
Tim Jones,WR,0.00%,0
Darrell Henderson Jr.,RB,0.00%,0
Sean Mannion,QB,0.00%,0
Jordan Akins,FLEX,0.00%,0
Golden Tate,FLEX,0.00%,0
Tyler Mabry,FLEX,0.00%,0
Jamal Agnew,FLEX,0.00%,0
Josh Johnson,RB,0.00%,0
Tyler Ott,TE,0.00%,0
Michael Jacobson,FLEX,0.00%,0
Ian Book,QB,0.00%,0
Dezmon Patmon,FLEX,0.00%,0
Brycen Hopkins,TE,0.00%,0
Luke Stocker,FLEX,0.00%,0
Dan Chisena,WR,0.00%,0
Racey McMath,WR,0.00%,0
Mitchell Wilcox,FLEX,0.00%,4.6
Preston Williams,WR,0.00%,0
Darrius Shepherd,FLEX,0.00%,0
Demetrius Harris,FLEX,0.00%,0
Rondale Moore,WR,0.00%,0
Codey McElroy,TE,0.00%,0
Kevin Rader,FLEX,0.00%,0
Jalen Camp,WR,0.00%,0
Eric Tomlinson,TE,0.00%,0
Robert Tonyan,TE,0.00%,0
Devin Asiasi,TE,0.00%,0
Christian McCaffrey,FLEX,0.00%,0
Dante Pettis,WR,0.00%,0
Juwan Green,WR,0.00%,0
Nick Bellore,FLEX,0.00%,0
Wayne Gallman Jr.,RB,0.00%,0
Rodney Adams,FLEX,0.00%,0
Devine Ozigbo,RB,0.00%,0
Alex Armah,FLEX,0.00%,0
Jordan Matthews,TE,0.00%,0
Brett Hundley,QB,0.00%,0
La'Mical Perine,RB,0.00%,0
Kyle Allen,QB,0.00%,0
Austin Trammell,FLEX,0.00%,0
Easop Winston Jr.,FLEX,0.00%,0
Charlie Woerner,FLEX,0.00%,0
Khari Blasingame,RB,0.00%,1.5
Matt Cole,WR,0.00%,0
Ricky Seals-Jones,FLEX,0.00%,0
Dexter Williams,RB,0.00%,0
Nsimba Webster,WR,0.00%,0
T.J. Hockenson,TE,0.00%,0
Kirk Merritt,FLEX,0.00%,0
Matt Sokol,TE,0.00%,0
Austin Mack,WR,0.00%,0
Trishton Jackson,FLEX,0.00%,0
Trey Edmunds,FLEX,0.00%,0
John Wolford,QB,0.00%,0
Jeff Cotton Jr.,WR,0.00%,0
Calvin Ridley,FLEX,0.00%,0
Kelvin Harmon,WR,0.00%,0
J.D. McKissic,RB,0.00%,0
Ryan Griffin,TE,0.00%,0
Blake Proehl,WR,0.00%,0
Darwin Thompson,RB,0.00%,0
Kyle Nelson,TE,0.00%,0
Colin Thompson,TE,0.00%,0
Geno Smith,QB,0.00%,0
Javian Hawkins,RB,0.00%,0
Robert Woods,WR,0.00%,0
Jaylon Moore,WR,0.00%,0
Lee Smith,TE,0.00%,0
Giovanni Ricci,FLEX,0.00%,0
Kyle Markway,FLEX,0.00%,0
Clark Harris,TE,0.00%,0
Kalen Ballage,RB,0.00%,0
Joe Flacco,QB,0.00%,0
Christian Blake,FLEX,0.00%,0
C.J. Saunders,WR,0.00%,3.1
Alex Bachman,FLEX,0.00%,-0.3
Cade Johnson,WR,0.00%,0
Gerrid Doaks,RB,0.00%,0
Penny Hart,WR,0.00%,0
Isaiah Hodgins,WR,0.00%,0
Irv Smith Jr.,FLEX,0.00%,0
Dax Raymond,TE,0.00%,0
Farrod Green,FLEX,0.00%,0
Sam Ehlinger,QB,0.00%,0
Terrace Marshall Jr.,WR,0.00%,0
James O'Shaughnessy,TE,0.00%,0
Lamar Jackson,QB,0.00%,0
Stephen Sullivan,TE,0.00%,0
Olabisi Johnson,WR,0.00%,0
DJ Chark Jr.,WR,0.00%,0
Andrew DePaola,FLEX,0.00%,0
Sterling Shepard,FLEX,0.00%,0
Dwayne Haskins Jr.,QB,0.00%,0
Tarik Black,WR,0.00%,2
Thaddeus Moss,TE,0.00%,0
Raheem Mostert,FLEX,0.00%,0
P.J. Walker,QB,0.00%,0
Cethan Carter,TE,0.00%,0
Austin Proehl,WR,0.00%,0
Maxx Williams,FLEX,0.00%,0
Kellen Mond,QB,0.00%,0
Danny Etling,QB,0.00%,0
John Raine,TE,0.00%,0
Mohamed Sanu Sr.,WR,0.00%,0
Terry Godwin,WR,0.00%,0
Kahale Warring,FLEX,0.00%,0
Darius Anderson,RB,0.00%,0
Ryan Nall,RB,0.00%,0
John Ursua,FLEX,0.00%,0
Zach Davidson,FLEX,0.00%,0
Sandro Platzgummer,RB,0.00%,0
Brian Lewerke,QB,0.00%,0
Tanner Gentry,WR,0.00%,0
Johnny Stanton IV,RB,0.00%,0
Tre Nixon,FLEX,0.00%,0
Garrett Gilbert,QB,0.00%,0
Kylin Hill,RB,0.00%,0
Deon Yelder,FLEX,0.00%,0
Nick Bawden,RB,0.00%,0
Quintin Morris,TE,0.00%,0
Ben Ellefson,TE,0.00%,0
Frank Darby,WR,0.00%,0
Alex Collins,RB,0.00%,0
Derek Watt,RB,0.00%,0
Josh Hokit,RB,0.00%,0
Tanner Hudson,TE,0.00%,0
Corey Davis,WR,0.00%,0
Curtis Samuel,WR,0.00%,0
Josh Adams,FLEX,0.00%,0
J.J. Koski,WR,0.00%,0
Phillip Dorsett II,WR,0.00%,0
Chris Carson,RB,0.00%,0
J.K. Dobbins,RB,0.00%,0
Ben Mason,FLEX,0.00%,0
Quintez Cephus,FLEX,0.00%,0
Cody Core,FLEX,0.00%,0
Tyrod Taylor,QB,0.00%,0
Jesper Horsted,TE,0.00%,0
Matt LaCosse,FLEX,0.00%,0
Tyler Bray,QB,0.00%,0
Giovani Bernard,RB,0.00%,0
Kawaan Baker,WR,0.00%,0
Garrett Griffin,TE,0.00%,0
Malik Taylor,WR,0.00%,0
Jace Sternberger,FLEX,0.00%,0
