"","Name","TeamAbbrev","Salary","fpts","proj_own","status","lines","totals","grades_offense","grades_run","opponent","def_rank","rdef_rank","tack_rank","designed_yards","elusive_rating","breakaway_attempts","explosive","elu_yco","first_downs","attempts","rec_yards","targets","total_touches","player_game_count"
"43","Jaquez Moore","DUKE",4700,9.56,1,"Healthy",-10,50,72.2,73.5,"VT",64,39,40,50.6,90,0,0.2,4,0.3,7.5,5,0.5,7.9,8
"44","Justin Johnson Jr.","WVU",4600,8.64,1,"Healthy",8.5,68.5,64.8,69.3,"OU",104,88,78,37,39.2,0,0.1,2.4,0.2,8.6,4.6,0.9,9.3,9
"45","Kelley Joiner","USF",4500,7.03,1,"Healthy",17.5,72.5,48.2,49,"SMU",121,115,107,11.3,43.1,0,0,2.3,0.2,3.3,9.3,2.3,5.3,3
"46","Jaylen Wright","TENN",4400,10,1,"Healthy",-19.5,57.5,74.7,76.8,"MIZZ",12,33,52,61.1,67.6,0,0.1,3,0.3,12.6,0.6,0.1,12.7,9
"47","Vincent Terrell II","NAVY",4200,6.41,1,"Healthy",17,40.5,72.2,69.7,"ND",38,49,3,19.3,38.6,0,0.1,1.8,0.2,5.9,22.9,2,6.8,9
"48","Shaadie Clayton","TUL",4200,6.08,1,"Healthy",-1,54.5,63.5,67.4,"UCF",67,52,37,24.3,53.9,0,0.2,3.2,0.3,4.2,2.9,0.4,4.7,9
"49","Daba Fofana","NAVY",4100,7.25,1,"Healthy",17,40.5,59.4,62.4,"ND",38,49,3,54.8,48.2,0,0.1,2,0.2,15.3,0,0,15.3,9
"50","Jaylin Lucas","IU",3900,6.24,1,"Healthy",40.5,61,65.8,65.7,"OSU",5,6,35,16.4,76.3,0,0.1,2.8,0.2,4,9.5,1.5,5.1,8
"51","Maquel Haywood","NAVY",3600,6.15,1,"Healthy",17,40.5,72.1,81.4,"ND",38,49,3,45.6,65.1,0,0.2,2.5,0.3,7.1,10.2,1.8,7.8,9
"52","Roydell Williams","BAMA",3500,8.35,1,"Healthy",-11.5,65,70.8,74.6,"MISS",48,65,50,20.1,47.5,0,0.2,2.8,0.3,4.6,2.8,0.8,5.1,8
"53","Malachi Thomas","VT",6900,NA,0,"Doub Sat - Ankle",10,50,59.9,65.2,"DUKE",56,63,106,49.3,12.1,0,0.1,2.1,0.2,12.7,30.3,5,17,3
