"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","ownership","total_pts","odds_per_dollar","residuals","own_change","adj_own","date","tournament"
"55","Mackenzie Hughes",22064296,6900,61.58,49.42,1.1,75,24,0.5834,0.0081,0.2421,0.1546,0.0702,0.0321,0.0177,0.0051,100,0.0192,25.5,0.74,0.05,0.01,1,2022-04-17,"RBC Heritage"
"56","Carlos Ortiz",22064297,6900,61.19,54.35,0.87,79.5,26,0.5188,0.0063,0.1804,0.109,0.0465,0.0205,0.0111,0.003,100,0.0066,29.5,0.43,-0.26,-0.04,1,2022-04-17,"RBC Heritage"
"57","Brendon Todd",22064298,6800,55.61,50.03,1.9,75,24.5,0.6096,0.0066,0.2748,0.1824,0.087,0.0409,0.0238,0.0078,26,0.0414,73,1.15,0.52,0.08,2,2022-04-17,"RBC Heritage"
"58","Joel Dahmen",22064299,6800,66.04,54.42,6,79.5,25.5,0.6015,0.009,0.2609,0.171,0.0819,0.0389,0.0222,0.0068,12,0.0781,78.5,1,0.37,0.06,6,2022-04-17,"RBC Heritage"
"59","Beau Hossler",22064300,6800,57.59,47.52,2.7,74.5,24.5,0.5018,0.0064,0.1678,0.1006,0.0418,0.0176,0.0098,0.0027,100,0.0281,12,0.4,-0.23,-0.03,3,2022-04-17,"RBC Heritage"
"60","Lanto Griffin",22064301,6800,65.39,54.46,3,79,26,0.54,0.0051,0.2066,0.1284,0.0564,0.0252,0.014,0.0037,100,0.0277,24,0.54,-0.09,-0.01,3,2022-04-17,"RBC Heritage"
"61","Brandt Snedeker",22064302,6800,46.11,47.67,1.4,74,24,0.5043,0.0037,0.174,0.1049,0.0431,0.0188,0.0099,0.0025,100,0.0123,24,0.37,-0.26,-0.04,1,2022-04-17,"RBC Heritage"
"62","Chad Ramey",22064304,6700,59.84,44.64,0.81,72,23,0.535,0.0043,0.1938,0.118,0.05,0.022,0.0116,0.0034,59,0.0087,61.5,0.51,-0.06,-0.01,1,2022-04-17,"RBC Heritage"
"63","Brian Stuard",22064305,6700,50.47,47.94,4.3,74.5,24,0.6132,0.007,0.2818,0.1873,0.0884,0.0412,0.0232,0.0064,69,0.0372,47.5,0.96,0.39,0.06,4,2022-04-17,"RBC Heritage"
"64","Emiliano Grillo",22064306,6700,48.7,54.51,1.4,80,26,0.4912,0.005,0.1579,0.0927,0.0369,0.0148,0.008,0.0022,100,0.0167,25,0.33,-0.24,-0.04,1,2022-04-17,"RBC Heritage"
"65","Branden Grace",22064308,6700,44.96,48.55,0.53,74.5,24,0.5572,0.008,0.2139,0.1344,0.059,0.026,0.0146,0.0043,35,0.0059,72.5,0.64,0.07,0.01,1,2022-04-17,"RBC Heritage"
"66","Nate Lashley",22064309,6700,59.9,50.62,3.2,77,24.5,0.5228,0.005,0.1932,0.1184,0.0529,0.024,0.0133,0.0036,100,0.0355,21,0.54,-0.03,0,3,2022-04-17,"RBC Heritage"
"67","Charl Schwartzel",22064310,6600,41.79,38.72,1.1,67,21.5,0.3807,0.0027,0.0832,0.0437,0.0164,0.0059,0.0029,8e-04,54,0.0169,60.5,0.12,-0.4,-0.06,1,2022-04-17,"RBC Heritage"
"68","Matthew NeSmith",22064311,6600,56.06,51.68,8.4,77.5,25.5,0.5789,0.0062,0.2445,0.1587,0.0744,0.0345,0.0199,0.0056,12,0.0512,75,0.85,0.33,0.05,8,2022-04-17,"RBC Heritage"
"69","J.T. Poston",22064312,6600,42.57,44.5,0.45,71.5,23,0.5159,0.0049,0.1881,0.1146,0.0505,0.0204,0.0117,0.0032,3,0.0116,103.5,0.48,-0.04,-0.01,0,2022-04-17,"RBC Heritage"
"70","Harry Higgs",22064313,6600,50.72,42.39,0.94,70.5,22.5,0.4944,0.0061,0.1626,0.0982,0.0419,0.018,0.0098,0.0026,100,0.0204,26.5,0.39,-0.13,-0.02,1,2022-04-17,"RBC Heritage"
"71","Nick Taylor",22064314,6600,58.17,51.34,0.79,78,24.5,0.5498,0.0048,0.2103,0.1296,0.0561,0.0254,0.0134,0.004,100,0.0107,27.5,0.61,0.09,0.01,1,2022-04-17,"RBC Heritage"
"72","Alex Smalley",22064315,6600,58.94,49.68,1.6,75,24.5,0.5362,0.0053,0.2016,0.1258,0.0543,0.0242,0.0141,0.004,100,0.0069,26.5,0.61,0.09,0.01,2,2022-04-17,"RBC Heritage"
"73","Michael Thompson",22064317,6500,60.46,48.75,0.73,74.5,24,0.5714,0.008,0.2309,0.1469,0.069,0.0319,0.0175,0.0053,100,0.0192,25,0.82,0.35,0.05,1,2022-04-17,"RBC Heritage"
"74","Kramer Hickok",22064318,6500,52.5,54.3,0.9,79.5,25.5,0.5625,0.008,0.2271,0.1455,0.0645,0.0286,0.0158,0.005,100,0.0101,19.5,0.77,0.3,0.04,1,2022-04-17,"RBC Heritage"
"75","Joseph Bramlett",22064319,6500,49.88,47.31,0.37,74.5,24.5,0.4472,0.0044,0.1239,0.0707,0.027,0.011,0.0056,0.0016,48,0.001,73.5,0.25,-0.22,-0.03,0,2022-04-17,"RBC Heritage"
"76","Garrick Higgo",22064320,6500,50.61,49.43,0.9,76.5,24.5,0.3769,0.0022,0.082,0.0437,0.0147,0.0054,0.0027,7e-04,100,0.0042,16,0.11,-0.36,-0.05,1,2022-04-17,"RBC Heritage"
"77","Hudson Swafford",22064321,6500,59.32,46.64,1.9,73.5,23.5,0.4866,0.006,0.157,0.095,0.039,0.0169,0.0092,0.0027,35,0.0131,76,0.42,-0.05,-0.01,2,2022-04-17,"RBC Heritage"
"78","Henrik Stenson",22064322,6500,44.25,43.26,0.71,71,23,0.5114,0.0054,0.1717,0.1035,0.0424,0.0173,0.009,0.0022,54,0.0066,58,0.34,-0.13,-0.02,1,2022-04-17,"RBC Heritage"
"79","Adam Long",22064323,6400,57.16,47.45,1.2,74,23.93,0.5738,0.0088,0.2378,0.1542,0.0715,0.0329,0.0194,0.0063,12,0.01,76.5,0.98,0.57,0.09,1,2022-04-17,"RBC Heritage"
"80","Doc Redman",22064324,6400,52.19,44.93,1.3,72,23,0.5039,0.006,0.1674,0.0992,0.0418,0.0173,0.0092,0.0026,48,0.0112,71,0.41,0,0,1,2022-04-17,"RBC Heritage"
"81","Adam Svensson",22064325,6400,53,52.76,5.6,78,25.5,0.4926,0.0037,0.161,0.096,0.0412,0.0174,0.0088,0.0024,26,0.0203,86,0.37,-0.04,-0.01,6,2022-04-17,"RBC Heritage"
"82","Satoshi Kodaira",22064326,6400,59.42,49.09,0.58,76.07,24.5,0.4329,0.0027,0.1173,0.0674,0.026,0.0109,0.0054,0.0014,100,0.0084,16,0.22,-0.19,-0.03,1,2022-04-17,"RBC Heritage"
"83","Andrew Putnam",22064327,6400,58.25,47.94,0.42,74,24,0.5567,0.0066,0.2156,0.1344,0.0587,0.0255,0.0142,0.0041,100,0.0054,21,0.64,0.23,0.03,0,2022-04-17,"RBC Heritage"
"84","Pat Perez",22064328,6400,50.79,53.23,1.3,79,25,0.5837,0.0071,0.2413,0.1543,0.0704,0.0308,0.0173,0.0052,51,0.013,64.5,0.81,0.4,0.06,1,2022-04-17,"RBC Heritage"
"85","Sam Ryder",22064329,6400,56.97,46.79,0.59,73.5,24,0.486,0.0053,0.153,0.089,0.0376,0.0155,0.0087,0.0023,100,0.006,27.5,0.36,-0.05,-0.01,1,2022-04-17,"RBC Heritage"
"86","Takumi Kanaya",22064330,6300,39.93,43.75,0.35,71,23,0.551,0.0051,0.2144,0.1371,0.0609,0.0277,0.0151,0.0045,100,0.0069,19,0.71,0.37,0.06,0,2022-04-17,"RBC Heritage"
"87","Chez Reavie",22064331,6300,49.37,47.86,0.29,74,24,0.501,0.004,0.1657,0.0999,0.0418,0.0177,0.0095,0.0026,100,0.0038,13.5,0.41,0.07,0.01,0,2022-04-17,"RBC Heritage"
