player,player_id,position,team_name,player_game_count,coverage_snaps,coverage_snaps_per_reception,coverage_snaps_per_target,franchise_id,interceptions,qb_rating_against,receptions,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap
Derek Stingley Jr.,98253,CB,HST,3,7,7.0,3.5,13,0,70.8,1,2,0,13,5,1.86
Andre Cisco,76641,S,JAX,5,21,7.0,7.0,15,0,143.8,3,3,1,27,12,1.29
Jeremiah Owusu-Koramoah,58089,LB,CLV,3,7,7.0,7.0,8,0,158.3,1,1,1,15,1,2.14
David Long Jr.,27377,CB,LA,3,7,7.0,3.5,26,0,77.1,1,2,0,16,22,2.29
Lonnie Johnson Jr.,55615,S,TEN,2,7,7.0,7.0,31,0,87.5,1,1,0,5,4,0.71
Josey Jewell,50720,LB,DEN,3,7,7.0,7.0,10,0,118.8,1,1,0,13,15,1.86
Azeez Al-Shaair,49792,LB,SF,3,7,7.0,7.0,28,0,118.8,1,1,0,22,19,3.14
Talanoa Hufanga,83903,S,SF,6,27,6.8,3.4,28,1,18.8,4,8,0,28,13,1.04
Justin Coleman,9892,CB,SEA,1,34,6.8,4.9,29,0,92.6,5,7,0,52,34,1.53
Kwon Alexander,9557,LB,NYJ,6,41,6.8,4.1,22,0,69.6,6,10,0,42,22,1.02
Juan Thornhill,50426,S,KC,6,40,6.7,5.7,16,0,139.0,6,7,1,55,21,1.38
Samuel Womack,65771,CB,SF,3,33,6.6,4.1,28,0,70.3,5,8,0,31,24,0.94
Nate Hobbs,55948,CB,LV,5,59,6.6,4.5,23,0,97.9,9,13,0,119,62,2.02
Grant Haley,50473,CB,LA,3,46,6.6,5.1,26,0,105.6,7,9,0,84,86,1.83
Jabrill Peppers,11780,S,NE,4,13,6.5,6.5,19,0,106.3,2,2,0,19,12,1.46
Isaiah Oliver,50393,CB,ATL,1,13,6.5,6.5,2,0,95.8,2,2,0,14,3,1.08
Troy Hill,9881,CB,LA,2,13,6.5,4.3,26,1,78.5,2,3,1,15,14,1.15
Patrick Queen,57941,LB,BLT,6,13,6.5,6.5,3,0,87.5,2,2,0,10,1,0.77
Anthony Barr,8644,LB,DAL,5,13,6.5,4.3,9,0,74.3,2,3,0,12,0,0.92
Dee Alford,110542,CB,ATL,6,82,6.3,4.3,2,0,93.5,13,19,0,157,44,1.91
Amik Robertson,55619,CB,LV,4,57,6.3,5.7,23,1,112.5,9,10,1,134,48,2.35
AJ Parker,55983,CB,DET,1,19,6.3,6.3,11,0,118.1,3,3,0,37,17,1.95
Justin Evans,11805,S,NO,6,57,6.3,4.4,20,0,90.5,9,13,0,96,55,1.68
Cameron Sutton,11850,CB,PIT,5,62,6.2,4.4,25,1,87.2,10,14,1,106,42,1.71
Kader Kohou,156070,CB,MIA,5,96,6.0,5.1,17,0,106.4,16,19,0,181,73,1.89
Jalen Thompson,49116,S,ARZ,6,30,6.0,4.3,1,0,80.7,5,7,0,32,26,1.07
Grant Delpit,60685,S,CLV,5,18,6.0,6.0,8,0,158.3,3,3,1,40,17,2.22
Zaven Collins,77190,LB,ARZ,4,12,6.0,6.0,1,0,97.9,2,2,0,15,15,1.25
Tremaine Edmunds,50905,LB,BUF,4,6,6.0,6.0,4,0,104.2,1,1,0,9,5,1.5
Dean Marlowe,9966,S,ATL,2,6,6.0,3.0,2,0,56.3,1,2,0,3,0,0.5
Leighton Vander Esch,50950,LB,DAL,5,12,6.0,6.0,9,0,100.0,2,2,0,16,18,1.33
Jack Jones,29050,CB,NE,4,18,6.0,3.0,19,0,77.8,3,6,0,49,20,2.72
Ja'Whaun Bentley,50966,LB,NE,4,6,6.0,6.0,19,0,83.3,1,1,0,4,9,0.67
Jaylen Watson,131960,CB,KC,5,6,6.0,6.0,16,0,131.3,1,1,1,6,0,1.0
Kyle Fuller,8649,CB,BLT,1,12,6.0,6.0,3,0,106.3,2,2,0,19,0,1.58
Lorenzo Carter,50126,ED,ATL,4,6,6.0,6.0,2,0,87.5,1,1,0,5,0,0.83
Chris Lammons,49368,CB,KC,1,6,6.0,6.0,16,0,108.3,1,1,0,10,4,1.67
Marshon Lattimore,11766,CB,NO,4,6,6.0,3.0,20,0,58.3,1,2,0,7,4,1.17
Chauncey Gardner-Johnson,49371,S,PHI,6,46,5.8,5.1,24,0,145.1,8,9,2,84,57,1.83
Keisean Nixon,56167,CB,GB,2,58,5.8,4.8,12,0,100.3,10,12,0,97,56,1.67
Jeremy Chinn,43179,S,CAR,4,17,5.7,5.7,5,0,108.3,3,3,0,30,19,1.76
Johnathan Abram,34646,S,LV,5,40,5.7,4.4,23,0,96.8,7,9,0,65,47,1.63
Brandon Jones,43049,S,MIA,6,34,5.7,4.3,17,0,91.1,6,8,0,51,26,1.5
Drue Tranquill,51276,LB,LAC,5,17,5.7,5.7,27,0,102.8,3,3,0,26,31,1.53
Casey Hayward Jr.,7064,CB,ATL,5,11,5.5,2.8,2,0,86.5,2,4,0,41,27,3.73
Kyler Gordon,83451,CB,CHI,6,131,5.5,5.2,6,0,139.8,24,25,2,279,161,2.13
Shaq Thompson,9458,LB,CAR,6,22,5.5,4.4,5,0,107.5,4,5,0,49,32,2.23
Jordan Fuller,45326,S,LA,3,16,5.3,5.3,26,0,118.8,3,3,0,46,33,2.88
Tyson Campbell,83217,CB,JAX,5,10,5.0,5.0,15,0,91.7,2,2,0,12,11,1.2
Sean Murphy-Bunting,25891,CB,TB,2,5,5.0,5.0,30,0,112.5,1,1,0,11,0,2.2
Rodney McLeod,7271,S,IND,5,20,5.0,4.0,14,0,85.0,4,5,0,22,17,1.1
Daxton Hill,97519,S,CIN,3,5,5.0,5.0,7,0,79.2,1,1,0,2,0,0.4
Ben Niemann,51099,LB,ARZ,2,5,5.0,2.5,1,0,56.3,1,2,0,-2,5,-0.4
Marcus Peters,9451,CB,BLT,5,10,5.0,5.0,3,0,118.8,2,2,0,43,23,4.3
Jonathan Jones,11217,CB,NE,3,10,5.0,3.3,19,0,95.1,2,3,0,27,10,2.7
Trevon Diggs,41817,CB,DAL,4,20,5.0,4.0,9,0,158.3,4,5,1,89,78,4.45
Devin White,43089,LB,TB,4,5,5.0,5.0,30,0,118.8,1,1,0,13,10,2.6
Jaylinn Hawkins,51423,S,ATL,6,19,4.8,3.8,2,0,104.2,4,5,0,45,33,2.37
Derwin James,51368,S,LAC,6,58,4.8,3.9,27,0,90.6,12,15,0,86,30,1.48
Kenneth Murray,58099,LB,LAC,3,19,4.8,4.8,27,0,113.5,4,4,0,45,35,2.37
Roderic Teamer,51405,S,LV,4,19,4.8,3.8,23,0,101.7,4,5,0,42,18,2.21
Frankie Luvu,51028,LB,CAR,4,14,4.7,3.5,5,0,101.0,3,4,0,35,11,2.5
Damarion Williams,100904,CB,BLT,5,83,4.6,3.8,3,0,145.8,18,22,3,209,85,2.52
Chris Harris Jr.,6457,CB,NO,2,37,4.6,4.6,20,0,104.2,8,8,0,72,41,1.95
John Johnson III,11847,S,CLV,6,23,4.6,3.8,8,0,92.4,5,6,0,37,12,1.61
Malik Harrison,28081,LB,BLT,5,9,4.5,4.5,3,0,87.5,2,2,0,10,4,1.11
Kamu Grugier-Hill,10842,LB,HST,5,27,4.5,3.9,13,0,107.1,6,7,0,68,45,2.52
Jamin Davis,57905,LB,WAS,6,18,4.5,3.6,32,0,105.8,4,5,0,47,32,2.61
Melvin Ingram III,7024,ED,MIA,3,9,4.5,4.5,17,0,106.3,2,2,0,19,10,2.11
Jace Whittaker,50465,CB,ARZ,3,53,4.4,4.1,1,0,107.1,12,13,0,126,84,2.38
Deommodore Lenoir,55686,CB,SF,3,108,4.3,3.7,28,0,102.0,25,29,0,246,119,2.28
DaRon Bland,56158,CB,DAL,1,34,4.3,3.4,9,1,64.2,8,10,0,89,45,2.62
Jonas Griffith,35858,LB,DEN,6,17,4.3,4.3,10,0,94.8,4,4,0,27,8,1.59
De'Vondre Campbell,10749,LB,GB,6,37,4.1,3.4,12,0,87.5,9,11,0,55,35,1.49
Uchenna Nwosu,50084,ED,SEA,2,4,4.0,4.0,29,0,118.8,1,1,0,16,13,4.0
Justin Simmons,10732,S,DEN,2,16,4.0,4.0,10,0,88.5,4,4,0,21,11,1.31
Raekwon McMillan,11809,LB,NE,2,4,4.0,4.0,19,0,118.8,1,1,0,14,15,3.5
Bradley Chubb,48526,ED,DEN,4,4,4.0,4.0,10,0,118.8,1,1,0,24,1,6.0
Eli Apple,10644,CB,CIN,5,12,4.0,4.0,7,0,118.8,3,3,0,47,14,3.92
Mykal Walker,57834,LB,ATL,5,20,4.0,4.0,2,0,100.8,5,5,0,41,12,2.05
Terrell Lewis,42845,ED,LA,4,4,4.0,4.0,26,0,112.5,1,1,0,11,16,2.75
Darren Hall,60742,CB,ATL,2,4,4.0,4.0,2,0,104.2,1,1,0,9,0,2.25
P.J. Williams,9511,S,NO,2,4,4.0,4.0,20,0,100.0,1,1,0,8,3,2.0
Tariq Woolen,61790,CB,SEA,2,4,4.0,4.0,29,0,118.8,1,1,0,26,11,6.5
Jayon Brown,11910,LB,LV,4,12,4.0,4.0,23,0,87.5,3,3,0,15,5,1.25
Tae Crowder,35774,LB,NYG,5,8,4.0,2.7,21,0,109.7,2,3,0,42,31,5.25
Jamel Dean,34918,CB,TB,4,8,4.0,4.0,30,0,129.2,2,2,2,11,6,1.38
C.J. Mosley,8652,LB,NYJ,3,8,4.0,4.0,22,0,112.5,2,2,0,22,29,2.75
Nick Cross,97514,S,IND,2,16,4.0,4.0,14,0,101.0,4,4,0,33,21,2.06
Brandin Echols,98900,CB,NYJ,2,4,4.0,2.0,22,0,135.4,1,2,1,25,2,6.25
Logan Wilson,29623,LB,CIN,6,16,4.0,4.0,7,0,102.1,4,4,0,34,17,2.13
Eric Rowe,9480,S,MIA,4,35,3.9,3.5,17,0,102.5,9,10,0,86,45,2.46
Devin Lloyd,58238,LB,JAX,6,19,3.8,3.8,15,0,132.9,5,5,1,32,15,1.68
Xavien Howard,10672,CB,MIA,4,18,3.6,3.0,17,0,158.3,5,6,1,107,60,5.94
Quincy Williams,49779,LB,NYJ,4,18,3.6,3.6,22,0,90.0,5,5,0,28,7,1.56
Alex Singleton,9994,LB,DEN,4,18,3.6,3.6,10,0,86.7,5,5,0,24,20,1.33
Haason Reddick,11768,ED,PHI,4,7,3.5,2.3,24,0,92.4,2,3,0,25,17,3.57
P.J. Locke,51189,S,DEN,2,7,3.5,2.3,10,0,85.4,2,3,0,20,16,2.86
Pete Werner,58093,LB,NO,6,21,3.5,2.6,20,0,140.6,6,8,2,70,38,3.33
Ahkello Witherspoon,11821,CB,PIT,2,7,3.5,1.8,25,1,43.8,2,4,0,38,23,5.43
Darrick Forrest,55087,S,WAS,5,16,3.2,2.7,32,0,104.2,5,6,0,54,26,3.38
Denzel Perryman,9481,LB,LV,2,3,3.0,3.0,23,0,91.7,1,1,0,6,0,2.0
Jaylon Jones,49374,CB,CHI,1,3,3.0,3.0,6,0,95.8,1,1,0,7,6,2.33
K'Von Wallace,42467,S,PHI,2,3,3.0,3.0,24,0,118.8,1,1,0,22,3,7.33
Jalen Reeves-Maybin,11879,LB,HST,2,3,3.0,3.0,13,0,79.2,1,1,0,3,6,1.0
