player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Devin Singletary,40485,HB,BUF,6,24,0,4,0,-3.5,1,100.0,,0,0,0.0,0,2,0,84.5,94.5,0,16,13.3,2,15,2,86.7,13,118.8,2,8.3,0,30,37,18.5,15.0,2.31,2.7,1,100.0,,0,0,0.0,0,3,0,73.2,75.9,0,22,0.0,0,14,3,92.9,13,118.8,3,12.5,0,41,33,11.0,13.7,3.15
Antonio Gibson,78050,HB,WAS,6,24,0,32,0,-4.3,1,50.0,0.0,0,1,33.3,1,0,0,25.8,57.5,1,11,26.7,4,15,2,66.7,10,20.8,4,16.7,0,16,22,11.0,8.0,1.6,4.0,0,100.0,100.0,1,1,0.0,0,0,0,66.8,79.7,0,5,0.0,0,4,1,100.0,4,87.5,1,4.2,0,5,1,1.0,5.0,1.25
Darren Waller,9637,TE,LV,5,24,0,23,0,-5.0,0,100.0,,0,0,0.0,0,0,0,78.7,47.6,0,-1,0.0,0,10,1,100.0,10,79.2,1,4.2,0,-1,4,4.0,-1.0,-0.1,13.3,0,50.0,,0,0,14.3,1,3,0,52.7,60.1,1,17,3.0,3,99,6,90.9,90,27.8,12,50.0,0,54,18,3.0,9.0,0.6
Greg Dortch,42237,WR,ARZ,6,24,0,1,0,-3.5,1,100.0,,0,0,0.0,0,1,0,90.2,61.2,0,11,0.0,0,23,4,100.0,23,86.5,4,16.7,0,19,33,8.3,4.8,0.83,5.1,6,89.5,50.0,1,2,0.0,0,9,0,90.1,65.6,0,30,0.0,0,143,17,95.8,137,123.2,19,79.2,1,178,101,5.9,10.5,1.3
Randall Cobb,6216,WR,GB,6,24,0,12,0,-1.0,2,100.0,,0,0,0.0,0,1,0,90.2,91.1,0,9,0.0,0,21,4,100.0,21,103.1,4,16.7,0,35,39,9.8,8.8,1.67,12.6,3,73.7,33.3,1,3,0.0,0,10,0,88.7,85.7,1,40,0.9,1,107,14,95.3,102,88.9,19,79.2,0,216,108,7.7,15.4,2.12
Robert Woods,7822,WR,TEN,5,24,0,31,0,,0,,,0,0,,0,0,0,78.7,63.5,0,0,0.0,0,15,0,73.3,11,0.0,0,0.0,0,0,0,,,0.0,6.9,0,75.0,100.0,1,1,0.0,0,4,0,83.2,62.5,0,16,0.0,0,44,6,95.5,42,132.3,8,33.3,1,54,27,4.5,9.0,1.29
Alvin Kamara,11822,HB,NO,4,24,0,20,0,-5.0,2,75.0,,0,0,25.0,1,1,0,27.0,37.8,0,54,0.0,0,7,3,85.7,6,108.3,4,16.7,0,42,57,19.0,14.0,7.0,7.0,0,0.0,0.0,0,1,100.0,1,0,0,29.6,29.4,0,0,0.0,0,5,0,100.0,5,39.6,3,12.5,0,0,0,,,0.0
Rex Burkhead,7971,HB,HST,5,23,0,13,0,-3.2,0,88.9,,0,0,11.1,1,1,0,46.7,53.7,0,13,0.0,0,13,8,100.0,13,90.7,9,39.1,0,52,81,10.1,6.5,4.0,1.7,0,85.7,,0,0,0.0,0,1,0,66.6,60.0,0,9,0.0,0,17,6,94.1,16,88.7,7,30.4,0,37,44,7.3,6.2,2.31
Noah Fant,42388,TE,SEA,6,23,0,29,0,-4.0,0,100.0,,0,0,0.0,0,0,0,84.5,83.9,0,2,11.1,1,9,1,77.8,7,79.2,1,4.3,0,2,6,6.0,2.0,0.29,5.2,0,60.0,0.0,0,1,0.0,0,0,0,84.9,61.6,0,7,2.3,1,43,3,90.7,39,64.6,5,21.7,0,14,0,0.0,4.7,0.36
Parris Campbell,47940,WR,IND,6,23,0,14,0,-2.5,5,100.0,,0,0,0.0,0,1,0,90.2,73.0,0,20,0.0,0,20,4,90.0,18,101.0,4,17.4,0,33,43,10.8,8.3,1.83,5.7,6,80.0,33.3,1,3,0.0,0,10,0,66.6,56.1,1,20,0.0,0,200,16,93.0,186,93.8,20,87.0,1,150,81,5.1,9.4,0.81
