Player,Team,Position,Redraft PPR ADP,Redraft Half PPR ADP,Redraft SF ADP,Dynasty PPR ADP,Dynasty Half PPR ADP,Dynasty SF ADP,IDP ADP
Brandon Aiyuk,SF,WR,65.5,66.5,75,64.8,64.1,71.1,69.5
Cam Akers,LA,RB,66.8,56.8,73,66.8,66.8,84.8,78.3
James Conner,ARI,RB,67.2,61.6,78,88,87.7,111.6,98.5
Michael Pittman,IND,WR,68.6,75.6,76.1,62.3,61.7,65.4,62.4
Dalvin Cook,NYJ,RB,69.6,69.2,80.2,77.6,77.6,101.6,89.1
Tyler Lockett,SEA,WR,70,70.7,85.9,98.6,100.4,116.4,116
Christian Kirk,JAC,WR,71.3,71.9,79.5,78.5,82.3,91,82.3
Mike Williams,LAC,WR,71.8,67.5,84.3,95.8,94.1,109.9,114.4
Marquise Brown,ARI,WR,73.3,74.6,87.9,82.4,83,89.9,94.5
Isiah Pacheco,KC,RB,74,77.7,92.4,68,67.3,90,73
Rachaad White,TB,RB,75.2,73.3,91.9,72,71,83.5,80.8
Mike Evans,TB,WR,76.7,76.9,93.4,89.3,92,110.1,104.8
George Pickens,PIT,WR,77.1,79.6,101.7,61.4,60.3,66.3,68.6
Evan Engram,JAC,TE,78,83.2,88.3,97,108,113.9,112
Javonte Williams,DEN,RB,79.9,71.9,86,53.8,49.4,62.6,66.2
Diontae Johnson,PIT,WR,80.4,80.9,97.7,89.2,88.2,98.4,111.3
Jaxon Smith-Njigba,SEA,WR,80.4,80.6,82.9,38.9,34.5,39.3,59.2
David Montgomery,DET,RB,82.9,78.3,96.4,92.1,89.4,108,109.7
Pat Freiermuth,PIT,TE,83.1,88,95.3,80.4,85.5,87.7,85.2
Jordan Addison,MIN,WR,84.4,84.4,100.5,55.4,52.6,56.7,83.6
James Cook,BUF,RB,85,82.3,104.4,85.5,84.2,98.2,103.7
Dak Prescott,DAL,QB,86.6,89.9,28.3,102,105.5,30.5,53.8
Deshaun Watson,CLE,QB,87.8,85,21.1,87.8,91.3,22.5,44.8
David Njoku,CLE,TE,88.4,89.9,98.4,103,107,106.8,105.9
Jahan Dotson,WAS,WR,89.1,86.3,103.6,83,78.3,80.7,97.2
Tua Tagovailoa,MIA,QB,89.7,93.4,30.1,91.8,96.5,36,55.4
AJ Dillon,GB,RB,91.7,87.4,107.9,96.2,95,116.3,122.8
Kadarius Toney,KC,WR,92.5,94.9,106,93.8,93.2,104.9,116.2
Treylon Burks,TEN,WR,93.2,92.2,102.4,80.7,74.2,73.3,92.6
Antonio Gibson,WAS,RB,94.1,91.1,109.5,107.7,106.6,124.6,130.7
Brandin Cooks,DAL,WR,95.6,95.7,110.1,116.4,116.1,139.5,141.2
Michael Thomas,NO,WR,96.3,99,116.3,123.5,129.7,148.4,150.6
