player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betonline_odds,betonline_ev,betmgm_odds,betmgm_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Snedeker, Brandt",150,81533,30000,-0.631,30000,-0.631,28000,-0.656,40000,-0.509,51924,0,0,0,20000,-0.754,30000,-0.631,25000,-0.693,30000,-0.631,20000,-0.754,,0,25000,-0.693,30000,-0.631,20000,-0.754
"Hodges, Lee",150,85006,25000,-0.705,30000,-0.646,34000,-0.599,40000,-0.529,51924,0,0,0,25000,-0.705,22500,-0.734,30000,-0.646,25000,-0.705,40000,-0.529,,0,30000,-0.646,30000,-0.646,20000,-0.764
"Garnett, Brice",150,86857,22500,-0.74,25000,-0.711,42000,-0.516,30000,-0.654,31162,0,0,0,30000,-0.654,,0,25000,-0.711,25000,-0.711,30000,-0.654,,0,25000,-0.711,25000,-0.711,25000,-0.711
"Redman, Doc",150,86857,30000,-0.654,25000,-0.711,37000,-0.573,30000,-0.654,51924,0,0,0,25000,-0.711,27500,-0.683,30000,-0.654,25000,-0.711,25000,-0.711,,0,25000,-0.711,25000,-0.711,35000,-0.596
"Whaley, Vincent",150,88789,35000,-0.605,,0,42000,-0.526,25000,-0.718,31162,0,0,0,30000,-0.661,35000,-0.605,30000,-0.661,30000,-0.661,30000,-0.661,,0,25000,-0.718,25000,-0.718,35000,-0.605
"Jaeger, Stephan",150,88789,20000,-0.774,15000,-0.83,28000,-0.684,25000,-0.718,51924,0,0,0,20000,-0.774,16000,-0.819,25000,-0.718,20000,-0.774,20000,-0.774,,0,25000,-0.718,17500,-0.802,20000,-0.774
"Lower, Justin",150,97461,30000,-0.691,30000,-0.691,55000,-0.435,40000,-0.589,51924,0,0,0,30000,-0.691,,0,30000,-0.691,30000,-0.691,30000,-0.691,,0,40000,-0.589,30000,-0.691,35000,-0.64
"Wu, Brandon",150,105163,30000,-0.714,25000,-0.762,34000,-0.676,40000,-0.619,51924,0,0,0,25000,-0.762,,0,35000,-0.667,25000,-0.762,25000,-0.762,,0,30000,-0.714,25000,-0.762,25000,-0.762
"Tarren, Callum",150,105163,25000,-0.762,20000,-0.809,21000,-0.8,25000,-0.762,51924,0,0,0,15000,-0.857,25000,-0.762,25000,-0.762,25000,-0.762,25000,-0.762,,0,20000,-0.809,25000,-0.762,35000,-0.667
"Herman, Jim",150,111011,60000,-0.459,40000,-0.639,65000,-0.414,40000,-0.639,51924,0,0,0,50000,-0.549,,0,60000,-0.459,50000,-0.549,50000,-0.549,,0,40000,-0.639,60000,-0.459,50000,-0.549
"McGirt, William",150,111011,100000,-0.099,50000,-0.549,65000,-0.414,40000,-0.639,51924,0,0,0,50000,-0.549,,0,75000,-0.324,50000,-0.549,100000,-0.099,,0,50000,-0.549,75000,-0.324,50000,-0.549
"Gotterup, Chris",150,114186,30000,-0.737,,0,37000,-0.675,30000,-0.737,31162,0,0,0,25000,-0.78,,0,30000,-0.737,30000,-0.737,30000,-0.737,,0,35000,-0.693,40000,-0.649,,0
"Wallace, Matt",150,128932,17500,-0.864,15000,-0.883,19000,-0.852,25000,-0.805,51924,0,0,0,15000,-0.883,16000,-0.875,25000,-0.805,15000,-0.883,20000,-0.844,,0,20000,-0.844,15000,-0.883,20000,-0.844
"Kraft, Kelly",150,137831,40000,-0.709,35000,-0.746,65000,-0.528,40000,-0.709,51924,0,0,0,50000,-0.637,,0,25000,-0.818,30000,-0.782,50000,-0.637,,0,40000,-0.709,30000,-0.782,35000,-0.746
"Barjon, Paul",150,142757,40000,-0.719,50000,-0.649,65000,-0.544,50000,-0.649,51924,0,0,0,50000,-0.649,,0,50000,-0.649,50000,-0.649,50000,-0.649,,0,50000,-0.649,40000,-0.719,50000,-0.649
"Higgo, Garrick",150,148048,25000,-0.831,25000,-0.831,28000,-0.81,30000,-0.797,49851,0,0,0,20000,-0.864,22500,-0.847,20000,-0.864,25000,-0.831,20000,-0.864,,0,25000,-0.831,25000,-0.831,25000,-0.831
