"X","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","top_20","top_10","top_5","win","odds_per_dollar","one","residuals","own_change","adj_own","total_pts"
24,"Brendon Todd",23114165,7900,59.08,0.0103,0.0121,26,0.0018,0.1748,52.44,13.7,81.5,25.5,0.5951,0.1953,0.0972,0.0456,0.0075,1.53,1,-0.01,5.99,20,50.52
25,"Christiaan Bezuidenhout",23114166,7800,62.75,0.0087,0.0116,28,0.0029,0.3333,62.54,8.5,88.35,28,0.5885,0.1887,0.0898,0.0423,0.0068,1.49,1,0.02,7.16,16,73.5
26,"Brendan Steele",23114167,7700,55.65,0.0172,0.0173,17,9.99999999999994e-05,0.0058,62.39,16,88,28,0.6711,0.2967,0.1647,0.0897,0.0196,2.25,1,0.85,6.83,23,74.55
27,"Maverick McNealy",23114168,7700,73.94,0.0087,0.0094,33,0.000700000000000001,0.0805,60.53,12.6,87,27.5,0.5745,0.1873,0.0911,0.0428,0.0071,1.22,1,-0.18,7.59,20,63.56
28,"Joel Dahmen",23114169,7700,61.95,0.0119,0.0109,31,-0.001,-0.084,50.88,9.1,80.5,25.5,0.6169,0.2242,0.1163,0.0553,0.0103,1.42,1,0.02,5.94,15,50.54
29,"Si Woo Kim",23114170,7600,64.39,0.0112,0.0154,20,0.0042,0.375,64.95,9.2,90.85,28.5,0.6564,0.2688,0.1445,0.0754,0.0153,2.03,1,0.7,8,17,64.81
30,"Kyoung-Hoon Lee",23114171,7600,63.31,0.01,0.0115,30,0.0015,0.15,53.86,6.8,82.35,26,0.6154,0.2247,0.1157,0.0578,0.0099,1.51,1,0.18,6.51,13,59.43
31,"Harris English",23114172,7600,53.81,0.0065,0.0058,58,-7e-04,-0.1077,47.07,5.2,77,24.5,0.463,0.101,0.0421,0.0176,0.0022,0.76,1,-0.57,4.55,10,49.21
32,"Kevin Kisner",23114173,7500,53.16,0.0057,0.0075,42,0.0018,0.3158,51.95,4.6,81,26,0.5169,0.1351,0.0628,0.0276,0.0043,1,1,-0.25,5.43,10,48.05
33,"Cameron Davis",23114175,7500,56.39,0.0068,0.0082,39,0.0014,0.2059,59.23,9.6,87,27.5,0.5192,0.1346,0.0596,0.0263,0.0037,1.09,1,-0.16,6.32,16,65.55
34,"Jhonattan Vegas",23114176,7500,66.03,0.0087,0.0083,38,-0.000399999999999999,-0.046,65.55,7.9,90.5,28.5,0.5763,0.1799,0.085,0.0394,0.0063,1.11,1,-0.14,7.29,15,69.39
35,"Cameron Tringale",23114177,7400,65,0.0112,0.0115,30,3e-04,0.0268,56.74,8.8,85,26.5,0.6241,0.2283,0.1152,0.0563,0.0102,1.55,1,0.38,6.97,16,60.2
36,"Mackenzie Hughes",23114178,7400,57.05,0.0073,0.0076,41,3e-04,0.0411,46.22,9.4,76.5,24.5,0.5392,0.1481,0.0664,0.0299,0.005,1.03,1,-0.14,5.11,15,52.29
37,"Aaron Rai",23114179,7400,58.91,0.0068,0.0073,45,5e-04,0.0735,60.15,8.1,87,27,0.5763,0.1821,0.0873,0.0415,0.0072,0.99,1,-0.18,6.41,15,65.57
38,"Tom Hoge",23114180,7400,63.83,0.01,0.0121,26,0.0021,0.21,61.28,8.7,87.5,28,0.6198,0.2217,0.114,0.0568,0.0105,1.64,1,0.47,7.34,16,61.34
39,"Sahith Theegala",23114181,7300,64.96,0.0053,0.0065,53,0.0012,0.2264,57.09,6.4,84.85,27,0.505,0.1235,0.0543,0.0221,0.0032,0.89,1,-0.2,6.74,13,56.94
40,"C.T. Pan",23114182,7300,63.05,0.0073,0.0083,38,0.001,0.137,60.15,6.1,87,27.5,0.5798,0.1828,0.088,0.0419,0.0067,1.14,1,0.05,6.92,13,66.82
41,"Anirban Lahiri",23114183,7300,51.05,0.0057,0.0066,51,9e-04,0.1579,54.26,3.8,82,26,0.5614,0.1695,0.082,0.0373,0.0063,0.9,1,-0.19,5.3,9,48.05
42,"Ryan Palmer",23114184,7300,52.75,0.0043,0.0057,60,0.0014,0.3256,59.17,1.3,86.85,27.5,0.4425,0.0896,0.0376,0.0162,0.0023,0.78,1,-0.31,6.01,7,65.55
43,"Luke List",23114185,7300,56.43,0.01,0.0097,32,-3e-04,-0.03,65.31,9.1,91,29,0.6094,0.2128,0.1046,0.0496,0.0081,1.33,1,0.24,6.83,16,69.4
44,"Charles Howell III",23114186,7200,58.64,0.0087,0.0085,35,-0.000199999999999999,-0.023,60.89,2.1,87,27.5,0.569,0.1779,0.0856,0.0407,0.0068,1.18,1,0.18,6.54,9,59.95
45,"Kevin Streelman",23114187,7200,51.33,0.0056,0.006,55,4e-04,0.0714,60.4,6.4,87,27.5,0.5885,0.1972,0.0979,0.0466,0.0077,0.83,1,-0.17,5.82,12,69.55
46,"Cameron Champ",23114188,7200,49.89,0.0043,0.0066,51,0.0023,0.5349,49.41,0.74,80,25,0.4902,0.1178,0.0516,0.0227,0.0035,0.92,1,-0.08,5.32,6,48.05
47,"Chez Reavie",23114189,7200,49.8,0.0056,0.0066,51,0.001,0.1786,51.33,1.4,80.5,25.5,0.5215,0.1374,0.0622,0.028,0.0038,0.92,1,-0.08,5.11,7,48.05
48,"Matthew NeSmith",23114190,7200,57.14,0.0068,0.0092,34,0.0024,0.3529,52.89,6,80.5,26.5,0.5868,0.1905,0.0943,0.0433,0.0074,1.28,1,0.28,6.03,12,45.15
49,"Troy Merritt",23114191,7100,62.82,0.0073,0.0069,49,-4e-04,-0.0548,54.29,1.2,83.5,26,0.5575,0.1692,0.082,0.0383,0.0054,0.97,1,0.06,6.39,8,54.28
50,"Doug Ghim",23114192,7100,53.35,0.0056,0.0084,36,0.0028,0.5,59.79,0.95,87,27,0.5868,0.1946,0.098,0.0461,0.0075,1.18,1,0.27,6.54,7,56.86
51,"Lanto Griffin",23114193,7100,62.81,0.0073,0.0074,44,1e-04,0.0137,59.22,2.7,87,27.5,0.5516,0.1634,0.078,0.0368,0.0058,1.04,1,0.13,6.86,10,67.58
52,"Sepp Straka",23114194,7100,56.12,0.0056,0.0058,58,2e-04,0.0357,52.21,2.2,81,26,0.5536,0.1616,0.0747,0.035,0.0048,0.82,1,-0.09,5.56,8,52.29
53,"Emiliano Grillo",23114195,7100,52.95,0.0043,0.0071,47,0.0028,0.6512,58.28,3.8,86.5,27,0.537,0.1527,0.0704,0.0319,0.0052,1,1,0.09,6.45,10,62.73
54,"Nick Hardy",23114196,7100,55.03,0.0043,0.0044,76,1e-04,0.0233,48.97,2.6,78.5,25.5,0.5,0.1233,0.0537,0.024,0.0033,0.62,1,-0.29,5.07,8,52.29
55,"Adam Long",23114197,7000,56.61,0.0073,0.0079,40,0.000600000000000001,0.0822,51.97,6.1,81,25.5,0.5902,0.2016,0.1038,0.0513,0.0095,1.13,1,0.31,5.87,12,49.39
56,"Rickie Fowler",23114198,7000,52.91,0.0048,0.0056,62,8e-04,0.1667,52.8,2.9,81,26.5,0.4785,0.1125,0.0488,0.021,0.0025,0.8,1,-0.02,5.44,8,48.05
57,"Stewart Cink",23114199,7000,50.28,0.0043,0.005,70,7e-04,0.1628,51.31,0.76,81,25.5,0.4608,0.1015,0.0444,0.0188,0.0026,0.71,1,-0.11,5.18,6,48.05
58,"Dylan Frittelli",23114200,7000,54.79,0.0032,0.0052,66,0.002,0.625,49.62,0.82,78,25.5,0.4608,0.0956,0.0383,0.0158,0.0019,0.74,1,-0.08,5.54,6,48.05
59,"Alex Smalley",23114201,7000,56.7,0.0058,0.005,70,-0.000799999999999999,-0.1379,57.22,1.9,85.5,26.5,0.5413,0.1538,0.0723,0.0319,0.0055,0.71,1,-0.11,5.96,8,61.05
60,"J.J. Spaun",23114202,7000,58.76,0.0043,0.0072,46,0.0029,0.6744,54.7,1.3,83,26,0.5556,0.165,0.0789,0.036,0.0058,1.03,1,0.21,6.61,8,52.97
61,"Russell Knox",23114203,6900,55.64,0.006,0.0075,42,0.0015,0.25,57.28,4.2,85.5,26.5,0.5745,0.1764,0.0853,0.0392,0.0068,1.09,1,0.34,6.42,11,62.73
62,"Scott Stallings",23114205,6900,53.63,0.0043,0.0058,58,0.0015,0.3488,54.99,0.65,84,26.5,0.4878,0.1161,0.0492,0.0207,0.0028,0.84,1,0.09,6.02,7,56.95
63,"Danny Willett",23114206,6900,50.75,0.0019,0.0047,72,0.0028,1.4737,50.82,0.48,80,26,0.4255,0.0782,0.0291,0.0117,0.0017,0.68,1,-0.07,5.71,6,48.05
64,"Scott Piercy",23114207,6900,50.38,0.0032,0.0027,104,-5e-04,-0.1562,50.65,0.4,79.5,25.5,0.4425,0.086,0.0336,0.013,0.0017,0.39,1,-0.36,4.65,5,40.29
65,"Martin Laird",23114208,6900,51.9,0.0056,0.0044,76,-0.0012,-0.2143,55.23,0.89,84.5,26.5,0.5305,0.1377,0.062,0.0282,0.0046,0.64,1,-0.11,5.43,6,55.27
66,"Beau Hossler",23127955,6900,54.39,0.0057,0.0057,60,0,0,41.37,0,71,23.5,0.4695,0.1087,0.0478,0.0204,0.0032,0.83,1,0.08,4.4,4,42.7
67,"John Huh",23114209,6800,56,0.0032,0.0023,108,-9e-04,-0.2813,53.67,1.5,82,26,0.495,0.1142,0.0498,0.0213,0.0031,0.34,1,-0.34,5.29,7,40.29
68,"Lucas Glover",23114210,6800,60.55,0.0068,0.007,48,0.000200000000000001,0.0294,60.62,4.3,87,27.5,0.5536,0.1621,0.0763,0.0351,0.0057,1.03,1,0.35,6.82,11,64.59
69,"Matthew Wolff",23114211,6800,53,0.0019,0.0019,130,0,0,33.61,1.4,59,20.5,0.3012,0.0322,0.0105,0.0038,0,0.28,1,-0.4,2.69,4,27.73
70,"Stephan Jaeger",23114212,6800,47.98,0.0019,0.0044,76,0.0025,1.3158,44.06,0.29,74,24,0.4274,0.0767,0.0299,0.0116,0.0014,0.65,1,-0.03,4.86,5,49.52
71,"Adam Svensson",23114213,6800,54.65,0.0043,0.0052,66,9e-04,0.2093,56.23,6.5,84.5,27,0.4975,0.1225,0.0532,0.0227,0.0037,0.76,1,0.08,6.05,13,57.93
72,"Austin Smotherman",23114214,6800,58.26,0.0032,0.0044,76,0.0012,0.375,56.18,5.1,84,26.5,0.4673,0.1019,0.0454,0.0195,0.0027,0.65,1,-0.03,6.33,11,53.95
73,"Zach Johnson",23114215,6800,40.19,0.0032,0.0035,82,3e-04,0.0937,46.39,0.26,76.5,24.5,0.4484,0.0883,0.0348,0.014,0.0019,0.51,1,-0.17,3.81,4,48.87
74,"Patton Kizzire",23114216,6700,54.67,0.0032,0.0039,80,7e-04,0.2187,48.14,1.6,73.35,23.4,0.4505,0.094,0.0403,0.0163,0.0019,0.58,1,-0.03,4.77,6,42.6
75,"Wyndham Clark",23114217,6700,53.91,0.0032,0.0031,90,-1e-04,-0.0313,44.32,2.3,74.5,24,0.4329,0.0801,0.0331,0.0133,0.0016,0.46,1,-0.15,4.59,7,37.53
76,"Matt Wallace",23114218,6700,47.33,0.0019,0.0019,130,0,0,45.2,1.3,74,24,0.3378,0.0426,0.0154,0.0056,7e-04,0.28,1,-0.33,3.93,5,34.69
77,"Joseph Bramlett",23114219,6700,49.11,0.0019,0.0033,84,0.0014,0.7368,47.23,0.38,78,24.5,0.4464,0.0861,0.0354,0.0145,0.0017,0.49,1,-0.12,5.15,6,42.88
78,"Chad Ramey",23114220,6700,54.5,0.0032,0.0031,90,-1e-04,-0.0313,46.52,0.67,76,25,0.4762,0.1028,0.0419,0.0181,0.0025,0.46,1,-0.15,4.8,5,41.57
79,"David Lipsky",23114221,6700,54.09,0.0057,0.0062,54,5e-04,0.0877,59,4.7,87,27.5,0.5238,0.1403,0.0649,0.0283,0.0042,0.93,1,0.32,6.34,11,68.57
80,"Kramer Hickok",23114222,6700,45.9,0.0032,0.0058,58,0.0026,0.8125,51.18,1.2,80,25.5,0.4785,0.1089,0.0473,0.0207,0.003,0.87,1,0.26,5.4,7,46.9
81,"Carlos Ortiz",23114223,6600,56.92,0.0032,0.0029,96,-3e-04,-0.0938,49.01,1.3,79.5,25,0.4386,0.0855,0.0331,0.0138,0.0018,0.44,1,-0.11,5.35,7,41.57
82,"J.T. Poston",23114224,6600,44.98,0.0032,0.0041,78,9e-04,0.2813,48.99,1.4,79,25.5,0.4854,0.1135,0.0482,0.0204,0.0033,0.62,1,0.07,4.73,6,49.8
83,"Danny Lee",23114225,6600,48.32,0.0043,0.0031,90,-0.0012,-0.2791,47.34,2.3,77,24.5,0.4808,0.1116,0.0489,0.02,0.0034,0.47,1,-0.08,4.29,7,41.57
84,"James Hahn",23114226,6600,44.5,0.0032,0.0051,67,0.0019,0.5938,52.82,0.52,82,25.5,0.4762,0.1028,0.0428,0.0186,0.0026,0.77,1,0.22,5.33,6,46.9
85,"Callum Tarren",23114227,6600,52.71,0.0019,0.0036,81,0.0017,0.8947,44.2,0.5,73.5,24,0.3717,0.0515,0.0187,0.0068,8e-04,0.55,1,0,5.12,6,39.3
86,"Brice Garnett",23114228,6600,48.33,0.0032,0.0032,86,0,0,52.19,0.25,81,25.5,0.4608,0.0931,0.0379,0.0148,0.0019,0.48,1,-0.07,4.93,5,41.57
87,"Andrew Putnam",23114229,6600,51.3,0.0043,0.005,70,7e-04,0.1628,43.86,2,73.5,24,0.4975,0.1182,0.0511,0.0222,0.0032,0.76,1,0.21,4.63,7,44.87
88,"Adam Schenk",23114230,6600,47.86,0.0056,0.0054,64,-2e-04,-0.0357,45.7,3.7,75.5,24.5,0.4878,0.114,0.0486,0.0206,0.0026,0.82,1,0.27,4.47,8,45.59
89,"Matthias Schwab",23114231,6500,56.44,0.0019,0.0035,82,0.0016,0.8421,52.11,0.61,75.68,23.65,0.4444,0.0859,0.0329,0.0135,0.0019,0.54,1,0.04,5.64,6,42.88
90,"Rory Sabbatini",23114232,6500,57.77,0.0032,0.0033,84,9.99999999999998e-05,0.0312,52.23,0.84,81,26,0.4695,0.1054,0.0448,0.0187,0.0027,0.51,1,0.01,5.74,7,40.48
91,"Garrick Higgo",23114233,6500,45.78,0.002,0.0021,111,9.99999999999998e-05,0.05,48.5,0.86,77.5,24.5,0.3571,0.0491,0.0182,0.0063,8e-04,0.32,1,-0.18,4.32,5,44.28
92,"Nate Lashley",23114234,6500,56.69,0.0032,0.0032,86,0,0,51.04,1.3,80,25.5,0.4808,0.1135,0.0492,0.0212,0.0033,0.49,1,-0.01,5.52,7,41.57
93,"Charley Hoffman",23114235,6500,46.64,0.0032,0.0031,90,-1e-04,-0.0313,55.71,2.9,84.5,26.5,0.4167,0.0738,0.0295,0.0125,0.0019,0.48,1,-0.02,5.19,8,50.64
94,"Hayden Buckley",23114236,6500,49.52,0.0032,0.0045,73,0.0013,0.4062,44.62,3.1,74.5,24,0.4525,0.0915,0.0365,0.0145,0.0017,0.69,1,0.19,4.75,8,44.87
95,"Doc Redman",23114237,6500,48.7,0.0019,0.0029,96,0.001,0.5263,47.04,0.38,76.5,24.5,0.4132,0.0731,0.0285,0.0105,0.0014,0.45,1,-0.05,4.85,5,39.58
96,"Hank Lebioda",23114238,6500,45.36,0.0032,0.005,70,0.0018,0.5625,50.17,3.3,80,25,0.4386,0.0799,0.0323,0.013,0.0018,0.77,1,0.27,5.19,8,46.9
97,"Brian Stuard",23114240,6400,45.4,0.0019,0.0028,100,9e-04,0.4737,46.56,0.74,76,24.5,0.4651,0.0962,0.0387,0.0158,0.002,0.44,1,-0.01,4.52,5,44.63
98,"Peter Malnati",23114241,6400,55.16,0.0019,0.003,94,0.0011,0.5789,45.01,1.4,74.35,24,0.4149,0.0708,0.0268,0.01,0.0013,0.47,1,0.02,5.2,7,39.3
99,"Lee Hodges",23114242,6400,52.19,0.0019,0.0039,80,0.002,1.0526,52.72,1.2,81.5,26,0.4274,0.0794,0.0321,0.013,0.0019,0.61,1,0.16,6.13,7,41.9
100,"Chris Gotterup",23114243,6400,51.67,0.0032,0.0027,104,-5e-04,-0.1562,47.54,4.8,82.2,27,0.3704,0.0568,0.0215,0.008,9e-04,0.42,1,-0.03,5.24,10,49.36
101,"Greyson Sigg",23114244,6400,53.74,0.0019,0.0028,100,9e-04,0.4737,49.25,0.34,77.5,25,0.4425,0.0867,0.034,0.0141,0.002,0.44,1,-0.01,5.34,6,42.88
102,"Luke Donald",23114245,6400,47.78,0.0019,0.0019,130,0,0,46.4,0.8,76,25,0.33,0.0388,0.0136,0.0047,6e-04,0.3,1,-0.15,4.29,5,35.61
103,"Tyler Duncan",23114246,6400,54.13,0.0056,0.0054,64,-2e-04,-0.0357,50.51,5.1,79.5,25.5,0.5192,0.1433,0.0659,0.0299,0.0043,0.84,1,0.39,5.48,11,45.17
104,"Max McGreevy",23114247,6400,45.24,0.0019,0.0019,130,0,0,33.3,0.2,57.85,20.5,0.2933,0.0269,0.0084,0.0026,0,0.3,1,-0.15,2.1,2,29.48
105,"Bo Hoag",23123235,6400,40.21,0.0019,0.0019,130,0,0,46,0.13,75.5,24,0.2625,0.0202,0.0059,0.0019,0,0.3,1,-0.15,3.65,4,35.61
106,"Kevin Tway",23114248,6300,41.95,0.0019,0.0019,130,0,0,38.34,0.24,67.35,22.5,0.3472,0.0419,0.0136,0.005,5e-04,0.3,1,-0.11,2.91,3,29.48
107,"Brandon Wu",23114249,6300,51.03,0.0019,0.0031,90,0.0012,0.6316,45.48,0.62,75.5,24,0.4132,0.0712,0.0275,0.0116,0.0015,0.49,1,0.08,5.07,6,39.58
108,"Taylor Moore",23114250,6300,48,0.0032,0.003,94,-2e-04,-0.0625,48,1.2,77.5,24.5,0.4673,0.0978,0.0414,0.0181,0.0025,0.48,1,0.07,4.56,6,43.32
109,"Robert Streb",23114251,6300,46.79,0.0019,0.0028,100,9e-04,0.4737,44.65,0.63,74.5,24,0.4274,0.0799,0.0316,0.0134,0.0017,0.44,1,0.03,4.49,5,44.35
110,"Austin Cook",23114252,6300,43.74,0.0019,0.0019,130,0,0,34.59,0.35,61.85,21,0.3236,0.039,0.0134,0.0049,0,0.3,1,-0.11,2.45,3,29.48
111,"Harry Higgs",23114253,6300,44.3,0.0019,0.0019,130,0,0,39.32,0.3,69,22.5,0.3058,0.0313,0.0097,0.0037,0,0.3,1,-0.11,3.28,4,31.56
112,"Henrik Norlander",23114254,6300,46.75,0.0019,0.0023,108,4e-04,0.2105,50.4,0.41,80.35,25.5,0.4065,0.0663,0.024,0.0091,9e-04,0.37,1,-0.04,4.9,5,40.04
113,"Andrew Novak",23114255,6300,51.5,0.0019,0.0028,100,9e-04,0.4737,49,0.54,79,25,0.369,0.0514,0.0189,0.0067,6e-04,0.44,1,0.03,5.36,6,36.46
114,"Roger Sloan",23114256,6300,40.98,0.0019,0.0019,130,0,0,49.03,0.27,78.5,25,0.3623,0.0487,0.0181,0.0064,7e-04,0.3,1,-0.11,4.06,4,38.73
115,"Dylan Wu",23114257,6300,46.26,0.0019,0.0019,130,0,0,40.96,0.26,70.5,23,0.3135,0.0327,0.0107,0.0042,7e-04,0.3,1,-0.11,3.59,4,34.69
116,"Brandt Snedeker",23114258,6200,45.55,0.0019,0.0027,104,8e-04,0.4211,45.33,0.88,74.5,24,0.3984,0.0641,0.0239,0.0095,0.0011,0.44,1,0.07,4.38,5,39.76
117,"Justin Lower",23114259,6200,57.25,0.0019,0.0027,104,8e-04,0.4211,38.7,0.47,67.5,22.5,0.3831,0.0565,0.0212,0.008,0.001,0.44,1,0.07,4.53,5,38.66
118,"Sam Ryder",23114260,6200,49.98,0.0032,0.0029,96,-3e-04,-0.0938,49.45,0.92,78.5,25,0.4566,0.0912,0.0371,0.0148,0.002,0.47,1,0.1,4.83,6,40.59
119,"Trey Mullinax",23114261,6200,50.35,0.0019,0.0019,130,0,0,48.97,0.53,79.5,25,0.346,0.0435,0.0152,0.0051,6e-04,0.31,1,-0.06,4.93,5,33.86
120,"Kiradech Aphibarnrat",23114262,6200,48.88,0.0019,0.0019,130,0,0,38.78,0.18,67.5,22.5,0.3077,0.0324,0.011,0.0042,0,0.31,1,-0.06,3.5,4,27.73
121,"Kelly Kraft",23114263,6200,41.79,0.0019,0.0028,100,9e-04,0.4737,37.09,0.57,65.5,22,0.3636,0.0514,0.0185,0.0071,0.001,0.45,1,0.08,3.14,4,41.69
122,"Chesson Hadley",23114264,6200,42.35,0.0019,0.0019,130,0,0,34.82,0.22,61.5,21,0.2179,0.0132,0.0041,0.0013,0,0.31,1,-0.06,2.33,3,29.48
123,"Michael Gligic",23114265,6200,48.25,0.0019,0.0019,130,0,0,37.85,0.21,66,22,0.3185,0.0365,0.0125,0.0047,0,0.31,1,-0.06,3.29,4,27.73
124,"David Skinns",23114266,6200,48.11,0.0019,0.0019,130,0,0,36.53,0.08,64.5,22,0.2262,0.0154,0.0045,0.0016,0,0.31,1,-0.06,3.11,3,27.73
125,"Ben Kohles",23114267,6200,52,0.0019,0.0019,130,0,0,37.88,0.14,67,22,0.3623,0.0497,0.0181,0.0056,5e-04,0.31,1,-0.06,3.69,4,27.73
126,"Sung Kang",23114268,6100,47.5,0.0019,0.0019,130,0,0,33.55,0.45,59,20.5,0.2801,0.0251,0.0085,0.003,0,0.31,1,-0.02,2.48,3,21.72
127,"Scott Gutschewski",23114269,6100,47.62,0.0019,0.0019,130,0,0,46.01,0.66,70.14,21.84,0.3817,0.0521,0.0186,0.0076,8e-04,0.31,1,-0.02,3.72,4,29.42
128,"Jim Herman",23114270,6100,42.47,0.0019,0.0019,130,0,0,42.2,0.22,73,23,0.369,0.0547,0.021,0.0083,0.0012,0.31,1,-0.02,3.63,4,29.42
129,"Cole Hammer",23114271,6100,23,0.0019,0.0019,130,0,0,32.78,0.71,57.35,20,0.2028,0.0106,0.0029,0.001,0,0.31,1,-0.02,0.38,1,21.72
130,"Curtis Thompson",23114272,6100,42.16,0.0019,0.0019,130,0,0,44.7,0.02,74.5,24,0.2688,0.0222,0.007,0.0025,0,0.31,1,-0.02,3.77,4,23.8
131,"Nick Watney",23114273,6100,43.19,0.0019,0.0019,130,0,0,30.23,0.11,36,19.5,0.1996,0.0114,0.003,0.0011,0,0.31,1,-0.02,-0.38,0,21.72
132,"William McGirt",23114274,6100,40.5,0.0019,0.0019,130,0,0,42.55,0.02,72,23.5,0.3731,0.0538,0.0202,0.0079,9e-04,0.31,1,-0.02,3.36,3,29.42
133,"Bill Haas",23114275,6100,52.09,0.0019,0.0023,108,4e-04,0.2105,41.03,0.29,70,23,0.3534,0.0457,0.0156,0.0054,0,0.38,1,0.05,4.24,5,28.87
134,"Paul Barjon",23114276,6100,47.56,0.0019,0.0023,108,4e-04,0.2105,46.35,0.58,76.5,24.5,0.3597,0.0481,0.0171,0.0067,0.0011,0.38,1,0.05,4.6,5,34.78
