,Name,ID,Salary,ceil,fpts,total_pts,odds_open,odds_close,odds_delta_per,odds_rank,win,residuals,proj_own,own_change,own
117,Justin Lower,23114259,6200,67.5,38.7,38.66,0.0019,0.0027,0.4211,104,0.001,0.07,0.47,4.53,0
118,Sam Ryder,23114260,6200,78.5,49.45,40.59,0.0032,0.0029,-0.0938,96,0.002,0.1,0.92,4.83,0
119,Trey Mullinax,23114261,6200,79.5,48.97,33.86,0.0019,0.0019,0,130,6.00E-04,-0.06,0.53,4.93,0
120,Kiradech Aphibarnrat,23114262,6200,67.5,38.78,27.73,0.0019,0.0019,0,130,0,-0.06,0.18,3.5,0
121,Kelly Kraft,23114263,6200,65.5,37.09,41.69,0.0019,0.0028,0.4737,100,0.001,0.08,0.57,3.14,0
122,Chesson Hadley,23114264,6200,61.5,34.82,29.48,0.0019,0.0019,0,130,0,-0.06,0.22,2.33,0
123,Michael Gligic,23114265,6200,66,37.85,27.73,0.0019,0.0019,0,130,0,-0.06,0.21,3.29,0
124,David Skinns,23114266,6200,64.5,36.53,27.73,0.0019,0.0019,0,130,0,-0.06,0.08,3.11,0
125,Ben Kohles,23114267,6200,67,37.88,27.73,0.0019,0.0019,0,130,5.00E-04,-0.06,0.14,3.69,0
126,Sung Kang,23114268,6100,59,33.55,21.72,0.0019,0.0019,0,130,0,-0.02,0.45,2.48,0
127,Scott Gutschewski,23114269,6100,70.14,46.01,29.42,0.0019,0.0019,0,130,8.00E-04,-0.02,0.66,3.72,0
128,Jim Herman,23114270,6100,73,42.2,29.42,0.0019,0.0019,0,130,0.0012,-0.02,0.22,3.63,0
129,Cole Hammer,23114271,6100,57.35,32.78,21.72,0.0019,0.0019,0,130,0,-0.02,0.71,0.38,0
130,Curtis Thompson,23114272,6100,74.5,44.7,23.8,0.0019,0.0019,0,130,0,-0.02,0.02,3.77,0
131,Nick Watney,23114273,6100,36,30.23,21.72,0.0019,0.0019,0,130,0,-0.02,0.11,-0.38,0
132,William McGirt,23114274,6100,72,42.55,29.42,0.0019,0.0019,0,130,9.00E-04,-0.02,0.02,3.36,0
133,Bill Haas,23114275,6100,70,41.03,28.87,0.0019,0.0023,0.2105,108,0,0.05,0.29,4.24,0
134,Paul Barjon,23114276,6100,76.5,46.35,34.78,0.0019,0.0023,0.2105,108,0.0011,0.05,0.58,4.6,0
135,Andrew Landry,23114277,6100,42.2,31.57,21.72,0.0019,0.0019,0,130,0,-0.02,0.16,0.44,0
136,Seth Reeves,23114278,6100,65,36.51,24.21,0.0019,0.0019,0,130,6.00E-04,-0.02,0.09,2.95,0
137,Brandon Hagy,23114279,6000,72,41.93,23.8,0.0019,0.0019,0,130,0,0.01,0.27,3.55,0
138,Jared Wolfe,23114280,6000,75,45.08,27.84,0.0019,0.0019,0,130,0,0.01,0.24,4,0
139,Richy Werenski,23114281,6000,69.5,39.68,23.8,0.0019,0.0019,0,130,0,0.01,0.36,3.05,0
140,Morgan Hoffmann,23114283,6000,32.5,27.19,21.72,0.0019,0.0019,0,130,0,0.01,0.03,-2.57,0
141,Michael Thorbjornsen,23114284,6000,72,41.96,23.8,0.0019,0.0019,0,130,0,0.01,0.23,1.89,0
142,Jonas Blixt,23114285,6000,54,32.2,21.72,0.0019,0.0019,0,130,0,0.01,0.15,0.84,0
143,Ryan Brehm,23114286,6000,36,29.81,21.72,0.0019,0.0019,0,130,0,0.01,0.17,0.3,0
144,Martin Trainer,23114287,6000,34.5,29.05,21.72,0.0019,0.0019,0,130,0,0.01,0.19,-0.5,0
145,J.J. Henry,23114288,6000,33.5,27.82,21.72,0.0019,0.0019,0,130,0,0.01,0.01,-1.49,0
146,Adam D'Amario,23114289,6000,38.19,21.22,17.68,0.0019,0.0019,0,130,0,0.01,0.01,-3.51,0
147,Brett Drewitt,23114290,6000,66.5,38.31,21.72,0.0019,0.0019,0,130,0,0.01,0.03,3.13,0
148,Benjamin James,23114291,6000,38.49,21.38,30.07,0.0019,0.0019,0,130,7.00E-04,0.01,0.34,-3.48,0
