datagolf_name,dk_name,sample_size,dk_id,dk_salary,std_dev,tee_time,early_late_wave,scoring_points,finish_points,manual_bump,total_points,value,max_exposure,projected_ownership,lineup_rule
"Mullinax, Trey","Trey Mullinax",150,23114261,6200,26.217,8:15 am,1,44.4,0.8,0,45.1,-0.11,100,0.102196333252115,
"Barjon, Paul","Paul Barjon",150,23114276,6100,26.497,8:35 am,1,44.7,0.8,0,45.5,-0.07,100,0.62747109284914,
"Thompson, Curtis","Curtis Thompson",150,23114272,6100,23.779,2:00 pm,0,40,0.5,0,40.5,-0.26,100,0.0417220668478584,
"Gutschewski, Scott","Scott Gutschewski",150,23114269,6100,26.541,7:05 am,1,45.3,0.9,0,46.2,-0.05,100,0.204513499918318,
"Kang, Sung","Sung Kang",150,23114268,6100,24.442,7:55 am,1,41,0.5,0,41.5,-0.22,100,0.0417220668478584,
"Haas, Bill","Bill Haas",150,23114275,6100,25.673,8:15 am,1,43.8,0.7,0,44.5,-0.11,100,0.464700220263248,
"Watney, Nick","Nick Watney",150,23114273,6100,21.038,1:20 pm,0,35.7,0.3,0,36,-0.43,100,0.0417220668478584,
"Hammer, Cole","Cole Hammer",150,23114271,6100,21.126,8:45 am,1,35.4,0.3,0,35.7,-0.44,100,0.40737395689075,
"McGirt, William","William McGirt",150,23114274,6100,26.722,8:05 am,1,45,0.9,0,45.9,-0.06,100,0.0417220668478584,
"Herman, Jim","Jim Herman",150,23114270,6100,27.381,8:05 am,1,46,1,0,47,-0.02,100,0.292269102951107,
"Reeves, Seth","Seth Reeves",150,23114278,6100,25.435,2:00 pm,0,42.7,0.7,0,43.3,-0.15,100,0.0417220668478584,
"Creel, Joshua","Joshua Creel",150,23123238,6100,21.991,1:50 pm,0,37.9,0.4,0,38.3,-0.34,100,0.0417220668478584,
"Silverman, Ben","Ben Silverman",150,23123237,6100,21.149,1:50 pm,0,36.8,0.3,0,37.1,-0.39,100,0.246372876304176,
"Landry, Andrew","Andrew Landry",150,23114277,6100,23.865,7:45 am,1,39.7,0.5,0,40.2,-0.27,100,0.251910254162703,
"Werenski, Richy","Richy Werenski",150,23114281,6000,24.018,7:55 am,1,39.9,0.5,0,40.4,-0.24,100,0.0417220668478584,
"Thorbjornsen, Michael","Michael Thorbjornsen",150,23114284,6000,22.058,8:45 am,1,37.1,0.3,0,37.5,-0.35,100,0.0417220668478584,
"Henry, J.J.","J.J. Henry",150,23114288,6000,21.248,7:05 am,1,35.9,0.3,0,36.2,-0.4,100,0.0417220668478584,
"Shindler, Conrad","Conrad Shindler",150,23123236,6000,22.874,8:35 am,1,39.5,0.4,0,39.9,-0.26,100,0.297267283041968,
"Trainer, Martin","Martin Trainer",150,23114287,6000,22.810,7:35 am,1,38.3,0.4,0,38.7,-0.3,100,0.0417220668478584,
"Drewitt, Brett","Brett Drewitt",150,23114290,6000,21.856,2:00 pm,0,37,0.3,0,37.3,-0.36,100,0.10603790457868,
"Blixt, Jonas","Jonas Blixt",150,23114285,6000,22.797,6:45 am,1,38.3,0.4,0,38.7,-0.3,100,0.0417220668478584,
"Van Der Walt, Dawie","Dawie Van der Walt",150,23114282,6000,22.775,8:35 am,1,38.3,0.4,0,38.7,-0.3,100,0.0417220668478584,
"Brehm, Ryan","Ryan Brehm",150,23114286,6000,23.382,12:30 pm,0,38.5,0.4,0,39,-0.29,100,0.0417220668478584,
"Flavin, Patrick","Patrick Flavin",150,23123234,6000,21.977,8:35 am,1,38,0.4,0,38.4,-0.31,100,0.833674811724414,
"D'Amario, Adam","Adam D'Amario",2,23114289,6000,9.997,2:00 pm,0,20.2,0,0,20.2,-1,100,0.0417220668478584,
"Wolfe, Jared","Jared Wolfe",150,23114280,6000,23.565,1:40 pm,0,39.6,0.4,0,40,-0.25,100,0.0417220668478584,
"Hoffmann, Morgan","Morgan Hoffmann",150,23114283,6000,22.066,8:15 am,1,36.8,0.3,0,37.1,-0.36,100,0.0417220668478584,
"Hagy, Brandon","Brandon Hagy",150,23114279,6000,23.819,1:30 pm,0,39.9,0.5,0,40.4,-0.24,100,0.0417220668478584,
"James, Benjamin","Benjamin James",118,23114291,6000,26.922,2:00 pm,0,45.1,0.9,0,46,-0.03,100,0.79786248479616,
