"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","odds_per_dollar","one","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"31","Corey Conners",21880928,7600,70.21,0.0141,0.0159,24,0.0018,0.1277,64.75,24.1,84,28,2.09,1,0.63,14.24,40,0.1731,75,"2022-04-07","The Masters"
"32","Webb Simpson",21880929,7500,74.62,0.0083,0.0081,43,-0.000200000000000001,-0.0241,61.81,5.4,82.07,27,1.08,1,-0.33,9.36,15,0.0698,54,"2022-04-07","The Masters"
"33","Justin Rose",21880930,7500,71.28,0.0112,0.0098,33,-0.0014,-0.125,53.22,5.7,77,24,1.31,1,-0.1,7.28,15,0.0914,21,"2022-04-07","The Masters"
"34","Billy Horschel",21880931,7400,84.56,0.0113,0.0092,36,-0.0021,-0.1858,58.11,6.6,79.5,26,1.24,1,-0.11,6.06,15,0.1286,50.5,"2022-04-07","The Masters"
"35","Patrick Reed",21880932,7400,66.04,0.0102,0.0096,34,-0.000600000000000002,-0.0588,49.73,5.7,75,24,1.3,1,-0.05,8.8,15,0.0808,49,"2022-04-07","The Masters"
"36","Bubba Watson",21880933,7300,51.38,0.0079,0.0095,35,0.0016,0.2025,54.7,4.9,77.57,25,1.3,1,0.02,13.63,20,0.0534,56.5,"2022-04-07","The Masters"
"37","Marc Leishman",21880934,7300,80.82,0.0113,0.0105,30,-0.000799999999999999,-0.0708,55,13.6,78.5,25,1.44,1,0.16,8.57,20,0.167,46,"2022-04-07","The Masters"
"38","Seamus Power",21880935,7200,74.46,0.0107,0.0086,40,-0.0021,-0.1963,59.22,4.3,80.5,26,1.19,1,-0.02,6.17,10,0.0455,48.5,"2022-04-07","The Masters"
"39","Jason Kokrak",21880936,7200,70.33,0.0045,0.0063,48,0.0018,0.4,56.29,2.5,79.5,25.5,0.88,1,-0.33,14.95,15,0.0279,63.5,"2022-04-07","The Masters"
"40","Si Woo Kim",21880937,7100,72.03,0.0114,0.0109,29,-5e-04,-0.0439,56.85,16.4,79,25.5,1.54,1,0.39,9.31,25,0.1212,52,"2022-04-07","The Masters"
"41","Max Homa",21880938,7100,76.4,0.0107,0.01,32,-0.000699999999999999,-0.0654,61.29,10.7,81.5,26.5,1.41,1,0.26,8.84,20,0.1282,39,"2022-04-07","The Masters"
"42","Robert Macintyre",21880939,7000,62.92,0.005,0.0071,47,0.0021,0.42,60.95,11.2,82,26.5,1.01,1,-0.07,15.91,25,NA,NA,"2022-04-07","The Masters"
"43","Luke List",21880940,7000,64.04,0.0092,0.0077,44,-0.0015,-0.163,56.92,9.1,80.5,25,1.1,1,0.02,7.28,15,0.0553,13.5,"2022-04-07","The Masters"
"44","Cameron Young",21880941,7000,69.83,0.0074,0.0089,39,0.0015,0.2027,57.92,13,80.07,25.5,1.27,1,0.19,13.55,25,0.0713,13,"2022-04-07","The Masters"
"45","Gary Woodland",21880942,6900,61.38,0.0109,0.0124,28,0.0015,0.1376,57.37,12.2,80,25.5,1.8,1,0.79,13.78,25,0.1339,21,"2022-04-07","The Masters"
"46","Lee Westwood",21880943,6900,43.36,0.0063,0.0045,58,-0.0018,-0.2857,49.09,0.91,73.5,23,0.65,1,-0.36,6.95,10,0.014,61.5,"2022-04-07","The Masters"
"47","Francesco Molinari",21880944,6900,57.44,0.0039,0.0035,64,-4e-04,-0.1026,44.92,0.79,70,22.5,0.51,1,-0.5,8.93,10,0.0198,20,"2022-04-07","The Masters"
"48","Brian Harman",21880945,6800,63.42,0.0073,0.0057,51,-0.0016,-0.2192,56.77,9.4,78,25.5,0.84,1,-0.09,7.21,15,0.0812,27,"2022-04-07","The Masters"
"49","Kevin Kisner",21880946,6800,67.65,0.0081,0.0053,52,-0.0028,-0.3457,46.58,3.1,71.5,22.5,0.78,1,-0.15,5.48,10,0.0713,53,"2022-04-07","The Masters"
"50","Kevin Na",21880947,6800,58.17,0.0045,0.0047,56,0.000200000000000001,0.0444,47.71,7.4,72.5,23,0.69,1,-0.24,10.24,20,0.0371,65.5,"2022-04-07","The Masters"
"51","Christiaan Bezuidenhout",21880949,6700,64.83,0.0063,0.0052,54,-0.0011,-0.1746,58.2,7.7,79,25.5,0.78,1,-0.07,8.05,15,0.0373,43.5,"2022-04-07","The Masters"
"52","Tom Hoge",21880950,6700,72.09,0.0107,0.006,50,-0.0047,-0.4393,55.64,6.8,78,25,0.9,1,0.05,2.57,10,0.0701,48,"2022-04-07","The Masters"
"53","Erik Van Rooyen",21880951,6700,67.96,0.0045,0.0062,49,0.0017,0.3778,51.99,7.1,75.5,24.5,0.93,1,0.08,14.89,20,NA,NA,"2022-04-07","The Masters"
"54","J.J. Spaun",21959165,6700,66.53,0.0057,0.0045,58,-0.0012,-0.2105,48.66,0.72,73.5,23.5,0.67,1,-0.18,7.91,10,0.0171,54,"2022-04-07","The Masters"
"55","Thomas Pieters",21880952,6600,63.58,0.0074,0.0092,36,0.0018,0.2432,57.71,9.7,80,25.5,1.39,1,0.62,14.66,25,0.0671,10,"2022-04-07","The Masters"
"56","Sepp Straka",21880953,6600,57.94,0.0063,0.0053,52,-0.001,-0.1587,49.38,7.5,75,23.5,0.8,1,0.03,8.27,15,0.0623,58.5,"2022-04-07","The Masters"
"57","Cameron Champ",21880954,6600,46.69,0.0031,0.0045,58,0.0014,0.4516,42.65,2.6,69.5,22,0.68,1,-0.09,14.77,15,0.0192,65.5,"2022-04-07","The Masters"
"58","Harold Varner III",21880955,6600,63.85,0.0106,0.0082,42,-0.0024,-0.2264,55.02,2.3,78.5,25,1.24,1,0.47,6.07,10,0.0481,63.5,"2022-04-07","The Masters"
"59","Ryan Palmer",21880956,6500,54.73,0.0019,0.0029,68,0.001,0.5263,53.2,2.1,76.5,24.5,0.45,1,-0.23,14.6,15,0.0199,20,"2022-04-07","The Masters"
"60","Matthew Wolff",21880957,6500,66.44,0.0032,0.004,61,8e-04,0.25,37.7,1.3,64.5,21,0.62,1,-0.06,12.18,15,0.0246,7.5,"2022-04-07","The Masters"
"61","Min Woo Lee",21880958,6500,37.6,0.0047,0.0029,68,-0.0018,-0.383,47.17,0.23,73.5,23,0.45,1,-0.23,7.69,10,0.002,73,"2022-04-07","The Masters"
"62","Cameron Davis",21880959,6500,56.46,0.0037,0.0039,62,2e-04,0.0541,50.32,0.75,75.5,23.5,0.6,1,-0.08,10.37,10,0.0093,39.5,"2022-04-07","The Masters"
"63","Stewart Cink",21880960,6400,54.36,0.0019,0.0043,60,0.0024,1.2632,45.4,3.2,70.5,22.5,0.67,1,0.07,24.85,30,0.0341,29,"2022-04-07","The Masters"
"64","Zach Johnson",21880961,6400,46.04,0.0047,0.0026,74,-0.0021,-0.4468,44.08,0.71,69.5,22,0.41,1,-0.19,7.65,10,0.0116,19,"2022-04-07","The Masters"
"65","Lucas Herbert",21880962,6400,56.1,0.0046,0.0047,56,1e-04,0.0217,44.17,1.3,71,22.5,0.73,1,0.13,10.3,10,0.0121,20.5,"2022-04-07","The Masters"
"66","Keita Nakajima",21880963,6400,66.25,8e-04,0.0021,77,0.0013,1.625,38.98,0.25,65,21,0.33,1,-0.27,22.4,25,0.0092,16,"2022-04-07","The Masters"
"67","Lucas Glover",21880964,6400,66.81,9e-04,0.0031,66,0.0022,2.4444,49.87,0.7,74,24,0.48,1,-0.12,24.31,25,0.0164,55,"2022-04-07","The Masters"
"68","Harry Higgs",21880965,6300,49.63,9e-04,0.0026,74,0.0017,1.8889,40.49,0.57,67.5,21,0.41,1,-0.1,23.33,25,0.0059,67,"2022-04-07","The Masters"
"69","Hudson Swafford",21880966,6300,59.66,9e-04,0.0012,85,3e-04,0.3333,43.65,0.66,70.5,22,0.19,1,-0.32,11.47,10,0.0054,54,"2022-04-07","The Masters"
"70","Garrick Higgo",21880967,6300,53.31,0.0048,0.0026,74,-0.0022,-0.4583,46.81,1.1,73,22.5,0.41,1,-0.1,7.63,10,0.0064,15.5,"2022-04-07","The Masters"
"71","Mackenzie Hughes",21880968,6300,63.42,0.0021,0.0075,45,0.0054,2.5714,46.15,3.4,71,22.5,1.19,1,0.68,31.31,35,0.0312,39.5,"2022-04-07","The Masters"
"72","Danny Willett",21880969,6300,48.79,0.0019,0.0034,65,0.0015,0.7895,47.43,1.1,73,23,0.54,1,0.03,19.26,20,0.0081,56,"2022-04-07","The Masters"
"73","Padraig Harrington",21880971,6200,61,0.0033,0.0029,68,-4e-04,-0.1212,51.56,0.26,76,24,0.47,1,0.05,9.38,10,0.0115,19,"2022-04-07","The Masters"
"74","Guido Migliozzi",21880972,6200,35,9e-04,0.0017,78,8e-04,0.8889,46.86,0.47,72.07,23,0.27,1,-0.15,19.39,20,0.0016,18.5,"2022-04-07","The Masters"
"75","Charl Schwartzel",21880973,6200,39.68,9e-04,0.0014,82,5e-04,0.5556,38.05,0.64,65.5,21,0.23,1,-0.19,13.94,15,0.0055,65,"2022-04-07","The Masters"
"76","Mike Weir",21880974,6200,49,9e-04,0.0035,64,0.0026,2.8889,46.84,0.16,73,23,0.56,1,0.14,25.3,25,0.0027,17,"2022-04-07","The Masters"
"77","Jose Maria Olazabal",21880975,6100,43.25,6e-04,7e-04,87,1e-04,0.1667,29.52,0.14,51.5,17.5,0.11,1,-0.22,10.31,10,9e-04,10,"2022-04-07","The Masters"
"78","Larry Mize",21880976,6100,38.5,0.0034,7e-04,87,-0.0027,-0.7941,28.12,0.07,38.5,17,0.11,1,-0.22,10.74,10,2e-04,9,"2022-04-07","The Masters"
"79","Sandy Lyle",21880977,6100,34.33,0.0034,7e-04,87,-0.0027,-0.7941,28.34,0.06,38.5,17,0.11,1,-0.22,10.74,10,4e-04,11.5,"2022-04-07","The Masters"
"80","Fred Couples",21880978,6100,0,9e-04,0.0028,70,0.0019,2.1111,28.39,0.59,38.5,17,0.46,1,0.13,23.9,25,0.0019,17.5,"2022-04-07","The Masters"
"81","Bernhard Langer",21880979,6100,75.4,9e-04,0.0015,81,6e-04,0.6667,27.83,0.94,38,17,0.25,1,-0.08,15.58,15,0.021,13.5,"2022-04-07","The Masters"
"82","Vijay Singh",21880980,6000,59,0.0035,0.0028,70,-7e-04,-0.2,31.62,0.13,57,18,0.47,1,0.24,9.18,10,0.0057,7.5,"2022-04-07","The Masters"
"83","Laird Shepherd",21880981,6000,0,0.0033,0.0013,84,-0.002,-0.6061,30.48,0.07,54,18,0.22,1,-0.01,9.67,10,4e-04,3,"2022-04-07","The Masters"
"84","Takumi Kanaya",21880982,6000,42.83,9e-04,0.0027,72,0.0018,2,41.58,0.48,67.5,21,0.45,1,0.22,23.76,25,0.0041,22.5,"2022-04-07","The Masters"
"85","Austin Greaser",21880983,6000,0,9e-04,0.0016,80,7e-04,0.7778,33.33,0.02,54,20.5,0.27,1,0.04,17.48,20,7e-04,19,"2022-04-07","The Masters"
"86","Stewart Hagestad",21880984,6000,0,9e-04,0.0023,76,0.0014,1.5556,28.32,0.05,39,16.5,0.38,1,0.15,22.91,25,0.0019,11,"2022-04-07","The Masters"
"87","Aaron Jarvis",21880985,6000,0,6e-04,0.0013,84,7e-04,1.1667,32.73,0.03,53,21.5,0.22,1,-0.01,21.39,20,5e-04,15.5,"2022-04-07","The Masters"
"88","James Piot",21880986,6000,14,0.002,0.0016,80,-4e-04,-0.2,32.41,0.04,58.07,18.5,0.27,1,0.04,9.63,10,0.001,16.5,"2022-04-07","The Masters"
