,Win,,Tournament Finish,,,,Make Cut,,,,Win Round,,,,,
Justin Rose,8000,"1,600.00",1400,280.00,600,120.00,,,,,6000,"1,200.00",,,,
Webb Simpson,8000,"1,600.00",1800,360.00,800,160.00,,,,,6000,"1,200.00",,,,
Bubba Watson,8000,"1,600.00",1300,260.00,550,110.00,,,,,5500,"1,100.00",,,,
Tiger Woods,8000,"1,600.00",1100,220.00,500,100.00,,,,,5500,"1,100.00",,,,
Max Homa,10000,"2,000.00",1400,280.00,600,120.00,,,,,6000,"1,200.00",,,,
Billy Horschel,10000,"2,000.00",1200,240.00,550,110.00,,,,,6000,"1,200.00",,,,
Si Woo Kim,10000,"2,000.00",1400,280.00,650,130.00,,,,,6000,"1,200.00",,,,
Phil Mickelson,10000,"2,000.00",,,,,,,,,,,,,,
Thomas Pieters,10000,"2,000.00",1800,360.00,800,160.00,,,,,7000,"1,400.00",,,,
Seamus Power,10000,"2,000.00",1800,360.00,800,160.00,,,,,6000,"1,200.00",,,,
Gary Woodland,10000,"2,000.00",1600,320.00,700,140.00,,,,,6000,"1,200.00",,,,
Talor Gooch,12500,"2,500.00",1800,360.00,800,160.00,,,,,6600,"1,320.00",,,,
Brian Harman,12500,"2,500.00",2000,400.00,900,180.00,,,,,6600,"1,320.00",,,,
Jason Kokrak,12500,"2,500.00",2000,400.00,800,160.00,,,,,7000,"1,400.00",,,,
Luke List,12500,"2,500.00",2500,500.00,1000,200.00,,,,,8000,"1,600.00",,,,
Cameron Young,12500,"2,500.00",1800,360.00,800,160.00,,,,,7000,"1,400.00",,,,
Matt Kuchar,13000,"2,600.00",,,,,,,,,,,,,,
Carlos Ortiz,13000,"2,600.00",,,,,,,,,,,,,,
Christiaan Bezuidenhout,15000,"3,000.00",2500,500.00,1000,200.00,,,,,8000,"1,600.00",,,,
Keegan Bradley,15000,"3,000.00",,,,,,,,,,,,,,
Branden Grace,15000,"3,000.00",,,,,,,,,,,,,,
Tom Hoge,15000,"3,000.00",2800,560.00,1200,240.00,,,,,8000,"1,600.00",,,,
Rasmus Hojgaard,15000,"3,000.00",,,,,,,,,,,,,,
Robert MacIntyre,15000,"3,000.00",1600,320.00,800,160.00,,,,,7000,"1,400.00",,,,
Francesco Molinari,15000,"3,000.00",4000,800.00,1600,320.00,,,,,10000,"2,000.00",,,,
Kevin Na,15000,"3,000.00",2500,500.00,900,180.00,,,,,8000,"1,600.00",,,,
Ian Poulter,15000,"3,000.00",,,,,,,,,,,,,,
Brandt Snedeker,15000,"3,000.00",,,,,,,,,,,,,,
Harold Varner,15000,"3,000.00",2800,560.00,1200,240.00,,,,,8000,"1,600.00",,,,
Matt Wallace,15000,"3,000.00",,,,,,,,,,,,,,
Lee Westwood,15000,"3,000.00",2800,560.00,1200,240.00,,,,,8000,"1,600.00",,,,
Bernd Wiesberger,15000,"3,000.00",,,,,,,,,,,,,,
Sebastian Munoz,17000,"3,400.00",,,,,,,,,,,,,,
Brendon Todd,17000,"3,400.00",,,,,,,,,,,,,,
Cameron Champ,20000,"4,000.00",2800,560.00,1200,240.00,,,,,8000,"1,600.00",,,,
Lucas Herbert,20000,"4,000.00",6500,"1,300.00",2500,500.00,,,,,10000,"2,000.00",,,,
Kevin Kisner,20000,"4,000.00",2200,440.00,900,180.00,,,,,7000,"1,400.00",,,,
Ryan Palmer,20000,"4,000.00",4000,800.00,1600,320.00,,,,,10000,"2,000.00",,,,
J.J. Spaun,20000,"4,000.00",6500,"1,300.00",2500,500.00,,,,,15000,"3,000.00",,,,
Sepp Straka,20000,"4,000.00",4000,800.00,1600,320.00,,,,,10000,"2,000.00",,,,
Danny Willett,20000,"4,000.00",6500,"1,300.00",2500,500.00,,,,,10000,"2,000.00",,,,
Matthew Wolff,20000,"4,000.00",3000,600.00,1200,240.00,,,,,8000,"1,600.00",,,,
Erik van Rooyen,20000,"4,000.00",4000,800.00,1600,320.00,,,,,10000,"2,000.00",,,,
Byeong Hun An,21000,"4,200.00",,,,,,,,,,,,,,
Joel Dahmen,21000,"4,200.00",,,,,,,,,,,,,,
Thomas Detry,21000,"4,200.00",,,,,,,,,,,,,,
Dylan Frittelli,21000,"4,200.00",,,,,,,,,,,,,,
Lanto Griffin,21000,"4,200.00",,,,,,,,,,,,,,
Sam Horsfield,21000,"4,200.00",,,,,,,,,,,,,,
Charles Howell,21000,"4,200.00",,,,,,,,,,,,,,
Martin Kaymer,21000,"4,200.00",,,,,,,,,,,,,,
Alex Noren,21000,"4,200.00",,,,,,,,,,,,,,
Thorbjorn Olesen,21000,"4,200.00",,,,,,,,,,,,,,
Chez Reavie,21000,"4,200.00",,,,,,,,,,,,,,
Henrik Stenson,21000,"4,200.00",,,,,,,,,,,,,,
Kevin Streelman,21000,"4,200.00",,,,,,,,,,,,,,
Cam Davis,25000,"5,000.00",6500,"1,300.00",2500,500.00,,,,,10000,"2,000.00",,,,
Garrick Higgo,25000,"5,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
K.H. Lee,25000,"5,000.00",6500,"1,300.00",2500,500.00,,,,,15000,"3,000.00",,,,
Min Woo Lee,25000,"5,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Rafa Cabrera Bello,27000,"5,400.00",,,,,,,,,,,,,,
Adam Hadwin,27000,"5,400.00",,,,,,,,,,,,,,
Mackenzie Hughes,27000,"5,400.00",4000,800.00,1600,320.00,,,,,10000,"2,000.00",,,,
Graeme McDowell,27000,"5,400.00",,,,,,,,,,,,,,
Matthias Schwab,27000,"5,400.00",,,,,,,,,,,,,,
Andy Sullivan,27000,"5,400.00",,,,,,,,,,,,,,
Nick Taylor,27000,"5,400.00",,,,,,,,,,,,,,
Lucas Glover,30000,"6,000.00",6500,"1,300.00",2500,500.00,,,,,15000,"3,000.00",,,,
Zach Johnson,30000,"6,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Stewart Cink,32000,"6,400.00",6500,"1,300.00",2500,500.00,,,,,12500,"2,500.00",,,,
Jason Dufner,32000,"6,400.00",,,,,,,,,,,,,,
Martin Laird,32000,"6,400.00",,,,,,,,,,,,,,
Tom Lewis,32000,"6,400.00",,,,,,,,,,,,,,
Harry Higgs,35000,"7,000.00",8000,"1,600.00",3500,700.00,,,,,15000,"3,000.00",,,,
Takumi Kanaya,35000,"7,000.00",6500,"1,300.00",2500,500.00,,,,,12500,"2,500.00",,,,
Hudson Swafford,35000,"7,000.00",8000,"1,600.00",3500,700.00,,,,,15000,"3,000.00",,,,
Padraig Harrington,40000,"8,000.00",6500,"1,300.00",2800,560.00,,,,,15000,"3,000.00",,,,
Keita Nakajima,40000,"8,000.00",5000,"1,000.00",2200,440.00,,,,,20000,"4,000.00",,,,
Charl Schwartzel,40000,"8,000.00",5000,"1,000.00",2000,400.00,,,,,15000,"3,000.00",,,,
Guido Migliozzi,50000,"10,000.00",8000,"1,600.00",3500,700.00,,,,,20000,"4,000.00",,,,
Fred Couples,100000,"20,000.00",15000,"3,000.00",10000,"2,000.00",,,,,20000,"4,000.00",,,,
Austin Greaser,100000,"20,000.00",10000,"2,000.00",6000,"1,200.00",,,,,25000,"5,000.00",,,,
Stewart Hagestad,100000,"20,000.00",10000,"2,000.00",4000,800.00,,,,,25000,"5,000.00",,,,
Bernhard Langer,100000,"20,000.00",10000,"2,000.00",5000,"1,000.00",,,,,20000,"4,000.00",,,,
James Piot,100000,"20,000.00",10000,"2,000.00",6000,"1,200.00",,,,,25000,"5,000.00",,,,
Laird Shepherd,100000,"20,000.00",12500,"2,500.00",5000,"1,000.00",,,,,30000,"6,000.00",,,,
Vijay Singh,100000,"20,000.00",15000,"3,000.00",15000,"3,000.00",,,,,40000,"8,000.00",,,,
Mike Weir,150000,"30,000.00",15000,"3,000.00",10000,"2,000.00",,,,,30000,"6,000.00",,,,
Aaron Jarvis,200000,"40,000.00",15000,"3,000.00",7000,"1,400.00",,,,,30000,"6,000.00",,,,
Jose Maria Olazabal,250000,"50,000.00",15000,"3,000.00",10000,"2,000.00",,,,,40000,"8,000.00",,,,
Sandy Lyle,400000,"80,000.00",20000,"4,000.00",20000,"4,000.00",,,,,50000,"10,000.00",,,,
Larry Mize,500000,"100,000.00",20000,"4,000.00",20000,"4,000.00",,,,,50000,"10,000.00",,,,
Trevor Immelman,,,,,,,,,,,,,,,,
Matt Jones,,,,,,,,,,,,,,,,
C.T. Pan,,,,,,,,,,,,,,,,
Victor Perez,,,,,,,,,,,,,,,,
Michael Thompson,,,,,,,,,,,,,,,,
Ian Woosnam,,,,,,,,,,,,,,,,
