Player,Roster Position,%Drafted,FPTS
Trevor Lawrence,QB,1.07%,10.78
Amon-Ra St. Brown,FLEX,1.05%,10.1
Nick Westbrook-Ikhine,WR,1.04%,2
Ryan Griffin,TE,0.97%,3.1
Rondale Moore,FLEX,0.90%,3.1
Tre'Quan Smith,WR,0.86%,14.4
Mac Jones,QB,0.84%,19.92
Kalif Raymond,WR,0.83%,6.9
Geoff Swaim,TE,0.82%,6.6
Seahawks ,DST,0.80%,4
Nelson Agholor,WR,0.80%,4.1
Quez Watkins,WR,0.78%,7.3
Donald Parham Jr.,TE,0.77%,2.7
Baker Mayfield,QB,0.76%,5.92
Tajae Sharpe,FLEX,0.68%,1
Chargers ,DST,0.67%,4
Hayden Hurst,TE,0.64%,0
Robby Anderson,WR,0.59%,13.7
James Robinson,RB,0.53%,18.4
Jeremy McNichols,RB,0.52%,1.8
Adam Humphries,WR,0.52%,1.5
Austin Hooper,TE,0.51%,12.5
Colt McCoy,QB,0.51%,2.18
Rashard Higgins,WR,0.50%,0
Jared Goff,QB,0.47%,4.56
Jack Doyle,TE,0.46%,6.1
Adam Trautman,TE,0.45%,8.2
Keelan Cole Sr.,WR,0.41%,2.8
Tim Patrick,WR,0.41%,4.4
Chester Rogers,WR,0.40%,1.9
P.J. Walker,QB,0.38%,7.28
Falcons ,DST,0.35%,-2
Trevor Siemian,QB,0.31%,19.92
Jalen Guyton,WR,0.30%,0
DeAndre Carter,FLEX,0.29%,15
Giovani Bernard,RB,0.29%,1.8
Ty Johnson,RB,0.28%,8.8
Marcedes Lewis,TE,0.28%,3
Cedrick Wilson,WR,0.27%,0
Eno Benjamin,RB,0.26%,2.2
Eric Ebron,TE,0.24%,3.3
Marcus Johnson,WR,0.24%,18
Freddie Swain,WR,0.24%,0
Kenny Stills,FLEX,0.24%,0
Gabriel Davis,WR,0.22%,16.5
Jalen Reagor,WR,0.22%,1.4
Chuba Hubbard,RB,0.19%,8.7
Carlos Hyde,RB,0.18%,1.4
Boston Scott,RB,0.17%,12.5
Taysom Hill,QB,0.17%,5.24
Tommy Sweeney,TE,0.16%,0
Mike Davis,RB,0.16%,1.8
Anthony Firkser,TE,0.15%,1.2
Braxton Berrios,WR,0.12%,4.9
Alexander Mattison,RB,0.11%,5
Josiah Deguara,TE,0.11%,2.9
Ronald Jones II,FLEX,0.10%,0
J.J. Taylor,RB,0.10%,1.1
Malik Turner,WR,0.10%,1.7
Julio Jones,WR,0.10%,0
Dyami Brown,WR,0.09%,0
Anthony Miller,WR,0.08%,0
Joshua Palmer,FLEX,0.07%,5.2
Kyler Murray,QB,0.07%,0
Ray-Ray McCloud III,WR,0.07%,15.3
Terrace Marshall Jr.,WR,0.07%,2
Albert Okwuegbunam,TE,0.06%,10.7
Darren Fells,TE,0.06%,0
Kenneth Gainwell,RB,0.06%,2.4
D'Onta Foreman,FLEX,0.06%,9.8
Ben Roethlisberger,QB,0.05%,0
Nick Chubb,RB,0.04%,0
Jaelon Darden,WR,0.04%,3.9
Isaiah McKenzie,WR,0.04%,9.9
Anthony Schwartz,WR,0.04%,0
Cyril Grayson,WR,0.04%,0
DeAndre Hopkins,FLEX,0.04%,0
Dee Eskridge,WR,0.04%,0.6
DeeJay Dallas,RB,0.04%,0
Kendall Hinton,FLEX,0.03%,0
Will Dissly,TE,0.03%,4.2
Josh Reynolds,FLEX,0.03%,0
Jonnu Smith,TE,0.03%,0
Antonio Brown,WR,0.03%,0
Jermar Jefferson,FLEX,0.03%,10.1
Rob Gronkowski,TE,0.03%,0
Alvin Kamara,RB,0.02%,0
Dwayne Washington,RB,0.02%,0.8
Antoine Wesley,WR,0.02%,0
MyCole Pruitt,TE,0.02%,7.2
Juwan Johnson,FLEX,0.02%,5.6
Tommy Tremble,TE,0.02%,1.3
Greg Ward,WR,0.02%,0
Cam Sims,WR,0.02%,3
Noah Brown,WR,0.02%,2.8
Damien Harris,RB,0.02%,0
Jeff Smith,WR,0.02%,0
Chase Claypool,WR,0.01%,0
Matt Breida,FLEX,0.01%,19
Derrick Henry,RB,0.01%,0
Stephen Anderson,FLEX,0.01%,0
Harrison Bryant,TE,0.01%,3.8
Jaret Patterson,RB,0.01%,0.7
Travis Homer,FLEX,0.01%,5.5
Tevin Coleman,FLEX,0.01%,5.3
Geno Smith,QB,0.01%,0
Ty Montgomery,WR,0.01%,0.2
Ian Thomas,FLEX,0.01%,0
Bronson Kaufusi,FLEX,0.01%,0
Quintin Morris,TE,0.01%,0
Rashaad Penny,RB,0.01%,0
Benny Snell Jr.,FLEX,0.01%,0.4
Ashton Dulin,FLEX,0.01%,2.6
Joshua Kelley,RB,0.01%,0.6
Sean McKeon,TE,0.01%,3.5
La'Mical Perine,FLEX,0.01%,0
Logan Thomas,TE,0.01%,0
Phillip Dorsett II,FLEX,0.01%,0
Jakob Johnson,FLEX,0.01%,0
Josh Johnson,QB,0.01%,0
Ameer Abdullah,RB,0.01%,9.1
Juwann Winfree,FLEX,0.01%,0
Kevin White,FLEX,0.01%,0
Amari Rodgers,WR,0.01%,0
John Bates,FLEX,0.01%,5.5
Dez Fitzpatrick,WR,0.01%,1
Chris Carson,FLEX,0.01%,0
Kareem Hunt,FLEX,0.01%,0
Chris Herndon,TE,0.01%,2.4
Tavon Austin,WR,0.01%,0
Dwayne Haskins Jr.,QB,0.01%,0
David Moore,FLEX,0.01%,0
Taiwan Jones,FLEX,0.01%,0
Kalen Ballage,RB,0.01%,0
Kenny Yeboah,TE,0.01%,0
KhaDarel Hodge,WR,0.01%,0
Zach Gentry,TE,0.01%,0
Jaydon Mickens,WR,0.01%,0
Jordan Love,QB,0.01%,0
Jeremy Sprinkle,FLEX,0.01%,0
Darwin Thompson,RB,0.01%,0
Johnny Stanton IV,FLEX,0.01%,0
Kylen Granson,FLEX,0.00%,2.5
Jacob Hollister,TE,0.00%,0
Codey McElroy,TE,0.00%,0
Brandon Zylstra,WR,0.00%,3.8
Dede Westbrook,WR,0.00%,0
Tyree Jackson,TE,0.00%,0
Royce Freeman,FLEX,0.00%,0
Scotty Miller,WR,0.00%,0
Miles Sanders,RB,0.00%,0
Trevon Wesco,TE,0.00%,0
D.J. Montgomery,WR,0.00%,0
Quintez Cephus,WR,0.00%,0
Austin Walter,FLEX,0.00%,0
Wayne Gallman Jr.,FLEX,0.00%,8.6
Laquon Treadwell,WR,0.00%,2.8
Dare Ogunbowale,RB,0.00%,0
Damion Willis,WR,0.00%,0
N'Keal Harry,WR,0.00%,3.6
Ryquell Armstead,RB,0.00%,0
Derrius Guice,RB,0.00%,0
Steven Sims Jr.,WR,0.00%,0
Matt LaCosse,TE,0.00%,0
Tyler Davis,TE,0.00%,1.4
Calvin Ridley,WR,0.00%,0
Marlon Mack,RB,0.00%,0
Chris Blair,WR,0.00%,0
Kene Nwangwu,FLEX,0.00%,0
Nick Bawden,RB,0.00%,0
Caleb Wilson,TE,0.00%,0
Derek Watt,RB,0.00%,1.9
Christian Blake,WR,0.00%,0
Chase Edmonds,RB,0.00%,0
Lil'Jordan Humphrey,WR,0.00%,0
Cody White,FLEX,0.00%,0
Luke Farrell,TE,0.00%,0
Alex Armah,FLEX,0.00%,0
Tyler Kroft,TE,0.00%,0
Cody Thompson,WR,0.00%,0
Demetrius Harris,TE,0.00%,0
Andy Janovich,RB,0.00%,0
Ian Bunting,TE,0.00%,0
Darrell Daniels,TE,0.00%,0
C.J. Ham,RB,0.00%,4.3
Kahale Warring,TE,0.00%,0
Denzel Mims,FLEX,0.00%,0
Patrick Taylor,RB,0.00%,0.7
Shi Smith,WR,0.00%,0
Vyncint Smith,WR,0.00%,0
Curtis Samuel,WR,0.00%,0
Nick Ralston,TE,0.00%,0
Matthew Slater,FLEX,0.00%,0
Ryan Izzo,FLEX,0.00%,0
Jamaal Williams,RB,0.00%,0
Josh Johnson,RB,0.00%,0
Keke Coutee,WR,0.00%,0
Garrett Griffin,TE,0.00%,0
Dax Milne,WR,0.00%,3.2
Robert Tonyan,FLEX,0.00%,0
K.J. Hill,WR,0.00%,0
Michael Jacobson,FLEX,0.00%,0
Brandon Smith,WR,0.00%,0
Willie Snead IV,WR,0.00%,0
Trey Edmunds,FLEX,0.00%,0
Tyron Johnson,WR,0.00%,0
Corey Clement,RB,0.00%,3.5
Case Keenum,QB,0.00%,3.24
Malik Taylor,WR,0.00%,0
John Hurst,WR,0.00%,0
Godwin Igwebuike,RB,0.00%,11.6
Alex Erickson,WR,0.00%,0
Reggie Gilliam,FLEX,0.00%,0
Eli Wolf,FLEX,0.00%,0
Larry Rountree III,RB,0.00%,7
Tyler Mabry,FLEX,0.00%,0
Ke'Shawn Vaughn,FLEX,0.00%,0
Michael Bandy,FLEX,0.00%,0
Dontrell Hilliard,RB,0.00%,0
Equanimeous St. Brown,FLEX,0.00%,0
JuJu Smith-Schuster,WR,0.00%,0
DeMichael Harris,FLEX,0.00%,0
Richard Rodgers,TE,0.00%,0
Devin Asiasi,TE,0.00%,0
Rico Gafford,WR,0.00%,0
Austin Proehl,WR,0.00%,0
Eric Saubert,FLEX,0.00%,0
Ihmir Smith-Marsette,WR,0.00%,0
Maurice Ffrench,WR,0.00%,0
Brock Wright,FLEX,0.00%,1.2
Lamar Miller,FLEX,0.00%,0
Chris Manhertz,FLEX,0.00%,0
Mitchell Trubisky,QB,0.00%,0
Parris Campbell,WR,0.00%,0
Hunter Bryant,TE,0.00%,0
Dezmon Patmon,FLEX,0.00%,0
Luke Stocker,FLEX,0.00%,0
Tre' McKitty,TE,0.00%,0
James White,RB,0.00%,0
JJ Arcega-Whiteside,FLEX,0.00%,0
Blaine Gabbert,QB,0.00%,0
Blake Jarwin,TE,0.00%,0
JaQuan Hardy,RB,0.00%,0
Parker Hesse,TE,0.00%,0
Qadree Ollison,RB,0.00%,0
Simi Fehoko,FLEX,0.00%,0
Robert Foster,WR,0.00%,0
Zach Wood,FLEX,0.00%,0
Maxx Williams,TE,0.00%,0
Noah Togiai,TE,0.00%,0
Diontae Spencer,FLEX,0.00%,0
Jameis Winston,QB,0.00%,0
DJ Chark Jr.,FLEX,0.00%,0
Ben Mason,RB,0.00%,0
Tory Carter,FLEX,0.00%,0
Tre Nixon,WR,0.00%,0
Marvin Hall,WR,0.00%,0
Zach Wilson,QB,0.00%,0
Ja'Marcus Bradley,WR,0.00%,0
Kerrith Whyte Jr.,FLEX,0.00%,0
Joe Flacco,QB,0.00%,5.88
Kelvin Harmon,WR,0.00%,0
Easop Winston Jr.,WR,0.00%,0
Keith Kirkwood,WR,0.00%,0
Craig Reynolds,RB,0.00%,0
John Hightower,WR,0.00%,0
Kristian Wilkerson,WR,0.00%,0
Frank Darby,WR,0.00%,2.4
Gardner Minshew II,QB,0.00%,0
Ethan Wolf,FLEX,0.00%,0
Kevin Rader,TE,0.00%,0
Deon Cain,FLEX,0.00%,0
Jake Bargas,FLEX,0.00%,0
Anthony McFarland Jr.,FLEX,0.00%,0
David Wells,TE,0.00%,0
JoJo Natson,WR,0.00%,0
Deon Jackson,FLEX,0.00%,0
Andrew Beck,FLEX,0.00%,0
Spencer Brown,RB,0.00%,0
Ryan Fitzpatrick,QB,0.00%,0
Dylan Soehner,TE,0.00%,0
Jake Luton,QB,0.00%,0
Tarik Black,FLEX,0.00%,0
Tyler Ott,TE,0.00%,0
C.J. Beathard,QB,0.00%,0
Keith Smith,FLEX,0.00%,0.5
Nick Vannett,FLEX,0.00%,0
Ryan Becker,FLEX,0.00%,0
Jason Moore Jr.,FLEX,0.00%,0
Devine Ozigbo,RB,0.00%,0
Tim Jones,WR,0.00%,0
Ian Book,QB,0.00%,0
Reid Sinnett,QB,0.00%,0
Bernhard Seikovits,TE,0.00%,0
Jason Cabinda,FLEX,0.00%,0.2
Tyler Vaughns,FLEX,0.00%,0
Stephen Carlson,TE,0.00%,0
Jeff Cotton Jr.,WR,0.00%,0
Josh Rosen,QB,0.00%,-0.44
Nick Mullens,QB,0.00%,0
Michael Thomas,WR,0.00%,0
Brandon Dillon,TE,0.00%,0
Stephen Sullivan,TE,0.00%,0
Trinity Benson,WR,0.00%,3.7
Aaron Fuller,WR,0.00%,0
John Kelly,RB,0.00%,0
Brett Hundley,QB,0.00%,0
Mason Kinsey,WR,0.00%,0
Travis Etienne,RB,0.00%,0
Terry Godwin,WR,0.00%,0
Damarea Crockett,RB,0.00%,0
John Raine,TE,0.00%,0
Antonio Gandy-Golden,FLEX,0.00%,0
Tavien Feaster,RB,0.00%,0
Reggie Bonnafon,RB,0.00%,0
Austin Fort,TE,0.00%,0
Briley Moore-McKinney,TE,0.00%,0
De'Mornay Pierson-El,WR,0.00%,0
Andre Roberts,FLEX,0.00%,0
Irv Smith Jr.,TE,0.00%,0
James O'Shaughnessy,FLEX,0.00%,0
Shane Zylstra,FLEX,0.00%,0
Justin Jackson,RB,0.00%,0
Chase Daniel,QB,0.00%,0
Chris Streveler,QB,0.00%,1.84
Nathan Cottrell,FLEX,0.00%,0
Cooper Rush,QB,0.00%,0.08
Tom Kennedy,FLEX,0.00%,0
Penny Hart,FLEX,0.00%,0
Cade Johnson,WR,0.00%,0
Malcolm Perry,FLEX,0.00%,0
Myron Mitchell,WR,0.00%,0
Trishton Jackson,FLEX,0.00%,0
Andrew DePaola,FLEX,0.00%,0
Damion Ratley,WR,0.00%,0
Deon Yelder,FLEX,0.00%,0
Jason Huntley,RB,0.00%,0
Antonio Williams,FLEX,0.00%,0
Giovanni Ricci,RB,0.00%,0
Jack Stoll,FLEX,0.00%,2.6
Colby Parkinson,FLEX,0.00%,0
Geronimo Allison,WR,0.00%,0
Kawaan Baker,FLEX,0.00%,0
Blake Bortles,QB,0.00%,0
Andy Isabella,WR,0.00%,0
Mike Strachan,WR,0.00%,0
Matt Barkley,QB,0.00%,0
Lawrence Cager,WR,0.00%,0
Miller Forristall,TE,0.00%,0
Javon McKinley,FLEX,0.00%,0
T.J. Vasher,WR,0.00%,0
Wendell Smallwood,RB,0.00%,0
Farrod Green,TE,0.00%,0
Demetric Felton,RB,0.00%,0
KeeSean Johnson,FLEX,0.00%,0
