"","team","opp","name","salary","fpts","fantasyPoints","proj_own","ownership","offYprr","grades_offense","adv","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_rank","def_man_grade_rank","man_yprr","man_routes","zone_rank","def_zone_grade_rank","zone_yprr","zone_routes"
"30","DAL","HOU","Jake Ferguson",2800,2.86,3.6,0.04,0,NA,66.7,NA,28,32,-0.03,24,29,1.68,22,10,31,1.71,55
"31","NYJ","BUF","C.J. Uzomah",2500,2.77,5.7,0.06,0,NA,59.9,NA,20,7,-0.43,16,14,0.21,52,18,7,0.64,87
"32","DET","MIN","Shane Zylstra",2500,2.63,3,0.05,0,NA,52.4,NA,24,27,-0.12,31,5,0.05,22,2,10,0.17,24
"33","PHI","NYG","Grant Calcaterra",2500,2.45,2.8,0.03,0,NA,66.1,NA,27,30,-2.04,1,15,0,11,32,32,2.04,28
"34","HOU","DAL","Teagan Quitoriano",2500,2.38,5.1,0.02,0,0.34,49.6,-30,7,3,-0.41,22,22,0,11,11,1,0.41,49
"35","PIT","BAL","Zach Gentry",2500,2.33,2.8,0.01,0,NA,50,NA,6,17,-0.0599999999999999,10,19,0.78,27,23,16,0.84,99
"36","SEA","CAR","Colby Parkinson",2500,2.18,2.8,0.02,0,NA,65.8,NA,10,26,0.0900000000000001,30,32,1.58,26,3,23,1.49,73
"37","CIN","CLE","Devin Asiasi",2500,1.92,NA,0.03,0,NA,47.2,NA,5,20,0,21,9,0,4,12,27,0,8
"38","BAL","PIT","Josh Oliver",2500,1.59,0.8,0.04,0,NA,68.9,NA,18,22,0.27,3,12,1.43,28,30,25,1.16,77
"39","MIN","DET","Johnny Mundt",2500,1.51,1.4,0.02,0,NA,49.4,NA,22,28,0.01,4,17,1.07,30,28,28,1.06,77
"40","JAX","TEN","Chris Manhertz",2500,1.39,1.1,0.02,0,NA,56.2,NA,17,13,-0.54,16,8,0,9,18,17,0.54,39
"41","JAX","TEN","Dan Arnold",2500,1.3,1.5,0.01,0,NA,56.4,NA,17,13,-1.99,16,8,1.14,7,18,17,3.13,31
"42","TEN","JAX","Geoff Swaim",2500,1.15,2.8,0.05,0,NA,56,NA,26,32,-0.29,NA,NA,0.39,18,NA,NA,0.68,60
"43","DEN","KC","Eric Tomlinson",2500,1.11,2.1,0.01,0,NA,55.9,NA,16,10,-0.48,8,2,0,8,25,13,0.48,44
"44","CAR","SEA","Giovanni Ricci",2500,1.06,1.5,0.02,0,NA,59.1,NA,25,24,-1.09,26,31,0.5,12,7,19,1.59,39
"45","NYG","PHI","Chris Myarick",2500,1.04,1.8,0.03,0,NA,65.1,NA,1,5,-0.0399999999999999,18,7,0.79,14,15,3,0.83,48
"46","PIT","BAL","Connor Heyward",2500,1.02,0.8,0.01,0,NA,63.3,NA,6,17,-2.62,10,19,0,12,23,16,2.62,34
"47","CLE","CIN","Pharaoh Brown",2500,0.95,0.9,0.02,0,NA,59.8,NA,4,14,-0.65,12,10,0.74,27,21,18,1.39,67
"48","PHI","NYG","Tyree Jackson",2500,0.95,0.7,0.03,0,NA,NA,NA,27,30,NA,1,15,NA,NA,32,32,NA,NA
"49","BUF","NYJ","Quintin Morris",2500,0.78,2.2,0.02,0,NA,41.8,NA,11,2,-0.23,13,1,0.3,33,20,11,0.53,64
"50","DEN","KC","Eric Saubert",2500,0.63,1.8,0.02,0,NA,52.7,NA,16,10,0.75,8,2,1.53,19,25,13,0.78,90
"51","TB","SF","Ko Kieft",2500,0.61,0.3,0.01,0,NA,66.6,NA,8,4,0.56,29,18,2.11,9,4,4,1.55,29
"52","SF","TB","Tyler Kroft",2500,0.59,NA,0.05,0,NA,65.3,NA,3,6,-0.7,28,6,0,6,5,9,0.7,33
"53","DET","MIN","James Mitchell",2600,0.56,3.6,0.03,0,NA,61.7,NA,24,27,-1.72,31,5,0,12,2,10,1.72,25
"54","NYJ","BUF","Kenny Yeboah",2500,0.37,NA,0.01,0,NA,NA,NA,20,7,NA,16,14,NA,NA,18,7,NA,NA
"55","NYG","PHI","Nick Vannett",2500,0.3,NA,0.04,0,NA,32.2,NA,1,5,-0.59,18,7,0,7,15,3,0.59,22
"56","DAL","HOU","Peyton Hendershot",2700,0.25,1.4,0.03,0,NA,59.1,NA,28,32,-0.45,24,29,0.58,24,10,31,1.03,58
"57","SF","TB","Charlie Woerner",2500,0.17,1,0.02,0,NA,39.1,NA,3,6,0,28,6,0,3,5,9,0,24
"58","CAR","SEA","Stephen Sullivan",2500,0.1,NA,0.02,0,NA,64.6,NA,25,24,6.1,26,31,6.6,5,7,19,0.5,26
"59","MIN","DET","Nick Muse",2500,0.06,NA,0.02,0,NA,NA,NA,22,28,NA,4,17,NA,NA,28,28,NA,NA
"60","SEA","CAR","Tyler Mabry",2500,NA,NA,0,NA,NA,NA,NA,10,26,NA,30,32,NA,NA,3,23,NA,NA
"61","DEN","KC","Mitchell Fraboni",2500,NA,NA,0,NA,NA,NA,NA,16,10,NA,8,2,NA,NA,25,13,NA,NA
"62","DEN","KC","Andrew Beck",2500,NA,NA,0,NA,NA,NA,NA,16,10,0,8,2,0,3,25,13,0,21
"63","MIN","DET","Irv Smith Jr.",2900,NA,NA,0,NA,NA,57.4,NA,22,28,-0.71,4,17,0.68,65,28,28,1.39,70
"64","DAL","HOU","Seth Green",2500,NA,NA,0,NA,NA,NA,NA,28,32,NA,24,29,NA,NA,10,31,NA,NA
"65","SF","TB","Ross Dwelley",2500,NA,1.1,0,NA,NA,60.4,NA,3,6,-3.5,28,6,0,11,5,9,3.5,30
"66","PHI","NYG","Noah Togiai",2500,NA,NA,0,NA,NA,26.7,NA,27,30,NA,1,15,NA,0,32,32,NA,0
"67","NYG","PHI","Lawrence Cager",2500,NA,1.1,0,NA,NA,52.4,NA,1,5,-0.39,18,7,0.5,18,15,3,0.89,45
"68","BUF","NYJ","Zach Davidson",2500,NA,NA,0,NA,NA,NA,NA,11,2,NA,13,1,NA,NA,20,11,NA,NA
"69","PHI","NYG","Dallas Goedert",4700,NA,NA,0,NA,NA,77.2,NA,27,30,-0.48,1,15,1.61,75,32,32,2.09,160
"70","CLE","CIN","Jesse James",2500,NA,NA,0,NA,NA,NA,NA,4,14,NA,12,10,NA,NA,21,18,NA,NA
"71","CIN","CLE","Clark Harris",2500,NA,NA,0,NA,NA,NA,NA,5,20,NA,21,9,NA,NA,12,27,NA,NA
"72","SF","TB","Jordan Matthews",2500,NA,NA,0,NA,NA,NA,NA,3,6,NA,28,6,NA,NA,5,9,NA,NA
"73","CIN","CLE","Nick Bowers",2500,NA,NA,0,NA,NA,NA,NA,5,20,NA,21,9,NA,NA,12,27,NA,NA
"74","KC","DEN","James Winchester",2500,NA,NA,0,NA,NA,NA,NA,2,1,NA,25,3,NA,NA,8,6,NA,NA
"75","CIN","CLE","Hayden Hurst",3200,NA,0,0,NA,NA,66.2,NA,5,20,-1.27,21,9,0.33,93,12,27,1.6,219
"76","NYG","PHI","Dre Miller",2500,NA,NA,0,NA,NA,NA,NA,1,5,NA,18,7,NA,NA,15,3,NA,NA
"77","CAR","SEA","Colin Thompson",2500,NA,NA,0,NA,NA,NA,NA,25,24,NA,26,31,NA,NA,7,19,NA,NA
"78","CLE","CIN","Zaire Mitchell-Paden",2500,NA,NA,0,NA,NA,NA,NA,4,14,NA,12,10,NA,NA,21,18,NA,NA
"79","BUF","NYJ","Tommy Sweeney",2500,NA,0.9,0,NA,NA,56,NA,11,2,-0.64,13,1,0,7,20,11,0.64,11
"80","TEN","JAX","Thomas Odukoya",2500,NA,NA,0,NA,NA,NA,NA,26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","NYJ","BUF","Jeremy Ruckert",2500,NA,0.4,0,NA,NA,34.4,NA,20,7,0,16,14,0,2,18,7,0,3
"82","CIN","CLE","Cal Adomitis",2500,NA,NA,0,NA,NA,NA,NA,5,20,NA,21,9,NA,NA,12,27,NA,NA
"83","DAL","HOU","Sean McKeon",2500,NA,NA,0,NA,NA,52.2,NA,28,32,-1.1,24,29,0,1,10,31,1.1,10
"84","JAX","TEN","Luke Farrell",2500,NA,0.7,0,NA,NA,64.3,NA,17,13,NA,16,8,NA,0,18,17,3.22,9
"85","BAL","PIT","Nick Boyle",2500,NA,0.4,0,NA,NA,NA,NA,18,22,NA,3,12,NA,NA,30,25,NA,NA
"86","TB","SF","Kyle Rudolph",2500,NA,0.1,0,NA,NA,36.8,NA,8,4,1.33,29,18,1.33,9,4,4,0,12
"87","BAL","PIT","Charlie Kolar",2500,NA,NA,0,NA,NA,NA,NA,18,22,NA,3,12,NA,NA,30,25,NA,NA
"88","KC","DEN","Kendall Blanton",2500,NA,NA,0,NA,NA,70.1,NA,2,1,-1.17,25,3,0,2,8,6,1.17,6
"89","DEN","KC","Albert Okwuegbunam",2500,NA,0,0,NA,NA,51.8,NA,16,10,-0.71,8,2,0,18,25,13,0.71,49
"90","CLE","CIN","Miller Forristall",2500,NA,NA,0,NA,NA,NA,NA,4,14,NA,12,10,NA,NA,21,18,NA,NA
"91","DAL","HOU","Ian Bunting",2500,NA,NA,0,NA,NA,NA,NA,28,32,NA,24,29,NA,NA,10,31,NA,NA
"92","MIN","DET","Andrew DePaola",2500,NA,NA,0,NA,NA,NA,NA,22,28,NA,4,17,NA,NA,28,28,NA,NA
"93","TB","SF","David Wells",2500,NA,NA,0,NA,NA,NA,NA,8,4,NA,29,18,NA,NA,4,4,NA,NA
"94","DET","MIN","Garrett Griffin",2500,NA,NA,0,NA,NA,NA,NA,24,27,NA,31,5,NA,NA,2,10,NA,NA
"95","JAX","TEN","Gerrit Prince",2500,NA,NA,0,NA,NA,NA,NA,17,13,NA,16,8,NA,NA,18,17,NA,NA
"96","MIN","DET","Ben Ellefson",2500,NA,NA,0,NA,NA,79.1,NA,22,28,-4,4,17,0,1,28,28,4,3
"97","HOU","DAL","O.J. Howard",2500,NA,2,0,NA,NA,57.9,NA,7,3,-1.58,22,22,0,22,11,1,1.58,72
"98","CIN","CLE","Drew Sample",2500,NA,2.9,0,NA,NA,52.3,NA,5,20,0.29,21,9,0,2,12,27,-0.29,7
"99","MIN","DET","James O'Shaughnessy",2500,NA,NA,0,NA,NA,NA,NA,22,28,NA,4,17,NA,NA,28,28,NA,NA
"100","TEN","JAX","Kevin Rader",2500,NA,NA,0,NA,NA,NA,NA,26,32,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","KC","DEN","Blake Bell",2500,NA,NA,0,NA,NA,NA,NA,2,1,NA,25,3,NA,NA,8,6,NA,NA
"102","PIT","BAL","Rodney Williams II",2500,NA,NA,0,NA,NA,NA,NA,6,17,NA,10,19,NA,NA,23,16,NA,NA
"103","HOU","DAL","Mason Schreck",2500,NA,NA,0,NA,NA,53,NA,7,3,-0.67,22,22,0,5,11,1,0.67,9
"104","SEA","CAR","Tyler Ott",2500,NA,NA,0,NA,NA,NA,NA,10,26,NA,30,32,NA,NA,3,23,NA,NA
