"","Name","TeamAbbrev","Salary","proj_own","fpts","grades_offense","advantage","targets_per_game","yprr","sum_sd","opp","def_pass_epa_rank","cov_rank","man_zone_yprr_split","man_yprr","zone_yprr","man_rank","zone_rank","man_pass_plays","man_percentage","def_man_grade_rank","zone_pass_plays","zone_percentage","def_zone_grade_rank","def_pass_epa","touchdowns","yards_after_catch_per_reception","name_salary_own"
"45","Marvin Jones Jr.","JAX",3800,1.02,6.88,61.8,31.9,5.2,1.14,-0.21,"TEN",17,13,-0.16,1.05,1.21,16,18,105,0.285,8,199,0.715,17,0.068,2,2.1,"Marvin Jones Jr. 3800 1.02"
"46","Julio Jones","TB",4000,0.76,6.72,66.7,89.1,4.4,1.37,0.303,"SF",8,4,0.89,2.22,1.33,29,4,34,0.216,18,112,0.784,4,-0.028,2,5.6,"Julio Jones 4000 0.76"
"47","Elijah Moore","NYJ",3500,0.83,6.61,57.3,18.3,3.5,0.92,-0.599,"BUF",20,7,-0.31,0.85,1.16,16,18,108,0.285,14,172,0.715,7,0.1,1,3.2,"Elijah Moore 3500 0.83"
"48","Nick Westbrook-Ikhine","TEN",4000,2.49,6.52,64.8,40.5,2.4,1.27,NA,"JAX",26,32,-0.91,0.58,1.49,NA,NA,75,NA,NA,179,NA,NA,0.127,2,5.1,"Nick Westbrook-Ikhine 4000 2.49"
"49","Justin Watson","KC",3100,2.55,5.82,56.9,12.8,1.8,1.19,-0.535,"DEN",2,1,0.53,1.49,0.96,25,8,71,0.237,3,91,0.763,6,-0.118,2,1.9,"Justin Watson 3100 2.55"
"50","Quez Watkins","PHI",3800,1.2,5.71,57.7,44.6,2.3,1.03,-0.206,"NYG",27,30,-0.08,0.63,0.71,1,32,83,0.518,15,174,0.482,32,0.128,3,4.7,"Quez Watkins 3800 1.2"
"51","Skyy Moore","KC",3200,2.29,5.45,73.2,NA,2.3,1.58,NA,"DEN",2,1,0.98,2.09,1.11,25,8,53,0.237,3,80,0.763,6,-0.118,0,5.8,"Skyy Moore 3200 2.29"
"52","Laviska Shenault Jr.","CAR",3300,3.61,5.42,78.8,27,2.9,3.04,1.079,"SEA",25,24,8.47,10.57,2.1,26,7,7,0.227,31,41,0.773,19,0.123,1,12.1,"Laviska Shenault Jr. 3300 3.61"
"53","Marquise Goodwin","SEA",3500,1.18,5.38,67.2,31.4,2.6,1.36,-0.072,"CAR",10,26,0.68,2.04,1.36,30,3,53,0.206,32,123,0.794,23,-0.023,3,4.9,"Marquise Goodwin 3500 1.18"
"54","Jauan Jennings","SF",3000,0.18,4.87,68.5,28.4,3.6,1.54,-0.181,"TB",3,6,-1.13,0.86,1.99,28,5,71,0.222,6,112,0.778,9,-0.1,1,5.7,"Jauan Jennings 3000 0.18"
"55","DeSean Jackson","BAL",3400,0.06,4.17,80.7,NA,2.7,3.13,NA,"PIT",18,22,-0.67,3,3.67,3,30,4,0.43,12,27,0.57,25,0.096,0,2.6,"DeSean Jackson 3400 0.06"
"56","David Bell","CLE",3100,0.41,4.16,54.9,14.8,2.2,0.77,-0.538,"CIN",4,14,-0.14,0.77,0.91,12,21,90,0.3,10,121,0.7,18,-0.066,0,2.5,"David Bell 3100 0.41"
