player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Andrew Leingang,144599,T,KANSAS ST,6,100.0,0,199,54.0,79.0,48.6,0,1,20,100.0,100.0,97.5,0,1,0,63,0,0,48,63,22,22,1,3,41,8
Malik Rutherford,143929,WR,GA TECH,11,34.1,0,176,66.0,,60.4,0,0,0,0.0,0.0,,0,0,0,63,0,0,0,185,0,121,0,0,63,1
Chris Tyree,122913,HB,NOTRE DAME,11,22.9,0,258,72.9,31.6,59.6,0,1,17,13.2,13.8,97.1,0,1,0,63,0,0,0,275,19,138,0,0,44,1
Jermaine Brown Jr.,97084,HB,UAB,11,20.3,0,321,77.4,29.8,55.9,0,4,44,27.3,27.2,90.9,0,6,2,63,0,0,0,310,46,169,0,0,17,0
Kye Robichaux,145532,HB,W KENTUCKY,8,20.9,0,346,75.1,79.0,51.0,0,0,30,16.1,16.8,96.7,0,1,1,63,0,0,0,302,33,197,0,0,30,0
Keyan Burnett,158714,TE,ARIZONA,9,57.3,0,109,40.6,59.5,52.5,0,0,14,23.0,26.6,100.0,1,0,0,63,0,0,0,110,17,64,0,0,46,97
Audric Estime,147476,HB,NOTRE DAME,11,20.2,0,258,80.9,32.3,63.6,0,2,29,20.9,22.0,93.1,0,3,1,63,0,0,0,312,31,141,0,0,32,0
Kacper Rutkiewicz,102612,WR,N ILLINOIS,11,22.6,0,254,70.1,,58.3,0,0,0,0.0,0.0,,1,0,0,63,0,0,0,279,0,212,0,0,63,0
Jack Bech,146771,WR,LSU,10,32.1,0,211,60.5,,48.9,0,0,0,0.0,0.0,,1,0,0,63,0,0,0,196,0,133,0,0,63,2
Hunter Salmon,99182,TE,TENNESSEE,6,75.0,0,307,63.4,54.7,77.4,0,0,9,32.1,36.4,100.0,2,0,0,63,0,0,0,84,12,33,0,0,51,39
