player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Trey Lathan,157359,LB,W VIRGINIA,2,1,0.3,0,0,343,64.0,72.7,75.1,63.0,70.2,79.9,0.0,0,0,17,17,17.6,3,3
Mumu Bin-Wahad,157368,CB,W VIRGINIA,3,1,16.0,0,0,343,59.6,63.6,74.3,,68.9,48.0,0.0,0,0,22,22,0.0,0,1
Raleigh Collins III,157369,S,W VIRGINIA,4,1,-2.5,1,0,343,39.6,44.9,77.0,66.7,55.8,35.3,16.7,1,1,39,41,10.3,4,4
Brylan Green,157386,S,LIBERTY,11,5,7.9,0,0,206,60.2,64.3,81.6,59.2,72.0,65.8,18.8,3,0,71,75,4.2,3,8
Dexter Ricks Jr.,157387,CB,LIBERTY,1,0,,0,0,206,60.0,46.8,70.0,,60.0,,,0,0,6,6,0.0,0,0
A'Khori Jones,157391,S,LIBERTY,9,0,8.8,0,0,206,58.2,64.6,78.8,60.0,76.0,69.6,0.0,0,0,33,35,6.1,2,4
Elijah Auguste,157393,CB,LIBERTY,1,0,24.0,0,0,206,60.0,65.9,69.7,,66.7,77.4,0.0,0,0,6,6,0.0,0,2
Mike Smith Jr.,157400,LB,LIBERTY,10,11,5.1,0,2,206,66.9,72.4,38.4,61.5,75.6,45.4,16.4,9,1,187,190,11.2,21,35
Bryce Dixon,157403,DI,LIBERTY,6,2,0.0,0,0,206,60.0,62.7,77.6,61.3,61.5,77.8,0.0,0,0,37,38,10.8,4,5
Walt Gerard,157408,S,NC STATE,1,1,,0,0,248,60.2,63.9,64.5,,61.4,75.1,0.0,0,0,1,1,0.0,0,0
Brandon Cleveland,157411,ED,NC STATE,4,1,,0,0,248,,64.9,75.1,58.4,67.1,73.6,0.0,0,0,27,27,0.0,0,0
Nick Campbell,157412,DI,NC STATE,1,0,,0,0,248,,42.5,72.5,60.0,44.8,,,0,0,7,7,0.0,0,0
DJ Jackson,157413,DI,NC STATE,1,0,,0,0,248,,60.0,63.6,,60.0,,,0,0,1,1,0.0,0,0
Bruce Mitchell,157431,DI,BYU,5,1,-1.5,0,0,128,,49.5,78.7,61.1,44.0,44.0,25.0,1,0,40,41,5.0,2,2
Carter Krupp,157433,S,BYU,1,0,,0,0,128,48.3,29.4,73.2,,31.0,75.1,,0,0,7,7,0.0,0,0
Isaiah Glasker,157436,CB,BYU,2,0,,0,0,128,66.5,68.0,71.6,,60.0,73.5,,0,0,5,5,0.0,0,0
