bet_outcome_numeric,bet_outcome_text,close_odds,close_time,dg_id,open_odds,open_time,outcome,player_name,book,event_completed,event_name,market,season,year,event_id
0,loss,303.2,2022-05-05 00:37,6283,272.76,2022-05-02 16:25,T41,"Sabbatini, Rory",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,303.2,2022-05-05 00:37,23475,272.76,2022-05-02 16:25,CUT,"Novak, Andrew",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,305.92,2022-05-05 00:37,6930,352.32,2022-05-02 16:25,CUT,"Taylor, Vaughn",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,308.74,2022-05-05 00:37,25157,313.17,2022-05-02 16:25,CUT,"Hodges, Lee",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,322.72,2022-05-05 00:37,25002,291.53,2022-05-02 16:25,T62,"Wu, Dylan",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,324.1,2022-05-05 00:37,21943,291.53,2022-05-02 16:25,T41,"Lebioda, Hank",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,332.54,2022-05-05 00:37,18761,384.34,2022-05-02 16:25,CUT,"Mullinax, Trey",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,335.77,2022-05-05 00:37,7899,302.02,2022-05-02 16:25,T37,"Piercy, Scott",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,353.47,2022-05-05 00:37,25908,469.72,2022-05-02 16:25,CUT,"Whaley, Vincent",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,366.61,2022-05-05 00:37,13531,354.45,2022-05-02 16:25,CUT,"Kodaira, Satoshi",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,370.31,2022-05-05 00:37,5768,497.35,2022-05-02 16:25,CUT,"Hoffman, Charley",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,371.97,2022-05-05 00:37,5874,402.66,2022-05-02 16:25,CUT,"Percy, Cameron",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,372.19,2022-05-05 00:37,16395,497.35,2022-05-02 16:25,T59,"Kohles, Ben",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,375.9,2022-05-05 00:37,11826,338.24,2022-05-02 16:25,CUT,"Lee, Danny",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,378.56,2022-05-05 00:37,7398,445.04,2022-05-02 16:25,CUT,"Schwartzel, Charl",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,391.6,2022-05-05 00:37,14050,352.32,2022-05-02 16:25,CUT,"Sloan, Roger",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
0,loss,412.03,2022-05-05 00:37,11357,422.8,2022-05-02 16:25,CUT,"Uihlein, Peter",pinnacle,2022-05-08,Wells Fargo Championship,win,2022,2022,480
