"game_id","first","time_control_name","game_end_reason","winner","created_at","last_update","type","game_request.lexicon","game_request.initial_time_seconds","game_request.increment_seconds","game_request.challenge_rule","game_request.game_mode","game_request.rating_mode","game_request.max_overtime_minutes","game_request.player_vs_bot","game_request.bot_type","game_request.rules.board_layout_name","game_request.rules.letter_distribution_name","game_request.rules.variant_name"
"73c9h3PX","DelrayScrabbler","regular","STANDARD",1,"2022-07-13T18:21:16.236237Z","2022-07-13T18:30:42.571114Z","NATIVE","NWL20",3600,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Q82VvR58","BasicBot","regular","STANDARD",0,"2022-07-13T18:11:51.174195Z","2022-07-13T18:22:44.058612Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"4xJrqXWD","JudyMaria","regular","CONSECUTIVE_ZEROES",0,"2022-07-13T17:56:56.643943Z","2022-07-13T18:11:49.784879Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"vP2Cbswf","BobSluys","regular","STANDARD",1,"2022-07-13T17:49:43.964669Z","2022-07-13T18:07:12.804913Z","NATIVE","CSW21",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"yrigdpmc","BasicBot","regular","STANDARD",1,"2022-07-13T17:47:32.304678Z","2022-07-13T17:56:54.702863Z","NATIVE","RD28",1200,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"LbfnPaJE","BasicBot","regular","STANDARD",0,"2022-07-13T17:41:34.598598Z","2022-07-13T17:51:38.212008Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"5qnyD6jT","BasicBot","regular","STANDARD",1,"2022-07-13T17:37:13.905995Z","2022-07-13T17:49:42.433923Z","NATIVE","NWL20",1200,0,"DOUBLE","REAL_TIME","RATED",2,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Szi93xsg","was54","regular","STANDARD",0,"2022-07-13T17:33:25.109959Z","2022-07-13T17:42:50.439694Z","NATIVE","NWL20",1500,0,"DOUBLE","REAL_TIME","CASUAL",10,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"Bo7DsCE9","Cappellusman","regular","STANDARD",0,"2022-07-13T17:26:38.707246Z","2022-07-13T17:41:17.502733Z","NATIVE","RD28",1800,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_PROBABILISTIC","CrosswordGame","german",""
"sv2FGbqT","BasicBot","regular","STANDARD",0,"2022-07-13T17:26:27.910367Z","2022-07-13T17:33:14.090964Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"WSVNxSoC","anupama","regular","STANDARD",0,"2022-07-13T17:23:10.672120Z","2022-07-13T17:32:09.751651Z","NATIVE","CSW21",1260,0,"VOID","REAL_TIME","RATED",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
"7DrWAXNe","Yuki86","regular","STANDARD",0,"2022-07-13T17:19:10.150706Z","2022-07-13T17:26:23.943125Z","NATIVE","CSW21",900,0,"VOID","REAL_TIME","CASUAL",1,TRUE,"LEVEL2_CEL_BOT","CrosswordGame","english",""
