player_name,sample_size,baseline,links_adj,age,age_adj,true_sg_adj,timing_adj,sg_category_adj,course_history_adj,driving_dist_adj,driving_acc_adj,fit_other_adj,course_fit_total_adj,final_prediction,std_dev,event_name,course_name
"Young, Cameron",150,0.961,-0.230,25,0.025,0.053,0.049,0.168,-0.040,0.067,-0.003,-0.024,0.040,1.026,2.803,"Genesis Scottish Open","The Renaissance Club"
"Bradley, Keegan",150,1.358,-0.157,36,-0.011,-0.012,0.010,-0.076,-0.040,0.028,-0.011,-0.063,-0.046,1.026,2.790,"Genesis Scottish Open","The Renaissance Club"
"Meronk, Adrian",150,0.560,0.202,29,0.012,0.029,0.026,0.056,-0.028,0.030,0.006,0.008,0.043,0.900,2.803,"Genesis Scottish Open","The Renaissance Club"
"Homa, Max",150,1.283,-0.214,31,0.004,-0.011,0.033,-0.125,-0.040,0.027,-0.005,-0.055,-0.033,0.898,2.796,"Genesis Scottish Open","The Renaissance Club"
"Mitchell, Keith",150,1.045,-0.235,30,0.007,0.072,-0.011,-0.001,-0.040,0.044,-0.001,-0.019,0.024,0.862,2.797,"Genesis Scottish Open","The Renaissance Club"
"Rai, Aaron",150,0.618,0.339,27,0.017,-0.022,-0.043,-0.065,0.060,-0.011,-0.025,-0.022,-0.057,0.847,2.745,"Genesis Scottish Open","The Renaissance Club"
"Pereira, Mito",150,1.131,-0.230,27,0.018,0.018,-0.027,0.019,-0.040,0.019,-0.013,-0.049,-0.043,0.845,2.775,"Genesis Scottish Open","The Renaissance Club"
"Smith, Jordan",150,0.390,0.186,29,0.010,-0.019,0.022,0.241,-0.008,0.032,-0.013,-0.011,0.007,0.829,2.741,"Genesis Scottish Open","The Renaissance Club"
"Herbert, Lucas",150,0.336,0.217,26,0.020,0.127,0.029,-0.111,0.083,0.038,0.027,0.002,0.068,0.769,2.832,"Genesis Scottish Open","The Renaissance Club"
"Varner III, Harold",150,1.052,-0.243,31,0.003,0.013,0.015,-0.006,-0.040,0.018,0.007,-0.063,-0.038,0.755,2.798,"Genesis Scottish Open","The Renaissance Club"
"Munoz, Sebastian",150,0.983,-0.116,29,0.010,-0.046,-0.017,0.002,-0.040,0.010,-0.012,-0.038,-0.041,0.737,2.825,"Genesis Scottish Open","The Renaissance Club"
"Woodland, Gary",150,0.739,-0.148,38,-0.018,0.053,0.032,0.084,-0.040,0.037,0.004,-0.035,0.006,0.708,2.768,"Genesis Scottish Open","The Renaissance Club"
"Kirk, Chris",150,1.003,-0.206,37,-0.015,-0.084,0.019,0.068,-0.040,-0.004,-0.016,-0.033,-0.054,0.692,2.780,"Genesis Scottish Open","The Renaissance Club"
"Noren, Alex",150,0.756,0.146,39,-0.024,-0.051,0.009,-0.095,-0.040,0.003,-0.003,-0.024,-0.024,0.678,2.778,"Genesis Scottish Open","The Renaissance Club"
"List, Luke",150,0.609,-0.200,37,-0.016,0.060,-0.002,0.236,-0.040,0.054,0.008,-0.039,0.024,0.672,2.756,"Genesis Scottish Open","The Renaissance Club"
"Rose, Justin",150,0.914,0.036,41,-0.030,-0.017,0.031,-0.196,-0.040,0.004,-0.006,-0.027,-0.028,0.669,2.820,"Genesis Scottish Open","The Renaissance Club"
"Horschel, Billy",150,1.199,-0.304,35,-0.010,-0.004,-0.009,-0.133,-0.024,-0.009,-0.021,-0.034,-0.064,0.651,2.771,"Genesis Scottish Open","The Renaissance Club"
"Grace, Branden",150,0.500,-0.052,34,-0.005,0.029,0.029,0.145,-0.027,-0.005,0.004,-0.025,-0.026,0.595,2.777,"Genesis Scottish Open","The Renaissance Club"
"Kokrak, Jason",150,0.750,-0.205,37,-0.014,0.062,-0.015,0.032,-0.040,0.041,-0.002,-0.020,0.020,0.590,2.813,"Genesis Scottish Open","The Renaissance Club"
"Kim, Si Woo",150,0.688,-0.154,27,0.019,-0.025,-0.003,0.116,-0.045,-0.001,-0.017,-0.028,-0.046,0.551,2.775,"Genesis Scottish Open","The Renaissance Club"
"Leishman, Marc",150,0.751,0.038,38,-0.020,-0.041,-0.005,-0.127,-0.040,0.012,0.008,-0.026,-0.006,0.550,2.769,"Genesis Scottish Open","The Renaissance Club"
"Harman, Brian",150,1.018,-0.191,35,-0.009,-0.142,-0.006,-0.007,-0.040,-0.024,-0.025,-0.028,-0.077,0.547,2.736,"Genesis Scottish Open","The Renaissance Club"
"Bezuidenhout, Christiaan",150,0.648,-0.049,28,0.015,0.059,-0.001,-0.052,-0.007,-0.031,-0.013,-0.030,-0.073,0.540,2.747,"Genesis Scottish Open","The Renaissance Club"
"Tringale, Cameron",150,0.760,-0.180,34,-0.007,0.047,-0.013,-0.023,-0.040,0.004,-0.004,-0.038,-0.038,0.506,2.758,"Genesis Scottish Open","The Renaissance Club"
"Lee, Min Woo",150,-0.123,-0.008,23,0.029,0.101,0.013,0.325,0.054,0.062,0.014,0.020,0.097,0.487,2.803,"Genesis Scottish Open","The Renaissance Club"
"McNealy, Maverick",150,0.726,-0.230,26,0.020,0.044,0.007,-0.038,-0.040,0.020,-0.003,-0.021,-0.004,0.484,2.780,"Genesis Scottish Open","The Renaissance Club"
"Lee, Kyounghoon",150,0.664,-0.145,30,0.006,0.059,-0.018,-0.026,-0.040,0.008,-0.011,-0.021,-0.023,0.477,2.802,"Genesis Scottish Open","The Renaissance Club"
"Macintyre, Robert",150,-0.004,0.265,25,0.022,0.014,0.001,0.017,0.034,0.007,0.004,0.005,0.016,0.365,2.826,"Genesis Scottish Open","The Renaissance Club"
"Van Rooyen, Erik",150,0.239,-0.008,32,0.001,0.085,-0.044,0.069,0.036,0.013,-0.009,-0.020,-0.016,0.361,2.808,"Genesis Scottish Open","The Renaissance Club"
"Hughes, Mackenzie",150,0.604,-0.042,31,0.004,0.001,-0.034,-0.130,-0.040,0.001,0.009,-0.017,-0.007,0.356,2.774,"Genesis Scottish Open","The Renaissance Club"
"Burmester, Dean",150,-0.052,0.018,33,-0.001,0.000,-0.009,0.271,0.008,0.070,0.025,0.015,0.110,0.345,2.790,"Genesis Scottish Open","The Renaissance Club"
"Vegas, Jhonattan",150,0.447,-0.271,37,-0.017,0.076,0.020,0.058,-0.040,0.063,0.014,-0.029,0.048,0.322,2.743,"Genesis Scottish Open","The Renaissance Club"
"Arnaus, Adri",150,0.138,0.016,27,0.016,0.021,0.001,0.071,-0.015,0.048,0.024,-0.000,0.072,0.321,2.874,"Genesis Scottish Open","The Renaissance Club"
"Lahiri, Anirban",150,0.185,-0.007,35,-0.008,0.022,0.002,0.162,-0.040,-0.001,-0.002,0.004,-0.000,0.317,2.771,"Genesis Scottish Open","The Renaissance Club"
"NeSmith, Matthew",150,0.562,-0.230,28,0.013,0.038,-0.009,0.034,-0.040,0.001,-0.016,-0.038,-0.052,0.316,2.792,"Genesis Scottish Open","The Renaissance Club"
"Knox, Russell",150,0.083,0.175,37,-0.014,-0.042,0.049,0.091,-0.047,-0.018,-0.027,-0.017,-0.063,0.231,2.770,"Genesis Scottish Open","The Renaissance Club"
"Li, Haotong",150,-0.385,0.271,26,0.019,0.023,0.202,0.006,0.024,0.019,0.030,-0.003,0.046,0.203,2.924,"Genesis Scottish Open","The Renaissance Club"
"Clark, Wyndham",150,0.194,-0.230,28,0.013,0.043,0.001,0.119,-0.040,0.063,0.021,0.012,0.097,0.199,2.784,"Genesis Scottish Open","The Renaissance Club"
"Kuchar, Matt",150,0.868,-0.087,44,-0.037,-0.179,0.044,-0.324,-0.017,-0.046,-0.019,-0.017,-0.081,0.187,2.726,"Genesis Scottish Open","The Renaissance Club"
"Hoge, Tom",150,0.516,-0.230,33,-0.001,-0.060,0.019,0.009,-0.040,-0.007,-0.010,-0.026,-0.043,0.170,2.805,"Genesis Scottish Open","The Renaissance Club"
"Stenson, Henrik",150,0.075,0.253,46,-0.045,0.009,0.015,-0.059,0.011,-0.046,-0.029,-0.022,-0.097,0.162,2.766,"Genesis Scottish Open","The Renaissance Club"
"Willett, Danny",150,-0.003,0.222,34,-0.007,0.007,-0.001,-0.022,-0.058,0.003,0.009,0.006,0.018,0.157,2.780,"Genesis Scottish Open","The Renaissance Club"
"Smalley, Alex",150,0.262,-0.230,25,0.023,0.006,0.010,0.106,-0.040,0.024,-0.007,-0.017,0.000,0.138,2.803,"Genesis Scottish Open","The Renaissance Club"
"Frittelli, Dylan",150,0.074,-0.014,32,0.002,0.104,0.008,-0.030,-0.040,0.019,0.024,-0.011,0.032,0.136,2.801,"Genesis Scottish Open","The Renaissance Club"
"Molinari, Edoardo",150,-0.050,0.210,41,-0.028,-0.036,0.005,0.004,0.074,-0.022,-0.011,-0.009,-0.042,0.136,2.785,"Genesis Scottish Open","The Renaissance Club"
"Fowler, Rickie",150,0.102,0.063,33,-0.003,0.033,-0.023,-0.014,-0.046,0.017,0.001,-0.008,0.010,0.123,2.800,"Genesis Scottish Open","The Renaissance Club"
"Molinari, Francesco",150,0.190,0.116,39,-0.023,-0.045,0.060,-0.101,-0.042,-0.016,-0.006,-0.012,-0.033,0.122,2.824,"Genesis Scottish Open","The Renaissance Club"
"Tarren, Callum",150,-0.006,0.021,31,0.003,0.083,0.006,-0.032,-0.040,0.052,0.027,-0.004,0.074,0.109,2.799,"Genesis Scottish Open","The Renaissance Club"
"Poulter, Ian",150,0.212,0.090,46,-0.045,-0.035,-0.021,-0.161,0.099,-0.028,-0.011,0.008,-0.031,0.108,2.741,"Genesis Scottish Open","The Renaissance Club"
"Rodgers, Patrick",150,0.518,-0.230,30,0.009,-0.073,-0.026,-0.117,-0.040,0.035,0.018,-0.007,0.045,0.086,2.751,"Genesis Scottish Open","The Renaissance Club"
"Perez, Victor",150,-0.102,0.045,29,0.009,-0.021,0.012,0.061,0.056,0.017,0.012,-0.006,0.023,0.082,2.792,"Genesis Scottish Open","The Renaissance Club"
"Otaegui, Adrian",150,-0.126,0.159,29,0.010,0.008,0.016,-0.012,0.071,-0.045,-0.016,0.004,-0.056,0.071,2.759,"Genesis Scottish Open","The Renaissance Club"
"Straka, Sepp",150,0.208,-0.230,29,0.011,0.084,0.021,-0.011,-0.040,0.024,-0.001,0.004,0.027,0.071,2.803,"Genesis Scottish Open","The Renaissance Club"
"Ramsay, Richie",150,-0.303,0.314,39,-0.021,-0.015,0.039,0.046,0.024,-0.031,-0.026,0.032,-0.025,0.060,2.729,"Genesis Scottish Open","The Renaissance Club"
"Lipsky, David",150,0.319,-0.230,33,-0.004,0.041,0.014,0.004,-0.037,-0.014,-0.017,-0.020,-0.051,0.056,2.795,"Genesis Scottish Open","The Renaissance Club"
"Harding, Justin",150,0.210,0.007,36,-0.012,0.011,-0.002,-0.058,-0.060,-0.028,-0.013,-0.010,-0.051,0.045,2.821,"Genesis Scottish Open","The Renaissance Club"
"Harrington, Padraig",150,-0.328,0.296,50,-0.060,-0.063,0.033,0.059,0.075,0.007,0.002,0.016,0.025,0.037,2.754,"Genesis Scottish Open","The Renaissance Club"
"Armitage, Marcus",150,-0.238,0.208,34,-0.007,0.002,0.016,0.069,-0.027,0.007,0.013,-0.010,0.009,0.032,2.754,"Genesis Scottish Open","The Renaissance Club"
"Dahmen, Joel",150,0.416,-0.225,34,-0.006,-0.037,0.015,-0.026,-0.040,-0.019,-0.026,-0.024,-0.068,0.028,2.774,"Genesis Scottish Open","The Renaissance Club"
"Law, David",150,-0.516,0.425,31,0.005,0.046,0.045,0.021,-0.004,-0.013,0.002,0.013,0.002,0.024,2.788,"Genesis Scottish Open","The Renaissance Club"
"Hojgaard, Rasmus",150,-0.248,-0.101,21,0.037,0.059,0.031,0.166,-0.022,0.048,0.023,0.009,0.080,0.002,2.803,"Genesis Scottish Open","The Renaissance Club"
"Lawrence, Thriston",150,-0.200,0.083,25,0.023,0.026,0.039,0.025,-0.040,0.005,0.007,0.021,0.033,-0.010,2.803,"Genesis Scottish Open","The Renaissance Club"
"Ghim, Doug",150,0.084,-0.214,26,0.021,0.019,-0.006,0.182,-0.040,-0.015,-0.022,-0.023,-0.059,-0.013,2.765,"Genesis Scottish Open","The Renaissance Club"
"Cink, Stewart",150,0.150,-0.015,49,-0.054,-0.060,0.014,-0.043,-0.040,0.023,0.009,-0.001,0.030,-0.016,2.832,"Genesis Scottish Open","The Renaissance Club"
"Catlin, John",150,-0.223,0.178,31,0.004,-0.018,-0.025,0.133,-0.046,-0.015,-0.028,0.015,-0.028,-0.026,2.744,"Genesis Scottish Open","The Renaissance Club"
"Zanotti, Fabrizio",150,-0.102,0.062,39,-0.021,-0.047,0.045,0.062,0.023,-0.025,-0.030,-0.003,-0.058,-0.036,2.785,"Genesis Scottish Open","The Renaissance Club"
"Taylor, Nick",150,0.143,-0.105,34,-0.005,0.019,0.023,-0.050,-0.040,-0.011,0.001,-0.015,-0.026,-0.041,2.759,"Genesis Scottish Open","The Renaissance Club"
"Detry, Thomas",150,-0.230,-0.004,29,0.011,-0.016,-0.005,0.054,0.074,0.033,0.019,0.021,0.073,-0.043,2.784,"Genesis Scottish Open","The Renaissance Club"
"Palmer, Ryan",150,0.006,-0.115,45,-0.043,-0.018,-0.011,0.051,0.016,0.020,0.003,0.011,0.034,-0.079,2.842,"Genesis Scottish Open","The Renaissance Club"
"Veerman, Johannes",150,-0.307,0.135,30,0.008,-0.002,-0.000,0.028,0.011,0.007,0.004,0.028,0.040,-0.087,2.803,"Genesis Scottish Open","The Renaissance Club"
"Pavon, Matthieu",150,-0.564,0.195,29,0.010,0.037,-0.002,0.160,0.017,0.014,0.009,0.033,0.055,-0.094,2.776,"Genesis Scottish Open","The Renaissance Club"
"Merritt, Troy",150,0.435,-0.279,36,-0.013,-0.062,0.025,-0.128,-0.040,-0.026,-0.010,0.000,-0.036,-0.099,2.793,"Genesis Scottish Open","The Renaissance Club"
"English, Harris",150,0.470,-0.161,32,-0.001,0.029,-0.176,-0.212,-0.040,-0.003,-0.000,-0.014,-0.017,-0.108,2.813,"Genesis Scottish Open","The Renaissance Club"
"Spaun, J.J.",150,0.131,-0.230,31,0.003,0.048,-0.006,0.013,-0.040,-0.014,-0.015,-0.014,-0.043,-0.123,2.783,"Genesis Scottish Open","The Renaissance Club"
"Jordan, Matthew",150,-0.809,0.350,26,0.020,0.001,-0.002,0.219,-0.007,0.016,0.020,0.045,0.081,-0.147,2.803,"Genesis Scottish Open","The Renaissance Club"
"Glover, Lucas",150,0.094,-0.167,42,-0.032,-0.111,0.023,0.096,-0.040,-0.010,-0.020,-0.013,-0.043,-0.181,2.806,"Genesis Scottish Open","The Renaissance Club"
"Campillo, Jorge",150,-0.312,0.128,36,-0.011,-0.012,-0.009,0.037,-0.028,0.000,0.002,0.023,0.025,-0.182,2.808,"Genesis Scottish Open","The Renaissance Club"
"Besseling, Wil",150,-0.334,-0.087,36,-0.013,0.020,-0.003,0.196,-0.040,0.030,0.006,0.040,0.077,-0.185,2.752,"Genesis Scottish Open","The Renaissance Club"
"Kim, Joohyung",150,-0.062,-0.145,20,0.041,0.034,0.005,0.009,-0.040,-0.013,-0.027,0.006,-0.034,-0.190,2.803,"Genesis Scottish Open","The Renaissance Club"
"Jaeger, Stephan",150,-0.001,-0.230,33,-0.001,0.036,-0.013,0.070,-0.040,-0.021,0.006,-0.015,-0.030,-0.209,2.808,"Genesis Scottish Open","The Renaissance Club"
"Rozner, Antoine",150,-0.434,0.028,29,0.011,0.046,0.002,0.101,-0.044,0.038,0.009,0.015,0.062,-0.230,2.803,"Genesis Scottish Open","The Renaissance Club"
"Kitayama, Kurt",150,-0.229,-0.284,29,0.011,0.009,0.034,0.157,-0.002,0.048,0.023,0.000,0.071,-0.233,2.812,"Genesis Scottish Open","The Renaissance Club"
"Olesen, Thorbjorn",150,-0.279,0.208,32,0.001,0.050,-0.005,-0.199,-0.019,-0.010,0.010,0.006,0.006,-0.236,2.801,"Genesis Scottish Open","The Renaissance Club"
"Wallace, Matt",150,-0.417,0.079,31,0.004,0.045,-0.009,-0.002,0.046,0.003,0.007,0.000,0.010,-0.244,2.809,"Genesis Scottish Open","The Renaissance Club"
"Forrest, Grant",150,-0.806,0.323,29,0.012,-0.042,-0.003,0.102,0.050,0.030,0.024,0.051,0.105,-0.259,2.820,"Genesis Scottish Open","The Renaissance Club"
"Stone, Brandon",150,-0.698,0.164,29,0.011,-0.010,0.002,0.098,0.056,0.027,0.012,0.038,0.077,-0.300,2.839,"Genesis Scottish Open","The Renaissance Club"
"Bjork, Alexander",150,-0.038,0.044,32,0.002,-0.040,-0.002,-0.298,0.071,-0.044,-0.004,-0.001,-0.050,-0.311,2.775,"Genesis Scottish Open","The Renaissance Club"
"Novak, Andrew",150,-0.168,-0.230,27,0.018,0.049,0.006,0.023,-0.040,-0.003,0.011,0.001,0.009,-0.332,2.815,"Genesis Scottish Open","The Renaissance Club"
"Korhonen, Mikko",150,-0.115,-0.022,41,-0.030,-0.063,0.016,-0.094,0.015,-0.037,-0.026,0.003,-0.060,-0.353,2.770,"Genesis Scottish Open","The Renaissance Club"
"Higgo, Garrick",150,-0.591,-0.080,23,0.031,0.079,0.007,0.134,-0.002,0.035,0.012,0.016,0.064,-0.358,2.803,"Genesis Scottish Open","The Renaissance Club"
"Ferguson, Ewen",150,-0.817,0.290,26,0.022,-0.005,0.019,0.103,0.006,-0.016,-0.007,0.021,-0.002,-0.386,2.803,"Genesis Scottish Open","The Renaissance Club"
"Donald, Luke",150,-0.194,0.206,44,-0.039,-0.083,0.041,-0.244,-0.040,-0.044,0.010,-0.013,-0.047,-0.400,2.785,"Genesis Scottish Open","The Renaissance Club"
"Southgate, Matthew",150,-1.061,0.488,34,-0.005,-0.001,-0.009,0.065,0.061,-0.005,-0.003,0.043,0.035,-0.428,2.786,"Genesis Scottish Open","The Renaissance Club"
"Broberg, Kristoffer",150,-0.964,0.206,35,-0.011,0.037,0.037,0.263,-0.032,0.007,0.003,0.025,0.035,-0.431,2.807,"Genesis Scottish Open","The Renaissance Club"
"Streb, Robert",150,-0.265,-0.204,35,-0.008,0.003,-0.004,0.069,-0.040,-0.004,0.005,0.010,0.011,-0.438,2.808,"Genesis Scottish Open","The Renaissance Club"
"Armour, Ryan",150,0.012,-0.256,46,-0.045,-0.050,0.042,-0.043,-0.040,-0.041,-0.040,0.009,-0.072,-0.452,2.794,"Genesis Scottish Open","The Renaissance Club"
"Senior, Jack",150,-0.881,0.287,33,-0.004,-0.007,-0.020,0.094,0.016,-0.001,-0.002,0.061,0.059,-0.457,2.820,"Genesis Scottish Open","The Renaissance Club"
"Wu, Brandon",150,-0.362,-0.230,25,0.024,0.034,0.020,0.068,-0.040,-0.007,-0.004,0.015,0.005,-0.482,2.803,"Genesis Scottish Open","The Renaissance Club"
"Soderberg, Sebastian",150,-0.773,0.155,31,0.003,0.059,0.003,0.028,-0.023,-0.008,0.014,0.016,0.022,-0.526,2.820,"Genesis Scottish Open","The Renaissance Club"
"Syme, Connor",150,-0.863,0.127,26,0.019,0.019,0.004,0.087,0.015,-0.011,-0.001,0.033,0.021,-0.571,2.790,"Genesis Scottish Open","The Renaissance Club"
"Kieffer, Maximilian",150,-0.502,-0.022,32,0.002,-0.038,0.035,0.061,-0.070,-0.049,-0.020,0.011,-0.058,-0.592,2.728,"Genesis Scottish Open","The Renaissance Club"
"Lagergren, Joakim",150,-1.141,0.320,30,0.007,0.019,-0.027,0.122,0.007,0.010,0.028,0.059,0.097,-0.596,2.841,"Genesis Scottish Open","The Renaissance Club"
"Kim, Bio",150,-0.505,-0.145,31,0.003,-0.014,0.027,0.001,-0.040,0.015,0.031,0.026,0.072,-0.601,2.803,"Genesis Scottish Open","The Renaissance Club"
"Crocker, Sean",150,-1.026,0.072,25,0.022,0.040,-0.078,0.298,-0.003,0.044,0.006,0.023,0.073,-0.603,2.823,"Genesis Scottish Open","The Renaissance Club"
"Kawamura, Masahiro",150,-0.802,-0.115,29,0.012,0.021,0.026,0.209,0.024,-0.018,-0.021,0.045,0.006,-0.620,2.761,"Genesis Scottish Open","The Renaissance Club"
"Scrivener, Jason",150,-0.328,-0.176,33,-0.002,-0.055,-0.025,0.036,-0.066,-0.026,-0.005,0.007,-0.024,-0.642,2.778,"Genesis Scottish Open","The Renaissance Club"
"Hojgaard, Nicolai",150,-0.863,-0.061,21,0.037,0.004,-0.068,0.198,-0.040,0.077,0.033,0.032,0.142,-0.651,2.803,"Genesis Scottish Open","The Renaissance Club"
"Pulkkanen, Tapio",150,-0.896,0.052,32,0.002,-0.035,-0.016,0.093,0.015,0.038,0.037,0.042,0.117,-0.667,2.804,"Genesis Scottish Open","The Renaissance Club"
"Samooja, Kalle",150,-0.622,-0.088,34,-0.006,0.002,-0.004,-0.070,0.067,0.004,0.014,0.036,0.054,-0.667,2.832,"Genesis Scottish Open","The Renaissance Club"
"Van Tonder, Daniel",150,-0.674,-0.078,31,0.005,-0.042,0.022,0.092,-0.041,-0.013,0.009,0.044,0.041,-0.676,2.820,"Genesis Scottish Open","The Renaissance Club"
"Hoffman, Charley",150,-0.434,-0.216,45,-0.042,-0.028,-0.087,0.097,-0.040,0.026,0.017,0.022,0.065,-0.685,2.828,"Genesis Scottish Open","The Renaissance Club"
"Hansen, Joachim B",150,-0.694,0.025,31,0.003,0.024,0.008,-0.068,-0.038,0.001,0.016,0.023,0.039,-0.702,2.770,"Genesis Scottish Open","The Renaissance Club"
"Gavins, Daniel",150,-1.074,0.249,31,0.005,-0.003,0.034,0.067,-0.040,0.010,0.022,0.020,0.052,-0.710,2.803,"Genesis Scottish Open","The Renaissance Club"
"Bertasio, Nino",150,-1.038,0.140,33,-0.004,0.060,-0.022,-0.046,0.068,0.025,0.022,0.014,0.061,-0.781,2.801,"Genesis Scottish Open","The Renaissance Club"
"Laporta, Francesco",150,-1.040,0.103,31,0.003,-0.033,-0.012,0.126,0.023,-0.010,-0.003,0.055,0.042,-0.788,2.783,"Genesis Scottish Open","The Renaissance Club"
"Morrison, James",150,-0.896,0.278,37,-0.016,-0.065,0.039,-0.089,-0.006,-0.068,-0.018,0.045,-0.040,-0.795,2.817,"Genesis Scottish Open","The Renaissance Club"
"Wu, Ashun",150,-0.603,-0.012,37,-0.014,-0.028,0.050,-0.179,-0.015,-0.034,0.004,0.009,-0.021,-0.821,2.804,"Genesis Scottish Open","The Renaissance Club"
"Cabrera Bello, Rafa",150,-0.909,-0.006,38,-0.018,-0.026,-0.028,0.143,-0.015,-0.034,-0.008,0.063,0.022,-0.836,2.793,"Genesis Scottish Open","The Renaissance Club"
"Sullivan, Andy",150,-1.147,0.141,36,-0.011,0.007,-0.036,0.127,0.023,-0.015,0.004,0.056,0.044,-0.851,2.809,"Genesis Scottish Open","The Renaissance Club"
"Elvira Mijares, Ignacio",150,-1.116,0.057,35,-0.009,0.007,0.032,0.115,0.007,-0.014,0.004,0.035,0.024,-0.882,2.820,"Genesis Scottish Open","The Renaissance Club"
"Valimaki, Sami",150,-1.007,-0.020,23,0.029,-0.039,0.018,0.045,-0.023,0.013,0.005,0.041,0.060,-0.937,2.803,"Genesis Scottish Open","The Renaissance Club"
"Aphibarnrat, Kiradech",150,-0.831,-0.081,32,-0.001,0.029,-0.013,-0.033,-0.035,-0.025,-0.001,0.041,0.015,-0.948,2.814,"Genesis Scottish Open","The Renaissance Club"
"Horsey, David",150,-1.039,0.172,37,-0.015,0.012,-0.071,-0.062,0.073,-0.061,-0.016,0.036,-0.042,-0.971,2.806,"Genesis Scottish Open","The Renaissance Club"
"Kinhult, Marcus",150,-1.256,0.094,25,0.022,0.015,-0.020,0.045,0.094,-0.031,0.003,0.060,0.033,-0.973,2.852,"Genesis Scottish Open","The Renaissance Club"
"Gallacher, Stephen",150,-1.481,0.368,47,-0.049,0.067,-0.083,0.097,-0.014,-0.001,0.019,0.079,0.097,-0.999,2.810,"Genesis Scottish Open","The Renaissance Club"
"Janewattananond, Jazz",150,-0.894,-0.229,26,0.020,0.020,0.032,0.037,-0.046,-0.017,0.002,0.039,0.024,-1.036,2.804,"Genesis Scottish Open","The Renaissance Club"
