"game_id","nickname","score","rating"
"MZhdy62y","Bryson",364,"2319"
"n3AuKq8d","BasicBot",383,"1466"
"n3AuKq8d","JudyMaria",276,"1292"
"n5CEJdo2","BasicBot",285,"1883"
"n5CEJdo2","CarlTassya",128,"1196?"
"N5rFFmLm","BasicBot",445,"1936"
"N5rFFmLm","ppphrlyn",137,"1617?"
"N7Avq9uw","BasicBot",483,"1878"
"N7Avq9uw","CarlTassya",171,"1218?"
"n7bWt9X4","BasicBot",251,"1920"
"n7bWt9X4","Mamito",289,"1775"
"nBPDM4pg","BasicBot",446,"1500"
"nBPDM4pg","Nananancy",313,"1361"
"nc5TPeEK","BasicBot",450,"1880"
"nc5TPeEK","CarlTassya",141,"1207?"
"nCqynznQ","BasicBot",383,"1916"
"nCqynznQ","Rimuzy",190,"1426?"
"NdWUQj3j","BasicBot",24,"1941"
"nJzmohtc","BasicBot",436,"1913"
"nJzmohtc","Bryson",262,"2319"
"nKUsDUDZ","BasicBot",306,"1878"
"nKUsDUDZ","NimuthuWitharana",476,"2002"
"nMZD2sPt","BasicBot",328,"1938"
"nMZD2sPt","erishacbees",277,"1462"
"NnFMemB7","BasicBot",323,"1943"
"NnFMemB7","Hardesi",362,"1676"
"NpTzTzZs","BasicBot",281,"1943"
"NpTzTzZs","ttan",253,"1426"
"NPUy6VW7","BasicBot",412,"1507"
"NPUy6VW7","Cappellusman",525,"1371"
"NpwezodC","BasicBot",468,"1877"
"NpwezodC","CarlTassya",161,"1223?"
"NsAFzhrM","BasicBot",291,"1472"
"NsAFzhrM","Heng820",260,"1157?"
"nSEK7zME","BasicBot",362,"1908"
"nSEK7zME","mithumn",312,"1904"
"nVMJzodt","BasicBot",693,"1963"
"nVMJzodt","LeeZerQian",7,"1541"
"nVtUN42j","BasicBot",239,"1476"
"nVtUN42j","kyjo55555",114,"1632?"
"NWBteSM4","anupama",309,"1896"
"NWBteSM4","BasicBot",341,"1915"
"NWWArD4S","BasicBot",443,"1933"
"NWWArD4S","MrThunderX",378,"1853"
"Nx4Eft7u","BasicBot",396,"1479"
"Nx4Eft7u","Cappellusman",373,"1399"
"nx4Yj7yS","anupama",76,"1871"
"nx4Yj7yS","BasicBot",94,"1946"
"ocdSAuuL","BasicBot",407,"1488"
"ocdSAuuL","Cappellusman",282,"1390"
"opyPfAU5","BasicBot",410,"1463"
"opyPfAU5","JudyMaria",306,"1295"
"oQAvGcMB","BasicBot",432,"1932"
"oQAvGcMB","HM123",298,"1925"
"oUhvAkLh","anupama",258,"1897"
"oUhvAkLh","BasicBot",338,"1908"
"oX5EX44Q","BasicBot",354,"1890"
"oX5EX44Q","JUSTIN_MEB2101A",319,"1902"
"oyzGtJtd","BasicBot",286,"1928"
"oyzGtJtd","MISSOOI",348,"1583?"
