player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jayden de Laura,131928,QB,ARIZONA,8,3.07,2.85,3.67,5.47,362,109,75.0,160,161,6.1,1.89,0,6,3.6,69.6,112,20,6.7,163,45.0,8,69,1,2,171,10.0,112.2,1.2,2,0,0,0,13,4,2.3,1176,7.3,66.0,150,158,14.3,4.06,2,13,7.7,55.7,88,91,11.1,198,54.7,11,79,0,6,211,14.3,90.6,6.6,13,27,0,6,9,14,6.6,1478,9.4
Cade Brister,154186,QB,LNDNWD,8,3.05,2.66,3.94,5.08,362,949,77.7,148,155,8.6,1.9,6,3,1.8,71.0,110,33,4.3,159,43.9,5,69,1,4,167,12.1,101.2,2.5,4,0,0,0,9,6,3.6,1166,7.5,66.9,118,137,15.8,3.94,2,14,9.4,54.7,75,106,5.1,203,56.1,4,81,2,5,215,18.9,97.6,9.9,20,46,0,15,10,7,3.3,1340,9.8
Justin Fomby,103928,QB,HOUCHR,8,2.39,2.25,3.17,5.49,361,183,74.5,196,207,4.5,1.76,6,3,1.4,64.3,133,44,8.9,212,58.7,13,47,3,4,219,11.4,80.5,2.4,5,0,0,2,7,6,2.7,1075,5.2,59.6,114,120,13.4,3.32,0,7,5.5,50.8,61,70,10.3,147,40.7,7,34,1,7,156,24.3,68.2,11.6,17,10,0,5,7,11,7.1,825,6.9
Gavin Hardison,100827,QB,UTEP,10,2.97,2.83,3.47,5.15,358,330,74.6,142,149,7.1,1.93,6,2,1.3,61.7,92,18,13.2,153,42.7,14,45,1,4,158,22.2,77.0,2.6,4,0,0,0,5,8,5.1,838,5.6,57.0,149,166,16.6,3.79,0,20,11.0,43.4,72,80,15.3,203,56.7,13,57,2,4,218,22.5,70.6,8.9,18,19,0,15,6,10,4.6,1209,7.3
Hunter Dekkers,122511,QB,IOWA STATE,8,2.56,2.38,3.89,5.35,350,193,78.1,183,187,5.3,1.86,1,1,0.5,71.1,133,25,7.0,187,53.4,10,66,0,7,189,0.0,90.3,0.0,0,0,0,3,10,6,3.2,1199,6.4,70.9,127,133,9.8,3.36,0,7,4.9,61.7,82,77,8.9,163,46.6,8,45,2,3,174,22.1,83.9,10.4,17,13,0,4,4,5,2.9,952,7.2
Gunner Talkington,60371,QB,E WASHGTON,8,2.77,2.55,3.71,4.81,349,161,80.6,155,156,4.2,1.9,1,3,1.9,74.4,116,22,7.2,156,44.7,9,52,0,3,158,0.0,96.9,0.0,0,0,0,0,7,1,0.6,971,6.2,64.0,136,147,13.0,3.51,3,13,8.4,52.4,77,70,11.5,191,54.7,10,63,1,5,200,21.4,92.1,7.9,15,29,0,7,13,13,6.5,1097,7.5
Holton Ahlers,77651,QB,E CAROLINA,9,2.44,2.31,3.05,4.63,348,156,81.1,190,198,6.8,1.74,6,13,6.4,75.3,149,37,3.2,200,57.5,5,77,1,2,206,5.4,117.4,1.0,2,0,0,1,13,2,1.0,1662,8.4,71.7,113,122,10.3,3.38,1,2,1.5,61.5,75,65,7.4,148,42.5,6,48,2,3,159,15.4,89.7,6.8,10,16,0,6,5,7,4.4,964,7.9
Frank Harris,60586,QB,UTSA,8,2.62,2.36,3.61,4.63,348,331,79.7,197,201,6.4,1.75,4,10,4.9,75.6,152,29,3.2,203,58.3,5,82,0,5,208,6.9,110.5,1.0,2,0,0,0,13,5,2.4,1648,8.2,63.4,93,101,15.1,3.84,0,7,6.3,54.5,55,74,6.8,145,41.7,4,54,1,1,158,17.6,93.5,9.0,13,31,0,7,4,4,2.5,897,8.9
RJ Martinez,147690,QB,N ARIZONA,8,2.58,2.5,2.98,4.77,347,252,83.2,185,191,5.1,1.76,6,9,4.6,75.9,145,27,5.8,193,55.6,9,66,0,1,199,7.4,103.4,1.0,2,0,0,0,9,3,1.5,1123,5.9,59.8,107,135,12.7,3.64,3,7,5.0,43.0,58,71,9.4,153,44.1,6,37,2,7,161,8.5,43.3,3.9,6,12,0,23,1,10,6.2,795,5.9
Reece Udinski,60592,QB,RICHMOND,8,2.51,2.34,3.18,5.08,346,276,85.4,199,201,4.7,1.78,2,5,2.5,81.1,163,23,4.1,202,58.4,7,82,0,3,204,4.3,113.3,0.5,1,0,0,0,14,2,1.0,1429,7.1,81.2,101,110,10.0,3.57,0,7,6.0,69.1,76,63,7.3,142,41.0,6,48,2,0,148,22.2,107.3,9.9,14,18,0,7,5,6,4.1,857,7.8
Nolan Henderson,63572,QB,DELAWARE,8,3.05,2.78,3.86,5.15,346,151,79.6,142,147,5.9,1.81,4,5,3.3,73.5,108,19,4.4,147,42.5,5,58,0,2,152,0.0,102.3,0.0,0,0,0,1,8,4,2.6,936,6.4,61.5,135,145,14.5,4.02,2,10,6.4,53.1,77,84,7.2,197,56.9,6,56,0,4,213,22.6,94.8,9.6,19,33,0,8,12,10,4.7,1127,7.8
Drake Maye,143969,QB,N CAROLINA,8,2.83,2.52,3.39,4.73,341,245,85.8,141,142,5.3,1.83,0,5,3.3,81.0,115,21,5.0,145,42.5,6,59,0,0,155,14.3,122.8,2.1,3,0,0,1,9,2,1.3,1192,8.4,70.9,117,131,16.7,3.63,1,21,15.8,60.3,79,109,4.8,193,56.6,4,80,2,3,199,16.5,129.0,9.3,18,44,0,11,19,6,3.0,1465,11.2
Nic Baker,87541,QB,S ILLINOIS,9,2.52,2.39,3.31,4.64,338,295,85.0,180,185,3.6,1.86,4,1,0.5,77.3,143,37,6.5,189,55.9,10,67,0,1,198,10.8,113.5,2.1,4,0,0,1,11,4,2.0,1306,7.1,62.7,110,114,11.5,3.46,1,5,4.0,56.1,64,69,7.2,145,42.9,5,47,2,2,161,20.3,90.2,9.7,14,17,0,1,5,6,3.7,930,8.2
Seth Henigan,144267,QB,MEMPHIS,8,2.87,2.58,3.67,4.84,337,218,84.4,135,137,6.4,1.9,1,2,1.4,75.2,103,21,9.6,141,41.8,11,53,0,1,148,19.0,108.7,2.8,4,0,0,1,5,2,1.4,1146,8.4,61.4,132,140,13.2,3.61,1,7,4.5,54.3,76,82,6.2,194,57.6,5,53,0,4,209,23.2,91.6,9.8,19,35,0,7,10,7,3.3,1088,7.8
Zevi Eckhaus,148535,QB,BRYANT,8,2.53,2.38,2.87,4.62,337,124,73.0,174,178,8.3,1.92,2,7,3.7,66.3,118,17,7.1,180,53.4,9,61,1,4,193,11.8,90.2,1.1,2,0,0,1,7,8,4.1,1244,7.0,59.3,118,121,14.8,3.23,0,11,8.3,52.9,64,70,8.6,157,46.6,6,58,1,7,169,25.7,80.6,11.5,18,18,0,2,8,12,7.1,1060,8.8
Daniel Richardson,97103,QB,C MICHIGAN,9,2.39,2.28,3.38,4.25,335,134,70.6,197,204,6.4,1.87,5,4,1.9,62.3,127,40,8.6,208,62.1,12,67,0,2,218,10.0,92.6,1.9,4,0,0,2,11,3,1.4,1212,5.9,59.8,97,103,12.8,3.24,0,6,5.2,44.7,46,55,20.7,127,37.9,12,31,1,3,139,29.1,68.3,12.6,16,8,0,5,4,10,7.2,696,6.8
Clayton Tune,77652,QB,HOUSTON,8,3.11,2.79,4.3,5.43,335,182,88.1,118,123,3.1,1.76,4,2,1.6,78.9,97,12,6.7,123,36.7,7,46,1,0,126,0.0,132.4,0.0,0,0,0,0,13,3,2.4,900,7.3,71.8,142,161,12.7,3.92,2,11,6.3,59.0,95,86,6.9,211,63.0,7,72,1,4,228,19.8,91.1,8.1,17,33,0,16,8,7,3.1,1299,8.1
Aidan O'Connell,60516,QB,PURDUE,7,2.49,2.39,4.0,5.22,334,273,77.4,195,199,7.1,1.83,2,6,2.9,70.4,140,23,7.3,199,59.6,11,67,0,3,209,0.0,100.5,0.0,0,0,0,2,10,8,3.8,1398,7.0,71.3,101,116,11.1,3.48,1,5,4.0,58.6,68,59,5.6,134,40.1,4,43,4,5,143,20.3,78.6,9.0,12,6,0,10,5,7,4.9,871,7.5
Tim DeMorat,78498,QB,FORDHAM,8,2.57,2.47,3.16,5.54,332,168,73.5,155,155,8.2,1.86,0,7,4.4,70.3,109,11,4.4,156,47.0,5,60,0,1,160,9.1,117.5,0.6,1,0,0,0,12,1,0.6,1255,8.1,69.7,152,159,18.7,3.19,0,27,15.5,60.4,96,62,9.4,176,53.0,10,72,1,3,192,14.5,136.2,5.1,9,8,0,6,26,10,5.2,2018,12.7
Brennan Armstrong,77696,QB,VIRGINIA,8,2.81,2.43,3.63,5.0,329,335,71.6,141,146,6.2,1.83,5,3,1.9,62.3,91,28,9.9,149,45.3,10,35,0,4,160,10.7,70.6,2.0,3,0,0,0,3,6,3.8,741,5.1,63.2,117,122,14.7,3.61,3,8,6.1,46.7,57,105,23.0,180,54.7,17,52,0,5,189,20.0,68.9,11.7,21,37,0,2,3,9,4.8,1077,8.8
Layne Hatcher,82068,QB,TEXAS ST,8,2.59,2.5,3.47,4.76,328,314,78.3,157,162,5.0,1.77,3,2,1.2,72.2,117,20,4.9,164,50.0,6,46,0,5,166,10.0,86.8,1.2,2,0,0,2,6,7,4.2,974,6.0,63.8,116,136,14.1,3.48,1,10,6.9,50.7,69,67,6.8,161,49.1,5,37,0,3,172,22.4,89.9,9.3,15,10,0,19,10,9,5.2,987,7.3
Kurtis Rourke,97998,QB,OHIO,9,2.86,2.76,3.45,4.91,327,259,85.2,122,126,6.5,1.95,2,6,4.6,80.2,101,22,2.9,128,39.1,3,50,1,3,133,9.1,119.0,1.6,2,0,0,1,11,5,3.8,1004,8.0,71.6,162,175,12.6,3.46,1,17,9.2,60.0,105,85,9.5,198,60.6,11,78,3,1,211,12.9,109.8,5.6,11,12,0,9,10,6,2.8,1726,9.9
Jack Plummer,83543,QB,CAL,8,2.66,2.55,2.91,5.44,327,130,75.3,162,167,6.9,1.83,2,3,1.7,66.5,111,30,9.0,169,51.7,11,51,2,4,181,6.7,82.8,1.2,2,0,0,1,6,5,2.8,934,5.6,66.7,105,125,13.7,3.55,1,9,6.8,53.6,67,96,4.3,158,48.3,3,49,2,1,166,25.0,96.5,15.2,24,9,0,17,7,6,3.6,1034,8.3
Spencer Sanders,77660,QB,OKLA STATE,8,2.72,2.39,4.42,5.63,327,262,77.1,157,161,6.4,1.76,2,5,2.9,70.2,113,15,6.6,161,49.2,8,66,2,3,170,0.0,101.3,0.0,0,0,0,0,8,6,3.5,1235,7.7,52.3,111,127,15.0,3.67,1,5,3.5,42.5,54,83,6.9,165,50.5,4,48,5,2,181,13.3,80.2,6.7,11,27,0,10,7,6,3.3,941,7.4
Chase Cunningham,78533,QB,MIDDLE TN,8,2.53,2.37,3.59,5.4,326,224,81.6,179,184,4.5,1.66,2,5,2.6,73.9,136,33,6.8,186,57.1,10,53,0,2,197,6.1,92.9,1.1,2,0,0,3,4,6,3.0,1171,6.4,73.9,92,112,10.3,3.71,1,9,7.3,54.5,61,83,10.3,139,42.6,7,36,3,3,151,19.3,95.7,11.5,16,11,0,16,9,7,4.6,876,7.8
Jaren Hall,82094,QB,BYU,9,2.78,2.53,4.46,5.34,321,128,83.3,126,132,4.7,1.63,3,4,2.9,78.0,103,11,1.9,134,41.7,2,46,1,1,140,18.2,121.3,1.5,2,0,0,2,11,1,0.7,950,7.2,66.2,136,155,14.3,3.62,2,11,6.4,54.8,85,62,5.6,186,57.9,5,63,0,2,203,14.5,98.5,4.8,9,22,0,17,10,8,3.9,1286,8.3
Tanner McKee,131770,QB,STANFORD,8,2.46,2.27,3.1,4.82,321,300,72.9,177,184,6.2,1.87,2,5,2.6,66.3,122,31,5.4,188,58.6,7,64,1,7,195,12.9,78.8,2.1,4,0,0,4,5,6,3.1,1249,6.8,64.6,82,94,12.0,3.32,2,9,8.7,52.1,49,67,7.5,132,41.1,4,33,1,0,142,31.3,99.1,15.9,21,17,0,9,6,0,0.0,728,7.7
Jake Willcox,148649,QB,BROWN,7,2.77,2.49,3.92,4.92,321,123,79.1,153,156,4.8,1.88,2,5,3.1,71.2,111,31,8.3,159,49.5,10,54,0,4,163,9.7,91.8,1.9,3,0,0,1,7,4,2.5,980,6.3,65.5,110,118,12.3,3.67,2,7,5.5,55.9,66,87,8.3,161,50.2,6,38,0,5,173,18.4,73.4,9.9,16,27,0,6,5,6,3.5,799,6.8
Brady Meitz,149729,QB,STETSON,7,2.68,2.48,3.28,4.87,319,302,69.9,146,150,8.2,1.96,2,9,5.9,66.7,100,35,2.0,154,48.3,2,50,2,4,156,11.4,92.4,2.6,4,0,0,0,6,7,4.5,1171,7.8,67.9,109,125,9.5,3.37,0,5,3.8,56.0,70,89,5.4,164,51.4,4,41,5,4,173,23.6,79.5,12.8,21,18,0,11,5,7,4.0,922,7.4
Caleb Williams,144622,QB,USC,8,3.28,2.88,5.36,6.38,318,326,84.6,123,125,4.0,1.79,2,2,1.6,80.0,100,15,3.8,128,40.3,4,55,0,1,132,20.0,129.9,2.3,3,0,0,0,12,1,0.8,1038,8.3,67.4,135,152,16.0,4.28,2,14,8.3,52.0,79,94,13.2,190,59.7,12,67,1,0,207,13.8,108.7,6.8,13,25,0,14,12,4,1.9,1349,8.9
Michael Hiers,88636,QB,SAMFORD,8,2.47,2.34,3.2,5.06,318,282,86.5,170,173,4.2,1.74,2,8,4.5,83.2,144,14,2.0,176,55.3,3,54,1,0,182,21.4,119.9,1.7,3,0,0,0,13,3,1.6,1171,6.8,69.0,113,114,10.3,3.41,0,6,5.0,64.9,74,69,5.1,141,44.3,4,39,0,2,151,24.6,113.3,12.1,17,10,0,1,10,6,4.0,962,8.4
Chevan Cordeiro,75886,QB,S JOSE ST,7,2.83,2.39,3.9,4.94,317,285,76.9,160,166,7.6,1.9,5,8,4.4,65.7,109,19,11.4,168,53.0,14,60,0,1,185,10.5,95.8,1.2,2,0,0,1,5,4,2.2,1252,7.5,64.3,70,85,17.3,3.88,0,9,10.0,48.2,41,75,8.9,149,47.0,4,38,2,0,156,34.7,92.0,17.4,26,38,0,13,4,5,3.2,694,8.2
Bailey Fisher,88643,QB,GARD-WEBB,9,2.58,2.41,3.21,4.3,316,171,74.2,159,163,5.9,1.76,3,5,2.9,66.3,108,21,8.5,166,52.5,10,56,0,4,175,14.3,96.7,1.8,3,0,0,1,10,5,2.9,1142,7.0,64.1,103,113,15.8,3.5,1,10,7.8,56.6,64,74,3.0,150,47.5,2,51,2,4,166,21.6,86.9,10.7,16,21,0,7,4,10,6.0,1099,9.7
Matt McDonald,60350,QB,BOWL GREEN,8,2.7,2.56,3.1,4.27,315,122,77.8,135,146,5.7,1.9,10,3,2.0,65.1,95,21,9.5,148,47.0,10,41,0,2,154,9.5,94.7,1.4,2,0,0,1,8,3,1.9,905,6.2,69.0,113,123,11.7,3.45,3,8,5.8,54.5,67,90,14.1,165,52.4,11,48,4,1,182,22.2,94.9,12.1,20,22,0,3,8,5,2.7,861,7.0
Aidan Sayin,148974,QB,PENN,7,2.46,2.34,3.48,5.0,315,267,82.3,175,185,5.9,1.87,7,8,4.1,71.4,132,24,8.3,185,58.7,12,66,0,1,197,0.0,103.1,0.0,0,0,0,3,10,2,1.0,1147,6.2,54.8,104,110,10.6,3.31,2,6,5.1,49.1,54,53,5.3,130,41.3,3,28,1,4,140,18.9,59.2,7.7,10,10,0,3,3,8,5.7,589,5.4
Reese Poffenbarger,145346,QB,ALBANY,8,2.91,2.53,4.18,5.05,312,106,75.2,153,158,9.6,1.9,3,11,6.4,67.7,107,25,7.0,160,51.3,8,58,2,1,175,8.0,115.0,1.3,2,0,0,0,13,4,2.3,1200,7.6,73.9,92,99,16.0,3.99,1,7,6.4,65.7,65,73,4.4,151,48.4,3,62,2,0,166,21.9,126.9,10.6,16,36,0,4,7,3,1.8,1106,11.2
JT Daniels,83578,QB,W VIRGINIA,8,2.44,2.36,3.51,4.78,310,343,79.4,165,169,5.4,1.79,1,2,1.1,72.8,123,17,6.1,171,55.2,8,58,2,3,178,11.8,96.3,1.2,2,0,0,1,8,4,2.2,1023,6.1,59.3,118,124,14.2,3.25,1,8,5.9,50.0,62,56,11.4,139,44.8,8,43,4,4,152,19.6,72.6,7.9,11,4,0,1,4,6,3.9,938,7.6
Grayson James,145214,QB,FIU,8,2.34,2.22,3.26,4.39,307,166,76.1,205,213,6.9,1.88,5,6,2.7,65.7,140,39,10.3,215,70.0,16,71,1,2,223,5.1,95.4,0.9,2,0,0,2,10,6,2.7,1371,6.4,61.0,59,67,6.7,3.52,0,1,1.4,50.7,34,56,5.6,90,29.3,2,20,0,4,96,16.1,45.4,10.0,9,14,0,8,1,5,5.2,336,5.0
Theo Day,83515,QB,N IOWA,9,2.78,2.54,3.34,4.96,305,255,76.1,134,136,8.0,2.04,2,6,4.3,70.6,96,38,5.9,140,45.9,6,65,0,0,144,10.5,116.0,2.9,4,0,0,0,8,3,2.1,1157,8.5,70.7,123,127,14.2,3.44,0,13,9.7,60.6,77,64,11.5,164,53.8,10,69,3,4,171,18.8,111.5,7.3,12,25,0,1,11,8,4.7,1316,10.4
Zachary Clement,105561,QB,NWSTATE,7,2.48,2.38,3.29,4.96,305,257,74.1,170,175,6.5,1.73,3,9,5.0,61.7,108,15,14.3,176,57.7,18,50,1,3,180,6.7,85.3,0.6,1,0,0,1,7,2,1.1,1077,6.2,58.2,91,110,13.3,3.54,3,7,5.9,40.9,45,59,15.1,128,42.0,8,39,1,4,136,16.9,72.1,7.8,10,8,0,15,6,9,6.6,868,7.9
Hayden Wolff,98362,QB,DOMINION,8,2.65,2.53,3.26,4.59,304,263,73.0,137,144,7.0,1.97,6,4,2.7,63.9,92,25,8.0,145,47.7,8,42,1,2,150,4.0,86.6,0.7,1,0,0,0,6,5,3.3,800,5.6,57.7,123,127,13.9,3.28,2,14,10.3,49.6,63,81,11.3,159,52.3,8,44,1,1,168,27.2,100.7,13.8,22,10,0,1,8,9,5.4,1205,9.5
Jayden Daniels,97993,QB,LSU,8,2.92,2.44,3.91,4.99,304,211,84.3,134,136,4.4,1.75,1,1,0.7,78.7,107,18,5.3,142,46.7,6,58,1,1,151,33.3,105.2,4.2,6,0,0,0,4,1,0.7,1038,7.6,71.0,93,100,11.7,3.94,1,3,2.8,58.0,58,69,12.1,162,53.3,8,55,0,0,170,30.4,109.3,13.0,21,41,0,6,8,1,0.6,774,7.7
Chase Brice,60363,QB,APP STATE,9,2.5,2.3,3.67,4.32,303,108,77.5,160,162,7.3,1.75,0,10,5.9,71.6,116,26,6.5,165,54.5,8,60,1,3,172,11.5,114.5,1.8,3,0,0,1,15,4,2.3,1149,7.1,61.6,99,106,16.4,3.4,0,15,13.3,54.7,58,51,4.9,138,45.5,3,42,0,2,146,19.6,109.5,7.2,10,22,0,7,9,9,6.2,1052,9.9
Tommy Schuster,108954,QB,N DAKOTA,8,3.19,2.91,4.03,5.23,302,249,86.1,122,130,4.0,1.87,8,3,2.2,77.7,101,13,3.8,131,43.4,4,50,0,4,135,7.7,103.4,0.8,1,0,0,0,8,3,2.2,906,7.0,69.4,111,125,11.8,4.2,1,5,3.8,60.0,75,73,2.6,171,56.6,2,54,1,0,181,26.0,96.5,11.1,19,27,0,12,3,7,3.9,1094,8.8
N'Kosi Perry,60446,QB,FAU,9,2.53,2.39,3.96,4.15,302,165,72.5,160,163,6.6,1.79,1,9,5.3,66.9,109,28,6.0,166,55.0,7,60,1,2,174,7.1,101.6,1.2,2,1,0,1,11,5,2.9,1033,6.3,54.9,102,111,18.5,3.45,2,13,11.3,41.4,46,54,17.9,135,44.7,10,46,0,3,139,14.8,88.6,5.9,8,16,0,7,9,6,4.3,965,8.7
Ian Corwin,109017,QB,DRAKE,8,3.08,2.73,4.13,5.04,300,153,52.1,121,124,9.9,1.98,3,5,4.0,44.4,55,24,12.7,125,41.7,8,30,0,5,125,4.2,49.4,0.8,1,0,0,0,3,8,6.4,567,4.6,51.8,110,120,15.7,3.89,0,10,8.0,44.2,53,78,7.0,174,58.0,4,47,1,3,182,25.6,74.2,11.5,20,34,0,9,7,10,5.5,757,6.3
Lindsey Scott Jr.,40219,QB,INCAR WORD,9,2.38,2.25,4.38,4.19,299,189,80.7,181,181,6.7,1.64,0,9,4.8,78.5,142,11,2.7,181,60.5,4,86,0,2,186,0.0,139.3,0.0,0,0,0,0,20,2,1.1,1756,9.7,68.6,86,94,19.2,3.6,1,21,20.6,60.6,57,39,3.4,115,38.5,2,49,0,2,125,20.5,135.4,7.0,8,13,0,7,17,6,4.8,1328,14.1
Pierce Holley,108981,QB,GEORGETOWN,7,2.33,2.25,3.18,4.8,298,172,77.4,186,190,6.5,1.84,4,5,2.6,70.0,133,22,7.6,191,64.1,11,66,0,5,196,4.5,87.1,0.5,1,0,0,0,7,6,3.1,1159,6.1,68.2,88,92,13.6,3.19,1,7,6.9,63.0,58,39,3.3,107,35.9,2,36,0,2,118,25.6,92.7,9.3,10,5,0,3,4,6,5.1,721,7.8
Justin Miller,103941,QB,SO UTAH,8,2.68,2.56,3.75,4.84,298,298,80.6,134,138,3.7,1.83,4,2,1.4,73.2,101,17,6.5,140,47.0,7,48,0,3,149,11.8,107.5,1.4,2,0,0,0,10,2,1.3,970,7.0,69.0,116,135,11.6,3.49,1,10,7.0,54.8,74,63,7.5,155,52.0,6,52,3,3,163,14.3,87.5,5.8,9,11,0,15,5,7,4.3,1188,8.8
