player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Brycen Hopkins,47338,TE,LA,3,2,0,26,0,,0,,,0,0,,0,0,0,,53.2,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,49.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Charlie Jones,55038,WR,CIN,1,2,0,7,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,-1.0,0,100.0,,0,0,0.0,0,1,0,30.0,70.4,0,6,0.0,0,2,1,100.0,2,91.7,1,50.0,0,6,7,7.0,6.0,3.0
J.K. Dobbins,57366,HB,BLT,1,2,0,3,0,-3.0,1,100.0,,0,0,0.0,0,0,0,78.7,92.6,0,10,0.0,0,3,1,100.0,3,108.3,1,50.0,0,10,13,13.0,10.0,3.33,,0,,,0,0,,0,0,0,73.4,65.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Mitchell Wilcox,47234,TE,CIN,3,2,0,7,0,,0,,,0,0,,0,0,0,,39.4,0,0,25.0,1,4,0,75.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,68.3,47.3,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jordan Akins,47050,TE,CLV,3,2,0,8,0,,0,,,0,0,,0,0,0,,49.4,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,68.3,59.9,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Damien Harris,35134,HB,BUF,3,2,0,4,0,,0,,,0,0,,0,0,0,,53.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.4,60.4,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
Luke Schoonmaker,84005,TE,DAL,3,2,0,9,0,,0,,,0,0,,0,0,0,,39.2,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0.0,0,0.0,,0,0,100.0,1,0,0,25.5,29.8,0,0,0.0,0,3,0,100.0,3,39.6,1,50.0,0,0,0,,,0.0
Emari Demercado,77763,HB,ARZ,3,2,0,1,0,,0,,,0,0,,0,0,0,,54.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.5,56.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
David Wells,34985,TE,TB,3,2,0,30,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,49.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Alec Ingold,34934,FB,MIA,3,2,0,17,0,,0,,,0,0,,0,0,0,,44.8,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,,0,0,0.0,0,1,0,64.7,52.6,0,19,10.0,1,10,1,90.0,9,118.8,1,50.0,0,19,13,13.0,19.0,2.11
Lawrence Cager,34914,TE,NYG,1,2,0,21,0,,0,,,0,0,,0,0,0,,50.8,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,52.9,0,0,0.0,0,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0
Foster Moreau,47043,TE,NO,2,2,0,20,0,,0,,,0,0,,0,0,0,,48.4,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,58.2,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
Josiah Deguara,47034,TE,GB,3,2,0,12,0,,0,,,0,0,,0,0,0,,48.7,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,54.7,0,0,40.0,2,5,0,60.0,3,0.0,0,0.0,0,0,0,,,0.0
Craig Reynolds,94383,HB,DET,2,2,0,11,0,-3.0,1,100.0,,0,0,0.0,0,0,0,78.7,73.8,0,-2,0.0,0,2,1,100.0,2,79.2,1,50.0,0,-2,1,1.0,-2.0,-1.0,,0,,,0,0,,0,0,0,68.3,55.7,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
Teagan Quitoriano,84036,TE,HST,3,2,0,13,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,,51.2,0,0,0.0,0,1,0,0.0,0,0.0,0,0.0,0,0,0,,,
Daniel Bellinger,84041,TE,NYG,3,2,0,21,0,,0,,,0,0,,0,0,0,,43.5,0,0,50.0,1,2,0,50.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,68.3,45.9,0,0,20.0,1,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0
Melvin Gordon III,9448,HB,BLT,1,2,0,3,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,70.5,72.1,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Zach Pascal,12303,WR,ARZ,3,2,0,1,0,,0,,,0,0,,0,0,0,,49.9,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,-0.5,1,50.0,,0,0,0.0,0,0,0,64.7,58.3,0,9,0.0,0,6,1,100.0,6,62.5,2,100.0,0,9,12,12.0,9.0,1.5
Pharaoh Brown,12247,TE,NE,3,2,0,19,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,,0,,,0,0,,0,0,0,64.7,77.6,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Robert Tonyan,12193,TE,CHI,3,2,0,6,0,,0,,,0,0,,0,0,0,,48.8,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,5.0,0,0.0,,0,0,,0,0,0,,49.6,0,0,0.0,0,11,0,100.0,11,39.6,1,50.0,0,0,0,,,0.0
Isaiah McKenzie,11927,WR,IND,3,2,0,14,0,-6.0,1,100.0,,0,0,0.0,0,0,0,78.7,94.8,0,7,0.0,0,2,1,100.0,2,95.8,1,50.0,0,7,13,13.0,7.0,3.5,,0,,,0,0,,0,0,0,72.1,84.2,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Jamaal Williams,11889,HB,NO,2,2,0,20,0,,0,,,0,0,,0,0,0,,48.7,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,64.7,51.2,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,
Greg Dulcich,84068,TE,DEN,1,2,0,10,0,,0,,,0,0,,0,0,0,,53.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,6.0,0,100.0,,0,0,0.0,0,1,0,72.1,81.5,0,9,0.0,0,8,1,100.0,8,104.2,1,50.0,0,9,3,3.0,9.0,1.13
Brenton Strange,101694,TE,JAX,3,2,0,15,0,-2.0,0,100.0,,0,0,0.0,0,0,0,78.7,46.5,0,4,0.0,0,8,1,100.0,8,83.3,1,50.0,0,4,6,6.0,4.0,0.5,3.0,0,100.0,,0,0,0.0,0,0,0,70.5,50.2,0,3,12.5,2,16,1,75.0,12,79.2,1,50.0,0,3,0,0.0,3.0,0.25
Sterling Shepard,10674,WR,NYG,3,2,0,21,0,,0,,,0,0,,0,0,0,,52.4,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,4.0,0,100.0,,0,0,0.0,0,1,0,70.5,53.8,0,4,0.0,0,7,1,85.7,6,83.3,1,50.0,0,4,0,0.0,4.0,0.67
