player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Jalen Hurts,40291,QB,PHI,5,195,75.0,76,84,9.6,2.96,0,5,5.8,64.3,54,41,5.3,99,50.8,3,36,,85.0,73.2,80.6,69.1,,76.3,1,3,101,14.6,84.7,6.1,6,9,0,7,3,5,5.0,646,7.7,0,24,62.7,76.8,76.5,66.2,82.9,76,84,8.8,3.32,0,6,6.7,70.2,59,27,6.3,96,49.2,4,22,,85.2,78.8,80.7,78.6,,57.9,3,1,104,22.2,98.1,6.3,6,6,0,5,3,2,1.9,616,7.3,81.7,120,121,7.9,2.58,0,8,6.3,76.0,92,0,6.1,127,65.1,6,41,,87.1,84.0,81.7,84.0,,52.7,0,3,135,,98.2,0.0,0,6,0,1,4,4,3.0,931,7.7,2,68.8,32,47,13.9,4.19,0,3,6.3,44.7,21,68,4.5,68,34.9,1,17,,82.5,61.9,79.2,54.2,,80.8,4,1,70,17.6,74.0,17.6,12,9,0,11,2,3,4.3,331,7.0
Justin Fields,82118,QB,CHI,5,187,72.1,43,51,8.8,2.85,2,1,1.9,56.9,29,32,6.5,65,34.8,2,20,,42.1,65.0,79.1,59.8,,79.7,1,1,68,25.0,100.2,12.3,8,5,0,5,4,2,2.9,401,7.9,0,6,40.7,74.4,66.8,84.9,73.6,91,101,8.8,3.42,2,6,5.8,64.4,65,58,3.0,122,65.2,2,39,,34.6,74.1,81.4,69.6,,77.9,2,4,125,19.0,93.0,9.0,11,10,0,6,7,3,2.4,743,7.4,76.9,91,94,7.9,2.59,3,5,5.3,70.2,66,0,5.7,97,51.9,4,36,,84.8,76.9,80.5,75.2,,63.5,0,4,98,,104.6,0.0,0,2,0,0,7,1,1.0,832,8.9,3,65.1,43,58,10.6,3.9,1,2,3.3,48.3,28,90,0.0,90,48.1,0,23,,23.8,63.4,80.3,53.9,,85.5,3,1,95,21.1,80.5,21.1,19,13,0,11,4,4,4.2,312,5.4
Mac Jones,60323,QB,NE,5,183,66.7,33,35,8.7,2.05,2,0,0.0,62.9,22,13,0.0,38,20.8,0,11,,78.7,36.7,77.0,38.3,,,0,1,38,23.1,67.6,7.9,3,0,0,0,0,3,7.9,210,6.0,0,19,54.3,58.3,58.8,55.4,69.5,128,133,8.8,2.59,1,6,4.3,62.4,83,57,6.7,145,79.2,6,38,,65.6,68.5,82.1,66.4,,69.9,2,5,153,10.5,76.0,4.1,6,6,0,2,5,9,5.9,798,6.0,75.5,106,109,7.7,2.15,3,4,3.6,69.7,76,0,5.0,113,61.7,4,30,,86.0,66.3,81.1,66.4,,55.4,0,4,116,,83.3,0.0,0,4,0,0,4,6,5.2,684,6.3,1,56.4,55,59,10.9,3.01,0,2,3.2,49.2,29,70,6.5,70,38.3,2,19,,45.4,51.9,79.5,48.3,,78.1,2,2,75,12.9,57.5,12.9,9,2,0,2,1,6,8.0,324,5.5
Jordan Love,40306,QB,GB,5,183,57.5,40,41,9.8,2.66,0,4,8.9,51.2,21,15,8.7,47,25.7,2,15,,24.8,73.3,78.1,69.5,,74.3,1,0,52,20.0,91.1,6.4,3,2,0,0,2,2,3.8,296,7.2,0,12,59.9,64.6,61.0,78.1,65.8,114,121,10.4,2.86,2,3,2.4,57.0,69,39,8.0,136,74.3,6,38,,87.4,58.2,81.9,56.7,,68.5,1,6,142,17.9,72.6,5.1,7,7,0,4,6,4,2.8,787,6.5,68.3,123,124,9.1,2.45,1,6,4.5,62.1,77,0,8.3,129,70.5,7,45,,87.1,75.9,81.7,73.5,,70.7,0,3,137,,94.1,0.0,0,4,0,0,7,3,2.2,939,7.6,3,45.2,31,38,14.6,3.66,1,1,2.5,34.2,13,54,7.1,54,29.5,1,8,,25.7,36.7,78.5,32.8,,71.1,2,3,57,18.5,22.3,18.5,10,5,0,4,1,3,5.3,144,3.8
Desmond Ridder,55086,QB,ATL,5,181,75.0,40,43,8.0,2.67,2,2,4.3,67.4,29,28,3.3,53,29.3,1,17,,81.1,82.2,78.4,84.7,,47.7,0,0,56,21.4,112.5,11.3,6,4,0,1,3,0,0.0,319,7.4,0,2,54.4,52.1,52.6,53.7,71.3,108,113,7.8,2.58,1,2,1.7,64.6,73,37,5.2,128,70.7,4,38,,38.3,38.0,81.7,38.7,,60.6,0,3,135,27.0,75.6,7.8,10,4,0,4,1,10,7.4,754,6.7,76.6,111,113,6.9,2.25,1,2,1.7,71.7,81,0,4.7,116,64.1,4,40,,86.4,51.6,81.3,52.5,,54.5,0,2,123,,93.9,0.0,0,2,0,1,3,6,4.9,830,7.3,1,59.5,37,43,10.7,3.25,2,2,4.4,48.8,21,65,4.5,65,35.9,1,15,,25.3,54.5,79.2,55.8,,54.6,0,1,68,24.6,64.4,24.6,16,6,0,4,1,4,5.9,243,5.7
Lamar Jackson,46416,QB,BLT,5,178,71.9,57,60,8.2,2.68,1,3,4.8,58.3,35,28,14.6,71,39.9,6,14,,44.5,73.2,79.4,68.7,,77.7,0,2,74,21.4,72.8,8.5,6,5,0,2,2,3,4.1,359,6.0,0,3,23.7,88.7,85.9,75.2,86.3,80,83,8.4,3.05,1,5,5.6,78.3,65,31,5.8,107,60.1,4,39,,21.9,91.5,81.2,90.5,,72.9,1,0,118,29.0,108.4,8.4,9,14,0,1,2,4,3.4,671,8.1,86.0,107,108,7.0,2.52,1,4,3.5,79.6,86,0,6.5,119,66.9,6,43,,25.4,93.2,81.3,92.5,,64.7,0,1,124,,103.4,0.8,1,9,0,0,3,4,3.2,813,7.5,1,60.0,30,35,12.9,3.66,1,4,10.3,40.0,14,59,22.2,59,33.1,4,10,,25.1,63.7,79.1,54.1,,82.6,1,1,68,23.7,58.9,23.7,14,10,0,3,1,3,4.4,217,6.2
Tua Tagovailoa,60326,QB,MIA,5,178,79.1,43,48,6.9,2.1,1,3,5.9,66.7,32,13,5.9,49,27.5,2,23,,80.4,88.2,78.1,85.8,,,2,0,52,7.7,117.3,2.0,1,0,1,1,4,0,0.0,367,7.6,0,17,70.8,84.0,84.7,45.4,78.8,113,118,8.7,2.38,3,7,5.7,73.7,87,27,2.2,129,72.5,2,58,,87.1,79.7,81.7,78.7,,58.8,0,5,135,18.5,109.7,3.9,5,5,0,2,7,6,4.4,1247,10.6,84.6,130,134,7.5,2.11,2,6,4.2,79.1,106,0,3.6,138,77.5,4,70,,87.6,92.2,82.0,91.2,,61.4,0,3,146,,128.2,0.0,0,3,1,1,11,3,2.1,1399,10.4,1,50.0,26,32,12.0,3.0,2,4,12.5,40.6,13,40,0.0,40,22.5,0,11,,79.0,47.1,77.3,48.0,,57.0,2,2,41,15.0,37.9,15.0,6,2,0,2,0,3,7.3,215,6.7
Kenny Pickett,60515,QB,PIT,5,178,54.3,35,36,9.9,2.64,0,2,5.1,50.0,18,21,5.3,40,22.5,1,12,,79.5,58.2,77.4,58.2,,,0,1,43,19.0,96.6,10.0,4,0,0,1,3,2,4.7,317,8.8,0,25,90.0,57.0,54.6,69.2,69.3,114,123,7.3,2.88,2,2,1.6,62.6,77,56,2.5,138,77.5,2,29,,87.5,56.2,81.9,54.1,,75.1,1,3,143,17.9,73.6,7.2,10,4,1,5,2,3,2.1,710,5.8,67.0,97,99,7.4,2.38,1,3,2.9,63.6,63,0,3.1,101,56.7,2,24,,85.3,57.7,80.7,58.0,,58.3,0,3,105,,77.4,0.0,0,1,1,0,3,3,2.9,589,5.9,0,63.5,52,60,8.9,3.42,1,1,1.6,53.3,32,77,3.0,77,43.3,1,17,,83.5,55.9,79.7,52.0,,78.8,1,1,81,18.2,81.1,18.2,14,3,0,6,2,2,2.5,438,7.3
Dak Prescott,10769,QB,DAL,5,176,77.3,44,47,7.8,2.18,2,2,3.9,70.2,33,21,2.9,52,29.5,1,20,,81.1,66.9,78.4,63.4,,74.8,1,2,56,9.5,86.3,3.8,2,2,0,0,2,1,1.8,330,7.0,0,9,71.4,68.4,64.0,87.7,78.9,109,113,6.8,2.57,0,4,3.4,69.0,78,35,9.3,124,70.5,8,36,,61.5,65.7,81.5,63.4,,74.5,1,2,130,20.0,88.0,5.6,7,2,0,3,3,4,3.1,730,6.5,82.6,115,117,6.1,2.1,1,4,3.3,73.5,86,0,9.5,120,68.2,9,43,,86.4,68.4,81.3,67.5,,,0,2,123,,92.9,0.0,0,0,0,1,3,3,2.4,789,6.7,2,65.8,38,43,10.3,3.23,1,2,4.0,58.1,25,56,0.0,56,31.8,0,13,,39.4,62.2,78.8,56.2,,85.2,2,2,63,16.1,72.9,16.1,9,4,0,2,2,2,3.2,271,6.3
Joshua Dobbs,11890,QB,ARZ,5,174,71.7,46,50,9.1,2.39,1,3,5.5,64.0,32,21,3.0,54,31.0,1,23,,81.5,71.3,78.6,68.7,,65.6,2,1,60,4.8,89.3,1.9,1,1,0,1,2,1,1.7,347,6.9,0,1,56.8,65.6,61.0,77.4,74.5,102,105,7.9,2.74,1,1,0.9,66.7,70,37,7.9,120,69.0,6,32,,86.7,59.2,81.5,56.3,,76.4,0,1,130,21.6,91.5,6.7,8,6,0,2,4,6,4.6,633,6.0,75.2,105,108,7.8,2.41,2,3,2.6,68.5,74,0,6.3,116,66.7,5,37,,86.5,71.8,81.4,68.6,,76.9,0,1,125,,94.7,0.0,0,5,0,1,4,2,1.6,700,6.5,1,69.8,43,47,9.6,3.07,0,1,1.9,59.6,28,58,6.7,58,33.3,2,18,,81.8,50.8,78.9,48.8,,71.4,2,1,65,15.5,81.9,15.5,9,2,0,2,2,5,7.7,280,6.0
