player,player_id,position,team_name,player_game_count,assists,franchise_id,hits,hurries,lhs_assists,lhs_hits,lhs_hurries,lhs_misses,lhs_pass_rush_percent,lhs_pass_rush_snaps,lhs_pressures,lhs_prp,lhs_sacks,lhs_stops,lhs_tackles,misses,pass_rush_percent,pass_rush_snaps,pass_snaps,pressures,prp,rhs_assists,rhs_hits,rhs_hurries,rhs_misses,rhs_pass_rush_percent,rhs_pass_rush_snaps,rhs_pressures,rhs_prp,rhs_sacks,rhs_stops,rhs_tackles,sacks,stops,tackles
Al Woods,5646,DI,NYJ,1,0,22,0,0,0,0,0,0,76.9,10,1,10.0,1,1,0,0,100.0,13,13,1,7.7,0,0,0,0,23.1,3,0,0.0,0,0,0,1,1,0
Nick Bosa,42741,ED,SF,1,1,28,1,3,0,0,1,0,46.2,12,1,4.2,0,0,0,0,100.0,26,26,4,7.7,1,1,2,0,53.8,14,3,10.7,0,0,0,0,0,0
Sam Williams,99106,ED,DAL,1,0,9,0,3,0,0,1,0,35.0,7,1,7.1,0,0,0,0,100.0,20,20,3,7.5,0,0,2,0,65.0,13,2,7.7,0,1,1,0,1,1
Preston Smith,9471,ED,GB,1,0,12,0,3,0,0,1,0,15.0,3,1,16.7,0,0,0,0,90.9,20,22,3,7.5,0,0,2,0,85.0,17,2,5.9,0,0,0,0,0,0
Bobby Wagner,7050,LB,SEA,1,0,29,0,1,0,0,1,0,40.0,2,1,25.0,0,0,0,0,17.9,7,39,1,7.1,0,0,0,0,60.0,3,0,0.0,0,0,0,0,0,0
BJ Ojulari,124105,ED,ARZ,1,0,1,1,0,0,0,0,0,28.6,2,0,0.0,0,0,0,0,87.5,7,8,1,7.1,0,1,0,0,71.4,5,1,10.0,0,0,0,0,0,0
Austin Bryant,36248,ED,SF,1,0,28,0,2,0,0,0,0,35.7,5,0,0.0,0,0,0,0,100.0,14,14,2,7.1,0,0,2,0,64.3,9,2,11.1,0,0,0,0,0,0
Malcolm Koonce,55015,ED,LV,1,0,23,0,1,0,0,0,0,14.3,1,0,0.0,0,0,0,0,100.0,7,7,1,7.1,0,0,1,0,85.7,6,1,8.3,0,0,0,0,0,0
Foyesade Oluokun,24904,LB,JAX,1,0,15,1,0,0,1,0,0,66.7,4,1,12.5,0,0,0,0,14.9,7,47,1,7.1,0,0,0,0,33.3,2,0,0.0,0,0,0,0,0,0
Jeffery Simmons,43742,DI,TEN,1,0,31,0,3,0,0,2,0,47.2,17,3,11.8,1,1,0,0,100.0,37,37,4,6.8,0,0,1,0,52.8,19,1,2.6,0,0,0,1,1,0
Grover Stewart,11899,DI,IND,1,0,14,1,2,0,1,2,0,63.6,14,3,10.7,0,0,0,0,100.0,22,22,3,6.8,0,0,0,0,36.4,8,0,0.0,0,0,0,0,0,0
Carlos Watkins,11897,DI,ARZ,1,0,1,0,0,0,0,0,0,28.6,4,0,0.0,0,0,0,0,100.0,15,15,1,6.7,0,0,0,0,71.4,10,1,10.0,1,1,0,1,1,0
Quinnen Williams,44216,DI,NYJ,1,0,22,1,4,0,0,0,0,21.1,8,0,0.0,0,0,0,1,100.0,38,38,5,6.6,0,1,4,1,78.9,30,5,8.3,0,1,1,0,1,1
