"","Name","ID","Salary","AvgPointsPerGame","odds_open","odds_close","odds_rank","odds_delta","odds_delta_per","fpts","proj_own","ceil","floor","make_cut","first_round_lead","top_30","top_20","top_10","top_5","top_3","win","observed_finish","odds_per_dollar","residuals","own_change","adj_own","ownership","total_pts","date","tournament"
"41","Luke List",23114185,7300,56.43,0.0102,0.0096,30,-0.000600000000000002,-0.0588,65.31,9.1,91,29,0.6081,0.0107,0.3115,0.2124,0.1067,0.0522,0.0308,0.0098,19,1.32,0.25,0.84,10,0.0386,91,"2022-06-26","Travelers Championship"
"42","Charles Howell III",23114186,7200,58.64,0.0088,0.0083,34,-5e-04,-0.0568,60.89,2.1,87,27.5,0.5734,0.0097,0.2744,0.1858,0.0912,0.0429,0.0248,0.0078,35,1.15,0.17,1.03,3,0.0241,73,"2022-06-26","Travelers Championship"
"43","Kevin Streelman",23114187,7200,51.33,0.0057,0.0063,52,6e-04,0.1053,60.4,6.4,87,27.5,0.5958,0.0076,0.2971,0.2012,0.1003,0.0479,0.0272,0.008,25,0.88,-0.1,3.21,10,0.0442,77,"2022-06-26","Travelers Championship"
"44","Cameron Champ",23114188,7200,49.89,0.0043,0.0065,50,0.0022,0.5116,49.41,0.74,80,25,0.4944,0.0045,0.1901,0.12,0.0525,0.0229,0.0122,0.0032,100,0.9,-0.08,6.91,8,0.0144,18.5,"2022-06-26","Travelers Championship"
"45","Chez Reavie",23114189,7200,49.8,0.0057,0.0068,48,0.0011,0.193,51.33,1.4,80.5,25.5,0.5236,0.0078,0.2181,0.139,0.0626,0.0275,0.0151,0.0042,8,0.94,-0.04,4.27,6,0.0364,90,"2022-06-26","Travelers Championship"
"46","Matthew NeSmith",23114190,7200,57.14,0.0069,0.0091,32,0.0022,0.3188,52.89,6,80.5,26.5,0.5871,0.01,0.2856,0.1948,0.0951,0.0462,0.0265,0.0081,19,1.26,0.28,6.65,13,0.0633,78.5,"2022-06-26","Travelers Championship"
"47","Troy Merritt",23114191,7100,62.82,0.0075,0.0068,48,-7e-04,-0.0933,54.29,1.2,83.5,26,0.5664,0.0069,0.2594,0.1738,0.0844,0.0401,0.0221,0.0063,100,0.96,0.07,0.63,2,0.0467,29.5,"2022-06-26","Travelers Championship"
"48","Doug Ghim",23114192,7100,53.35,0.0057,0.0083,34,0.0026,0.4561,59.79,0.95,87,27,0.5939,0.011,0.2941,0.2002,0.1,0.0476,0.0275,0.0082,100,1.17,0.28,7.66,9,0.0386,24.5,"2022-06-26","Travelers Championship"
"49","Lanto Griffin",23114193,7100,62.81,0.0075,0.0073,42,-2e-04,-0.0267,59.22,2.7,87,27.5,0.5558,0.009,0.2482,0.1625,0.0757,0.035,0.0195,0.0057,100,1.03,0.14,1.62,4,0.062,32.5,"2022-06-26","Travelers Championship"
"50","Sepp Straka",23114194,7100,56.12,0.0057,0.0057,56,0,0,52.21,2.2,81,26,0.5498,0.0063,0.2472,0.1608,0.0764,0.035,0.0193,0.0054,100,0.8,-0.09,1.99,4,0.0419,25.5,"2022-06-26","Travelers Championship"
"51","Emiliano Grillo",23114195,7100,52.95,0.0043,0.0069,46,0.0026,0.6047,58.28,3.8,86.5,27,0.5365,0.009,0.2343,0.1507,0.0708,0.0328,0.0177,0.0052,100,0.97,0.08,7.94,12,0.0377,25,"2022-06-26","Travelers Championship"
