"","Name","ID","Salary","AvgPointsPerGame","fpts","proj_own","ceil","floor","scoring_points","finish_points","total_points","value","projected_ownership","sg_putt_pred","sg_putt_rank","sg_arg_pred","sg_arg_rank","sg_app_pred","sg_app_rank","sg_ott_pred","sg_ott_rank","sg_total_pred","sg_total_rank","distance_pred","distance_rank","accuracy_pred","accuracy_rank","baseline","age","age_adj","true_sg_adj","timing_adj","sg_category_adj","course_history_adj","driving_dist_adj","driving_acc_adj","fit_other_adj","course_fit_total_adj","final_prediction","make_cut","top_20","top_10","top_5","win","odds_per_dollar","residuals","proj_own_avg","course_fit","own_change","adj_own","one","date","tournament"
"75","Austin Cook",23394709,6700,50,40.28,0.8,65.5,20.5,56.6,1.7,58.3,0.15,2.94,0.119,117,-0.005,183,-0.357,297,-0.378,312,-0.622,269,-11.393,376,0.054,54,-0.526,31,0.004,-0.032,0.029,-0.095,-0.04,0.074,0.103,0.005,0.182,-0.479,0.4926,0.1095,0.0479,0.0199,0.003,0.45,0.05,2.08,0.25,1.15,5,1,2022-07-24,"3M Open"
"76","Harry Higgs",23394710,6700,45.71,36.29,0.48,62,19.5,52.6,1.3,53.9,-0.06,2.47,0.185,77,0.039,143,-0.381,311,-0.466,343,-0.622,270,2.17,176,-0.066,380,-0.693,30,0.007,0.096,0,-0.03,-0.047,-0.014,-0.129,0,-0.142,-0.81,0.4255,0.0733,0.0281,0.0108,0.0014,0.21,-0.19,1.67,-0.71,-3.29,0,1,2022-07-24,"3M Open"
"77","David Lingmerth",23394711,6700,47.3,43.48,0.07,68,21.5,55.1,1.6,56.7,0.06,0.94,0.043,165,0.024,156,-0.393,316,-0.496,349,-0.821,298,-19.757,420,0.047,68,-0.714,35,-0.008,-0.062,0.07,-0.108,0.033,0.127,0.09,0.008,0.225,-0.562,0.4878,0.1062,0.0447,0.0191,0.0029,0.43,0.03,0.59,-0.04,-0.16,0,1,2022-07-24,"3M Open"
"78","Henrik Norlander",23394712,6700,45.83,43.76,0.16,68,22,56.3,1.7,58,0.13,1.94,-0.34,392,-0.047,224,0.018,154,-0.204,248,-0.573,256,-6.199,325,0.028,110,-0.545,35,-0.008,-0.022,-0.009,0.014,-0.017,0.04,0.052,0.023,0.115,-0.474,0.4854,0.1081,0.0441,0.0192,0.0025,0.37,-0.03,1.23,0.11,0.48,0,1,2022-07-24,"3M Open"
"79","Scott Gutschewski",23394713,6700,48.45,46.61,0.45,70.5,22.5,57.2,1.9,59.1,0.19,1.61,-0.24,359,0.002,172,0.095,114,-0.076,211,-0.22,190,0.651,200,-0.023,268,-0.233,45,-0.043,-0.007,0.004,0.059,-0.04,-0.004,-0.046,0.012,-0.038,-0.298,0.5413,0.1332,0.0574,0.0251,0.0039,0.58,0.18,1.15,-0.03,-0.05,0,1,2022-07-24,"3M Open"
"80","Satoshi Kodaira",23394714,6700,48.88,48.11,0.39,71.5,23,57.7,1.9,59.6,0.22,3.21,-0.132,289,-0.238,383,-0.189,231,-0.058,199,-0.617,266,-11.071,371,0.085,14,-0.577,32,-0.001,-0.025,0.025,-0.038,-0.021,0.071,0.163,0.029,0.263,-0.374,0.5283,0.1259,0.0559,0.0255,0.0039,0.58,0.18,2.08,-0.2,-0.81,0,1,2022-07-24,"3M Open"
"81","Vaughn Taylor",23394715,6600,50.38,45.22,0.3,69.5,22,55.4,1.6,57,0.11,1.75,-0.106,273,-0.031,209,-0.066,187,-0.506,352,-0.709,281,-16.103,407,0.07,29,-0.419,46,-0.045,-0.111,0,-0.133,-0.066,0.104,0.134,0.009,0.247,-0.527,0.4975,0.1086,0.0453,0.0192,0.003,0.45,0.16,1.17,0.42,1.97,5,1,2022-07-24,"3M Open"
"82","Camilo Villegas",23394716,6600,45.27,45.25,0.22,69.5,22,54.4,1.5,55.9,0.05,0.65,-0.272,375,0.126,77,-0.176,227,-0.291,276,-0.612,265,-6.527,328,-0.033,302,-0.62,40,-0.026,-0.062,0.01,0.086,-0.013,0.042,-0.065,0.015,-0.008,-0.632,0.4566,0.0936,0.0382,0.016,0.0026,0.39,0.1,0.48,-0.17,-0.72,0,1,2022-07-24,"3M Open"
"83","Jonathan Byrd",23394717,6600,52.56,45.43,0.27,69.5,22,54.7,1.5,56.2,0.06,1.03,0.091,131,0.194,39,-0.255,258,-0.705,385,-0.675,277,-7.386,340,-0.015,244,-0.497,44,-0.039,-0.007,0.027,-0.159,0.029,0.048,-0.031,-0.009,0.008,-0.637,0.4566,0.0918,0.0378,0.0159,0.0024,0.36,0.07,0.73,0.37,1.7,0,1,2022-07-24,"3M Open"
"84","Kevin Chappell",23394718,6600,51.32,44.35,0.35,68.5,22,51.4,1.2,52.6,-0.09,1.38,-0.102,271,-0.088,269,-0.37,304,-0.151,234,-0.71,282,6.972,91,-0.064,372,-0.674,36,-0.011,-0.009,-0.087,0.071,-0.04,-0.044,-0.125,0.027,-0.142,-0.892,0.4098,0.0672,0.0263,0.0102,0.0012,0.18,-0.11,0.97,-1.16,-5.27,0,1,2022-07-24,"3M Open"
"85","Andrew Landry",23394719,6600,41.17,31.62,0.11,56,18,46.7,0.8,47.5,-0.27,0.33,-0.117,281,-0.254,390,-0.797,396,-0.32,294,-1.487,380,-9.451,363,0.05,59,-1.133,34,-0.007,-0.099,-0.267,0.02,-0.031,0.061,0.096,0.052,0.208,-1.309,0.3344,0.0401,0.0136,0.0046,0,0,-0.29,0.24,-1.3,-6,0,1,2022-07-24,"3M Open"
"86","Grayson Murray",23394720,6600,47.03,36.71,0.2,62.5,19.5,51.1,1.1,52.2,-0.1,0.04,-0.555,425,-0.219,370,-0.081,195,0.124,130,-0.731,284,10.511,45,-0.089,408,-1.013,28,0.013,0.002,0.103,0.166,-0.04,-0.067,-0.173,0.053,-0.188,-0.958,0.3984,0.0643,0.026,0.0105,0.0013,0.2,-0.09,0.1,-1.78,-8.05,0,1,2022-07-24,"3M Open"
"87","Brian Stuard",23394721,6600,42.65,44.78,0.31,69,22,55.6,1.6,57.2,0.11,2.06,-0.133,293,0.078,113,-0.224,244,-0.538,361,-0.818,297,-21.843,426,0.105,6,-0.764,39,-0.023,-0.075,0.096,-0.051,-0.001,0.141,0.203,0.01,0.354,-0.464,0.5098,0.1124,0.0463,0.0191,0.0029,0.44,0.15,1.36,0.96,4.39,5,1,2022-07-24,"3M Open"
"88","Scott Brown",23394722,6600,55.5,40.99,0.19,66.5,21,52.4,1.3,53.7,-0.04,0.39,-0.016,207,-0.199,357,-0.291,272,-0.342,302,-0.847,300,-4.661,297,0.01,158,-0.736,39,-0.021,-0.017,0.032,-0.104,0.011,0.03,0.019,0.023,0.072,-0.763,0.4329,0.0772,0.0304,0.0123,0.0013,0.2,-0.09,0.31,-0.87,-3.96,0,1,2022-07-24,"3M Open"
"89","Joshua Creel",23394723,6600,37.23,35.31,0.15,61.5,19.5,49,1,49.9,-0.18,0.1,-0.214,343,-0.249,388,-0.454,334,-0.309,282,-1.225,355,-13.44,398,0.024,116,-1.22,32,0.001,0.008,-0.031,0.016,-0.04,0.087,0.046,0.044,0.177,-1.088,0.3731,0.0498,0.0179,0.0064,8e-04,0.12,-0.17,0.12,-1.41,-6.43,0,1,2022-07-24,"3M Open"
"90","Ben Kohles",23394726,6500,52.55,44.02,0.4,68.5,22,56.9,1.9,58.8,0.23,1.67,0.011,188,-0.17,339,0.031,145,-0.272,268,-0.401,225,-8.426,354,0.018,136,-0.386,32,0.001,0.047,0.015,-0.077,-0.04,0.054,0.033,0.007,0.095,-0.345,0.5146,0.1225,0.0529,0.0226,0.0027,0.42,0.23,1.16,-0.42,-1.77,0,1,2022-07-24,"3M Open"
"91","Ben Martin",23394727,6500,49.83,44.89,0.18,69.5,21.5,53.6,1.5,55.1,0.03,0.5,-0.235,354,-0.126,306,-0.286,268,-0.044,191,-0.69,278,-5.397,315,0.005,171,-0.678,34,-0.007,-0.027,-0.017,0.039,-0.038,0.035,0.01,0.033,0.077,-0.651,0.4545,0.0887,0.0366,0.0148,0.0022,0.34,0.15,0.37,-0.76,-3.35,0,1,2022-07-24,"3M Open"
"92","Max McGreevy",23394728,6500,44.52,36.21,0.27,62,19.5,51.9,1.2,53.2,-0.05,0.41,-0.053,230,-0.015,193,-0.474,338,-0.358,307,-0.901,314,-7.452,342,0.014,144,-0.958,27,0.018,-0.009,-0.022,0.07,-0.04,0.048,0.026,0.021,0.096,-0.844,0.4184,0.0689,0.0266,0.0108,0.0012,0.18,-0.01,0.35,-0.38,-1.72,0,1,2022-07-24,"3M Open"
"93","Cameron Percy",23394730,6500,51.57,47.21,0.27,70.5,22.5,55.5,1.7,57.2,0.14,1.19,-0.278,378,-0.067,245,-0.143,215,-0.106,222,-0.594,261,-7.348,338,0.013,150,-0.443,48,-0.051,-0.035,-0.043,-0.021,-0.001,0.048,0.024,0.026,0.098,-0.497,0.4854,0.1045,0.0442,0.0185,0.0023,0.35,0.16,0.82,-0.34,-1.45,0,1,2022-07-24,"3M Open"
"94","Roger Sloan",23394731,6500,38.67,44.59,0.2,69,22,54.1,1.5,55.5,0.05,0.93,-0.134,295,-0.054,228,-0.287,269,-0.288,274,-0.763,289,-3.49,279,-0.009,221,-0.802,35,-0.008,0.025,-0.034,0.058,0.074,0.023,-0.019,0.022,0.026,-0.662,0.4545,0.0881,0.0349,0.0143,0.0021,0.32,0.13,0.64,-0.55,-2.41,0,1,2022-07-24,"3M Open"
"95","Curtis Thompson",23394732,6500,41.13,39.42,0.08,65,20.5,47.3,0.8,48.2,-0.22,0.04,-0.093,264,-0.231,379,-0.54,353,-0.103,220,-0.966,319,11.663,40,-0.065,378,-1.11,29,0.01,0.028,0.008,0.098,-0.04,-0.075,-0.127,0.042,-0.16,-1.166,0.3731,0.0476,0.0164,0.0063,7e-04,0.11,-0.08,0.06,-1.77,-8,0,1,2022-07-24,"3M Open"
