"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"203","D'Wayne Eskridge","SEA","wr","9","@HST","5.5","0","0","0","0","0","0","0.7256","4.4371","0.023","2.4112","1.7148","23.1716","0.1433","0.0293","0.0147","0.0061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"204","Juwan Johnson","NO","te","6","@NYJ","3.7","0","0","0","0","0","0","0.055","0.3227","0.0018","2.1672","1.4128","15.7078","0.1162","0.0153","0.0076","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"205","Curtis Samuel","WAS","wr","9","DAL","5.4","0","0","0","0","0","0","0.3518","1.957","0.0213","3.1386","2.0712","22.6643","0.1245","0.0227","0.0114","0.0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"206","Byron Pringle","KC","wr","12","LV","5.4","0","0","0","0","0","0","0.1415","0.7684","0.006","2.8238","1.9253","23.5973","0.1653","0.0579","0.029","0.0058","48.17","0.0276","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"207","Josiah Deguara","GB","te","13","CHI","3.6","0","0","0","0","0","0","0","0","0","1.896","1.3331","14.1149","0.1461","0.0136","0.0068","0.0071","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"208","Devontae Booker","NYG","rb","10","@LAC","2.4","0","0","0","0","0","0","3.947","15.7894","0.0929","0.1706","0.1365","0.9234","0.0035","0.0302","0.0151","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"209","Ian Thomas","CAR","te","13","ATL","3.5","0","0","0","0","0","0","0","0","0","2.2076","1.5449","13.4914","0.1042","0.0188","0.0094","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"210","C.J. Ham","MIN","rb","7","PIT","2.1","0","0","0","0","0","0","0.5355","2.1886","0.014","0.9651","0.7802","7.1281","0.0478","0.0119","0.006","0.0009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"211","Tommy Tremble","CAR","te","13","ATL","3.3","0","0","0","0","0","0","0","0","0","1.9196","1.2882","13.6949","0.0994","0.0131","0.0065","0.0065","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"212","Dede Westbrook","MIN","wr","7","PIT","5","0","0","0","0","0","0","0.0268","0.1418","0.001","2.7345","2.0362","21.4356","0.1347","0.0523","0.0262","0.0109","12.5207","0.0189","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"213","Alec Ingold","LV","rb","8","@KC","2","0","0","0","0","0","0","0.2279","0.8909","0.0052","1.1249","0.8519","7.5947","0.0471","0.0108","0.0054","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"214","Marcedes Lewis","GB","te","13","CHI","3.1","0","0","0","0","0","0","0","0","0","1.58","1.2183","10.1363","0.1474","0.0146","0.0073","0.0059","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"215","Jaret Patterson","WAS","rb","9","DAL","1.7","0","0","0","0","0","0","1.0554","4.8884","0.038","0.6277","0.4878","3.7115","0.0158","0.014","0.007","0.0017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"216","Demetric Felton","CLV","rb","13","BLT","1.6","0","0","0","0","0","0","0.3357","1.5183","0.0106","0.8969","0.7038","5.576","0.025","0.0403","0.0201","0.001","15.3448","0.0196","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"217","Zach Wilson","NYJ","qb","6","NO","12.8","19.2605","31.609","199.8455","0.9727","1.2905","2.6344","2.984","13.6222","0.1783","0","0","0","0","0.5553","0.2777","0.0453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"218","James Washington","PIT","wr","7","@MIN","4.5","0","0","0","0","0","0","0.0654","0.3549","0.0025","2.5168","1.517","21.1531","0.1326","0.0185","0.0093","0.0042","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"219","Brandon Zylstra","CAR","wr","13","ATL","4.5","0","0","0","0","0","0","0.0497","0.2594","0.002","2.5595","1.698","21.1437","0.1082","0.0194","0.0097","0.0046","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
