"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","total_line","opp","spread","home","attempts_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd","touches_game_sd","gameday","weekday"
"11","RB11","Kyren Williams","2024_16_LA_NYJ",0.672,13.4,16.3,75.7,0.6,46.5,"NYJ",-3,0,20,4,0.9,0.74,2.4,0.5,70.8,0.16,-0.038,-0.03,0.56,NA,-0.41,NA,1.91,"2024-12-22","Sunday"
"12","RB12","Chuba Hubbard","2024_16_ARI_CAR",0.499,13.4,16.9,73.6,0.6,47,"ARI",5,1,16.1,4.6,0.6,0.68,3.4,0.5,82.3,0.2,-0.046,0.11,0.44,NA,0.45,NA,1.42,"2024-12-22","Sunday"
"13","RB13","Alvin Kamara","2024_16_NO_GB",0.869,12.1,13.6,53.3,0.3,42.5,"GB",14,0,16.3,4.2,0.4,0.58,6.2,1.75,76.6,0.17,-0.126,0.69,-0.73,NA,-0.29,NA,1.76,"2024-12-23","Monday"
"14","RB14","Kenneth Walker","2024_16_MIN_SEA",0.161,11.9,16.4,62.1,0.5,42.5,"MIN",3,1,14.5,3.7,0.7,0.46,4.4,1.32,91.1,0.38,-0.224,-0.91,-2.16,NA,0.11,NA,1.33,"2024-12-22","Sunday"
"15","RB15","Dandre Swift","2024_16_DET_CHI",0.133,11.6,13.7,55.2,0.3,48,"DET",6.5,1,15.1,3.9,0.4,0.6,2.9,1.14,67,0.17,-0.097,-0.38,-0.3,NA,-0.67,NA,1.22,"2024-12-22","Sunday"
"16","RB16","Rico Dowdle","2024_16_TB_DAL",0.612,11.5,14,55.8,0.3,48,"TB",4,1,13.6,5,0.1,0.52,3.2,0.89,75.6,0.2,-0.123,-0.41,-0.68,NA,0.59,NA,1.01,"2024-12-22","Sunday"
"17","RB17","Tony Pollard","2024_16_TEN_IND",0.331,11.5,13.5,55.2,0.3,42.5,"IND",3.5,0,16.4,4.3,0.4,0.63,3.6,0.86,73.8,0.14,-0.107,-1.02,-0.45,NA,0.59,NA,1.47,"2024-12-22","Sunday"
"18","RB18","Devon Achane","2024_16_SF_MIA",0.118,11.4,14.1,63.7,0.2,44.5,"SF",1,1,11.8,3.9,0.3,0.45,5.4,1.56,78.5,0.17,-0.032,-2.19,0.65,NA,-0.31,NA,1.1,"2024-12-22","Sunday"
"19","RB19","Aaron Jones","2024_16_MIN_SEA",0.213,11.3,13.9,58.5,0.3,42.5,"SEA",-3,0,15.4,4.6,0.4,0.5,3.1,1.28,75.5,0.19,-0.097,-0.5,-0.3,NA,0.06,NA,1.3,"2024-12-22","Sunday"
"20","RB20","Rhamondre Stevenson","2024_16_NE_BUF",0.438,11.2,13.9,56.9,0.3,46.5,"BUF",14,0,14.8,3.8,0.5,0.53,2.9,0.63,70,0.21,-0.131,-0.71,-0.8,NA,-0.09,NA,1.18,"2024-12-22","Sunday"
"21","RB21","Jonathan Taylor","2024_16_TEN_IND",0.326,11.1,12.2,59.6,0.4,42.5,"TEN",-3.5,1,18.9,4.4,0.5,0.55,2.2,0.58,55.1,0.13,-0.088,-0.64,-0.17,NA,-0.41,NA,1.64,"2024-12-22","Sunday"
"22","RB22","Bucky Irving","2024_16_TB_DAL",0.543,11.1,12.7,60.7,0.4,48,"DAL",-4,0,10.9,5.6,0.4,0.39,2.8,1.65,83.8,0.32,0.073,0.84,2.18,NA,1.49,NA,0.62,"2024-12-22","Sunday"
"23","RB23","Breece Hall","2024_16_LA_NYJ",NA,10.9,13,52.7,0.2,46.5,"LA",3,1,13.3,4.2,0.4,0.58,4.8,1.35,61.5,0.17,-0.042,-0.3,0.5,NA,0.13,NA,1.13,"2024-12-22","Sunday"
"24","RB24","Tank Bigsby","2024_16_JAX_LV",0.44,10.9,12.9,67.8,0.2,40.5,"LV",1.5,0,10.9,4.9,0.4,0.4,0.7,0.45,76.5,0.33,-0.09,0.28,-0.2,NA,1.31,NA,0.27,"2024-12-22","Sunday"
"25","RB25","Kareem Hunt","2024_16_HOU_KC",0.624,10.6,12.7,46.9,0.3,42.5,"HOU",-3.5,1,16.4,3.6,0.5,0.46,2.2,0.84,68.8,0.15,-0.152,0.42,-1.1,NA,-0.7,NA,1.33,"2024-12-21","Saturday"
"26","RB26","Tyrone Tracy","2024_16_NYG_ATL",-0.05,10.6,13.2,54.2,0.2,42,"ATL",9,0,10.8,4.6,0.4,0.42,2.9,0.83,73.5,0.22,-0.084,-0.23,-0.11,NA,0.03,NA,0.51,"2024-12-22","Sunday"
"27","RB27","Rachaad White","2024_16_TB_DAL",0.415,10.2,11.8,51.8,0.3,48,"DAL",-4,0,10.4,4.2,0.2,0.35,3.5,1.34,72.5,0.2,0.073,0.84,2.18,NA,0.18,NA,0.63,"2024-12-22","Sunday"
"28","RB28","Brian Robinson","2024_16_PHI_WAS",0.889,10,12.7,50,0.4,45.5,"PHI",3.5,1,14.5,4.4,0.7,0.35,1.6,0.91,75.8,0.18,-0.188,1.53,-1.63,NA,0.35,NA,0.95,"2024-12-22","Sunday"
"29","RB29","Nick Chubb","2024_16_CLE_CIN",-0.081,9.9,11.1,58.4,0.3,46.5,"CIN",8.5,0,12.8,3.3,0.4,0.32,1.1,0.36,62.5,0.2,0.023,-0.65,1.45,NA,-0.38,NA,0.59,"2024-12-22","Sunday"
"30","RB30","Najee Harris","2024_16_PIT_BAL",0.117,9.8,13.1,51,0.3,44.5,"BAL",6.5,0,16.4,3.9,0.4,0.5,2.6,1.44,77.4,0.27,-0.169,-0.67,-1.35,NA,-0.16,NA,1.36,"2024-12-21","Saturday"
"31","RB31","Zach Charbonnet","2024_16_MIN_SEA",-0.146,9.6,8.2,45.7,0.3,42.5,"MIN",3,1,7.5,4.3,0.6,0.33,3,1.15,76.5,0.25,-0.224,-0.91,-2.16,NA,0.79,NA,0.08,"2024-12-22","Sunday"
"32","RB32","Isiah Pacheco","2024_16_HOU_KC",0.514,9.2,10.4,50.2,0.3,42.5,"HOU",-3.5,1,13.6,3.9,0.2,0.17,2.8,1.1,68.4,0.11,-0.152,0.42,-1.1,NA,-0.66,NA,0.95,"2024-12-21","Saturday"
"33","RB33","Travis Etienne","2024_16_JAX_LV",0.281,9.2,10.8,40.4,0.2,40.5,"LV",1.5,0,9.4,4,0.2,0.35,3.5,0.87,66.1,0.14,-0.09,0.28,-0.2,NA,-0.67,NA,0.4,"2024-12-22","Sunday"
"34","RB34","Sincere Mccormick","2024_16_JAX_LV",-0.609,9,11.3,49.4,0.3,40.5,"JAX",-1.5,1,9.8,4.7,0,0.13,1.5,1.16,72.7,0.18,-0.049,-2.81,0.4,NA,0.27,NA,0.25,"2024-12-22","Sunday"
"35","RB35","Ray Davis","2024_16_NE_BUF",0.083,8.9,8.4,37.3,0.3,46.5,"NE",-14,1,6.2,4.1,0.2,0.22,1,2.32,73.8,0.26,-0.05,1.72,0.38,NA,-0.12,NA,-0.37,"2024-12-22","Sunday"
"36","RB36","Tyler Allgeier","2024_16_NYG_ATL",0.124,8.4,9.3,41.2,0.3,42,"NYG",-9,1,8.1,4.8,0.2,0.29,0.7,0.77,86.6,0.28,-0.04,0.26,0.53,NA,0.97,NA,-0.1,"2024-12-22","Sunday"
"37","RB37","Jerome Ford","2024_16_CLE_CIN",-0.212,8.3,8.7,36.4,0.2,46.5,"CIN",8.5,0,7.2,5.2,0.2,0.27,3.1,0.69,79.2,0.3,0.023,-0.65,1.45,NA,-0.07,NA,0.05,"2024-12-22","Sunday"
"38","RB38","Javonte Williams","2024_16_DEN_LAC",-0.096,8.1,7.8,32,0.1,41.5,"LAC",3,0,8.9,3.6,0.3,0.34,3.9,1.15,59.5,0.16,-0.107,-0.32,-0.45,NA,-0.77,NA,0.37,"2024-12-19","Thursday"
"39","RB39","Emanuel Wilson","2024_16_NO_GB",0.044,7.9,8,40.2,0.3,42.5,"NO",-14,1,5.1,4.8,0.1,0.17,0.7,0.61,83.9,0.31,0.01,0.24,1.26,NA,0.32,NA,-0.57,"2024-12-23","Monday"
"40","RB40","Emari Demercado","2024_16_ARI_CAR",0.153,7.9,5.7,26.2,0.3,47,"CAR",-5,0,1.8,9.3,0.1,0.06,1.5,1.11,79,0.28,0.068,0.42,2.11,NA,4.81,NA,-0.98,"2024-12-22","Sunday"
"41","RB41","Justice Hill","2024_16_PIT_BAL",-0.049,7.7,5.1,20.9,0.2,44.5,"PIT",-6.5,1,3.2,4.4,0.1,0.1,3.2,1.67,73.8,0.26,-0.105,1.35,-0.42,NA,1,NA,-0.51,"2024-12-21","Saturday"
"42","RB42","Sean Tucker","2024_16_TB_DAL",0.011,7.7,6.9,29,0.3,48,"DAL",-4,0,4,6.3,0.2,0.1,1,2.74,74.9,0.15,0.073,0.84,2.18,NA,0.19,NA,-0.72,"2024-12-22","Sunday"
"43","RB43","Trey Benson","2024_16_ARI_CAR",-0.187,7.5,6.4,28.8,0.2,47,"CAR",-5,0,4.8,4.6,0.1,0.16,0.5,1.26,59.4,0.28,0.068,0.42,2.11,NA,0.42,NA,-0.65,"2024-12-22","Sunday"
"44","RB44","Braelon Allen","2024_16_LA_NYJ",NA,7.2,7.3,31.5,0.2,46.5,"LA",3,1,5.7,3.6,0.1,0.27,1.6,1.21,83,0.14,-0.042,-0.3,0.5,NA,-0.14,NA,-0.4,"2024-12-22","Sunday"
"45","RB45","Kenneth Gainwell","2024_16_PHI_WAS",0.282,7.1,5.8,23.2,0.2,45.5,"WAS",-3.5,0,4.1,4.6,0.1,0.11,1.1,0.99,59.2,0.22,-0.04,1.82,0.53,NA,-0.14,NA,-0.71,"2024-12-22","Sunday"
"46","RB46","Jaylen Warren","2024_16_PIT_BAL",-0.241,6.9,6.3,29,0.2,44.5,"BAL",6.5,0,7.6,4.1,0.1,0.2,2.7,1.41,63.7,0.21,-0.169,-0.67,-1.35,NA,0.19,NA,0.05,"2024-12-21","Saturday"
"47","RB47","Ameer Abdullah","2024_16_JAX_LV",-0.983,6.8,4.2,20.7,0.1,40.5,"JAX",-1.5,1,3.2,4.1,0.1,0.13,3,0.82,50.7,0.14,-0.049,-2.81,0.4,NA,-1.07,NA,-0.55,"2024-12-22","Sunday"
"48","RB48","Ty Johnson","2024_16_NE_BUF",-0.11,6.6,5.3,22.6,0.3,46.5,"NE",-14,1,2.1,5.3,0.1,0.07,1.5,1.85,80.4,0.07,-0.05,1.72,0.38,NA,-0.25,NA,-0.97,"2024-12-22","Sunday"
"49","RB49","Samaje Perine","2024_16_HOU_KC",-0.079,6.6,4.7,21.5,0.2,42.5,"HOU",-3.5,1,1.2,4.8,0.1,0.04,1.9,1.37,69.2,0.23,-0.152,0.42,-1.1,NA,-0.65,NA,-1.03,"2024-12-21","Saturday"
"50","RB50","Blake Corum","2024_16_LA_NYJ",-0.127,6.6,6.1,29.2,0.2,46.5,"NYJ",-3,0,4.4,3.9,0,0.13,0.6,1.84,69,0.17,-0.038,-0.03,0.56,NA,-0.54,NA,-0.71,"2024-12-22","Sunday"
"51","RB51","Jaylen Wright","2024_16_SF_MIA",-0.341,6.6,7.3,35.4,0.2,44.5,"SF",1,1,4.8,4.1,0,0.17,0.5,0.11,77.3,0.23,-0.032,-2.19,0.65,NA,0.47,NA,-0.69,"2024-12-22","Sunday"
"52","RB52","Raheem Mostert","2024_16_SF_MIA",-0.243,6.6,6,25.4,0.1,44.5,"SF",1,1,7.1,3.4,0.2,0.19,1.7,0.99,70.5,0.21,-0.032,-2.19,0.65,NA,-0.2,NA,-0.14,"2024-12-22","Sunday"
"53","RB53","Antonio Gibson","2024_16_NE_BUF",0.13,6.5,8.5,32.9,0.2,46.5,"BUF",14,0,6.1,4.7,0.1,0.24,1.4,1.6,75.9,0.35,-0.131,-0.71,-0.8,NA,1.36,NA,-0.33,"2024-12-22","Sunday"
"54","RB54","Jaleel Mclaughlin","2024_16_DEN_LAC",-0.27,6.4,8.3,33.9,0.1,41.5,"LAC",3,0,6.2,4.5,0.1,0.22,1.5,0.48,71.2,0.26,-0.107,-0.32,-0.45,NA,-0.5,NA,-0.3,"2024-12-19","Thursday"
"55","RB55","Donta Foreman","2024_16_CLE_CIN",-0.492,6.3,5.8,27.2,0.1,46.5,"CIN",8.5,0,5.8,3.4,0,0.14,0.6,1.35,62,0.12,0.023,-0.65,1.45,NA,-1.28,NA,-0.48,"2024-12-22","Sunday"
"56","RB56","Roschon Johnson","2024_16_DET_CHI",-0.435,6.1,6.4,22.6,0.2,48,"DET",6.5,1,4.8,2.9,0.6,0.14,1.2,0.81,76.9,0.15,-0.097,-0.38,-0.3,NA,-1.04,NA,-0.55,"2024-12-22","Sunday"
"57","RB57","Cordarrelle Patterson","2024_16_PIT_BAL",-0.458,6,4.5,20,0.1,44.5,"BAL",6.5,0,3,4.4,0,0.07,1.3,1.51,65.1,0.27,-0.169,-0.67,-1.35,NA,0.66,NA,-0.83,"2024-12-21","Saturday"
"58","RB58","Isaac Guerendo","2024_16_SF_MIA",-0.143,6,7.9,27.7,0.2,44.5,"MIA",-1,0,5.6,5.2,0.3,0.19,0.9,1,66.5,0.14,-0.119,0.2,-0.62,NA,-0.03,NA,-0.46,"2024-12-22","Sunday"
"59","RB59","Devin Singletary","2024_16_NYG_ATL",-0.223,5.9,6.1,23.9,0.1,42,"ATL",9,0,8.1,3.9,0.3,0.27,1.8,0.83,62.5,0.24,-0.084,-0.23,-0.11,NA,-0.23,NA,0.02,"2024-12-22","Sunday"
"60","RB60","Chris Rodriguez","2024_16_PHI_WAS",0.591,5.8,6.5,26.3,0.2,45.5,"PHI",3.5,1,6.8,5.6,0.2,0.06,0,0,87,0.33,-0.188,1.53,-1.63,NA,1.48,NA,-0.42,"2024-12-22","Sunday"
"61","RB61","Audric Estime","2024_16_DEN_LAC",-0.278,5.7,6.6,28.5,0.1,41.5,"LAC",3,0,4.9,4.5,0.1,0.14,0.4,0.48,63,0.17,-0.107,-0.32,-0.45,NA,0.47,NA,-0.65,"2024-12-19","Thursday"
"62","RB62","Jamaal Williams","2024_16_NO_GB",0.064,5.7,5.2,25.9,0.1,42.5,"GB",14,0,3.2,3.7,0.1,0.09,0.6,0.76,68.1,0.12,-0.126,0.69,-0.73,NA,-0.45,NA,-0.87,"2024-12-23","Monday"
"63","RB63","Dare Ogunbowale","2024_16_HOU_KC",-0.711,5.7,4,20.3,0.1,42.5,"KC",3.5,0,1.9,4,0,0.08,1.6,1.03,66.4,0.26,-0.148,-0.85,-1.05,NA,-0.66,NA,-1,"2024-12-21","Saturday"
"64","RB64","Tyler Goodson","2024_16_TEN_IND",-0.477,5.5,4.8,21.9,0.1,42.5,"TEN",-3.5,1,2.3,4.7,0.1,0.07,1.1,0.82,67.9,0.16,-0.088,-0.64,-0.17,NA,-0.61,NA,-0.97,"2024-12-22","Sunday"
"65","RB65","Jeff Wilson","2024_16_SF_MIA",-0.525,5.5,4.4,21,0.2,44.5,"SF",1,1,1.5,4.9,0,0.02,0.5,0.76,60.7,0.17,-0.032,-2.19,0.65,NA,0.01,NA,-1.15,"2024-12-22","Sunday"
"66","RB66","Cam Akers","2024_16_MIN_SEA",-0.252,5.4,6.9,25.4,0.1,42.5,"SEA",-3,0,7.6,3.9,0.2,0.21,0.9,0.5,74.7,0.21,-0.097,-0.5,-0.3,NA,-0.18,NA,-0.17,"2024-12-22","Sunday"
"67","RB67","Isaiah Davis","2024_16_LA_NYJ",NA,5.3,5.1,19.7,0.1,46.5,"LA",3,1,3.3,4.3,0.2,0.07,1.8,1.56,62.9,0.07,-0.042,-0.3,0.5,NA,-0.12,NA,-0.74,"2024-12-22","Sunday"
"68","RB68","Gus Edwards","2024_16_DEN_LAC",-0.002,5.3,8.1,31.6,0.1,41.5,"DEN",-3,1,8.8,3.3,0.4,0.25,0.4,0.09,63.2,0.11,-0.163,-0.22,-1.27,NA,-0.68,NA,-0.07,"2024-12-19","Thursday"
"69","RB69","Pierre Strong","2024_16_CLE_CIN",-0.574,5.3,4.1,19.7,0.1,46.5,"CIN",8.5,0,1.9,3.6,0,0.06,1.3,0.79,65.6,0.07,0.023,-0.65,1.45,NA,-0.45,NA,-1.03,"2024-12-22","Sunday"
"70","RB70","Travis Homer","2024_16_DET_CHI",-0.655,5.2,5.1,23.5,0.2,48,"DET",6.5,1,1,3.8,0,0.02,0.5,0.25,62.6,0,-0.097,-0.38,-0.3,NA,-1.23,NA,-1.22,"2024-12-22","Sunday"
"71","RB71","Khalil Herbert","2024_16_CLE_CIN",-0.61,5.2,4,18,0.2,46.5,"CLE",-8.5,1,1.2,3.2,0.1,0.04,0.3,0.52,55.7,0.13,-0.082,-0.07,-0.08,NA,-1.54,NA,-1.22,"2024-12-22","Sunday"
"72","RB72","Craig Reynolds","2024_16_DET_CHI",-0.524,5.2,5.1,27.4,0.3,48,"CHI",-6.5,0,1.2,4.3,0,0.03,0,0,56.3,0.08,-0.037,0.99,0.57,NA,-0.61,NA,-1.27,"2024-12-22","Sunday"
"73","RB73","Kenny Mcintosh","2024_16_MIN_SEA",-0.486,5.2,5.2,21.1,0.1,42.5,"MIN",3,1,2.8,4.5,0,0.04,0.4,0.44,76.8,0.19,-0.224,-0.91,-2.16,NA,0.54,NA,-0.97,"2024-12-22","Sunday"
"74","RB74","Dernest Johnson","2024_16_JAX_LV",-0.078,5.2,5.1,21.6,0.1,40.5,"LV",1.5,0,3,3.9,0,0.09,1.2,0.82,70.9,0.16,-0.09,0.28,-0.2,NA,-0.45,NA,-0.87,"2024-12-22","Sunday"
"75","RB75","Julius Chestnut","2024_16_TEN_IND",-0.525,5.1,4.3,16.2,0.1,42.5,"IND",3.5,0,2.1,4.4,0,0.05,0.2,0.73,69.3,0.21,-0.107,-1.02,-0.45,NA,-0.29,NA,-1.09,"2024-12-22","Sunday"
"76","RB76","Ronnie Rivers","2024_16_LA_NYJ",-0.181,5.1,5.6,22.5,0.2,46.5,"NYJ",-3,0,2.5,5.1,0,0.03,0.2,0,76.8,0.09,-0.038,-0.03,0.56,NA,-0.12,NA,-1.03,"2024-12-22","Sunday"
"77","RB77","Jeremy Mcnichols","2024_16_PHI_WAS",0.405,5.1,6.5,22.4,0.1,45.5,"PHI",3.5,1,4,4.9,0.3,0.12,0.2,0.07,84.7,0.22,-0.188,1.53,-1.63,NA,0.79,NA,-0.81,"2024-12-22","Sunday"
"78","RB78","Dameon Pierce","2024_16_HOU_KC",-0.21,5.1,5.3,25.3,0.2,42.5,"KC",3.5,0,2.1,6.7,0.1,0.05,0.3,0.07,77.7,0.47,-0.148,-0.85,-1.05,NA,4.62,NA,-1.09,"2024-12-21","Saturday"
"79","RB79","Kimani Vidal","2024_16_DEN_LAC",-0.133,4.9,5,21.7,0.1,41.5,"DEN",-3,1,4.8,3.4,0,0.1,0.9,0.81,58.6,0.16,-0.163,-0.22,-1.27,NA,-0.31,NA,-0.63,"2024-12-19","Thursday"
"80","RB80","Jamycal Hasty","2024_16_NE_BUF",-0.24,4.8,5,19,0.1,46.5,"BUF",14,0,1.7,3.5,0,0.05,0.9,0.86,72.3,0.37,-0.131,-0.71,-0.8,NA,-0.12,NA,-1.07,"2024-12-22","Sunday"
"81","RB81","Ty Chandler","2024_16_MIN_SEA",-0.526,4.6,4.7,22.4,0.1,42.5,"SEA",-3,0,4.6,3.4,0,0.12,0.5,0.71,55.3,0.05,-0.097,-0.5,-0.3,NA,-1.45,NA,-0.66,"2024-12-22","Sunday"
"82","RB82","Trey Sermon","2024_16_TEN_IND",-0.418,4.3,4.1,19.3,0.1,42.5,"TEN",-3.5,1,3.4,2.8,0.1,0.13,1,0.83,55.4,0.11,-0.088,-0.64,-0.17,NA,-0.59,NA,-0.78,"2024-12-22","Sunday"
"83","RB83","Eric Gray","2024_16_NYG_ATL",-0.724,4.3,3.6,15.3,0.1,42,"ATL",9,0,1.2,1.9,0,0.04,0.8,1.49,38.8,0.14,-0.084,-0.23,-0.11,NA,-1.7,NA,-1.16,"2024-12-22","Sunday"
"84","RB84","Ezekiel Elliott","2024_16_TB_DAL",0.054,4.2,4.6,15,0.1,48,"TB",4,1,5.4,3.2,0.2,0.2,1.2,0.57,58.8,0.07,-0.123,-0.41,-0.68,NA,-0.49,NA,-0.49,"2024-12-22","Sunday"
"85","RB85","Jordan Mims","2024_16_NO_GB",-0.08,4.1,3.8,16.5,0.1,42.5,"GB",14,0,2,3,0,0.04,0.7,2.1,60.9,0.11,-0.126,0.69,-0.73,NA,-1.32,NA,-1.06,"2024-12-23","Monday"
"86","RB86","Will Shipley","2024_16_PHI_WAS",0.095,3.7,4.5,23,0.2,45.5,"WAS",-3.5,0,2.9,2.5,0,0.04,0,0,55.4,0.15,-0.04,1.82,0.53,NA,-1.11,NA,-1.01,"2024-12-22","Sunday"
"87","RB87","Hassan Haskins","2024_16_DEN_LAC",-0.453,3.6,4.1,19.5,0.1,41.5,"DEN",-3,1,1.2,1.9,0.1,0.04,0.1,0.15,53.6,0.07,-0.163,-0.22,-1.27,NA,-1.59,NA,-1.27,"2024-12-19","Thursday"
"88","RB88","Deuce Vaughn","2024_16_TB_DAL",-0.16,3.5,3.5,15,0.1,48,"TB",4,1,2.2,3,0,0.03,0.8,1,55,0.5,-0.123,-0.41,-0.68,NA,-1.01,NA,-1.03,"2024-12-22","Sunday"
"89","RB89","Avery Williams","2024_16_NYG_ATL",NA,NA,NA,NA,NA,42,"NYG",-9,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.04,0.26,0.53,NA,NA,NA,NA,"2024-12-22","Sunday"
"90","RB90","Trayveon Williams","2024_16_CLE_CIN",NA,NA,NA,NA,NA,46.5,"CLE",-8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.082,-0.07,-0.08,NA,NA,NA,NA,"2024-12-22","Sunday"
"91","RB91","Keaton Mitchell","2024_16_PIT_BAL",NA,NA,NA,NA,NA,44.5,"PIT",-6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.105,1.35,-0.42,NA,NA,NA,NA,"2024-12-21","Saturday"
"92","RB92","Christopher Brooks","2024_16_NO_GB",NA,NA,NA,NA,NA,42.5,"NO",-14,1,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.24,1.26,NA,NA,NA,NA,"2024-12-23","Monday"
"93","RB93","Joshua Kelley","2024_16_TEN_IND",NA,NA,NA,NA,NA,42.5,"IND",3.5,0,NA,NA,NA,NA,NA,NA,NA,NA,-0.107,-1.02,-0.45,NA,NA,NA,NA,"2024-12-22","Sunday"
"94","RB94","Dylan Laube","2024_16_JAX_LV",-0.976,NA,NA,NA,NA,40.5,"JAX",-1.5,1,1,0,0,0,0,NA,39.9,0,-0.049,-2.81,0.4,NA,1.25,NA,-1.3,"2024-12-22","Sunday"
"95","RB95","Raheem Blackshear","2024_16_ARI_CAR",NA,NA,NA,NA,NA,47,"ARI",5,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.046,0.11,0.44,NA,NA,NA,NA,"2024-12-22","Sunday"
