"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate"
"35","WR35","Ray-Ray Mccloud",10.95,4.24,49.02,0.22,"2024_17_ATL_WAS",46.5,"WAS",3.5,0,"2024-12-29","Sunday","20:20",47895,"WR","ATL",15,6.4,9,78.1,38.5,5,13,0,3.4,2,26,2,3,82.4,21.5,62,80.1,62.2,0,0,2,60,2.5,13,530,3,90.8
"36","WR36","Calvin Ridley",10.78,4.15,42.44,0.27,"2024_17_TEN_JAX",38,"JAX",-1,0,"2024-12-29","Sunday","13:00",48262,"WR","TEN",15,16,5,54.9,47.8,11,23,1,11.1,7,33,31,0,49.6,44.5,69.8,NA,70.9,0,0,4,63,0,0,523,2,93.7
"37","WR37","Tank Dell",10.72,3.78,48.07,0.24,"2024_17_BAL_HOU",46.5,"BAL",5.5,1,"2024-12-25","Wednesday","16:30",78874,"WR","HST",14,13.3,4,63,50,9,18,0,8.9,5,35,13,0,59.8,82.9,73.1,NA,73.6,0,0,3,50,0,0,468,2,95.5
"38","WR38","Rome Odunze",10.67,3.25,43.79,0.39,"2024_17_SEA_CHI",43.5,"SEA",3.5,1,"2024-12-26","Thursday","20:15",73774,"WR","CHI",15,14.1,4,56.7,72.2,13,18,0,7.3,4,35,6,2,66.1,25.2,63.9,76.6,65.3,0,0,1,47,0.5,3,604,1,91.9
"39","WR39","Kavontae Turpin",10.63,3.51,49.67,0.26,"2024_17_DAL_PHI",37.5,"PHI",7.5,0,"2024-12-29","Sunday","13:00",47658,"WR","DAL",15,9.2,4,69.2,16.7,1,6,0,10,3,15,9,1,55.9,28.4,70.8,NA,71,0,0,2,64,0,0,171,0,94.7
"40","WR40","Marquise Brown",10.6,3.45,45.17,0.38,"2024_17_KC_PIT",43.5,"PIT",-3,0,"2024-12-25","Wednesday","13:00",61568,"WR","KC",1,7,0,62.5,NA,0,0,0,0,0,2,16,0,73.4,68,71.8,NA,70.1,0,0,0,20,0,0,16,0,93.8
"41","WR41","Michael Pittman",10.42,4.16,50.32,0.13,"2024_17_IND_NYG",40.5,"NYG",-7.5,0,"2024-12-29","Sunday","13:00",29049,"WR","IND",14,11,4,62.1,47.6,10,21,0,5.3,3,26,14,1,73.4,38.8,69.7,67,70.3,0.2,1,4,33,0.5,2,426,4,94.1
"42","WR42","Jaylen Waddle",10.4,3.91,48.19,0.27,"2024_17_MIA_CLE",32.5,"CLE",-3,0,"2024-12-29","Sunday","16:05",84088,"WR","MIA",14,9.5,2,73,50,2,4,0,8.5,5,36,17,0,61.2,80.2,73.5,NA,73.1,0.2,1,1,63,0,0,466,0,94.4
"43","WR43","Kendrick Bourne",10.34,3.21,47.79,0.16,"2024_17_LAC_NE",42,"LAC",6,1,"2024-12-28","Saturday","13:00",12270,"WR","NE",10,9.6,3,75,60,6,10,0,4,1,11,19,0,75.5,76.4,62.8,70.2,64,0.4,1,0,37,0.4,1,272,1,91.2
"44","WR44","Wandale Robinson",10.26,4.12,47.27,0.24,"2024_17_IND_NYG",40.5,"IND",7.5,1,"2024-12-29","Sunday","13:00",101735,"WR","NYG",15,5.3,14,67.8,55.6,15,27,1,6,5,30,21,0,67.9,82.2,59.8,67.8,61.3,0,0,2,25,0.2,1,575,4,92.7
"45","WR45","Kevin Austin",10,2.91,43.96,0.46,"2024_17_LV_NO",37.5,"LV",2,1,"2024-12-29","Sunday","13:00",84345,"WR","NO",6,12.2,0,50,66.7,2,3,0,10,1,8,20,1,56.7,19.9,58.4,76.9,58.4,0,0,1,22,3.3,5,150,1,92
"46","WR46","Tyreek Hill",9.99,3.19,38.39,0.36,"2024_17_MIA_CLE",32.5,"CLE",-3,0,"2024-12-29","Sunday","16:05",10799,"WR","MIA",15,12.1,10,64.2,40,10,25,1,4.1,3,47,17,0,81.5,82.6,72.1,NA,75.4,0,0,3,80,0,0,526,6,93.5
"47","WR47","Marquez Valdes-Scantling",9.95,3.16,45.34,0.31,"2024_17_LV_NO",37.5,"LV",2,1,"2024-12-29","Sunday","13:00",47809,"WR","NO",12,20.2,0,51.6,16.7,1,6,0,15.8,3,12,20,0,40.1,73.8,64.1,NA,63.3,0,0,1,71,0,0,235,0,92.3
"48","WR48","Darius Slayton",9.86,3.42,43.96,0.24,"2024_17_IND_NYG",40.5,"IND",7.5,1,"2024-12-29","Sunday","13:00",25578,"WR","NYG",14,13.8,6,57.6,63.2,12,19,0,15.6,7,29,21,0,29.8,79.2,59.7,70.3,60.4,0,0,2,43,0.4,2,528,4,92.2
"49","WR49","Parker Washington",9.73,3.27,44.3,0.34,"2024_17_TEN_JAX",38,"TEN",1,1,"2024-12-29","Sunday","13:00",129799,"WR","JAX",15,11.8,7,61.4,42.9,3,7,1,10,3,16,15,0,55.9,37.1,60.5,NA,61.6,0,0,1,30,0,0,343,1,93.9
"50","WR50","Jalen Tolbert",9.7,3.14,42.45,0.28,"2024_17_DAL_PHI",37.5,"PHI",7.5,0,"2024-12-29","Sunday","13:00",61637,"WR","DAL",15,13.2,2,65.6,55.6,10,18,0,8.7,4,24,9,0,60.5,78.8,58.9,NA,60.4,0,0,2,48,0,0,548,3,92.7
"51","WR51","Nick Westbrook-Ikhine",9.67,2.52,42.22,0.33,"2024_17_TEN_JAX",38,"JAX",-1,0,"2024-12-29","Sunday","13:00",47861,"WR","TEN",15,13.1,3,56.8,66.7,8,12,0,10.7,3,21,31,0,54.2,75.7,62.9,73.9,62.7,0,0,3,98,0.5,2,395,2,93.2
"52","WR52","Deandre Hopkins",9.61,3.53,38.29,0.27,"2024_17_KC_PIT",43.5,"PIT",-3,0,"2024-12-25","Wednesday","13:00",7808,"WR","KC",15,12,3,73,55,11,20,1,3.6,2,35,16,0,73.4,79.7,80.4,NA,79.6,0,0,2,35,0,0,370,1,91.4
"53","WR53","Elijah Moore",9.55,3.99,43.12,0.24,"2024_17_MIA_CLE",32.5,"MIA",3,1,"2024-12-29","Sunday","16:05",84302,"WR","CLV",15,9.6,4,64,44.4,8,18,0,6.6,4,23,8,0,68.8,80.7,59.4,65.8,59.5,0,0,8,44,0.2,1,558,2,94.4
"54","WR54","Rashod Bateman",9.49,3.17,41.54,0.35,"2024_17_BAL_HOU",46.5,"HOU",-5.5,0,"2024-12-25","Wednesday","16:30",84296,"WR","BLT",15,15.8,6,66.1,25,1,4,2,9.3,4,30,3,0,56.9,77.9,68.5,NA,69.9,0,0,2,59,0,0,431,3,93.7
