"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","def_pass_epa_rank","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","targets_game","rec_game","rec_yards_game","rec_td_game","man_yprr","zone_yprr","man_adv","avg_rank.x","def_rush_epa","def_rush_epa_rank","def_rush_epa_sd","def_pass_epa","def_pass_epa_sd","avg_rank.y","off_rush_epa","off_rush_epa_rank","off_rush_epa_sd","off_pass_epa","off_pass_epa_rank","off_pass_epa_sd","man_snaps","zone_snaps","def_man_grade","def_zone_grade","man_percentage","man_rank","def_man_grade_rank","zone_percentage","zone_rank","def_zone_grade_rank","def","rdef","tack","prsh","cov","def_rank","def_sd","rdef_rank","rdef_sd","tack_rank","tack_sd","prsh_rank","prsh_sd","cov_rank","cov_sd","z_score","roof","dome"
"11","WR11","Cooper Kupp",11.14,4.07,52.95,0.17,"2024_20_LA_PHI",44.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",11824,"WR","LA",13,8.3,7,69.4,47.1,8,17,0,2.9,2,29,26,1,85.7,48.3,71.5,67.4,72.4,0,0,0,69,0.5,2,405,0,93.1,377,65.9,267,111.7,98,6,34.1,138,739,266,3.9,10.9,1.96,7.5,5.23,56.85,0.46,1.9,2.17,-0.27,2,-0.182,2,-1.52,-0.029,-1.37,14,-0.076,16,-0.05,0.109,12,0.34,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,1.71,"outdoors",0
"12","WR12","Marquise Brown",11.09,3.72,49,0.27,"2024_20_HOU_KC",41.5,"HOU",3,-8.5,1,"2025-01-18","Saturday","16:30",61568,"WR","KC",2,8.1,0,60,100,1,1,0,0,0,5,16,0,77.3,70.6,76.5,NA,75,0,0,0,20,0,0,35,0,97.1,34,45.7,16,77.4,15,0,54.3,19,91,46,5.1,10.1,2.68,7.5,4.5,45.5,0,2.33,3.11,-0.78,4,-0.155,5,-1.14,-0.027,-1.34,11,-0.058,12,0.17,0.139,10,0.58,1186,2899,57.8,66.2,0.29,18,26,0.71,15,7,66.2,65.2,55.5,68.2,63.5,8,0.66,13,0.38,18,-0.31,5,0.79,10,0.43,1.92,"outdoors",0
"13","WR13","Tim Patrick",10.53,2.9,41.83,0.53,"2024_20_WAS_DET",55.5,"WAS",24,-9.5,1,"2025-01-18","Saturday","20:00",12087,"WR","DET",16,11.3,4,73.3,33.3,1,3,0,0,0,20,11,0,89,77.1,66.9,67.3,66,0,0,3,42,0.6,2,352,0,97.2,342,23.3,82,94.1,45,3,76.7,270,394,141,4.3,11.9,1.15,2.8,2.06,24.62,0.19,0.8,1.28,-0.48,24,-0.033,24,0.54,0.106,0.55,4,0.019,5,1.12,0.269,3,1.64,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,1.09,"dome",1
"14","WR14","Rashod Bateman",10.2,3.2,44.42,0.34,"2024_20_BAL_BUF",51.5,"BUF",20,-1.5,0,"2025-01-19","Sunday","18:30",84296,"WR","BLT",18,15.2,9,68.1,33.3,2,6,2,7.8,4,37,3,0,62.5,78.9,70.9,NA,72.2,0,0,2,59,0,0,496,3,94.4,468,9.3,46,133.5,69,10,90.7,450,780,189,4,16.6,1.67,3.8,2.61,43.33,0.56,1.36,1.86,-0.5,12,-0.163,4,-1.25,0.088,0.3,1,0.073,1,1.79,0.329,1,2.13,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,1.83,"outdoors",0
"15","WR15","Demarcus Robinson",10.01,2.92,41.06,0.38,"2024_20_LA_PHI",44.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",10760,"WR","LA",18,16.7,1,51.6,53.8,7,13,1,3,1,28,26,0,79.4,77.1,64.6,NA,66.1,0,0,4,46,0,0,570,1,94.4,538,37.5,214,91.3,62,7,62.5,356,528,80,2.5,16.5,0.98,3.4,1.78,29.33,0.39,0.99,1.12,-0.13,2,-0.182,2,-1.52,-0.029,-1.37,14,-0.076,16,-0.05,0.109,12,0.34,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,1.71,"outdoors",0
"16","WR16","Keon Coleman",9.78,3.37,44.22,0.49,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",144949,"WR","BUF",14,15.4,5,50.8,36.8,7,19,2,14.3,5,21,4,0,45.4,77.3,68.6,NA,69.2,0,0,2,64,0,0,370,5,92.4,342,11.4,42,92.5,59,4,88.4,327,561,223,7.4,18.7,1.64,4.2,2.14,40.07,0.29,1.88,1.79,0.0899999999999999,8.5,-0.174,3,-1.41,0.059,-0.12,2.5,0.036,3,1.33,0.312,2,1.99,1825,2860,65.6,60.6,0.39,5,4,0.61,28,20,67.2,68.2,60.8,65.7,65.1,4,0.97,1,1.32,6,1.05,12,0.16,7,0.81,2.11,"outdoors",0
"17","WR17","Amari Cooper",9.51,3.14,36.22,0.51,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",9437,"WR","BUF",15,12.7,4,54.1,64.7,11,17,0,14.8,8,24,4,0,35.7,79,67.7,NA,68.3,0,0,2,30,0,0,419,5,92.6,388,20.3,85,80.3,85,4,79.7,334,555,125,2.7,12.1,1.43,5.7,3.07,37,0.27,1.53,1.36,0.17,8.5,-0.174,3,-1.41,0.059,-0.12,2.5,0.036,3,1.33,0.312,2,1.99,1825,2860,65.6,60.6,0.39,5,4,0.61,28,20,67.2,68.2,60.8,65.7,65.1,4,0.97,1,1.32,6,1.05,12,0.16,7,0.81,2.11,"outdoors",0
"18","WR18","Kj Osborn",9.51,2.3,45.38,0.27,"2024_20_WAS_DET",55.5,"DET",7,9.5,0,"2025-01-18","Saturday","20:00",23503,"WR","WAS",8,6.8,0,41.2,40,2,5,0,0,0,2,32,0,75.6,69.5,52.2,NA,51.9,0,0,0,22,0,0,143,3,93,133,32.9,47,70,17,1,67.1,96,57,15,2.1,8.1,0.43,2.1,0.88,7.12,0.12,0.16,0.55,-0.39,9.5,-0.11,12,-0.52,-0.016,-1.18,4,0.02,4,1.13,0.219,4,1.23,2266,2390,63.7,64.4,0.487,1,6,0.513,32,8,67.2,67,62.2,65.7,66.5,4,0.97,6,0.94,3,1.41,12,0.16,4,1.15,2.41,"dome",1
"19","WR19","Curtis Samuel",9.45,2.95,43.31,0.43,"2024_20_BAL_BUF",51.5,"BAL",14,1.5,1,"2025-01-19","Sunday","18:30",11795,"WR","BUF",15,4.6,4,72.3,42.9,3,7,0,2.9,1,11,4,0,80.1,78,65.5,NA,65.7,0,0,1,55,0,0,254,1,95.7,243,48,122,96.1,47,2,48,122,321,210,6.2,9.4,1.32,3.1,2.27,21.4,0.13,2.01,1.11,0.9,8.5,-0.174,3,-1.41,0.059,-0.12,2.5,0.036,3,1.33,0.312,2,1.99,1825,2860,65.6,60.6,0.39,5,4,0.61,28,20,67.2,68.2,60.8,65.7,65.1,4,0.97,1,1.32,6,1.05,12,0.16,7,0.81,2.11,"outdoors",0
"20","WR20","Luke Mccaffrey",9.44,2.4,45.39,0.28,"2024_20_WAS_DET",55.5,"DET",7,9.5,0,"2025-01-18","Saturday","20:00",101634,"WR","WAS",18,8.8,2,69.2,40,2,5,0,5.3,1,8,32,0,68.7,79.2,54.4,65.8,54.5,0,0,3,30,0.4,1,274,0,94.5,259,74.8,205,47.1,26,0,25.2,69,168,96,5.3,9.3,0.65,1.4,1,9.33,0,0.59,0.74,-0.15,9.5,-0.11,12,-0.52,-0.016,-1.18,4,0.02,4,1.13,0.219,4,1.23,2266,2390,63.7,64.4,0.487,1,6,0.513,32,8,67.2,67,62.2,65.7,66.5,4,0.97,6,0.94,3,1.41,12,0.16,4,1.15,2.41,"dome",1
"21","WR21","Deandre Hopkins",9.02,3.26,38.66,0.26,"2024_20_HOU_KC",41.5,"HOU",3,-8.5,1,"2025-01-18","Saturday","16:30",7808,"WR","KC",16,11.7,3,71.8,52.2,12,23,1,3.4,2,35,16,0,74.4,79.9,78.6,NA,77.9,0,0,2,35,0,0,393,1,90.8,357,26.2,103,105.2,78,5,73.8,290,610,110,2,10.9,1.71,4.9,3.5,38.12,0.31,1.72,1.65,0.0700000000000001,4,-0.155,5,-1.14,-0.027,-1.34,11,-0.058,12,0.17,0.139,10,0.58,1186,2899,57.8,66.2,0.29,18,26,0.71,15,7,66.2,65.2,55.5,68.2,63.5,8,0.66,13,0.38,18,-0.31,5,0.79,10,0.43,1.92,"outdoors",0
"22","WR22","Xavier Smith",8.81,3.38,34.24,0.32,"2024_20_LA_PHI",44.5,"PHI",2,6,0,"2025-01-19","Sunday","15:00",102585,"WR","LA",5,0.5,0,100,NA,0,0,0,0,0,1,26,0,68.3,87.1,73.8,NA,67.9,0,0,0,11,0,0,8,0,100,8,75,6,79.2,2,0,25,2,6,5,2.5,3,0.75,0.4,0.4,1.2,0,0,-1,1,2,-0.182,2,-1.52,-0.029,-1.37,14,-0.076,16,-0.05,0.109,12,0.34,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,1.71,"outdoors",0
