"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","total_line","opp","spread","home","attempts_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd","touches_game_sd","gameday","weekday"
"30","RB30","Isiah Pacheco","2024_15_KC_CLE",0.251,10.2,10.7,53.1,0.3,43,"CLE",-4,0,13.8,4.3,0.2,0.15,3.2,1.02,71.6,0.11,-0.075,0.51,-0.03,NA,-0.81,NA,0.96,"2024-12-15","Sunday"
"31","RB31","Breece Hall","2024_15_NYJ_JAX",0.173,10.1,12.7,52.4,0.3,40.5,"JAX",-3,0,13.7,4.2,0.3,0.59,5.1,1.35,61,0.18,-0.059,-0.53,0.21,NA,0.2,NA,1.16,"2024-12-15","Sunday"
"32","RB32","Rachaad White","2024_15_TB_LAC",0.316,9.6,11,46.5,0.2,45.5,"LAC",2.5,0,10,4.2,0.2,0.34,3.7,1.35,75.7,0.2,-0.109,0.93,-0.52,NA,0.22,NA,0.54,"2024-12-15","Sunday"
"33","RB33","Zach Charbonnet","2024_15_GB_SEA",0.131,9.2,7.8,40.4,0.2,45.5,"GB",2.5,1,7.5,4.1,0.5,0.32,3,1.27,72.2,0.27,-0.132,-1.03,-0.85,NA,0.71,NA,0.05,"2024-12-15","Sunday"
"34","RB34","Tyrone Tracy","2024_15_BAL_NYG",0.031,8.9,12.3,50.8,0.2,42.5,"BAL",16.5,1,10.8,4.7,0.4,0.42,2.8,0.88,73.4,0.21,-0.165,-0.17,-1.33,NA,0.02,NA,0.49,"2024-12-15","Sunday"
"35","RB35","Sincere Mccormick","2024_15_ATL_LV",-0.511,8.5,10.9,47.1,0.3,44,"ATL",4,1,10.7,5.5,0,0.11,1.3,0.63,78.2,0.22,-0.058,-2.67,0.22,NA,0.77,NA,0.32,"2024-12-16","Monday"
"36","RB36","Javonte Williams","2024_15_IND_DEN",0.024,8.4,8.4,32.8,0.3,44,"IND",-4,1,9.5,3.6,0.3,0.36,3.6,1.22,61.1,0.17,-0.1,-0.24,-0.39,NA,-0.76,NA,0.4,"2024-12-15","Sunday"
"37","RB37","Jaleel Mclaughlin","2024_15_IND_DEN",-0.175,8.3,9,39.3,0.3,44,"IND",-4,1,6.2,4.6,0.1,0.23,1.4,0.4,73.6,0.27,-0.1,-0.24,-0.39,NA,-0.47,NA,-0.36,"2024-12-15","Sunday"
"38","RB38","Travis Etienne","2024_15_NYJ_JAX",0.151,8.1,10.3,41.3,0.2,40.5,"NYJ",3,1,9,3.9,0.2,0.33,3.4,0.93,63.8,0.13,-0.046,0.11,0.39,NA,-0.92,NA,0.26,"2024-12-15","Sunday"
"39","RB39","Cam Akers","2024_15_CHI_MIN",-0.545,8,7.8,36.9,0.2,43.5,"CHI",-6.5,1,7.4,4.1,0.1,0.2,1,0.55,72.8,0.22,-0.035,-0.6,0.55,NA,-0.22,NA,-0.24,"2024-12-16","Monday"
