"","position.x","full_name","fpt_proj","receptions_proj","receiving_yards_proj","pass_td_proj","game_id","total_line","opp","def_pass_epa_rank","spread","home","gameday","weekday","gametime","player_id","position.y","team_name","player_game_count","avg_depth_of_target","avoided_tackles","caught_percent","contested_catch_rate","contested_receptions","contested_targets","declined_penalties","drop_rate","drops","first_downs","franchise_id","fumbles","grades_hands_drop","grades_hands_fumble","grades_offense","grades_pass_block","grades_pass_route","inline_rate","inline_snaps","interceptions","longest","pass_block_rate","pass_blocks","pass_plays","penalties","route_rate","routes","slot_rate","slot_snaps","targeted_qb_rating","targets","touchdowns","wide_rate","wide_snaps","yards","yards_after_catch","yards_after_catch_per_reception","yards_per_reception","yprr","targets_game","rec_game","rec_yards_game","rec_td_game","man_yprr","zone_yprr","man_adv","avg_rank.x","def_rush_epa","def_rush_epa_rank","def_rush_epa_sd","def_pass_epa","def_pass_epa_sd","avg_rank.y","off_rush_epa","off_rush_epa_rank","off_rush_epa_sd","off_pass_epa","off_pass_epa_rank","off_pass_epa_sd","man_snaps","zone_snaps","def_man_grade","def_zone_grade","man_percentage","man_rank","def_man_grade_rank","zone_percentage","zone_rank","def_zone_grade_rank","def","rdef","tack","prsh","cov","def_rank","def_sd","rdef_rank","rdef_sd","tack_rank","tack_sd","prsh_rank","prsh_sd","cov_rank","cov_sd","z_score","roof","dome"
"11","WR11","Dyami Brown",8.69,3.17,39.72,0.13,"2024_21_WAS_PHI",47.5,"PHI",4,6,0,"2025-01-26","Sunday","15:00",77986,"WR","WAS",17,7.8,12,81.4,40,2,5,0,5.4,2,16,32,1,72.6,30,68.4,66.3,68.9,0,0,0,51,0.3,1,304,4,92.4,281,23.7,72,120.6,43,2,76.3,232,397,274,7.8,11.3,1.41,2.5,2.06,23.35,0.12,2.22,1,1.22,3,-0.193,2,-1.73,-0.024,-1.33,4.5,0.018,5,1.05,0.237,4,1.41,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.74,"outdoors",0
"12","WR12","Olamide Zaccheaus",8.3,3.08,40.15,0.16,"2024_21_WAS_PHI",47.5,"PHI",4,6,0,"2025-01-26","Sunday","15:00",44920,"WR","WAS",18,6.2,11,73.8,50,4,8,0,9.4,5,27,32,0,58.7,59.9,71.8,69,71.9,0,0,0,49,0.3,1,348,3,93.4,325,51.4,179,112.7,65,3,47.7,166,525,308,6.4,10.9,1.62,3.6,2.67,29.17,0.17,1.42,1.85,-0.43,3,-0.193,2,-1.73,-0.024,-1.33,4.5,0.018,5,1.05,0.237,4,1.41,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.74,"outdoors",0
"13","WR13","Mack Hollins",8.18,2.59,33.33,0.54,"2024_21_BUF_KC",47.5,"KC",16,1.5,0,"2025-01-26","Sunday","18:30",11873,"WR","BUF",18,14,1,64,50,5,10,0,3,1,26,4,0,78.5,77.2,60.1,62.4,61.9,5.2,24,0,44,0.2,1,461,2,93.3,430,30.6,141,121.8,50,5,64.2,296,397,97,3,12.4,0.92,2.8,1.78,22.06,0.28,0.61,1.06,-0.45,13.5,-0.104,11,-0.49,0.069,0.02,2.5,0.046,3,1.38,0.3,2,1.93,1326,2551,58.4,66.8,0.342,11,22,0.658,22,5,68.4,67.3,62.5,67.8,67.1,2,1.34,4,1.04,2,1.48,8,0.69,2,1.29,1.91,"outdoors",0
"14","WR14","Nikko Remigio",8,2.93,32.86,0.25,"2024_21_BUF_KC",47.5,"BUF",20,-1.5,1,"2025-01-26","Sunday","18:30",84150,"WR","KC",2,10.3,0,33.3,0,0,1,0,0,0,2,16,0,68.3,29.8,76.8,NA,75.2,8,2,0,25,0,0,25,0,96,24,88,22,63.2,6,0,4,1,48,16,8,24,2,3,1,24,0,4.17,1.44,2.73,13,-0.144,6,-1.04,0.089,0.31,11,-0.053,12,0.19,0.136,10,0.57,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,0.26,"outdoors",0
"15","WR15","Justin Watson",7.67,2.39,33.75,0.25,"2024_21_BUF_KC",47.5,"BUF",20,-1.5,1,"2025-01-26","Sunday","18:30",66915,"WR","KC",17,15,0,71,83.3,5,6,1,4.3,1,13,16,0,72.1,74.9,52.7,36.3,51.7,1.7,7,0,49,0.2,1,421,1,94.8,399,34.2,144,121.6,31,2,64.1,270,289,64,2.9,13.1,0.72,1.8,1.29,17,0.12,0.66,0.69,-0.0299999999999999,13,-0.144,6,-1.04,0.089,0.31,11,-0.053,12,0.19,0.136,10,0.57,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,0.26,"outdoors",0
"16","WR16","Juju Smith-Schuster",7.08,2.26,31.72,0.24,"2024_21_BUF_KC",47.5,"BUF",20,-1.5,1,"2025-01-26","Sunday","18:30",11817,"WR","KC",14,5.2,4,72,0,0,3,1,0,0,11,16,0,83.2,74.1,57.9,77.3,58.6,1.1,3,1,50,1.4,4,285,3,91.6,261,41.1,117,110.6,25,2,57.9,165,231,157,8.7,12.8,0.89,1.8,1.29,16.5,0.14,0.97,0.89,0.08,13,-0.144,6,-1.04,0.089,0.31,11,-0.053,12,0.19,0.136,10,0.57,991,2889,55.3,57.4,0.255,24,27,0.745,9,30,61.3,62.8,57.7,67.6,55.1,29,-0.85,24,-0.36,13,0.26,10,0.64,31,-1.57,0.26,"outdoors",0
"17","WR17","Johnny Wilson",6.85,2.37,25.07,0.46,"2024_21_WAS_PHI",47.5,"WAS",21,-6,1,"2025-01-26","Sunday","15:00",76366,"WR","PHI",17,10.1,1,33.3,20,1,5,0,16.7,1,3,24,0,49.2,68.8,50,82.4,48.7,4.1,7,0,9,1.2,2,170,3,92.4,157,31.2,53,64.6,15,1,62.9,107,38,15,3,7.6,0.24,0.9,0.29,2.24,0.06,0.27,0.25,0.02,24,-0.009,27,0.84,0.092,0.36,5.5,0.068,2,1.65,0.14,9,0.6,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,0.24,"outdoors",0
"18","WR18","Jamison Crowder",6.18,2.24,26.84,0.17,"2024_21_WAS_PHI",47.5,"PHI",4,6,0,"2025-01-26","Sunday","15:00",9538,"WR","WAS",7,9.8,0,69.2,50,1,2,0,18.2,2,4,32,0,38.4,80.3,53.7,NA,53.5,0,0,1,12,0,0,97,0,94.8,92,88.7,86,90.4,13,2,11.3,11,72,9,1,8,0.78,1.9,1.29,10.29,0.29,0.78,0.64,0.14,3,-0.193,2,-1.73,-0.024,-1.33,4.5,0.018,5,1.05,0.237,4,1.41,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.74,"outdoors",0
"19","WR19","Jahan Dotson",5.83,2.66,27.29,0.15,"2024_21_WAS_PHI",47.5,"WAS",21,-6,1,"2025-01-26","Sunday","15:00",84375,"WR","PHI",18,10.5,4,62.5,20,1,5,1,0,0,13,24,0,84.1,76.8,55.4,NA,55.2,0.2,1,0,36,0,0,445,1,94.8,422,31.7,141,94.1,32,1,68.1,303,227,73,3.7,11.4,0.54,1.8,1.11,12.61,0.06,0.8,0.43,0.37,24,-0.009,27,0.84,0.092,0.36,5.5,0.068,2,1.65,0.14,9,0.6,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,0.24,"outdoors",0
"20","WR20","Ainias Smith",5.47,2.52,25.23,0.12,"2024_21_WAS_PHI",47.5,"WAS",21,-6,1,"2025-01-26","Sunday","15:00",99207,"WR","PHI",6,4.2,0,77.8,0,0,1,0,12.5,1,1,24,0,54.5,72.4,55.2,NA,54.8,0,0,0,15,0,0,43,0,97.7,42,79.1,34,122.7,9,1,20.9,9,41,23,3.3,5.9,0.98,1.5,1.17,6.83,0.17,0.63,1.32,-0.69,24,-0.009,27,0.84,0.092,0.36,5.5,0.068,2,1.65,0.14,9,0.6,1502,2500,58.2,60.8,0.375,6,23,0.625,27,16,61.6,60.5,58.6,64.7,58.8,28,-0.76,28,-1.08,12,0.49,15,-0.1,24,-0.69,0.24,"outdoors",0
"21","WR21","Luke Mccaffrey",4.53,2.39,19.75,0.03,"2024_21_WAS_PHI",47.5,"PHI",4,6,0,"2025-01-26","Sunday","15:00",101634,"WR","WAS",18,8.8,2,69.2,40,2,5,0,5.3,1,8,32,0,68.7,79.2,54.4,65.8,54.5,0,0,3,30,0.4,1,274,0,94.5,259,74.8,205,47.1,26,0,25.2,69,168,96,5.3,9.3,0.65,1.4,1,9.33,0,0.59,0.74,-0.15,3,-0.193,2,-1.73,-0.024,-1.33,4.5,0.018,5,1.05,0.237,4,1.41,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.74,"outdoors",0
"22","WR22","Kj Osborn",4.37,2.2,19.25,0.02,"2024_21_WAS_PHI",47.5,"PHI",4,6,0,"2025-01-26","Sunday","15:00",23503,"WR","WAS",8,6.8,0,41.2,40,2,5,0,0,0,2,32,0,75.6,69.5,52.2,NA,51.9,0,0,0,22,0,0,143,3,93,133,32.9,47,70,17,1,67.1,96,57,15,2.1,8.1,0.43,2.1,0.88,7.12,0.12,0.16,0.55,-0.39,3,-0.193,2,-1.73,-0.024,-1.33,4.5,0.018,5,1.05,0.237,4,1.41,1111,2601,72,69.6,0.299,16,1,0.701,17,1,73.2,66.7,52.9,73.5,73.6,1,2.82,8,0.85,28,-0.97,2,2.14,1,2.84,2.74,"outdoors",0
