"","position","full_name","game_id","z_score","fpt_proj","rush_attempts_proj","rushing_yards_proj","rush_td_proj","receptions_proj","receiving_yards_proj","total_line","opp","spread","home","attempts_game","yards_per_game","ypa","td_game","rush_share","targets_game","yprr","grades_run","mtf_touch","def_rush_epa","off_rush_epa_sd","def_rush_epa_sd","rdef_sd","yco_attempt_sd","tack_sd"
"35","RB35","Jaylen Warren","2024_17_KC_PIT",-0.313,7.9,7.8,32.4,0.2,3.5,17.2,43.5,"KC",3,1,7.9,32.4,4.1,0.1,0.22,2.8,1.45,66,0.24,-0.144,-0.65,-0.95,NA,0.21,NA
"36","RB36","Sincere Mccormick","2024_17_LV_NO",-0.33,7.7,10.7,47,0.2,1.7,11.9,39.5,"NO",1,0,9.8,46.1,4.7,0,0.12,1.5,1.16,72.7,0.18,0.04,-2.85,1.54,NA,0.39,NA
"37","RB37","Tyler Allgeier","2024_17_ATL_WAS",0.244,7.6,9.2,37.5,0.3,1.1,8.6,47.5,"WAS",4,0,8.3,38.2,4.6,0.2,0.29,0.7,0.82,83.5,0.28,-0.029,0.24,0.61,NA,1,NA
"38","RB38","Isiah Pacheco","2024_17_KC_PIT",0.083,7.6,11,43.3,0.2,1,11.5,43.5,"PIT",-3,0,12.8,48.6,3.8,0.2,0.18,2.7,0.92,65.3,0.1,-0.09,0.33,-0.22,NA,-0.82,NA
"39","RB39","Jaleel Mclaughlin","2024_17_DEN_CIN",-0.253,7.2,8.6,38.4,0.2,1.6,9.8,50,"CIN",3.5,0,6.2,27.9,4.5,0.1,0.22,1.5,0.48,71.8,0.26,0.016,-0.23,1.22,NA,-0.54,NA
"40","RB40","Ray Davis","2024_17_NYJ_BUF",0.421,7.1,6.9,32.6,0.3,1.5,11.5,46.5,"NYJ",-9.5,1,6.1,24.4,4,0.2,0.22,1,2.3,74.3,0.27,-0.033,1.67,0.55,NA,-0.1,NA
"41","RB41","Justice Hill","2024_17_BAL_HOU",0.485,7.1,4.7,19.6,0.2,2.3,18.9,46.5,"HOU",-5.5,0,3.1,15.2,4.9,0.1,0.1,3.1,1.64,78.1,0.27,-0.151,1.38,-1.04,NA,1.85,NA
"42","RB42","Sean Tucker","2024_17_CAR_TB",-0.074,7,5.7,26.6,0.3,1.5,11.2,49.5,"CAR",-8,1,4,25.2,6.3,0.2,0.1,1,2.74,74.9,0.15,0.074,0.97,2,NA,0.3,NA
"43","RB43","Ameer Abdullah","2024_17_LV_NO",-0.691,6.9,5.4,23.4,0.1,2.5,20.1,39.5,"NO",1,0,3.5,15,4.3,0.2,0.14,3.2,0.96,55.3,0.13,0.04,-2.85,1.54,NA,-1.03,NA
"44","RB44","Gus Edwards","2024_17_LAC_NE",-0.194,6.9,10.1,43.8,0.2,1.2,7.2,42.5,"NE",-4,0,9.2,33.1,3.6,0.4,0.26,0.4,0.09,66.2,0.12,-0.048,-0.34,0.35,NA,-0.43,NA
"45","RB45","Isaac Guerendo","2024_17_DET_SF",-0.174,6.8,7,27.8,0.2,1.5,9.7,51,"DET",3.5,1,5.6,29.1,5.2,0.3,0.18,0.9,1,66.5,0.14,-0.132,0.18,-0.79,NA,0.06,NA
"46","RB46","Antonio Gibson","2024_17_LAC_NE",-0.238,6.7,7.6,30.9,0.2,1.8,10.7,42.5,"LAC",4,1,6.4,28.8,4.5,0.1,0.24,1.5,1.42,73.7,0.36,-0.096,-0.95,-0.3,NA,1.53,NA
"47","RB47","Audric Estime","2024_17_DEN_CIN",-0.234,6.6,6.5,33,0.2,1.4,8.8,50,"CIN",3.5,0,5,23,4.6,0.1,0.14,0.4,0.47,63.8,0.17,0.016,-0.23,1.22,NA,0.64,NA
"48","RB48","Tyler Goodson","2024_17_IND_NYG",-0.364,6.5,5.1,22,0.1,1.8,9.3,40.5,"NYG",-8,0,2.5,12,4.8,0.1,0.07,1,0.81,71.5,0.14,-0.041,-0.14,0.45,NA,-0.58,NA
"49","RB49","Ty Johnson","2024_17_NYJ_BUF",0.245,6.4,5,22.5,0.2,1.7,11.3,46.5,"NYJ",-9.5,1,2.3,12.2,5.3,0.1,0.08,1.5,1.67,80.1,0.1,-0.033,1.67,0.55,NA,-0.18,NA
"50","RB50","Blake Corum","2024_17_ARI_LA",-0.251,6.4,5.4,28.8,0.2,1,9.9,48.5,"ARI",-6,1,4.4,16.7,3.8,0,0.13,0.6,1.7,68.1,0.15,-0.023,0.05,0.69,NA,-0.66,NA
"51","RB51","Cam Akers","2024_17_GB_MIN",0.013,6.4,6.4,24.2,0.2,1.1,8.1,49,"GB",-1.5,1,7.1,27.7,3.9,0.2,0.2,0.8,0.48,73.8,0.21,-0.132,-0.61,-0.79,NA,-0.16,NA
"52","RB52","Craig Reynolds","2024_17_DET_SF",0.04,6.1,4.7,28,0.2,1.7,15.1,51,"SF",-3.5,0,1.5,6.4,4.3,0,0.03,0.1,0.36,53.6,0.06,-0.019,1.13,0.74,NA,-0.58,NA
"53","RB53","Jeff Wilson","2024_17_MIA_CLE",-0.789,6,4.9,21,0.2,1.6,15.1,40,"CLE",-6.5,0,1.6,8.2,5.1,0,0.03,0.4,0.63,64.1,0.14,-0.073,-1.92,0.01,NA,0.21,NA
"54","RB54","Raheem Mostert","2024_17_MIA_CLE",-0.522,6,6.7,27.6,0.2,1.7,10.1,40,"CLE",-6.5,0,7.2,25.2,3.5,0.2,0.2,1.7,1.01,71.7,0.21,-0.073,-1.92,0.01,NA,-0.15,NA
"55","RB55","Trey Benson","2024_17_ARI_LA",NA,6,5.5,27.6,0.1,1.6,12,48.5,"LA",6,0,4.8,22.1,4.6,0.1,0.15,0.5,1.26,59.4,0.28,-0.055,0.58,0.26,NA,0.57,NA
"56","RB56","Kenny Mcintosh","2024_17_SEA_CHI",-0.683,6,4.8,21.9,0.2,1.7,9.6,43.5,"CHI",-3.5,0,2.8,12.6,4.5,0,0.05,0.5,1.05,72.1,0.15,-0.021,-0.9,0.72,NA,0.6,NA
"57","RB57","Dernest Johnson","2024_17_TEN_JAX",-0.373,6,5.1,22.6,0.1,1.4,8.6,41,"TEN",-1,1,2.7,10.5,3.9,0,0.09,1.2,0.83,70.9,0.18,-0.048,0.07,0.35,NA,-0.48,NA
"58","RB58","Emanuel Wilson","2024_17_GB_MIN",-0.137,5.9,6,24.2,0.2,1.5,10.7,49,"MIN",1.5,0,5.5,26.4,4.8,0.1,0.18,0.7,0.6,87.8,0.29,-0.214,0.58,-1.9,NA,0.25,NA
"59","RB59","Samaje Perine","2024_17_KC_PIT",-0.45,5.8,4.5,19.9,0.1,1.9,14.6,43.5,"PIT",-3,0,1.1,5.3,4.8,0.1,0.04,2,1.58,69.2,0.21,-0.09,0.33,-0.22,NA,-0.72,NA
"60","RB60","Jordan Mims","2024_17_LV_NO",-0.192,5.8,4.6,19.4,0.1,1.6,10.8,39.5,"LV",-1,1,2.2,7,3.2,0,0.04,1.6,1.49,65.5,0.15,-0.101,0.56,-0.37,NA,-1.51,NA
"61","RB61","Braelon Allen","2024_17_NYJ_BUF",-0.016,5.7,6.5,23.3,0.1,1.8,10.2,46.5,"BUF",9.5,0,5.5,19.8,3.6,0.1,0.26,1.5,1.2,81.1,0.13,-0.146,-0.5,-0.98,NA,-0.16,NA
"62","RB62","Devin Singletary","2024_17_IND_NYG",0.015,5.6,7.2,23.5,0.2,1.1,9.1,40.5,"IND",8,1,7.8,30.4,3.9,0.3,0.27,1.7,0.78,63.2,0.23,-0.1,-0.34,-0.35,NA,-0.25,NA
"63","RB63","Cordarrelle Patterson","2024_17_KC_PIT",-0.551,5.6,4.4,19.4,0.1,1.3,8.8,43.5,"KC",3,1,2.7,11.9,4.4,0,0.06,1.3,1.67,65.1,0.26,-0.144,-0.65,-0.95,NA,0.86,NA
"64","RB64","Jamaal Williams","2024_17_LV_NO",-0.083,5.5,5.1,20.8,0.1,1.2,9.7,39.5,"LV",-1,1,3.2,11.5,3.6,0.1,0.09,0.6,0.72,64.8,0.11,-0.101,0.56,-0.37,NA,-0.6,NA
"65","RB65","Kenneth Gainwell","2024_17_DAL_PHI",0.218,5.5,5.1,22.2,0.1,1.5,10.5,43,"DAL",-9,1,4.1,18.4,4.5,0.1,0.11,1.1,1.02,56.1,0.23,0.079,1.86,2.07,NA,-0.24,NA
"66","RB66","Roschon Johnson","2024_17_SEA_CHI",-0.609,5.4,5.5,22.3,0.2,0.9,6.4,43.5,"SEA",3.5,1,4.5,13,2.9,0.5,0.13,1.1,0.75,76.2,0.15,-0.103,-0.8,-0.39,NA,-1.21,NA
"67","RB67","Jeremy Mcnichols","2024_17_ATL_WAS",0.019,5.4,5.1,19.3,0.2,1.4,7.5,47.5,"ATL",-4,1,3.9,18.3,4.7,0.3,0.11,0.5,0.2,85.1,0.2,-0.091,1.13,-0.23,NA,0.95,NA
"68","RB68","Travis Homer","2024_17_SEA_CHI",-0.813,5.3,4.9,26.9,0.2,1.2,12.9,43.5,"SEA",3.5,1,1,3.8,3.8,0,0.02,0.5,0.25,62.6,0,-0.103,-0.8,-0.39,NA,-1.42,NA
"69","RB69","Khalil Herbert","2024_17_DEN_CIN",-0.39,5.3,4.3,19.6,0.2,1.5,10.8,50,"DEN",-3.5,1,1.1,3.5,3.2,0.1,0.04,0.3,0.5,55.7,0.13,-0.165,0.03,-1.23,NA,-1.79,NA
"70","RB70","Julius Chestnut","2024_17_TEN_JAX",-0.705,5.3,4.7,20.6,0.1,1.5,14.7,41,"JAX",1,0,2.1,9.2,4.4,0,0.04,0.2,0.73,69.3,0.21,-0.06,-0.94,0.19,NA,-0.28,NA
"71","RB71","Dare Ogunbowale","2024_17_BAL_HOU",-0.618,5.3,4.2,18.9,0.1,1.3,9.3,46.5,"BAL",5.5,1,1.7,6.8,4,0,0.07,1.5,0.96,66.4,0.26,-0.159,-0.87,-1.15,NA,-0.73,NA
"72","RB72","Isaiah Davis","2024_17_NYJ_BUF",-0.111,5.2,5,23.6,0.1,1.4,8.9,46.5,"BUF",9.5,0,3.3,14.2,4.3,0.1,0.07,1.6,1.4,61.3,0.06,-0.146,-0.5,-0.98,NA,-0.12,NA
"73","RB73","Pierre Strong","2024_17_MIA_CLE",-0.534,5.2,4.6,21.7,0.1,1.5,11.3,40,"MIA",6.5,1,1.9,6.8,3.6,0,0.06,1.4,0.76,64.8,0.06,-0.116,-0.69,-0.57,NA,-0.49,NA
"74","RB74","Jaylen Wright","2024_17_MIA_CLE",-0.612,5.1,6.1,29.1,0.1,0.8,4.9,40,"CLE",-6.5,0,4.8,19.7,4.1,0,0.16,0.5,0.11,77.3,0.23,-0.073,-1.92,0.01,NA,0.63,NA
"75","RB75","Ty Chandler","2024_17_GB_MIN",-0.256,5.1,4.7,23.2,0.2,1,8.3,49,"GB",-1.5,1,4.6,15.6,3.4,0,0.11,0.5,0.71,55.3,0.05,-0.132,-0.61,-0.79,NA,-1.68,NA
"76","RB76","Deejay Dallas","2024_17_ARI_LA",NA,5.1,4.9,26.8,0.2,1.3,11.3,48.5,"LA",6,0,2,6.8,3.4,0,0.02,0.2,0.08,70.8,0,-0.055,0.58,0.26,NA,-0.67,NA
"77","RB77","Raheem Blackshear","2024_17_CAR_TB",0.109,5.1,4.7,31.7,0.2,1.4,12.1,49.5,"TB",8,0,0.4,1.7,4.3,0,0.01,0,0,66.2,0,-0.145,0.45,-0.96,NA,1.07,NA
"78","RB78","Jamycal Hasty","2024_17_LAC_NE",-0.635,5,4.2,18,0.1,1.3,9.9,42.5,"LAC",4,1,1.7,6,3.5,0,0.05,0.9,0.86,72.3,0.37,-0.096,-0.95,-0.3,NA,-0.07,NA
"79","RB79","Dameon Pierce","2024_17_BAL_HOU",-0.052,5,4.6,19.9,0.2,0.6,6.2,46.5,"BAL",5.5,1,2,13,6.5,0.1,0.05,0.2,0.06,74.8,0.44,-0.159,-0.87,-1.15,NA,5.2,NA
"80","RB80","Ezekiel Elliott","2024_17_DAL_PHI",-0.085,4.9,5.3,23.4,0.1,1.4,7.1,43,"PHI",9,0,5.1,16.3,3.2,0.2,0.2,1.1,0.57,59.6,0.07,-0.217,-0.71,-1.94,NA,-0.55,NA
"81","RB81","Ronnie Rivers","2024_17_ARI_LA",-0.288,4.9,4.7,22.9,0.2,1.2,10.6,48.5,"ARI",-6,1,2.5,12.8,5.1,0,0.02,0.2,0,76.8,0.09,-0.023,0.05,0.69,NA,-0.07,NA
"82","RB82","Kimani Vidal","2024_17_LAC_NE",-0.368,4.8,5,21.9,0.1,1,7.8,42.5,"NE",-4,0,4.8,16.3,3.4,0,0.1,0.9,0.78,58.7,0.16,-0.048,-0.34,0.35,NA,-0.31,NA
"83","RB83","Chris Rodriguez","2024_17_ATL_WAS",0.148,4.8,5.1,25.2,0.2,0.8,5.1,47.5,"ATL",-4,1,6,31.2,5.2,0.2,0.06,0,0,86.5,0.33,-0.091,1.13,-0.23,NA,1.52,NA
"84","RB84","Donta Foreman","2024_17_MIA_CLE",-0.504,4.7,5.4,24.3,0.1,1,7.9,40,"MIA",6.5,1,5.3,17.5,3.3,0,0.14,0.6,1.35,57.3,0.11,-0.116,-0.69,-0.57,NA,-1.54,NA
"85","RB85","Trey Sermon","2024_17_IND_NYG",-0.304,4.6,4.9,17.4,0.1,0.8,5.5,40.5,"NYG",-8,0,3.7,10.4,2.8,0.1,0.13,0.9,0.82,56,0.11,-0.041,-0.14,0.45,NA,-0.67,NA
"86","RB86","Hassan Haskins","2024_17_LAC_NE",-0.708,4.6,4.3,17.8,0.1,1.3,8.2,42.5,"NE",-4,0,1.2,2.3,1.9,0.1,0.04,0.2,1.05,53.6,0.06,-0.048,-0.34,0.35,NA,-1.85,NA
"87","RB87","Eric Gray","2024_17_IND_NYG",-0.494,4.3,4,14.6,0.2,1.1,8.1,40.5,"IND",8,1,1.1,2.1,1.9,0,0.04,0.8,1.32,38.8,0.14,-0.1,-0.34,-0.35,NA,-1.98,NA
"88","RB88","Deuce Vaughn","2024_17_DAL_PHI",-0.286,4.2,4.2,17.6,0.1,1.2,9.5,43,"PHI",9,0,2.2,6.6,3,0,0.03,0.8,1,55,0.5,-0.217,-0.71,-1.94,NA,-1.15,NA
"89","RB89","Will Shipley","2024_17_DAL_PHI",0.025,4,4.5,21.2,0.1,0.6,6.2,43,"DAL",-9,1,2.9,7.2,2.5,0,0.04,0,0,55.4,0.15,0.079,1.86,2.07,NA,-1.27,NA
"90","RB90","Avery Williams","2024_17_ATL_WAS",NA,NA,NA,NA,NA,NA,NA,47.5,"WAS",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.029,0.24,0.61,NA,NA,NA
"91","RB91","Trayveon Williams","2024_17_DEN_CIN",NA,NA,NA,NA,NA,NA,NA,50,"DEN",-3.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.165,0.03,-1.23,NA,NA,NA
"92","RB92","Keaton Mitchell","2024_17_BAL_HOU",NA,NA,NA,NA,NA,NA,NA,46.5,"HOU",-5.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.151,1.38,-1.04,NA,NA,NA
"93","RB93","Christopher Brooks","2024_17_GB_MIN",NA,NA,NA,NA,NA,NA,NA,49,"MIN",1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.214,0.58,-1.9,NA,NA,NA
"94","RB94","Joshua Kelley","2024_17_TEN_JAX",NA,NA,NA,NA,NA,NA,NA,41,"JAX",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,-0.94,0.19,NA,NA,NA
"95","RB95","Dylan Laube","2024_17_LV_NO",-0.675,NA,NA,NA,NA,NA,NA,39.5,"NO",1,0,1,0,0,0,0,0,NA,39.9,0,0.04,-2.85,1.54,NA,1.56,NA
